	K01703	K01064	K02113	K19824	K13275
Aeromonas_hydrophila	-0.0626917863430853	0.221103624398842	0.0201766962331121	-0.0616629468741273	-0.0252608398619317
Selenomonas_noxia	-0.0688375387387672	-0.0337197166105158	-0.019304374445395	-0.108034105613077	-0.0524216390619815
Anaerococcus_prevotii	-0.0477221130082607	0.0605027868613759	-0.0212283742845657	-0.0819407130961052	-0.0412384741334462
Centipeda_periodontii	-0.0393471157485996	-0.0400495690458152	-0.00302084064274203	-0.0162769375167141	-0.0318585620733947
Lactobacillus_coryniformis	-0.0304852495993979	-0.0230078682987125	-0.0027211381891343	-0.0332031050013136	-0.0253099529857325
Listeria_seeligeri	0.012977221669806	-0.0344124814977776	0.0169563366802637	-0.00297927595510723	0.0327106349023169
Lactobacillus_farciminis	-0.0361151910440194	-0.0269651710999739	0.0435312154755762	0.00904786124816672	0.0338836658393814
unclassified_Selenomonas_sp._oral_taxon_149	-0.0144418604039214	-0.0627573379416338	-0.0309082845936128	-0.0714971002391547	-0.0443408418599637
unclassified_Clostridium_sp._BNL1100	0.00324058989714482	-0.0447941368545774	0.0238047289982378	0.0440409966970539	-0.0164686187706709
Streptococcus_porcinus	-0.00851821700465633	-0.00505376150237851	0.00325246124931941	-0.0677160117881179	-0.0323492736068878
Dehalococcoides_mccartyi	0.0115501352985908	-0.0251654837444662	0.00283572702415677	-0.0414540324410537	-0.0491148671671024
Mannheimia_haemolytica	0.00380055438435811	-0.0338996147572489	-0.00898607702766075	-0.0471849824210978	-0.0746953253323274
unclassified_Veillonella_sp._oral_taxon_780	-0.0382301900591679	0.140359590322125	-0.136969429274264	-0.0625613891628626	-0.0377358116852016
Anaerococcus_tetradius	-0.0562784882301736	0.12192668123802	-0.148326617868554	-0.0815759664568968	-0.0544011185044095
Dysgonomonas_mossii	0.0516875166044474	-0.0776092652050083	0.134413125046173	0.0988229587450317	0.0473638966576962
Campylobacter_rectus	-0.119851317374992	0.270238775130448	-0.126298749297501	-0.183280788354145	-0.0696698446682106
Serratia_plymuthica/odorifera	-0.0557145902123447	0.169817231467858	0.0591662121340715	-0.116424483435663	-0.0567384014382489
Neisseria_elongata	0.0653609156284544	0.185544287647284	0.0934391089338932	-0.112152986456263	0.0967131695883562
Anaerococcus_hydrogenalis	-0.0705003059729345	0.145818937394384	-0.0803415575383856	-0.0941877313734533	0.0840247105451453
Dialister_micraerophilus	-0.0866938241017442	0.18537519663039	-0.131207081445058	-0.0346006251189964	-0.00102649621467721
Dehalogenimonas_lykanthroporepellens	-0.127350741822034	0.39233930989069	-0.107765350193024	-0.0719540119768249	-0.0234873428238243
Acinetobacter_nosocomialis	-0.125499228187831	0.199263059052151	-0.0585191798168747	-0.131060733571419	0.0192896315947873
Corynebacterium_striatum	0.127022330368002	-0.0372196220502509	0.264587311374138	0.0807529031264795	0.297017440630041
Pseudoramibacter_alactolyticus	-0.0430763920946921	-0.0244658803193573	0.0577191965857419	-0.00715283074928676	0.136283175468825
Atopobium_rimae	0.0267179915522308	-0.0122922123631588	0.0901959915039347	-0.00441130580181111	0.0860671367546058
Pectobacterium_wasabiae	0.0514572501914144	-0.0342032958735489	0.113348898501207	0.0491677777034378	0.0741356112979592
Azospira_oryzae	0.0431457850941892	-0.059430803053867	0.117773924644872	0.0239171378110455	0.159654070319294
Ralstonia_pickettii	0.0531825466054818	0.0315739796330178	0.133690274255255	0.0156782254296318	0.183375460374738
Weissella_paramesenteroides	0.0910252634470594	-0.0270637687994881	0.108633795301552	0.0253816162011299	0.0653145441801317
Enterococcus_italicus	0.167212628471283	0.0232260024903182	0.176964360637992	-0.0109465316010643	0.100764529512676
Jonquetella_anthropi	-0.152601839189232	-0.00797464499706088	-0.126418708602574	0.0161504273171975	-0.0713479530340218
unclassified_Prevotella_sp._oral_taxon_317	-0.117728436228487	-0.00413204069167464	-0.101906836927269	-0.0152870443651854	-0.0780091244563119
Dichelobacter_nodosus	-0.0872770710087708	0.0366835867820004	-0.0538340574378887	0.0159971507818581	0.0437386032016826
Streptococcus_parauberis	0.0526762538977116	-0.00039297825038208	0.144142231239447	0.0141899255082848	0.0342788255327904
Simonsiella_muelleri	0.00782163018831631	0.286231409571315	0.0950272391311852	-0.0137691013221599	0.108129249627876
Neisseria_lactamica	0.0271982316337132	0.341819256056549	0.0915505906742389	-0.0197769814462385	0.154525621219083
Propionibacterium_acnes	0.0679755164706843	0.151819956112872	0.160973323266551	0.0418164238208612	0.101512089685383
unclassified_Peptoniphilus_sp._oral_taxon_375	-0.0743572055705444	0.154267571004312	-0.13050061228745	-0.0390390379615366	0.0477575367780528
Bacteroidetes_oral_taxon_274	-0.0834498256985485	0.126628718673482	-0.0950393739424714	-0.0314592470449667	-0.0866911951002991
Olsenella_uli	-0.07035878578797	0.195481498921719	-0.103308920040272	-0.0208935266489499	-0.0646671932021404
Photobacterium_damselae	-0.0309716991296143	0.0286348854341015	0.0553276303502345	-0.0436877038021329	-0.0027159148335219
unclassified_Geobacter_sp._M18	-0.0154874597540894	0.010928407079809	-0.0746988064253974	-0.0465632259777221	-0.021938148760845
unclassified_gamma_proteobacterium_HdN1	-0.0151571910965553	0.0168817113331352	0.0605592746383158	0.0413182002413116	-0.0293692815478392
Acidovorax_ebreus	-0.0161098544772679	-0.0283751921065592	-0.0525929461381628	-0.052842673532763	-0.0286015033233388
Lactobacillus_amylolyticus	0.00267051749639522	-0.0350030259485941	0.0707730443834643	-0.0639537780842674	-0.0284703432803656
Serratia_proteamaculans	0.0129284423964558	-0.0284631759239669	0.0654559041395367	-0.0679525402327052	-0.0216781222565756
Alicycliphilus_denitrificans	0.0325498489910669	-0.0635684013186828	0.118119473774469	0.19138395081483	-0.0149783138602564
Vibrio_harveyi	-0.0030656070476164	0.0628592649756711	-0.0997355991927074	-0.0871627523158908	-0.0457287818396343
Oenococcus_oeni	0.02487802650192	-0.040947082109752	0.0815666113700342	0.120204412457966	-0.0397785707994624
Providencia_stuartii	0.0161663690936806	-0.0415449992868996	0.0926683024678119	-0.151848434332932	-0.0347067483462373
