ID	Group
SZAXPI003409-8	CRC
SZAXPI003410-3	CRC
SZAXPI003411-6	CRC
SZAXPI003412-1	CRC
SZAXPI003413-4	CRC
SZAXPI003414-3	CRC
SZAXPI003415-12	CRC
SZAXPI003416-4	CRC
SZAXPI003417-4	HC
SZAXPI003418-8	CRC
SZAXPI003419-6	HC
SZAXPI003420-4	CRC
SZAXPI003421-5	CRC
SZAXPI003422-11	CRC
SZAXPI003423-8	CRC
SZAXPI003424-12	CRC
SZAXPI003425-1	CRC
SZAXPI003426-11	CRC
SZAXPI003427-1	CRC
SZAXPI003428-6	CRC
SZAXPI003429-3	HC
SZAXPI003430-5	CRC
SZAXPI003431-1	CRC
SZAXPI003432-12	CRC
SZAXPI003433-7	HC
SZAXPI003434-7	CRC
SZAXPI003435-11	CRC
SZAXPI003436-7	CRC
SZAXPI003437-3	CRC
SZAXPI015209-133	CRC
SZAXPI015210-17	CRC
SZAXPI015211-166	CRC
SZAXPI015212-113	HC
SZAXPI015213-15	CRC
SZAXPI015214-19	CRC
SZAXPI015215-20	CRC
SZAXPI015216-169	CRC
SZAXPI015217-140	CRC
SZAXPI015218-16	CRC
SZAXPI015219-129	CRC
SZAXPI015220-136	CRC
SZAXPI015221-142	CRC
SZAXPI015222-123	CRC
SZAXPI015223-158	CRC
SZAXPI015224-13	CRC
SZAXPI015225-18	CRC
SZAXPI015226-14	CRC
SZAXPI015227-13	HC
SZAXPI015228-14	HC
SZAXPI015229-15	HC
SZAXPI015230-16	HC
SZAXPI015231-17	HC
SZAXPI015232-18	HC
SZAXPI015233-19	HC
SZAXPI015234-20	HC
SZAXPI015235-21	HC
SZAXPI015237-23	CRC
SZAXPI015238-24	HC
SZAXPI015239-25	HC
SZAXPI015240-26	HC
SZAXPI015241-27	HC
SZAXPI015242-30	HC
SZAXPI015243-31	HC
SZAXPI015244-32	HC
SZAXPI015245-33	HC
SZAXPI015246-34	HC
SZAXPI015247-35	HC
SZAXPI015248-36	HC
SZAXPI015249-37	HC
SZAXPI015250-39	HC
SZAXPI015251-41	HC
SZAXPI015252-43	HC
SZAXPI015253-44	HC
SZAXPI015254-45	HC
SZAXPI015255-46	HC
SZAXPI015256-47	HC
SZAXPI015257-56	HC
SZAXPI015258-57	HC
SZAXPI015259-62	HC
SZAXPI015260-74	HC
SZAXPI015261-75	HC
SZAXPI015262-79	HC
SZAXPI015263-84	HC
SZAXPI015264-87	HC
SZAXPI015265-88	HC
SZAXPI015266-89	HC
SZAXPI015267-102	HC
SZAXPI015268-109	HC
SZAXPI015269-94	HC
SZAXPI015270-90	HC
SZAXPI015271-93	HC
SZAXPI015272-108	HC
SZAXPI015273-95	HC
SZAXPI015274-111	HC
SZAXPI017451-16	CRC
SZAXPI017452-17	CRC
SZAXPI017453-19	CRC
SZAXPI017454-20	CRC
SZAXPI017455-21	CRC
SZAXPI017456-23	CRC
SZAXPI017457-24	CRC
SZAXPI017458-25	CRC
SZAXPI017459-26	CRC
SZAXPI017460-27	CRC
SZAXPI017461-32	CRC
SZAXPI017462-33	CRC
SZAXPI017463-36	CRC
SZAXPI017464-37	CRC
SZAXPI017465-43	CRC
SZAXPI017466-84	CRC
SZAXPI017467-87	CRC
SZAXPI017468-88	CRC
SZAXPI017580-90	CRC
SZAXPI017581-93	CRC
SZAXPI017582-94	CRC
SZAXPI017583-102	CRC
SZAXPI017584-108	CRC
SZAXPI017585-109	CRC
SZAXPI017586-111	CRC
SZAXPI017587-113	CRC
SZAXPI017588-123	CRC
SZAXPI017589-133	CRC
SZAXPI017590-136	CRC
SZAXPI017591-140	HC
SZAXPI017592-142	HC
SZAXPI017593-158	CRC
SZAXPI017594-166	CRC
SZAXPI017595-169	CRC
