f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	0.0663632022584946	0.573929341329467	-1.78251605578609	0.264085514155395	-5	0.105820041248875	-5	1.63962801034967	-5	-5	0.986454180272142	-5	-5	0.951376380098069	0.0880190793238638	0.481229012021988	0.418049261100667	-0.529192738698152	-5	-1.06469430971007	-5	-5	-0.154722075245364
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.74783028473047	-0.295652121429059	0.925511656050378	0.579395987303872	-1.28075160155205	-5	-5	-5	-5	-5
D000236	1.50655644116987	0.792506552202618	-5	-0.214385475053176	-1.0374886064924	-5	-5	0.256958152560932	0.319701373992144	-5	-0.355325124083513	-5	-5	1.57518553484449	0.151210446875547	-0.24184537803261	-5	-0.170246081075025	-0.162645184122505	-1.34132097141755	-2.12436006299583	-1.19219446772938	-1.17153345264732
Healthy	1.36023431905514	0.310822838079583	1.06708983508103	0.816059587649236	1.28381800298988	0.145345601208342	-1.21824462534753	-5	-5	0.181363312790112	0.133714506663431	-1.35506929208641	-1.47651366765677	0.859910090638368	0.161290121759072	-0.322639460680912	0.283403004546355	-1.14266750356873	-0.324661673036203	-2.11463877996849	-2.11182050608167	-2.64206515299955	-2.27572413039921
Healthy	0.72205859495003	0.111165021757667	-5	0.171705981376956	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-0.83374754804584	0.235912072547043	-5	-5	-5	-5	-5	-5	-5
Healthy	1.70604645367476	0.931442614174595	-0.13519829994923	0.255110820953069	-0.236317494607645	-0.58873393348786	-5	-5	-5	-0.385387487727353	-5	-5	-5	1.10812340184342	0.249056423891135	-2.75696195131371	-5	-0.991186990947911	-5	-1.41487781369318	-5	-5	-2.12784372725171
Healthy	-0.348131049753465	0.437435029969223	0.256147450368233	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.753566207633706	-5	-5	0.279527783292017	-5	-5	-1.70531337572056	-5	-5	-5
Healthy	1.30811387953058	0.783684948409592	-0.814231266566387	0.141932402964509	-1.17986424812957	-0.662600645528103	-5	-1.5548630312867	-5	-5	-0.171520560023435	-2.91721462968355	-5	1.76916374544633	0.535833171515305	-0.159655485590241	-5	0.137518681593061	-0.136718786552681	-2.87614835903291	-1.91757369913923	-0.294042257752404	-0.603260301288771
Healthy	0.361676850629212	-5	1.86976317041398	-5	-1.29251498803253	0.676716466627682	-5	-5	-5	-5	0.722858414490341	-1.5104633705179	-5	0.835087847232495	-5	-2.44977164694491	-5	-5	-5	-5	-1.63808338133136	-5	-5
Healthy	1.4037543343875	-0.0535035217360121	0.0476291694406955	-0.435475962614136	1.17988513931971	0.350416662460863	-5	0.238853691809097	0.135615992286327	-5	-0.229951071070133	-5	-1.09119340059433	1.33796394758607	0.0934006704046851	-5	0.818548524507822	-1.5338741295818	-5	-0.930924190233602	-0.628396530270247	-0.900388409607471	-5
