g	Faecalibacterium	Mediterraneibacter	Streptococcus	Enterocloster	Bariatricus	Blautia_A	Dorea	Eubacterium_G	Eubacterium_I	Coprococcus_A	Bacteroides	Phocaeicola	Alistipes	Parabacteroides	Dialister	Sutterella	Odoribacter	Haemophilus_D	Veillonella	Flavonifractor	Alistipes_A	Parasutterella	Lawsonibacter	Clostridium_Q	Bilophila	Holdemania	Pseudodesulfovibrio	Oxalobacter	Anaerotruncus	Pseudoflavonifractor
Healthy	-0.932780311025859	-0.102136584883984	-5	-1.07314329105031	-5	-0.827280338650503	-5	-5	-5	-5	0.934626195830804	-0.470723678080773	0.0880190793238638	0.481229012021988	0.418049261100667	-5	-5	-5	-5	-1.16526148109616	-5	-2.24641694110709	-1.74909230029914	-1.5777385491864	-1.01224438326148	-1.24703013497092	-0.219625073839878	-0.537587026687449	-5	-5
Healthy	0.0290345782176112	-0.458657935609943	-5	-5	-5	-5	-5	0.0909842096329808	-5	-5	1.12876716449744	1.62841457821411	-0.295652121429059	0.925511656050378	0.579395987303872	-1.28075160155205	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D000236	0.484756676131185	0.617158714334224	-1.10012480397899	-0.87328429631426	-1.37437891857509	-1.03021146258506	-1.1170772093974	-0.687272716221876	-0.732945664348587	-1.14230574221345	1.18463607603252	0.796182875549986	0.151047917825865	-0.24184537803261	-5	-0.170246081075025	-0.162645184122505	-1.19219446772938	-2.12436006299583	-1.84345084866822	-3.26760624017703	-5	-1.50528897479474	-5	-2.02273378757271	-5	-1.92481814538131	-5	-5	-5
Healthy	0.308779906736506	-1.47703440450801	1.28381800298988	0.378201606367588	0.566732028986219	0.617832465687742	0.0130522105002362	-0.51605628570958	-1.66735958961254	-0.391580948682715	0.808691605268795	-0.0937996858156279	0.139391017726584	-0.322639460680912	0.283403004546355	-1.14266750356873	-0.324661673036203	-2.64206515299955	-2.11182050608167	-2.11463877996849	-1.14691047014813	-5	-5	-5	-2.27572413039921	-5	-5	-5	-2.01727661233145	-5
Healthy	-5	0.258627706113928	-5	-0.372071154783151	-0.169469070017471	-5	-5	-5	-5	-5	1.72534398472439	-5	-0.83374754804584	0.235912072547043	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.89963339825843	-0.0760879514021949	-0.236317494607645	0.641046546401627	0.321871720099998	0.175108642751449	-0.0500735563320878	-0.0129865608204	-0.398983568201551	-0.302265146738479	0.810358888713855	0.803803866487744	0.249056423891135	-2.75696195131371	-5	-5	-5	-5	-5	-1.43062609038495	-5	-0.991186990947911	-5	-5	-2.12784372725171	-1.94385773794095	-5	-5	-5	-2.86012091359876
Healthy	0.437435029969223	-5	-5	-0.87739097642401	-5	-5	-5	-5	-5	-5	0.749682991442778	-1.29688065376392	-5	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-1.70531337572056	-5	-5	-5	-5	-5	-5	-5
Healthy	0.770393920694561	0.23055365036004	-1.17986424812957	-0.269137007953506	-0.69795060962375	-0.543649152258182	-0.791343699492752	-1.00899555966924	-5	-1.86934465097797	0.381306453155119	0.877666726920921	0.532513603589396	-0.159655485590241	-5	0.131002388743692	-0.136718786552681	-0.294042257752404	-1.91757369913923	-2.87614835903291	-1.58236226034777	-1.71647263513831	-5	-5	-1.92335955632966	-5	-5	-2.90308998699194	-5	-5
Healthy	-5	-0.767410437245213	-1.29251498803253	-1.63339028960757	-5	-5	-5	-5	-5	-5	0.807357079703513	-0.373515918279763	-5	-2.44977164694491	-5	-5	-5	-5	-1.63808338133136	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0535035217360121	0.188489751294374	1.17530302351209	0.278767315298874	0.785592468146656	-0.422830018985877	0.184580714191062	-0.747681067058347	-5	-0.471443219398817	1.27087579583588	0.493714508757237	0.0934006704046851	-5	0.818548524507822	-5	-5	-0.900388409607471	-0.628396530270247	-0.930924190233602	-5	-1.5338741295818	-5	-3.0087739243075	-5	-1.38848911287334	-5	-5	-5	-5
