group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	6.83724	1.45294	0.18247	43.6142	0		13.19395	9.98856	0.70028	
Healthy	13.88306	0	0	0	0		72.2396	0.05238	0	
D000236	38.96137	0	0.11119	1.80699	0		40.27687	1.18115	0.06736	
Healthy	31.5261	13.18746	23.68994	0	1.51831		9.64181	1.47894	0.00529	
Healthy	8.04962	0	0	0	0		57.87419	0	0	
Healthy	61.56318	1.08858	0.5917	0	0.41172		15.2001	0.10204	0.00744	
Healthy	3.2063	1.80362	0	0	0		5.66977	0	0	
Healthy	27.80193	0.38268	0.06608	0.02786	0		64.07225	2.55552	0.2493	
Healthy	2.30836	78.99152	0.06682	0	0		6.84403	5.85655	0	
Healthy	26.70769	3.62785	15.3543	1.73321	0		24.68236	0.77077	0	
Healthy	26.42466	0.81149	0.69617	0.00158	0		47.14362	8.249	0	
Healthy	7.39766	0.38055	0.32099	0	0		69.59291	0.15992	0	
Healthy	29.10255	0.01017	0.31791	0	0		47.58464	4.7279	0.01577	
Healthy	28.12743	1.91984	0.1753	7.46565	2.58859		41.69468	0.44651	0.1953	
Healthy	43.23609	0.19277	3.07432	0.09818	0.04879		41.82928	0.21744	0.01062	
Healthy	15.49563	1.06244	0.10396	6.53506	0		31.15765	2.78953	0.04458	
Healthy	29.18062	2.11801	0.07363	0	0		51.65985	0.09287	0.00051	
Healthy	6.19056	1.5284	0.03982	0	0		83.32758	0.63587	0.05279	
Healthy	28.78854	0.01216	0.01923	0	0		58.6519	0.0108	0.18026	
Healthy	33.73581	23.44327	0.08494	0	0		25.65235	1.7984	0	
Healthy	22.11296	0.98503	0.75887	0.82499	0.25495		56.36691	1.79202	0.01459	
Healthy	29.89807	11.8332	13.39566	0	0		23.10218	0	0	
Healthy	23.63656	38.61459	1.35868	0	0		25.55658	1.37371	0	
Healthy	10.34048	0.36728	0.01605	0.60467	0		67.84814	0.13843	0.07128	
Healthy	65.55638	9.45639	1.32629	0.99399	0		0.27462	11.43909	0	
Healthy	7.32847	0.22932	0.17548	0	0		86.76674	1.59752	0.09711	
Healthy	4.18008	16.43668	0.69145	0	0		64.33041	2.78402	0	
Healthy	32.75329	10.3167	0.73901	0	0		45.19073	2.5538	0.00132	
Healthy	59.47244	1.30402	2.75295	0.02627	1.65371		13.80299	0.1879	0	
Healthy	9.24266	0.22823	0.47306	1.86453	8.04332		34.77124	1.19055	0.6158	
Healthy	9.17053	7.78644	0.20564	6.54328	25.1723		35.35294	0.30027	0.06853	
Healthy	38.10267	0.31686	0.51197	0.76858	0		40.45877	8.06626	0	
Healthy	34.33585	3.26758	0.74219	0	0		45.30071	0.18936	0	
Healthy	25.90139	9.44479	0.42852	0.94624	0		39.76939	1.80414	0	
Healthy	21.75284	0.9595	1.84507	2.87693	0		40.0581	2.68824	0.01538	
Healthy	0	77.81907	0.5705	0	0		7.38156	3.36562	0	
Healthy	25.01971	13.49806	0.38445	0.05151	0		40.00541	1.49391	0	
Healthy	15.29849	0.04287	0	0.11621	0.05076		67.45016	0.27252	0	
Healthy	42.49915	10.56806	0.11771	1.77402	0		18.93339	0.12693	0.03051	
Healthy	25.68701	0.29412	1.9083	0	0		33.38716	0.15321	0	
Healthy	28.21169	0.4995	0.006	5.50325	0.05808		14.43407	2.52543	0	
