s	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	-0.932780311025859	-5	-5	-5	-0.846093714861132	-5	-5	-5	-5	-5	0.674527717014598	-0.0657591718798766	0.418049261100667	-5	-5	-5	-5	-1.29208933428689	-2.24641694110709	-1.76145211231867
Healthy	0.0290345782176112	-0.075400281489385	-5	-5	-5	-5	-5	0.0909842096329808	-5	-5	0.90145777648425	-5	0.579395987303872	-1.28075160155205	-5	-5	-5	-5	-5	-5
D000236	0.484756676131185	-0.953934269769312	-0.87328429631426	-1.37437891857509	-1.03021146258506	-1.61367942610595	-1.1170772093974	-0.687272716221876	-0.732945664348587	-1.14230574221345	1.06127186249214	-1.92408823851722	-5	-0.170246081075025	-0.162645184122505	-0.571508841824481	-3.26760624017703	-1.84345084866822	-5	-5
Healthy	0.308779906736506	0.459724113841842	0.377080300875738	0.566732028986219	0.617832465687742	1.07456814918373	0.0130522105002362	-0.51605628570958	-1.66735958961254	-0.391580948682715	0.653794078819478	-1.04392766300482	0.283403004546355	-1.14266750356873	-0.324661673036203	-5	-1.14691047014813	-2.11463877996849	-5	-5
Healthy	-5	-1.02867775475719	-0.372071154783151	-0.169469070017471	-5	-5	-5	-5	-5	-5	1.17927337432634	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.89963339825843	0.986589471434064	0.641046546401627	0.321871720099998	0.175108642751449	-0.891604126992538	-0.0500735563320878	-0.0129865608204	-0.398983568201551	-0.302265146738479	-1.14806932135973	-1.92408823851722	-5	-5	-5	-5	-5	-1.43062609038495	-0.991186990947911	-5
Healthy	0.437435029969223	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	0.264246255403716	0.279527783292017	-5	-5	-5	-5	-5	-5	-5
Healthy	0.770393920694561	1.11817574118125	-0.269137007953506	-0.69795060962375	-0.543649152258182	-1.41038545936873	-0.791343699492752	-1.00899555966924	-5	-1.86934465097797	-1.38184726662148	-1.34027390476221	-5	-5	-0.136718786552681	-0.909565583824878	-1.58236226034777	-2.87614835903291	-1.71647263513831	-5
Healthy	-5	-5	-5	-5	-5	-1.5103227083363	-5	-5	-5	-5	0.359127517654138	0.38116022332014	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0535035217360121	0.900653286321178	0.275214577880669	0.785592468146656	-0.422830018985877	0.572994673571088	0.179744193845569	-0.747681067058347	-5	-0.471443219398817	1.10428596454185	0.561945289822554	0.818548524507822	-5	-5	-5	-5	-1.28743447212669	-1.5338741295818	-1.18269912160668
Healthy	0.714882755706848	0.373215534966044	-1.0417228744523	-0.93715488672295	-0.695487930375765	-0.795635795378995	-1.46079840070587	-0.133866316074504	-1.16545214231905	-5	1.09209962985614	0.0290995668235429	-5	0.783824284719325	-5	-5	-5	-1.73353310455976	-5	-5
Healthy	0.282816901350496	0.226166683429083	-1.5029320636015	-5	-0.724619532472566	-5	-1.0375359539421	-5	-5	-5	1.43515305221608	0.403835745348327	0.792386786145778	-5	-0.255026763964733	-5	-0.818671012910266	-1.07504911108439	-0.796070062755374	-5
Healthy	1.27004054824372	-1.76295920862081	-0.752812609413646	-0.160258062219107	-0.0102254728378242	-0.736932317771006	-0.382077500574724	-5	-5	-0.578840465225919	0.690067545295649	0.101609617233111	-5	-5	-5	-5	-2.45593195564972	-5	-5	-0.677491272078491
Healthy	0.643335203683248	-0.0663001724628269	-0.121495438748757	-0.301073427283789	-0.334766208115313	-1.23957751657679	-0.412693217869176	-0.42021640338319	-0.785818691336179	-1.27917941822966	0.682037618084064	-2.73518217699046	-5	-1.73118809626022	-0.128800811879859	0.0360736974995013	-0.810706244114308	-0.729134911260221	-2.17005330405836	-1.98464024459079
Healthy	1.0702599468241	1.26986793990046	0.421414704345194	-5	-1.1651979459513	-0.247191241926896	-0.18324183259207	-5	-5	-0.672334612949958	1.28096764965521	-0.541029948371251	-0.280279348665997	-5	-5	-5	-5	-1.5338741295818	-0.783306400830245	-1.99182581599357
Healthy	0.238843668857748	0.355198570996061	0.327928763500085	-0.00422883548815415	-0.988556437977925	-2.2298847052129	-0.0336939707003394	0.0538118967663465	-0.903020505433215	-0.823272242355811	0.527267622958763	-0.65913963793512	-5	0.429679622431677	-0.0199784384524009	-0.781989957015636	0.196051767145499	-1.67264106561367	-2.44369749923271	-2.44369749923271
Healthy	0.946700292266965	0.0253837035262303	0.155238841810451	0.442827692388095	-0.119260701287455	-2.08196966321512	-0.416653840383539	-0.366905400540435	-0.834993220431632	-1.28718199979215	0.456388810214364	-1.66334017654558	-5	-5	-0.488049829624501	-1.48492132492408	-5	-1.90552887135835	-2.52578373592374	-5
Healthy	0.219558331547224	0.170607839248132	-1.49661793652627	-5	-1.88873748634093	-2.38090666937326	-1.95350483566529	-1.75006824336581	-5	-5	0.976040772355113	0.385642016529233	-5	-0.545536267248862	0.351668781788749	0.592433259703333	-1.26240983371428	-2.30364361126667	-2.33535802444387	-5
Healthy	0.488691698316941	-5	-1.24611066854017	-0.865536008465711	-1.70774392864352	-1.71579493229821	-5	-0.659020783396364	-5	-1.95703092660682	-0.361520726941314	-2.29242982390206	-5	-5	-0.119575160934349	-1.1170203459627	-1.4641997091751	-1.88405682306094	-1.96617430604669	-1.79155864356143
Healthy	1.23456308954756	0.651607487481262	-1.15864052954515	-5	-5	-5	-1.32330639037513	-1.27810698378504	-1.43191566868461	-1.02099825152528	0.325962863082671	0.127376957372236	0.469780792850616	0.254888708775947	-5	-5	-5	-5	-5	-5
Healthy	0.746494859898562	0.480235534517375	-0.325294976244561	0.0703186811679367	0.136425654004358	-1.33170728955178	-0.765280295378124	-0.0132640853124717	-0.542269451754002	-1.27621606303467	0.722922533741182	0.0890674928872376	-5	0.249137184846198	0.279566570280012	-5	-0.435286603778826	-1.83863199776502	-1.76220500672608	-2.77728352885242
Healthy	0.580112621451532	-5	-5	0.575886081633898	-5	-5	-5	-5	-5	-5	0.538757164376499	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.638557141360981	0.970698726086209	-0.893979180859731	-5	-0.454087026281703	-0.632532257882026	-2.14026143380285	-5	-1.05695088899159	-1.06717123309915	0.896712461222984	-1.16361258067359	-0.0705299838225105	-5	-5	-5	-5	-5	-1.21817284706757	-5
Healthy	0.878878964949977	-0.193243611348028	-5	-1.63320361671327	-1.46407325860443	-1.79425445905734	-2.01772876696043	-5	-5	-5	-0.368160675551451	-1.04421607108309	-0.355541715083896	-5	-0.0646993502973799	-5	-1.36321131096562	-5	-1.54959691384463	-5
Healthy	0.179186853493301	1.01097843562859	0.526544743132059	-0.562566556202029	0.552736335394256	-5	-0.0487936637775196	-1.45917018588892	-1.21666823711258	-0.441675505973762	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.382818216177063	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.49050922025472	1.05693189865932	-5	-5	-5	-5	-1.43497907165471	-0.898562264861151	-1.03207779326948	-0.368444627587096
Healthy	-5	-5	-5	-5	-3.45593195564972	-5	-5	-5	-5	-5	0.0939047441429764	1.08076028960757	-5	-5	-5	-5	-5	-5	-5	-1.11639533907771
Healthy	1.05963951689267	-1.21056031543282	-0.695423311233887	-0.0842362065320154	-0.192586753812181	-1.45308735681876	-0.388946169898087	-0.411056357259985	-0.668289340336117	-0.864835533343045	-0.340663880012802	-0.447429115686041	-5	0.296340444718669	-5	-5	-5	-5	-1.49689056332863	-1.98589967848038
Healthy	1.10888318684032	1.12165864068844	0.457071567890118	0.268121442015216	-0.0705197664510663	-0.817043530944649	-0.243812869364553	0.310650836478306	-0.978273335586223	-0.291460131372035	0.0847978367009172	-1.01511279893567	-5	-5	-0.488892380040732	-5	-5	-2.09097914578884	-1.2954205503037	-5
Healthy	0.0317920898911184	-0.906963747054837	-0.191674221004491	-1.63395079019976	-0.321581784276875	-5	-0.504580557418133	-1.11069829749369	-0.966335036796823	-1.00850811108984	-0.0311809535457074	-0.715524146994679	-5	0.0620590120476802	0.0982836831802289	-5	-0.440644069587046	-1.32449661527204	-3.58502665202918	-2.25963731050576
Healthy	-0.523443695404008	-1.01913344541792	-1.44093166596546	-0.630283322451439	0.14026914680436	-2.30016227413275	-2.24641694110709	-5	-2.27736607746619	-0.720995038155098	0.603499460808554	-1.87778412172717	-5	-5	-5	-5	-1.00833099262005	-0.647238808276169	-5	-5
Healthy	0.782241799101434	0.516350246993911	-1.64263696938486	-1.03592902944204	-1.82159865846624	-1.3543812617573	-5	-1.11554450392951	-5	-5	0.97336018519354	-0.22473916686395	-5	0.764926715686112	-5	-5	-5	-1.30250911282894	-5	-5
Healthy	0.68342620457491	1.22840061537815	-1.3243132913006	-5	-0.729158188466814	-1.10773839308446	-1.17848647159523	-5	-5	-2.00568284733036	1.13665747892332	-0.562233587305268	0.193238724856175	-5	-5	-5	-5	-5	-1.23942674605561	-5
Healthy	0.887534033826358	-5	-0.883591519370101	-5	-2.25336580106242	-0.59328954139021	-1.0876185010812	-5	-5	-5	-5	-0.3170340616636	-5	-0.0425651242404258	-5	-5	-5	-2.77989191195994	-5	-1.79887610279262
Healthy	0.764349516570322	0.856711373284169	-0.637668348129974	-0.591980630870233	-0.760450279159527	-0.311508988015669	-0.850996548071452	-0.440967628907524	-2.7619538968712	-1.19017103893211	0.716563389293303	0.4634495136305	0.804211695106561	0.199900466127215	-5	-5	-5	-1.14636261804141	-5	-2.16877030613294
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.397809700780305	-1.9072793553159	-5	-5	-1.23777171571353	-5	-5	-5	-5	-5
Healthy	0.634728101020495	1.05665372605811	-1.21623930425608	-5	-1.29713882942707	-1.12807696811763	-5	-5	-5	-5	1.02144194359663	-0.602738019719488	0.608429750729264	-5	-5	-5	-5	-5	-1.34399767931704	-5
Healthy	-0.927456014356352	0.812238005000249	-5	-1.0115748299937	-0.531475442700297	-5	-0.438409713792262	0.030668523656477	-0.586365002801444	-5	0.785904005535584	-0.836868453965052	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.743581879845996	0.702189194687771	-0.330125497510197	0.776244862509026	0.333342466895051	-1.13164950035203	-0.786641646375609	-0.200328685502324	0.554547304326549	-0.239268493321014	0.359541428032134	0.244259798169348	-5	-5	-5	-5	-5	-2.02319166266193	-1.10513034325475	-5
Healthy	0.787273397129817	0.508564730448454	-0.828653903312823	-0.936253938386556	-0.634137784597445	-0.902499747768313	-0.439722648145958	-0.915245036820645	-1.99567862621736	-0.915316502096749	0.658414959789995	-0.724343190462986	-5	-1.00603500180488	-0.0326158510874388	-5	-5	-5	-5	-5
