group	Gammaproteobacteria		Bacteroidia	Gammaproteobacteria	Verrucomicrobiae	Methanobacteria	Desulfovibrionia	
Healthy	9.98856		13.19395	9.98856	43.6142	0	0.70028	
Healthy	0.05238		72.2396	0.05238	0	0	0	
Healthy	1.47894		9.64181	1.47894	0	1.51831	0.00529	
Healthy	0		57.87419	0	0	0	0	
Healthy	0.10204		15.2001	0.10204	0	0.41172	0.00744	
Healthy	5.85655		6.84403	5.85655	0	0	0	
Healthy	2.55552		64.07225	2.55552	0.02786	0	0.2493	
Healthy	0		5.66977	0	0	0	0	
Healthy	0.77077		24.68236	0.77077	1.73321	0	0	
Healthy	8.249		47.14362	8.249	0.00158	0	0	
Healthy	0.15992		69.59291	0.15992	0	0	0	
Healthy	4.7279		47.58464	4.7279	0	0	0.01577	
Healthy	0.44651		41.69468	0.44651	7.46565	2.58859	0.1953	
Healthy	0.21744		41.82928	0.21744	0.09818	0.04879	0.01062	
Healthy	2.78953		31.15765	2.78953	6.53506	0	0.04458	
Healthy	0.09287		51.65985	0.09287	0	0	0.00051	
Healthy	0.63587		83.32758	0.63587	0	0	0.05279	
Healthy	0.0108		58.6519	0.0108	0	0	0.18026	
Healthy	1.7984		25.65235	1.7984	0	0	0	
D001172	4.74932		37.15194	4.74932	0.04259	0	0	
Healthy	1.79202		56.36691	1.79202	0.82499	0.25495	0.01459	
Healthy	0		23.10218	0	0	0	0	
Healthy	1.37371		25.55658	1.37371	0	0	0	
Healthy	0.13843		67.84814	0.13843	0.60467	0	0.07128	
Healthy	11.43909		0.27462	11.43909	0.99399	0	0	
Healthy	1.59752		86.76674	1.59752	0	0	0.09711	
Healthy	2.78402		64.33041	2.78402	0	0	0	
Healthy	2.5538		45.19073	2.5538	0	0	0.00132	
Healthy	0.1879		13.80299	0.1879	0.02627	1.65371	0	
Healthy	1.19055		34.77124	1.19055	1.86453	8.04332	0.6158	
D001172	1.98111		44.88326	1.98111	0	0.45323	0.33951	
Healthy	0.30027		35.35294	0.30027	6.54328	25.1723	0.06853	
Healthy	8.06626		40.45877	8.06626	0.76858	0	0	
Healthy	0.18936		45.30071	0.18936	0	0	0	
Healthy	1.80414		39.76939	1.80414	0.94624	0	0	
Healthy	2.68824		40.0581	2.68824	2.87693	0	0.01538	
Healthy	3.36562		7.38156	3.36562	0	0	0	
Healthy	1.49391		40.00541	1.49391	0.05151	0	0	
Healthy	0.27252		67.45016	0.27252	0.11621	0.05076	0	
D001172	18.57952		51.67305	18.57952	0	0	0.10261	
Healthy	0.12693		18.93339	0.12693	1.77402	0	0.03051	
Healthy	0.15321		33.38716	0.15321	0	0	0	
Healthy	2.52543		14.36023	2.52543	5.50325	0.05808	0	
Healthy	16.867		26.92825	16.867	5.52258	0	0	
Healthy	0.07434		35.10278	0.07434	0	0	0	
D001172	8.41214		65.4207	8.41214	3.43146	0	0.02809	
Healthy	0.18263		48.16875	0.18263	5.84141	0	0.23947	
Healthy	23.59619		20.83528	23.59619	1.65451	0.79631	0.04548	
Healthy	0.16637		26.99455	0.16637	0.55641	0.1082	0	
Healthy	2.29137		12.59463	2.29137	0	0	0	
Healthy	1.18441		32.13403	1.18441	0	0.09203	0.01282	
Healthy	6.53149		29.16997	6.53149	19.976	0.54221	0.71956	
Healthy	0.00495		15.76133	0.00495	0.93483	0	0	
Healthy	10.14839		0.00116	10.14839	0	0	0	
Healthy	0.11959		34.23946	0.11959	0.08687	0	0	
Healthy	3.94418		21.72158	3.94418	0	0.00083	0.00855	
Healthy	0.42591		67.32252	0.42591	0.40549	0	0	
Healthy	0.39459		80.02181	0.39459	0	0	0.03054	
Healthy	0.5699		92.37086	0.5699	1.85231	0	0	
Healthy	0		36.46828	0	0	7.54448	0	
Healthy	0.11479		46.13277	0.11479	0.08623	0	0.24772	
Healthy	0		21.17389	0	48.7672	0	0	
Healthy	0.43006		39.6002	0.43006	0.02505	0.63907	0.07772	
Healthy	9.98602		38.19224	9.98602	0.71933	0	0.00133	
Healthy	0.26191		17.14225	0.26191	0	0	0	
Healthy	87.76696		0.03814	87.76696	0	0	0	
Healthy	2.95411		45.26473	2.95411	0.01764	1.70994	0.00889	
Healthy	0.01528		74.29777	0.01528	0.70276	0	0	
Healthy	0.19655		36.8274	0.19655	0	1.80075	0.15156	
Healthy	0.19327		34.70987	0.19327	1.65301	0.18038	0.07473	
Healthy	0		81.72666	0	0	0	0	
Healthy	0.002		56.87795	0.002	0	0.08119	0.10324	
D001172	18.52514		26.95462	18.52514	0	0	0	
Healthy	4.30761		54.17995	4.30761	0	0	0.08008	
Healthy	0.61323		73.74703	0.61323	0	0	0.04112	
Healthy	0.91721		24.69327	0.91721	0	0	0.01514	
Healthy	0.39039		70.62031	0.39039	0.09043	0.04311	0.07434	
Healthy	1.53674		63.4987	1.53674	0	0.18758	0.15405	
Healthy	0.28059		42.29907	0.28059	0.98179	0	0.01399	
Healthy	2.21801		52.08938	2.21801	0.62975	0.07048	0.09305	
Healthy	0		28.91364	0	0	0	0	
Healthy	0.29448		40.44836	0.29448	0.03917	0	0	
Healthy	0		29.45115	0	23.484	2.20838	0.71462	
Healthy	0.24576		59.94951	0.24576	0.90006	0.91984	0.36652	
Healthy	0.35618		69.31403	0.35618	0.11704	0.06314	0.08906	
Healthy	0.04924		51.86404	0.04924	0	0	0	
Healthy	0.02213		87.79754	0.02213	0	0	0	
Healthy	0.45536		48.12186	0.45536	1.1655	0	0.0012	
Healthy	1.87444		52.10296	1.87444	0	0	0	
Healthy	0		3.58455	0	0	0	0	
Healthy	0.01115		55.96175	0.01115	0.07252	0.52921	0.05871	
Healthy	0.38872		76.93222	0.38872	0	0	0.07883	
Healthy	27.78192		9.78837	27.78192	0	0	0.13184	
Healthy	0		47.09899	0	4.64535	2.8803	0.08855	
Healthy	0.23778		68.68363	0.23778	0	0	0	
Healthy	0.46306		89.10926	0.46306	0	0	0.00251	
Healthy	0.07863		68.74356	0.07863	0	0	1.66613	
Healthy	2.17787		28.65617	2.17787	1.91177	0	0	
Healthy	0.15651		63.79876	0.15651	0	0	0.06513	
Healthy	1.28454		53.12384	1.28454	0.02478	0	0.037	
Healthy	0.26069		79.20896	0.26069	0	0	0	
Healthy	6.40698		30.60738	6.40698	20.014	0.54614	0.65549	
Healthy	0.01474		56.25764	0.01474	0.00383	0	0	
D001172	0.85556		44.75052	0.85556	1.07328	0	0	
Healthy	0.1002		44.45977	0.1002	0	0	0.05737	
Healthy	0		39.3006	0	1.13725	15.6428	0.02658	
Healthy	16.45125		41.24657	16.45125	0	0.32705	0	
Healthy	1.75402		86.758	1.75402	0	0	0.09831	
Healthy	0		12.46553	0	0.00932	3.21156	0	
Healthy	1.15039		32.27683	1.15039	0.46621	0.11285	0.00189	
Healthy	0.19017		64.17502	0.19017	0	0	0.06104	
Healthy	0.33784		76.44017	0.33784	0	0	0.10029	
Healthy	1.75061		9.7859	1.75061	0	1.04718	0	
Healthy	15.52302		42.18549	15.52302	0	0	0.03635	
Healthy	3.57498		42.13047	3.57498	0.4713	0.14447	0.0481	
Healthy	0		0	0	17.4263	0	0	
Healthy	0.40379		32.80466	0.40379	0	0.15253	0	
Healthy	0.12857		68.34488	0.12857	0	0	0	
Healthy	5.97118		75.43383	5.97118	0	0	0.20315	
Healthy	0.71479		56.49432	0.71479	0	0	0.03612	
Healthy	13.22994		33.84867	13.22994	0.54368	0.60936	0	
Healthy	1.43022		52.57168	1.43022	1.91855	0.01981	0.0924	
Healthy	2.29813		56.34078	2.29813	0	0	0	
Healthy	0.22236		20.22819	0.22236	0	0	0.06614	
Healthy	1.52386		68.44359	1.52386	0	0	0	
Healthy	4.12779		92.1473	4.12779	0.53649	0	0	
Healthy	0.0093		34.97998	0.0093	0.87446	0	0.28312	
Healthy	2.08862		23.00519	2.08862	3.051	3.06931	0	
Healthy	1.16431		54.76138	1.16431	1.83608	0.54243	0	
Healthy	3.85255		66.122	3.85255	0	0	0.01952	
Healthy	3.18134		64.06188	3.18134	0	0	0.24434	
Healthy	0.2284		65.39898	0.2284	7.69718	0	0	
Healthy	3.01158		64.13532	3.01158	0	0	0.33779	
Healthy	0.29008		14.14777	0.29008	1.18295	0	0.04101	
Healthy	0.07615		18.69823	0.07615	0.00566	0	0	
Healthy	1.37665		76.52103	1.37665	0	0	0.04377	
Healthy	0.43492		53.00535	0.43492	5.35516	0	0.32464	
Healthy	0.20592		12.99612	0.20592	0.02702	1.70278	0	
Healthy	2.52419		24.87301	2.52419	0	0.81474	0.09504	
Healthy	0		28.73911	0	0	9.23471	0	
Healthy	11.58286		24.27956	11.58286	14.9065	0	0.00212	
Healthy	0.04317		75.23177	0.04317	0.28653	0	0	
Healthy	8.85477		62.65267	8.85477	0	0	0.02153	
Healthy	0.529		33.92343	0.529	0	0.89622	0	
Healthy	3.13255		60.8361	3.13255	5.74457	0	0	
Healthy	0.6141		75.97442	0.6141	0	0	0.00721	
Healthy	0.65702		22.48595	0.65702	0	0	0	
D001172	41.35625		12.75289	41.35625	0	0	0	
Healthy	2.13381		43.89442	2.13381	4.75004	0.00715	0.08954	
Healthy	0.08094		67.57311	0.08094	10.3129	0	0.19444	
Healthy	1.33336		54.50736	1.33336	7.16262	0	0.17895	
Healthy	1.87309		36.60204	1.87309	0.03189	0.05897	0.14804	
Healthy	0		2.1963	0	0	2.07917	0	
Healthy	0.24052		40.07286	0.24052	0	0.71531	0	
Healthy	0.41712		57.19092	0.41712	0	0	0	
Healthy	0.54121		88.99303	0.54121	0	0	0	
Healthy	15.84624		0.0487	15.84624	0	0	0	
D001172	0.49591		60.36631	0.49591	0	0	0.03827	
Healthy	1.31886		85.92767	1.31886	0	0	0	
Healthy	0.07757		55.54238	0.07757	0	0	0	
Healthy	2.63804		26.65492	2.63804	0	0.49771	0	
Healthy	5.77806		70.48564	5.77806	0	0	0	
Healthy	0		56.2617	0	0	0	0	
Healthy	7.16181		58.09122	7.16181	0	0	0	
Healthy	1.01497		51.67547	1.01497	0	0	0	
Healthy	0.07492		40.21055	0.07492	0	0	0	
Healthy	1.03159		20.97575	1.03159	0	0	0.14777	
Healthy	2.9757		64.56848	2.9757	0	0	0.55153	
Healthy	6.33312		69.88918	6.33312	0	0	0	
Healthy	1.28372		0.04408	1.28372	0	0	0	
Healthy	0.08661		58.29294	0.08661	0.95693	0	0.02767	
Healthy	4.27323		0.01473	4.27323	0.00118	0	0	
Healthy	0.01982		64.8518	0.01982	0.83121	0	0.03927	
Healthy	0.10498		41.95701	0.10498	17.199	0	1.61864	
Healthy	79.37352		1.9337	79.37352	3.52859	0	0	
Healthy	0.37601		68.21432	0.37601	0.39632	0	0	
Healthy	0.19767		69.01303	0.19767	0	0	0	
Healthy	2.0449		63.27551	2.0449	0	0	0	
Healthy	0		48.7416	0	0	0	0	
Healthy	8.99744		50.98894	8.99744	0	0	0	
Healthy	24.79156		28.85223	24.79156	0	0	0	
Healthy	0		18.80818	0	0	0	0	
Healthy	1.47449		58.72881	1.47449	0.64191	0	0.00203	
Healthy	3.29189		38.48591	3.29189	3.66082	0	0	
Healthy	0.06974		7.42578	0.06974	0	0	0	
Healthy	0		68.09654	0	0.06765	0	0	
Healthy	8.85496		43.75014	8.85496	3.04604	0.57278	0.04203	
Healthy	0.49793		29.64285	0.49793	1.26041	0	0.02619	
Healthy	1.89139		17.56695	1.89139	1.83008	0.1514	0.03232	
Healthy	1.01412		67.09431	1.01412	0.00437	0	0.40307	
Healthy	0.1118		31.28267	0.1118	0.51673	0	0.80581	
Healthy	0		20.36905	0	25.358	0	0	
Healthy	0.87177		31.96207	0.87177	0.08939	0	0.1864	
Healthy	0.21568		29.88316	0.21568	0.09638	0.83654	0	
Healthy	0.29636		56.71029	0.29636	0	0.17766	0.11779	
Healthy	5.94144		68.24682	5.94144	0	0	0	
Healthy	0.16545		80.64045	0.16545	0	0	0	
Healthy	0.01784		67.23166	0.01784	0.53875	0.0264	0.09289	
Healthy	1.76516		42.56931	1.76516	5.195	0.50179	0.29804	
Healthy	86.41751		0.05164	86.41751	0	0	0	
Healthy	5.29922		61.38019	5.29922	0	0	0.16147	
Healthy	10.19161		13.55565	10.19161	44.3916	0	0.60646	
Healthy	4.54672		0.01931	4.54672	0.00841	0	0	
Healthy	2.15726		26.91606	2.15726	12.5439	0.00886	0.03459	
Healthy	2.2408		30.46926	2.2408	0	0	0	
Healthy	0.68757		92.92764	0.68757	1.66666	0	0	
Healthy	0.11326		43.38378	0.11326	0	0	0.03182	
Healthy	0.29207		56.61767	0.29207	0	0	0.01125	
Healthy	2.18888		13.19024	2.18888	0	0	0	
Healthy	0.47565		20.1959	0.47565	0	0	0.01352	
Healthy	3.38383		22.26482	3.38383	0.87286	1.43462	0.11973	
Healthy	0.59902		52.15726	0.59902	1.05654	0	0.20998	
Healthy	0.11734		61.05334	0.11734	0.01073	0	0	
Healthy	0.38901		70.56182	0.38901	0.14766	0.0539	0.07482	
Healthy	0.16367		64.07224	0.16367	0	0	0	
Healthy	1.5313		83.56988	1.5313	0.83505	0	0	
Healthy	2.8125		37.34462	2.8125	0.00071	0	0.05661	
Healthy	0.04874		20.76636	0.04874	0	0	0	
Healthy	0.11785		13.76706	0.11785	0	0	0.11021	
Healthy	8.07395		46.47794	8.07395	0.02587	0	0	
Healthy	0.54305		49.42088	0.54305	0	0	0.01742	
Healthy	0.02496		45.03545	0.02496	1.81914	9.02686	0.01113	
Healthy	0.04642		7.28498	0.04642	0	3.78245	0.01529	
Healthy	0.41786		81.27551	0.41786	0	0	0.066	
Healthy	10.18708		13.21373	10.18708	43.4397	0	0.73443	
Healthy	1.36805		53.02912	1.36805	1.87694	0	0	
Healthy	1.84029		12.07781	1.84029	0	0	0.02349	
Healthy	0		3.61561	0	0	0	0	
Healthy	0.11483		65.94451	0.11483	10.5195	0	0.31288	
Healthy	0		77.56292	0	0	0.09708	1.50048	
Healthy	0.04694		29.81266	0.04694	0	0.67796	0	
Healthy	3.91711		22.77193	3.91711	0	0	0	
Healthy	0.39918		76.63304	0.39918	0	0	0.01044	
Healthy	1.00813		45.48252	1.00813	0	0	0	
Healthy	0.41691		10.42839	0.41691	6.51919	0	0.00355	
Healthy	0.0414		66.78557	0.0414	0.63345	0	0.08483	
Healthy	2.88335		44.35637	2.88335	0.00699	1.82276	0.01117	
Healthy	0.29535		50.42891	0.29535	0	0	0	
Healthy	0.48382		63.94943	0.48382	0	0	0	
Healthy	2.9113		30.0198	2.9113	0	0	0	
Healthy	0		61.69048	0	0	0	0	
Healthy	0.81232		57.9843	0.81232	0	0	0	
Healthy	0.09599		5.40398	0.09599	0	3.42295	0.19699	
Healthy	0.6764		19.00735	0.6764	0	3.06148	0	
Healthy	4.21267		0	4.21267	0	0	0	
Healthy	1.47275		45.86689	1.47275	0	0	0.01015	
Healthy	0.02892		72.28686	0.02892	0	0	0	
Healthy	2.59823		22.0643	2.59823	0	0	0	
Healthy	0.2694		44.13677	0.2694	7.1259	0	0.13413	
Healthy	0.24799		15.68105	0.24799	0.00548	0	0	
Healthy	0.59653		92.17976	0.59653	1.8733	0	0	
Healthy	0.35924		45.26359	0.35924	0.13239	0	0.66408	
Healthy	7.45975		61.21567	7.45975	0	0	0	
Healthy	2.71161		18.16766	2.71161	0	0	0	
Healthy	3.19333		45.81514	3.19333	0	0.07196	0.1381	
Healthy	0.07952		63.72663	0.07952	0	0	0.06978	
Healthy	0.52274		11.94756	0.52274	0.69784	1.31778	0	
Healthy	0.15017		60.09151	0.15017	0	0	0	
Healthy	0.10428		31.15761	0.10428	0.03307	0	0.00756	
Healthy	0.31866		21.40224	0.31866	0	0	0	
Healthy	0		6.10528	0	0	0	0	
Healthy	10.50216		13.2891	10.50216	43.9894	0	0.45505	
Healthy	0.04867		84.30083	0.04867	0	0	0	
Healthy	0.2106		39.73911	0.2106	2.98314	1.67696	0.1039	
Healthy	0.09557		65.75268	0.09557	10.41	0	0.33848	
Healthy	0.27484		56.41676	0.27484	0	0	0.0425	
Healthy	3.08931		46.58744	3.08931	0	0.05882	0.13362	
Healthy	0.16428		59.46027	0.16428	4.66138	0.16213	0.77618	
Healthy	0.86782		56.5792	0.86782	0	0	0.0132	
Healthy	2.57426		46.11877	2.57426	0.10078	0	0.00124	
Healthy	0.00203		97.67362	0.00203	0.00431	0	0	
Healthy	0.17823		70.63059	0.17823	0	0	0	
