f	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Methanobacteriaceae
Healthy	0.951376380098069	0.573929341329467	0.986454180272142	-5	-5	-5	-5	-0.794362640520571	-5	0.418049261100667	1.63962801034967	-5	-5
Healthy	1.74783028473047	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	0.579395987303872	-5	0.866621056253241	-5
Healthy	0.859910090638368	0.310822838079583	0.133714506663431	-2.11182050608167	-2.64206515299955	-5	-1.21824462534753	-1.40230481407449	0.60932862932604	0.283403004546355	-5	-5	0.181363312790112
Healthy	1.72534398472439	0.111165021757667	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.458722433800222	-5
Healthy	1.10812340184342	0.931442614174595	-5	-5	-5	-0.438481226139188	-5	-1.00731396083787	-5	-5	-5	-0.224011119885457	-0.385387487727353
Healthy	0.835087847232495	-5	0.722858414490341	-1.63808338133136	-5	-2.06298389253519	-5	-5	-5	-5	-5	-5	-5
Healthy	1.76916374544633	0.783684948409592	-0.171520560023435	-1.91757369913923	-0.294042257752404	-2.08249449044745	-5	-1.92591531097176	-5	-5	-1.5548630312867	-0.387184366797787	-5
Healthy	0.753566207633706	0.437435029969223	-5	-5	-5	-5	-5	-5	-5	0.279527783292017	-5	-5	-5
Healthy	1.33796394758607	-0.0535035217360121	-0.229951071070133	-0.628396530270247	-0.900388409607471	-5	-5	-5	-2.31425826139774	0.818548524507822	0.238853691809097	0.221977281761181	-5
Healthy	1.54219842077457	0.731861020341784	-5	0.0235939977382082	0.336485750711003	-5	-5	-5	-5	-5	-2.79860287567955	-5	-5
Healthy	1.75217425969463	0.282816901350496	-5	-5	-5	-5	-5	-5	-5	0.792386786145778	-5	-5	-5
Healthy	1.62860489952653	1.27004054824372	0.419180592824017	-1.38795825535473	-0.297845293657048	-0.537332523631428	-5	-2.11238269966426	-1.74184180665921	-5	-5	-5	-5
