g	Phocaeicola	Faecalibacterium	Prevotella	Roseburia	Phytobacter	Lachnospira	Streptococcus	Ruminococcus_B	Faecalimonas	Paraprevotella	Veillonella	Haemophilus_D	Ruminococcus_C	Anaerostipes	Muricomes	Intestinibacter	Holdemania	Longicatena	Eggerthella	Dialister	Akkermansia	Barnesiella	Coprococcus	Ruminiclostridium_E	Methanobrevibacter_A	Holdemanella	Clostridium_A	Pseudodesulfovibrio
Healthy	-0.470723678080773	-0.932780311025859	-5	-5	0.986454180272142	-2.94692155651658	-5	-5	-5	-5	-5	-5	-5	-5	-1.40099076017666	-5	-1.24703013497092	-0.900077767803078	-1.85356186471423	0.418049261100667	1.63962801034967	-5	-5	-0.362810577851238	-5	-5	-1.52186657189948	-0.219625073839878
Healthy	1.62841457821411	0.0290345782176112	-5	1.01379625100197	-5	-1.51272018355693	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.579395987303872	-5	0.866621056253241	-5	-5	-5	-5	-5	-5
Healthy	-0.0937996858156279	0.308779906736506	-5	0.012714930401038	0.110269763205189	-5	1.28381800298988	-2.0670191780768	0.0878204457887112	-5	-2.11182050608167	-2.64206515299955	-5	-0.670114194945575	-1.59670785484175	-5	-5	-1.73376830331011	-2.73518217699046	0.283403004546355	-5	-5	0.45248718640667	-5	0.181363312790112	-5	-1.21424320003736	-5
Healthy	-5	-5	-5	-5	-5	0.35488025902298	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.458722433800222	-5	0.111165021757667	-5	-5	-5	-5
Healthy	0.803803866487744	0.89963339825843	-5	1.17212517808748	-5	0.653711183476888	-0.236317494607645	-2.57348873863542	-5	-5	-5	-5	-1.07872981449019	-0.517340759316665	-5	-0.438481226139188	-1.94385773794095	-5	-5	-5	-5	-0.224011119885457	0.966664449450424	-0.305096600186635	-0.423370751552372	-5	-1.68655462957359	-5
Healthy	-0.373515918279763	-5	-5	-5	0.351131219147622	-5	-1.29251498803253	0.298735211663401	-0.934793871945688	-5	-1.63808338133136	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.877666726920921	0.770393920694561	1.6873426294261	0.273242093954601	-0.171520560023435	-0.0377680310900467	-1.17986424812957	-5	-5	-0.851335660017764	-1.91757369913923	-0.294042257752404	-0.773245477399956	-1.4182778400509	-5	-2.08249449044745	-5	-5	-5	-5	-1.5548630312867	-0.387184366797787	0.0790690388124079	-1.83505262737816	-5	-5	-5	-5
Healthy	-1.29688065376392	0.437435029969223	-5	-0.682354456778841	-5	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.493714508757237	-0.0535035217360121	-5	0.433121507648968	-0.229951071070133	-0.160283187731518	1.17530302351209	-1.38753403604686	-0.174327267806442	-5	-0.628396530270247	-0.900388409607471	-5	-0.712870379280889	-1.94500413847086	-5	-1.38848911287334	-0.849489167092032	-5	0.818548524507822	0.238853691809097	0.221977281761181	-5	-5	-5	-5	-0.435475962614136	-5
Healthy	0.821648446606005	0.714882755706848	-5	0.459223562612027	-5	-0.0654964988499561	-0.169411331314856	-5	-5	-5	0.0235939977382082	0.336485750711003	-0.684470466786151	-0.8980468225228	-5	-5	-1.71692502526453	-5	-5	-5	-2.79860287567955	-5	0.85105155085077	-5	-5	-5	-5	-5
