group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	5.67215	9.6929	0	0		13.19395	2.61847	43.6142	0.29566	0	0.70028	
Healthy	1.06913	0	0	0		72.2396	3.7966	0	0.05238	0	0	
Healthy	8.60052	1.36281	0.04414	0		9.64181	1.94683	0	0.07199	1.51831	0.00529	
Healthy	2.77662	0	0	0		57.87419	0	0	0	0	0	
Healthy	10.37747	0	0	0.36434		15.2001	0	0	0.10204	0.41172	0.00744	
Healthy	0	5.28272	0.57383	0.00864		6.84403	0.023	0	0	0	0	
Healthy	7.46478	1.18181	0.0012	0.00826		64.07225	0.01208	0.02786	1.37251	0	0.2493	
Healthy	2.7577	0	0	0		5.66977	1.90338	0	0	0	0	
Healthy	1.36818	0.71467	0.02686	0.00257		24.68236	6.82016	1.73321	0.02924	0	0	
Healthy	6.14482	2.17012	0	0		47.14362	1.05582	0.00158	6.07888	0	0	
Healthy	2.55892	0	0	0		69.59291	6.19992	0	0.15992	0	0	
Healthy	18.84294	3.12897	1.59893	0.29017		47.58464	0.04092	0	0	0	0.01577	
Healthy	13.53285	0.12877	0.24298	0.04687		41.69468	0.06613	7.46565	0.07476	2.58859	0.1953	
Healthy	11.92133	0.05275	0	0.30967		41.82928	0.52446	0.09818	0.16469	0.04879	0.01062	
Healthy	2.87861	0.0964	0	0		31.15765	0	6.53506	2.69313	0	0.04458	
Healthy	15.94539	0.0899	0	0.11958		51.65985	0.00592	0	0.00297	0	0.00051	
Healthy	2.78083	0.12491	0.22161	0		83.32758	0	0	0.28935	0	0.05279	
Healthy	11.40703	0	0	0		58.6519	0	0	0.0108	0	0.18026	
Healthy	18.57232	0	0	0		25.65235	2.94971	0	1.7984	0	0	
D001172	13.61368	4.74805	0	2.56347		37.15194	0.11329	0.04259	0.00127	0	0	
Healthy	6.93242	0	0	0		56.36691	0.01238	0.82499	1.79202	0.25495	0.01459	
Healthy	20.45557	0	0	0		23.10218	0	0	0	0	0	
Healthy	8.07709	1.31321	0	0.49756		25.55658	0.85009	0	0.0605	0	0	
Healthy	7.98765	0.07188	0.03835	0		67.84814	0.45471	0.60467	0.0282	0	0.07128	
