group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.11673	0	2.80862	0	0	0	0	0	0.01731	0	4.72636	2.61847	1.03329	0	0	0	0	0.05103	0.00566	0.01731
Healthy	1.06913	0	0	0	0	21.8255	0	0	0	0	7.96998	3.7966	0	0.05238	0	0	0	0	0	0
Healthy	2.036	0	0	0	0	0.34115	0.89744	0.00856	0	0.00446	4.50602	1.92044	0.09527	0.07199	0.47351	0	0.07129	0.00767	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	15.1103	0	0	0	0	0	0	0	0	0
Healthy	7.93657	0	0	0	3.13372	1.85356	0.12679	0.00266	0	0	0.0711	0	0.03287	0	0	0	0	0.03709	0.10204	0
Healthy	0	0	0	0	0	0	17.9049	1.98945	0	0	2.28626	0	0	0	0	0	0	0	0	0
Healthy	5.89377	48.6791	0.23002	1.32638	2.41849	3.18409	0.06951	0	0	0	0.0415	0	0.04287	0	0.72992	0.12314	0.02615	0.00132	0.0192	0
Healthy	2.738	0	0	0	0	0	0	0.1082	0	0	3.57169	1.90338	0	0	0	0	0	0	0	0
Healthy	0.88408	0	0	0	0	0	0	0.04096	0.06565	0	12.7141	6.58488	0.0371	0	0	0	0	0.05158	0.02924	0.06565
Healthy	5.18659	0	0	0	0	0	0.80368	0	0	0	12.3623	0	1.64835	6.07888	0	0	0	0.01846	0	0
Healthy	1.91785	0	0	0	0	0	0	1.66869	0	0	27.2366	6.19992	1.48561	0	0.55586	0	0.15181	0.08412	0.15992	0
Healthy	18.6226	0.39374	0.03291	0.00793	0	0.01807	0	2.13689	0.21013	0	4.89854	0	0.20109	0	0	0	0.00349	0	0	0.21013
Healthy	4.3988	0	3.13978	0	0	0	0	0.01219	0.01035	0	4.8088	0	0.97874	0.01856	0.74335	1.0866	0.15462	0.18657	0.00675	0.01035
Healthy	11.756	0	0	0	0	0	0	0.22895	0.01018	0.0032	19.0971	0.52446	0	0	0	0	0	0.02924	0.16469	0.01018
Healthy	1.73317	3.72932	3.71161	0	0	0	0	0.00021	0.00359	0	3.36718	0	0.13884	2.68954	0.95503	0.16519	1.57054	0.02124	0.00359	0.00359
Healthy	8.84504	0	0	35.4791	0	4.49377	0	0.09418	0	0	2.86014	0	0.12223	0	0.32504	0.03273	0	0.01242	0.00297	0
Healthy	1.65789	0	0	0	0	0	0	0	0	0	9.46325	0	2.85038	0.28474	2.24733	3.9123	0.05464	0.00496	0.00461	0
Healthy	3.08099	0.03748	11.4823	14.5551	1.25582	12.2155	0	0.0054	0.01615	0	0.43498	0	0.19329	0	0.75931	0.07637	0.03433	0.01305	0.0108	0.01615
Healthy	17.1618	0	0	0	8.17796	0	0.14721	0	0	0	2.11817	2.94971	0	1.7984	0	0	0	0	0	0
D001172	10.8188	0.03048	9.10425	0.06837	0.01658	0.00376	0	1.05062	0.05985	0	0.07301	0	0	0	0	0	0	0.0017	0	0.05985
Healthy	5.5782	19.4628	0.44502	0	0	0	0	0.0538	0.00166	0.009	5.2835	0	0.27825	1.77474	1.90355	0	0.36703	0.01449	0.01728	0.00166
Healthy	3.80287	0.30528	0	0	0	0	0	3.07044	0	0	3.45745	0	0	0	0	0	0	0	0	0
Healthy	4.35067	0	0	4.44745	0	0	0.11394	0	0	0	7.88337	0.85009	0.94039	0	0	0	0	0	0.0605	0
