g	Alistipes	Prevotella	Phascolarctobacterium	Phytobacter	Parasutterella	Alistipes_A	Paraprevotella	Bilophila	Coprobacter	Eggerthella	Dialister	Ruminiclostridium_E	Mediterraneibacter	Enterocloster	Methanobrevibacter_A	Streptococcus	Anaerobutyricum	Blautia_A	Dorea	Anaerostipes	Intestinibacter	Longicatena
Healthy	0.0880190793238638	-5	-5	0.986454180272142	-2.24641694110709	-5	-5	-1.01224438326148	-5	-1.85356186471423	0.418049261100667	-0.362810577851238	-0.102136584883984	-1.07314329105031	-5	-5	-5	-0.827280338650503	-5	-5	-5	-0.900077767803078
Healthy	-0.295652121429059	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.579395987303872	-5	-0.458657935609943	-5	-5	-5	-1.4087127349415	-5	-5	-5	-5	-5
Healthy	0.139391017726584	-5	-5	0.110269763205189	-5	-1.14691047014813	-5	-2.27572413039921	-5	-2.73518217699046	0.283403004546355	-5	-1.47703440450801	0.378201606367588	0.181363312790112	1.28381800298988	0.428557539179851	0.617832465687742	0.0130522105002362	-0.670114194945575	-5	-1.73376830331011
Healthy	-0.83374754804584	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.111165021757667	0.258627706113928	-0.372071154783151	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.249056423891135	-5	-5	-5	-0.991186990947911	-5	-5	-2.12784372725171	-5	-5	-5	-0.305096600186635	-0.0760879514021949	0.641046546401627	-0.423370751552372	-0.236317494607645	-0.236969043171847	0.175108642751449	-0.0500735563320878	-0.517340759316665	-0.438481226139188	-5
Healthy	-5	-5	-5	0.351131219147622	-5	-5	-5	-5	-5	-5	-5	-5	-0.767410437245213	-1.63339028960757	-5	-1.29251498803253	-5	-5	-5	-5	-5	-5
Healthy	0.532513603589396	1.6873426294261	-5	-0.171520560023435	-1.71647263513831	-1.58236226034777	-0.851335660017764	-1.92335955632966	-1.46067293646062	-5	-5	-1.83505262737816	0.23055365036004	-0.269137007953506	-5	-1.17986424812957	-0.761979001324051	-0.543649152258182	-0.791343699492752	-1.4182778400509	-2.08249449044745	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.279527783292017	-5	-5	-0.87739097642401	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0934006704046851	-5	-5	-0.229951071070133	-1.5338741295818	-5	-5	-5	-5	-5	0.818548524507822	-5	0.188489751294374	0.278767315298874	-5	1.17530302351209	0.0101260343800235	-0.422830018985877	0.184580714191062	-0.712870379280889	-5	-0.849489167092032
Healthy	1.01469774850903	-5	0.529330239490453	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.01006098671546	-1.0417228744523	-5	-0.169411331314856	-1.5775743236288	-0.695487930375765	-1.46079840070587	-0.8980468225228	-5	-5
Healthy	1.0325200463414	-5	-5	-5	-0.796070062755374	-0.818671012910266	-5	-5	-5	-5	0.792386786145778	-5	-1.03824678581322	-1.3646167959525	-5	-5	-5	-0.724619532472566	-1.0375359539421	-5	-5	-0.517555208081735
Healthy	-0.656256704989906	-0.361540695421795	-5	0.419180592824017	-5	-2.45593195564972	-5	-1.8018930011266	-5	-2.11238269966426	-5	-5	0.578405384304045	-0.727184066456904	-5	-0.655411257421286	-0.687864974520039	-0.0102254728378242	-0.382077500574724	-0.811746672973496	-0.537332523631428	-2.09799710864927
Healthy	0.635714906883866	-5	-5	-1.04019568349166	-2.17005330405836	-0.810706244114308	-0.716224021288477	-2.17069622716897	-0.722826444514215	-5	-5	0.915023424306475	-0.752714297136621	-0.10029984773052	0.393524313257891	-0.976788707671111	-0.375882988070873	-0.334766208115313	-0.412693217869176	-0.394457934711784	-1.32901239698997	-1.44757515429591
Healthy	0.486393636650568	-5	-5	-5	-0.783306400830245	-5	-5	-1.9734667354767	-5	-2.92811799269387	-0.280279348665997	-1.31060233717872	-2.11350927482752	0.425082410595829	-1.31158017799729	0.414609056007625	0.641239051944366	-1.15329185454399	-0.182150481974527	-0.153421680153967	-0.509086841689101	-1.55424016351137
Healthy	0.32121926695224	0.574421378438619	-5	-1.01587791713889	-2.44369749923271	0.196051767145499	-5	-1.35076252765039	-0.496331862454351	-5	-5	-0.327052864653497	0.44800562898169	0.328036926154057	-5	-2.11520463605102	-0.38985107238046	-0.988556437977925	-0.0332155177848394	-0.588262478182643	-5	-2.81247927916354
Healthy	0.378241599497053	-5	-5	-1.50723961097316	-2.52578373592374	-5	-0.919121089658183	-3.2839966563652	-1.4087127349415	-5	-5	-2.77211329538633	-0.86359655186601	0.155238841810451	-5	-1.77572598570574	0.236753850890513	-0.119260701287455	-0.416653840383539	-0.903750616810388	-0.922305134113414	-2.07935499859321
Healthy	1.55239989252961	-5	-5	-1.31113543194521	-2.33535802444387	-1.26240983371428	-0.510491508422084	-1.27736607746619	-5	-5	-5	-1.06945847013557	-0.429025315229033	-1.37499639898514	-5	-2.38090666937326	-1.59057413132856	-1.88873748634093	-1.95350483566529	-5	-5	-5
Healthy	0.631627392107811	0.600727923705879	-5	-5	-1.96617430604669	-1.4641997091751	0.118344102441943	-1.67264106561367	-1.70136521687556	-5	-5	0.884362552546645	-1.08996287644695	-1.24611066854017	-5	-1.71579493229821	-2.02918838912748	-1.70774392864352	-5	-5	-5	-5
Healthy	0.997676399751038	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.469780792850616	-5	-0.389307904666298	-1.15864052954515	-5	-5	-1.65619766683834	-5	-1.32330639037513	-5	-5	-5
Healthy	1.08252543369551	1.2892055429926	-5	-5	-1.76220500672608	-0.435286603778826	-0.440847764013325	-1.91080163319485	-1.18902860017779	-1.69100897099984	-5	-5	0.102371953260647	-0.310753314270764	-0.593527949534324	-1.28291227507298	0.152581852717208	0.136425654004358	-0.765280295378124	0.129241835238635	-5	-1.82944494147879
Healthy	-5	-0.515287421105683	-5	-5	-5	-5	-1.20600019901553	-5	-5	-5	-5	-5	0.415979410900535	-5	-5	1.1269644402306	-5	-5	-5	-5	-5	-5
Healthy	0.230045095288004	-5	-5	-5	-1.21817284706757	-5	-5	-5	-5	-5	-0.0705299838225105	-0.185452764535458	-1.41748211639594	-0.893979180859731	-5	-0.632532257882026	-0.11536320796282	-0.454087026281703	-2.14026143380285	0.0119255149265493	-0.303145812455548	-5
Healthy	1.31567232140591	-5	-5	-5	-1.54959691384463	-1.36321131096562	0.65061249090147	-1.14697138528701	-5	-5	-0.355541715083896	-5	-1.06864384953207	-0.879755204453635	-5	-1.79425445905734	-5	-1.46407325860443	-2.01772876696043	-5	-5	-5
Healthy	-5	-5	-5	0.192475455673402	-5	-5	-5	-5	-5	-5	-5	-0.797130412284789	0.386238489119285	0.526544743132059	-5	-5	0.689214707374531	0.552736335394256	-0.0487936637775196	-0.908931268499988	-5	-5
Healthy	0.183281234864086	-5	-5	-0.565718591863699	-1.03207779326948	-1.43497907165471	-5	-1.01269132626882	-5	-5	-5	-5	0.0413413564136055	0.394225718874703	-5	-0.917789283398757	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.403364207011209	-5	-5	-0.350655403852584	-5	-5	-5	-5	-5	-0.844542498548157	-5	-5	-0.368150537840182	-5	-3.45593195564972	-5	-5	-5	-2.74957999769111
Healthy	-0.450628847666823	-1.16027062479361	0.141572048494632	-0.592133416969224	-1.49689056332863	-5	-5	-2.87614835903291	-5	-5	-5	-5	-1.55814782422671	-0.695423311233887	-5	-1.45308735681876	-0.807153884811158	-0.192586753812181	-0.388946169898087	-0.0704993324292824	-0.558556246744945	-5
