group	Burkholderiales	Enterobacterales	Acidaminococcales	Pseudomonadales	Desulfovibrionales		Bacteroidales	Lachnospirales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales	
Healthy	0.29566	9.6929	0	0	0.70028		13.19395	1.16509	2.61847	43.6142	0.29566	0	0.18247	0.70028	0	
Healthy	0.05238	0	0	0	0		72.2396	12.81393	3.7966	0	0.05238	0	0	0	0	
Healthy	0.07199	1.36281	0	0.04414	0.00529		9.64181	22.92103	1.94683	0	0.07199	1.51831	4.08595	0.00529	0	
Healthy	0	0	0	0	0		57.87419	5.273	0	0	0	0	0	0	0	
Healthy	0.10204	0	0	0	0.00744		15.2001	50.82137	0	0	0.10204	0.41172	0.01137	0.00744	0.36434	
Healthy	0	5.28272	0	0.57383	0		6.84403	2.29972	0.023	0	0	0	0	0	0.00864	
Healthy	1.37251	1.18181	0	0.0012	0.2493		64.07225	20.32889	0.01208	0.02786	1.37251	0	0	0.2493	0.00826	
Healthy	0	0	0	0	0		5.66977	0.4486	1.90338	0	0	0	0	0	0	
Healthy	0.02924	0.71467	1.36651	0.02686	0		24.68236	25.33694	6.82016	1.73321	0.02924	0	0.21195	0	0.00257	
Healthy	6.07888	2.17012	3.38321	0	0		47.14362	20.27984	1.05582	0.00158	6.07888	0	0.01918	0	0	
Healthy	0.15992	0	0	0	0		69.59291	4.83874	6.19992	0	0.15992	0	0.32099	0	0	
Healthy	0	3.12897	0	1.59893	0.01577		47.58464	9.96944	0.04092	0	0	0	0.02608	0.01577	0.29017	
Healthy	0.07476	0.12877	0	0.24298	0.1953		41.69468	14.53917	0.06613	7.46565	0.07476	2.58859	0.03567	0.1953	0.04687	
Healthy	0.16469	0.05275	0	0	0.01062		41.82928	31.00509	0.52446	0.09818	0.16469	0.04879	0.17285	0.01062	0.30967	
Healthy	2.69313	0.0964	0	0	0.04458		31.15765	12.61702	0	6.53506	2.69313	0	0.06025	0.04458	0	
Healthy	0.00297	0.0899	0	0	0.00051		51.65985	13.11565	0.00592	0	0.00297	0	0.01258	0.00051	0.11958	
Healthy	0.28935	0.12491	0	0.22161	0.05279		83.32758	3.40973	0	0	0.28935	0	0.03567	0.05279	0	
Healthy	0.0108	0	0	0	0.18026		58.6519	17.38151	0	0	0.0108	0	0	0.18026	0	
Healthy	1.7984	0	0	0	0		25.65235	15.16349	2.94971	0	1.7984	0	0	0	0	
Healthy	1.79202	0	0	0	0.01459		56.36691	15.18054	0.01238	0.82499	1.79202	0.25495	0.70675	0.01459	0	
Healthy	0	0	0	0	0		23.10218	9.4425	0	0	0	0	0	0	0	
Healthy	0.0605	1.31321	0	0	0		25.55658	15.06191	0.85009	0	0.0605	0	1.12563	0	0.49756	
Healthy	0.0282	0.07188	0	0.03835	0.07128		67.84814	2.35283	0.45471	0.60467	0.0282	0	0	0.07128	0	
Healthy	0	2.37596	0	9.06313	0		0.27462	28.12663	0	0.99399	0	0	0	0	0	
Healthy	0.09287	1.50465	0	0	0.09711		86.76674	3.85457	0	0	0.09287	0	0.05465	0.09711	0	
Healthy	0	2.60223	0	0.18179	0		64.33041	4.10155	9.75913	0	0	0	0.02158	0	0	
Healthy	2.01035	0.53268	1.38538	0.01077	0.00132		45.19073	20.85388	0	0	2.01035	0	0	0.00132	0.27633	
Healthy	0.05064	0.13726	1.5845	0	0		13.80299	34.70995	0	0.02627	0.05064	1.65371	1.20177	0	0.43689	
Healthy	1.19055	0	0	0	0.6158		34.77124	5.38139	0	1.86453	1.19055	8.04332	0.1877	0.6158	0	
