s	Bacteroides_stercoris	Phocaeicola_plebeius_B	Prevotella_copri_A	Phocaeicola_sp900554435	Bacteroides_eggerthii	Phocaeicola_coprocola	Bacteroides_sp900066265	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Flavonifractor_sp000508885	Bacteroides_uniformis	Dialister_invisus	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Mediterraneibacter_torques	Blautia_A_wexlerae	Dorea_formicigenerans	Streptococcus_thermophilus	Anaerostipes_hadrus	Intestinibacter_bartlettii	Anaerostipes_hadrus_A	Longicatena_innocuum
Healthy	0.448494530393402	-5	-5	-5	-5	-5	-0.681790532828619	-5	-1.01224438326148	-1.76145211231867	0.674527717014598	0.418049261100667	-0.362810577851238	-5	-5	-5	-0.102136584883984	-0.846093714861132	-5	-5	-5	-5	-5	-1.89177334362507
Healthy	-5	-5	-5	1.33896440072116	-5	-5	-5	-5	-5	-5	0.90145777648425	0.579395987303872	-5	-5	-1.4087127349415	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-0.467041894261933	-5	-5	-0.2416407848525	-0.0469897381022723	-2.27572413039921	-5	0.653794078819478	0.283403004546355	-5	0.181363312790112	0.428557539179851	0.377080300875738	-1.47703440450801	0.617832465687742	0.0130522105002362	0.546126676701531	-0.830531302173059	-5	-1.18032448000571	-1.89894064509188
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-5	0.111165021757667	-5	-5	-0.372071154783151	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.268008991789746	0.748117448418225	0.496061575233571	-5	-0.896880746454286	-2.12784372725171	-5	-1.14806932135973	-5	-0.305096600186635	-0.423370751552372	-0.236969043171847	0.641046546401627	-0.609294458773629	0.175108642751449	-0.0500735563320878	-0.741290899430173	-0.654940094389553	-0.438481226139188	-1.08344078069889	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	1.25297214234867	-5	-5	0.359127517654138	-5	-5	-5	-5	-5	-0.767410437245213	-5	-5	-1.95000714307986	-5	-5	-5	-5
Healthy	-0.638215520570127	0.122671238959221	1.6873426294261	0.502986698753511	-0.574433176034741	0.383546091724474	-1.03399914237122	-1.15789023655939	-1.92335955632966	-5	-1.38184726662148	-5	-1.83505262737816	-5	-0.761979001324051	-0.269137007953506	-2.20901152491118	-0.543649152258182	-0.791343699492752	-5	-1.4182778400509	-2.08249449044745	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.18269912160668	1.10428596454185	0.818548524507822	-5	-5	0.0101260343800235	0.275214577880669	-2.5003129173816	-0.422830018985877	0.179744193845569	-5	-0.804460103450682	-5	-1.43368037847519	-2.28819277095881
Healthy	-5	-5	-5	-5	0.928296485784538	-5	-5	-0.0949114353947089	-5	-5	1.09209962985614	-5	-5	-5	-1.5775743236288	-1.0417228744523	-1.01006098671546	-0.695487930375765	-1.46079840070587	-1.51144928349956	-1.38647529714635	-5	-1.06854212931099	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.43515305221608	0.792386786145778	-5	-5	-5	-1.5029320636015	-5	-0.724619532472566	-1.0375359539421	-5	-5	-5	-5	-5
Healthy	-1.48254017345977	-2.1001794975729	-0.404779433202343	-1.74280157386066	-1.90974194706868	-5	-3.61978875828839	-5	-1.8018930011266	-0.677491272078491	0.690067545295649	-5	-5	-5	-0.687864974520039	-0.752812609413646	-0.439543377748967	-0.0102254728378242	-0.382077500574724	-5	-1.92996213339224	-0.537332523631428	-0.846124186321022	-2.09799710864927
Healthy	0.496900601929559	-5	-5	-5	-5	-5	-0.280934012036071	-5	-2.17069622716897	-1.98464024459079	0.682037618084064	-5	0.915023424306475	0.393524313257891	-0.375882988070873	-0.121495438748757	-0.752714297136621	-0.334766208115313	-0.412693217869176	-2.89962945488244	-0.672150845094792	-1.32901239698997	-0.720127818197344	-3.21467016498923
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-1.9734667354767	-1.99182581599357	1.28096764965521	-0.280279348665997	-1.31060233717872	-1.31158017799729	0.641239051944366	0.421414704345194	-2.11350927482752	-1.1651979459513	-0.18324183259207	0.133663430846114	-0.368464916981255	-0.509086841689101	-0.561758359855708	-5
Healthy	0.569563506245393	-5	0.571630814800817	-5	-0.55695617135166	-5	-5	-5	-1.35076252765039	-2.44369749923271	0.527267622958763	-5	-0.327052864653497	-5	-0.38985107238046	0.327928763500085	-0.105357231476041	-0.988556437977925	-0.0336939707003394	-5	-0.71092412110178	-5	-1.19715788726093	-2.81247927916354
Healthy	-5	1.54997271693937	-5	0.652611807040664	-5	-5	-5	-5	-3.2839966563652	-5	0.456388810214364	-5	-2.77211329538633	-5	0.236753850890513	0.155238841810451	-1.41307529185518	-0.119260701287455	-0.416653840383539	-3.30980391997149	-1.32882715728492	-0.922305134113414	-1.10835105612944	-2.86327943284359
Healthy	-5	-5	-5	-5	1.0434098316459	-5	-5	-5	-1.27736607746619	-5	0.976040772355113	-5	-1.06945847013557	-5	-1.59057413132856	-1.49661793652627	-0.554115697083089	-1.88873748634093	-1.95350483566529	-5	-5	-5	-5	-5
Healthy	1.06002926779479	1.1630154919605	-1.42608455957845	1.08691160356996	-2.07520400420209	0.0989308535263082	-0.178735459853768	-5	-1.67264106561367	-1.79155864356143	-0.361520726941314	-5	0.884362552546645	-5	-2.02918838912748	-1.24611066854017	-1.08996287644695	-1.70774392864352	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	0.912645513058822	-5	-0.832033186604379	-5	-5	0.325962863082671	0.469780792850616	-5	-5	-1.65619766683834	-1.15864052954515	-0.429153626990195	-5	-1.32330639037513	-5	-5	-5	-5	-5
