f	Bacteroidaceae	Enterobacteriaceae	Marinifilaceae	Pasteurellaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Veillonellaceae	Desulfovibrionaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae
Healthy	0.951376380098069	0.986454180272142	-5	-5	-5	-0.738784727731408	-5	-5	-0.154722075245364	-5	-5	-0.794362640520571	-5	0.0663632022584946	0.573929341329467	-1.78251605578609	0.264085514155395	0.418049261100667	1.63962801034967	-5	-5	0.105820041248875
Healthy	1.74783028473047	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.10768268611987	0.0290345782176112	-5	-5	0.579395987303872	-5	0.866621056253241	-5	-5
Healthy	0.859910090638368	0.133714506663431	-0.324661673036203	-2.64206515299955	1.28381800298988	-1.73376830331011	-1.21824462534753	-2.11182050608167	-2.27572413039921	-5	0.60932862932604	-1.40230481407449	-1.47651366765677	1.36023431905514	0.310822838079583	1.06708983508103	0.816059587649236	0.283403004546355	-5	-5	0.181363312790112	0.145345601208342
Healthy	1.72534398472439	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.72205859495003	0.111165021757667	-5	0.171705981376956	-5	-5	0.458722433800222	-5	-5
Healthy	1.10812340184342	-5	-5	-5	-0.236317494607645	-1.94385773794095	-5	-5	-2.12784372725171	-0.438481226139188	-5	-1.00731396083787	-5	1.70604645367476	0.931442614174595	-0.13519829994923	0.255110820953069	-5	-5	-0.224011119885457	-0.385387487727353	-0.58873393348786
Healthy	0.835087847232495	0.722858414490341	-5	-5	-1.29251498803253	-5	-5	-1.63808338133136	-5	-2.06298389253519	-5	-5	-5	0.361676850629212	-5	1.86976317041398	-5	-5	-5	-5	-5	0.676716466627682
Healthy	1.76916374544633	-0.171520560023435	-0.136718786552681	-0.294042257752404	-1.17986424812957	-5	-5	-1.91757369913923	-0.603260301288771	-2.08249449044745	-5	-1.92591531097176	-5	1.30811387953058	0.783684948409592	-0.814231266566387	0.141932402964509	-5	-1.5548630312867	-0.387184366797787	-5	-0.662600645528103
Healthy	0.753566207633706	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.348131049753465	0.437435029969223	0.256147450368233	-5	0.279527783292017	-5	-5	-5	-5
Healthy	1.33796394758607	-0.229951071070133	-5	-0.900388409607471	1.17988513931971	-0.683777962573184	-5	-0.628396530270247	-5	-5	-2.31425826139774	-5	-1.09119340059433	1.4037543343875	-0.0535035217360121	0.0476291694406955	-0.435475962614136	0.818548524507822	0.238853691809097	0.221977281761181	-5	0.350416662460863
Healthy	1.54219842077457	-5	-5	0.336485750711003	-0.169411331314856	-1.71692502526453	-5	0.0235939977382082	-5	-5	-5	-5	-5	1.30706473841213	0.731861020341784	-0.0907114758377493	-0.134896025358872	-5	-2.79860287567955	-5	-5	-5
Healthy	1.75217425969463	-5	-0.255026763964733	-5	-5	-0.493494967595128	-5	-5	-5	-5	-5	-5	-5	0.684733184327011	0.282816901350496	-0.419576861588155	-0.254175994059787	0.792386786145778	-5	-5	-5	-5
Healthy	1.62860489952653	0.419180592824017	-5	-0.297845293657048	-0.655411257421286	-2.09799710864927	-5	-1.38795825535473	-1.8018930011266	-0.537332523631428	-1.74184180665921	-2.11238269966426	-5	0.998671199580085	1.27004054824372	-2.60730304674033	-1.99054910420131	-5	-5	-5	-5	-5
Healthy	1.49797608721456	-1.04019568349166	0.0502327751117544	-1.42446578168014	-0.976788707671111	-1.44757515429591	-5	-1.17953580942232	-0.709275519980777	-1.32901239698997	-5	-1.54775342547956	-1.77108659400531	1.16253991329623	1.1133911132836	-3.52287874528034	-0.481328163562692	-5	0.873068207464629	0.101877617538995	0.413064946837411	0.272713963632576
Healthy	1.56404245741518	-5	-5	-1.27769521312567	0.414609056007625	-0.762305491335943	-0.762984371254838	-5	-1.9734667354767	-0.509086841689101	-5	-2.47886191629596	-5	1.49143313640473	1.07206268038956	-0.722459544882569	-1.12424442074195	-0.280279348665997	-1.00793273997233	0.325768039079929	-1.31158017799729	-5
Healthy	1.26817390882452	-1.01587791713889	-0.0191833724103408	-5	-1.47781668238131	-1.21997087266266	-1.98088370955293	-5	-1.35076252765039	-5	-5	-1.44708854978349	-5	1.1009571356995	0.346734281891791	-0.301507982535077	-0.385218751858922	-5	0.815250243860085	0.799515610671236	-5	-0.277942228668536
