g	Prevotella	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Clostridium_Q	Longicatena	Anaerotruncus	Eggerthella	Faecalibacterium	Agathobacter	Bifidobacterium	Ruminococcus_H	Dialister	Akkermansia	Butyrivibrio_A	Barnesiella	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Sutterella	Collinsella	Lawsonibacter	Pseudoflavonifractor
Healthy	-5	0.986454180272142	-5	-5	-5	-1.40099076017666	-1.5777385491864	-0.900077767803078	-5	-1.85356186471423	-0.932780311025859	-5	-1.78251605578609	0.256919696449344	0.418049261100667	1.63962801034967	-5	-5	-5	-0.362810577851238	-0.102136584883984	-5	-5	0.105820041248875	-1.74909230029914	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0290345782176112	-0.075400281489385	-5	-5	0.579395987303872	-5	-5	0.866621056253241	-5	-5	-0.458657935609943	-5	-1.28075160155205	-5	-5	-5
Healthy	-5	0.110269763205189	-2.0670191780768	-2.64206515299955	0.0878204457887112	-1.59670785484175	-5	-1.73376830331011	-2.01727661233145	-2.73518217699046	0.308779906736506	0.459724113841842	1.0557337262976	0.811991005447776	0.283403004546355	-5	-5	-5	0.45248718640667	-5	-1.47703440450801	0.181363312790112	-1.14266750356873	0.145345601208342	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.02867775475719	-5	0.171705981376956	-5	-5	-5	0.458722433800222	-5	0.111165021757667	0.258627706113928	-5	-5	-5	-5	-5
Healthy	-5	-5	-2.57348873863542	-5	-5	-5	-5	-5	-5	-5	0.89963339825843	0.986589471434064	-0.13519829994923	0.250117354656704	-5	-5	-1.60397510339141	-0.224011119885457	0.966664449450424	-0.305096600186635	-0.0760879514021949	-0.423370751552372	-5	-0.58873393348786	-5	-2.86012091359876
Healthy	-5	0.351131219147622	0.298735211663401	-5	-0.934793871945688	-5	-5	-5	-5	-5	-5	-5	1.86976317041398	-5	-5	-5	-5	-5	-5	-5	-0.767410437245213	-5	-5	0.676716466627682	-5	-5
Healthy	1.6873426294261	-0.171520560023435	-5	-0.294042257752404	-5	-5	-5	-5	-5	-5	0.770393920694561	1.11817574118125	-0.814231266566387	0.141932402964509	-5	-1.5548630312867	-5	-0.387184366797787	0.0790690388124079	-1.83505262737816	0.23055365036004	-5	0.131002388743692	-0.662600645528103	-5	-5
Healthy	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	0.437435029969223	-5	0.256147450368233	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.70531337572056	-5
Healthy	-5	-0.229951071070133	-1.38753403604686	-0.900388409607471	-0.174327267806442	-1.94500413847086	-3.0087739243075	-0.849489167092032	-5	-5	-0.0535035217360121	0.900653286321178	0.0476291694406955	-5	0.818548524507822	0.238853691809097	-5	0.221977281761181	-5	-5	0.188489751294374	-5	-5	0.350416662460863	-5	-5
Healthy	-5	-5	-5	0.336485750711003	-5	-5	-5	-5	-5	-5	0.714882755706848	0.373215534966044	-0.0907114758377493	-0.134896025358872	-5	-2.79860287567955	-5	-5	0.85105155085077	-5	-1.01006098671546	-5	0.783824284719325	-5	-5	-5
