group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	13.19395	9.6929	0	0	0.18247	0.70028	0		13.19395	5.67215	0.01649	2.61847	43.6142	0.29566	0	0.18247	1.43645	0
Healthy	72.2396	0	0	0	0	0	0		72.2396	1.06913	0	3.7966	0	0.05238	0	0	0	0
Healthy	9.64181	1.36281	19.59527	0.04414	4.08595	0.00529	0		9.64181	8.60052	11.72604	1.94683	0	0.07199	1.51831	4.08595	1.46142	0
Healthy	57.87419	0	0	0	0	0	0		57.87419	2.77662	0	0	0	0	0	0	0	0
Healthy	15.2001	0	0.58033	0	0.01137	0.00744	0.36434		15.2001	10.37747	0.73248	0	0	0.10204	0.41172	0.01137	0.3561	0.36434
Healthy	6.84403	5.28272	0.06682	0.57383	0	0	0.00864		6.84403	0	74.24128	0.023	0	0	0	0	4.75024	0.00864
Healthy	64.07225	1.18181	0.06608	0.0012	0	0.2493	0.00826		64.07225	7.46478	0.15337	0.01208	0.02786	1.37251	0	0	0.22931	0.00826
Healthy	5.66977	0	0	0	0	0	0		5.66977	2.7577	1.80362	1.90338	0	0	0	0	0	0
Healthy	24.68236	0.71467	15.14235	0.02686	0.21195	0	0.00257		24.68236	1.36818	1.26194	6.82016	1.73321	0.02924	0	0.21195	2.36591	0.00257
Healthy	47.14362	2.17012	0.67699	0	0.01918	0	0		47.14362	6.14482	0.81149	1.05582	0.00158	6.07888	0	0.01918	0	0
Healthy	69.59291	0	0	0	0.32099	0	0		69.59291	2.55892	0.38055	6.19992	0	0.15992	0	0.32099	0	0
Healthy	47.58464	3.12897	0.2776	1.59893	0.02608	0.01577	0.29017		47.58464	18.84294	0.00246	0.04092	0	0	0	0.02608	0.00771	0.29017
Healthy	41.69468	0.12877	0.10548	0.24298	0.03567	0.1953	0.04687		41.69468	13.53285	0.01777	0.06613	7.46565	0.07476	2.58859	0.03567	1.90207	0.04687
Healthy	41.82928	0.05275	2.77653	0	0.17285	0.01062	0.30967		41.82928	11.92133	0.18946	0.52446	0.09818	0.16469	0.04879	0.17285	0.00331	0.30967
Healthy	31.15765	0.0964	0.04371	0	0.06025	0.04458	0		31.15765	2.87861	0.49944	0	6.53506	2.69313	0	0.06025	0.563	0
Healthy	51.65985	0.0899	0.06105	0	0.01258	0.00051	0.11958		51.65985	15.94539	0.82039	0.00592	0	0.00297	0	0.01258	1.29762	0.11958
Healthy	83.32758	0.12491	0.00415	0.22161	0.03567	0.05279	0		83.32758	2.78083	1.08547	0	0	0.28935	0	0.03567	0.44293	0
Healthy	58.6519	0	0.01923	0	0	0.18026	0		58.6519	11.40703	0	0	0	0.0108	0	0	0.01216	0
Healthy	25.65235	0	0.08494	0	0	0	0		25.65235	18.57232	22.04304	2.94971	0	1.7984	0	0	1.40023	0
Healthy	56.36691	0	0.05212	0	0.70675	0.01459	0		56.36691	6.93242	0.72003	0.01238	0.82499	1.79202	0.25495	0.70675	0.265	0
Healthy	23.10218	0	13.39566	0	0	0	0		23.10218	20.45557	11.8332	0	0	0	0	0	0	0
Healthy	25.55658	1.31321	0.23305	0	1.12563	0	0.49756		25.55658	8.07709	38.26172	0.85009	0	0.0605	0	1.12563	0.35287	0.49756
Healthy	67.84814	0.07188	0.01605	0.03835	0	0.07128	0		67.84814	7.98765	0	0.45471	0.60467	0.0282	0	0	0.36728	0
Healthy	0.27462	2.37596	1.32629	9.06313	0	0	0		0.27462	37.42975	8.54688	0	0.99399	0	0	0	0.82913	0
Healthy	86.76674	1.50465	0.12083	0	0.05465	0.09711	0		86.76674	3.4739	0.22932	0	0	0.09287	0	0.05465	0	0
Healthy	64.33041	2.60223	0.60558	0.18179	0.02158	0	0		64.33041	0.07853	12.81222	9.75913	0	0	0	0.02158	3.62446	0
Healthy	45.19073	0.53268	0.73901	0.01077	0	0.00132	0.27633		45.19073	11.62224	10.0008	0	0	2.01035	0	0	0.3159	0.27633
Healthy	13.80299	0.13726	1.49083	0	1.20177	0	0.43689		13.80299	24.28629	1.12117	0	0.02627	0.05064	1.65371	1.20177	0.15464	0.43689
Healthy	34.77124	0	0.28536	0	0.1877	0.6158	0		34.77124	3.86127	0.17058	0	1.86453	1.19055	8.04332	0.1877	0.05765	0
Healthy	35.35294	0	0.20564	0	0	0.06853	0.01195		35.35294	3.38786	6.76928	0	6.54328	0.30027	25.1723	0	1.01716	0.01195
Healthy	40.45877	2.24622	0.47349	0	0.03848	0	0		40.45877	8.95794	0.30703	0.04695	0.76858	5.82004	0	0.03848	0.00983	0
Healthy	45.30071	0.13175	0.07802	0	0.66417	0	0.21074		45.30071	8.06439	3.09685	1.5604	0	0.05761	0	0.66417	0.17073	0.21074
Healthy	39.76939	0.89265	0.27132	0.00486	0.06618	0	0.02572		39.76939	7.73876	9.43173	0.23996	0.94624	0.90663	0	0.06618	0.01306	0.02572
Healthy	40.0581	1.10372	0.90117	0	0.94072	0.01538	0.01107		40.0581	8.93617	0.92758	6.42822	2.87693	1.58452	0	0.94072	0.03192	0.01107
Healthy	7.38156	2.90729	0.56721	0.45833	0	0	0		7.38156	0	77.81907	2.17314	0	0	0	0	0	0
Healthy	40.00541	1.44863	0.07445	0	0.31	0	0.37412		40.00541	6.96687	13.49806	4.13448	0.05151	0.04528	0	0.31	0	0.37412
Healthy	67.45016	0	0	0.27252	0	0	0		67.45016	2.39128	0.04287	0	0.11621	0	0.05076	0	0	0
Healthy	18.93339	0.04844	0.07384	0	0.04387	0.03051	0.04726		18.93339	13.83968	10.49698	0.00272	1.77402	0.07849	0	0.04387	0.07108	0.04726
Healthy	33.38716	0.0546	0.68307	0	1.22523	0	0		33.38716	11.7229	0.1036	0.15995	0	0.09861	0	1.22523	0.19052	0
Healthy	14.36023	1.10797	0.006	0	0	0	0.00279		14.36023	6.97761	0.48572	0	5.50325	1.41746	0.05808	0	0.01378	0.00279
Healthy	26.92825	16.867	2.15807	0	0.71151	0	0.30973		26.92825	6.40852	2.47727	0	5.52258	0	0	0.71151	0.50024	0.30973
Healthy	35.10278	0.04967	0.09181	0	0.00655	0	1.78824		35.10278	25.31462	0.32652	3.37599	0	0.02467	0	0.00655	2.56562	1.78824
