group	Bacteroidota	Proteobacteria	Desulfobacterota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	13.19395	9.98856	0.70028		13.19395	6.83724	1.45294	9.98856	43.6142	0.18247	0	0.70028	
Healthy	72.2396	0.05238	0		72.2396	13.88306	0	0.05238	0	0	0	0	
Healthy	9.64181	1.47894	0.00529		9.64181	31.5261	13.18746	1.47894	0	23.68994	1.51831	0.00529	
Healthy	57.87419	0	0		57.87419	8.04962	0	0	0	0	0	0	
Healthy	15.2001	0.10204	0.00744		15.2001	61.56318	1.08858	0.10204	0	0.5917	0.41172	0.00744	
Healthy	6.84403	5.85655	0		6.84403	2.30836	78.99152	5.85655	0	0.06682	0	0	
Healthy	64.07225	2.55552	0.2493		64.07225	27.80193	0.38268	2.55552	0.02786	0.06608	0	0.2493	
Healthy	5.66977	0	0		5.66977	3.2063	1.80362	0	0	0	0	0	
Healthy	24.68236	0.77077	0		24.68236	26.70769	3.62785	0.77077	1.73321	15.3543	0	0	
Healthy	47.14362	8.249	0		47.14362	26.42466	0.81149	8.249	0.00158	0.69617	0	0	
Healthy	69.59291	0.15992	0		69.59291	7.39766	0.38055	0.15992	0	0.32099	0	0	
Healthy	47.58464	4.7279	0.01577		47.58464	29.10255	0.01017	4.7279	0	0.31791	0	0.01577	
Healthy	41.69468	0.44651	0.1953		41.69468	28.12743	1.91984	0.44651	7.46565	0.1753	2.58859	0.1953	
Healthy	41.82928	0.21744	0.01062		41.82928	43.23609	0.19277	0.21744	0.09818	3.07432	0.04879	0.01062	
Healthy	31.15765	2.78953	0.04458		31.15765	15.49563	1.06244	2.78953	6.53506	0.10396	0	0.04458	
Healthy	51.65985	0.09287	0.00051		51.65985	29.18062	2.11801	0.09287	0	0.07363	0	0.00051	
Healthy	83.32758	0.63587	0.05279		83.32758	6.19056	1.5284	0.63587	0	0.03982	0	0.05279	
Healthy	58.6519	0.0108	0.18026		58.6519	28.78854	0.01216	0.0108	0	0.01923	0	0.18026	
Healthy	25.65235	1.7984	0		25.65235	33.73581	23.44327	1.7984	0	0.08494	0	0	
Healthy	56.36691	1.79202	0.01459		56.36691	22.11296	0.98503	1.79202	0.82499	0.75887	0.25495	0.01459	
Healthy	23.10218	0	0		23.10218	29.89807	11.8332	0	0	13.39566	0	0	
Healthy	25.55658	1.37371	0		25.55658	23.63656	38.61459	1.37371	0	1.35868	0	0	
Healthy	67.84814	0.13843	0.07128		67.84814	10.34048	0.36728	0.13843	0.60467	0.01605	0	0.07128	
Healthy	0.27462	11.43909	0		0.27462	65.55638	9.45639	11.43909	0.99399	1.32629	0	0	
Healthy	86.76674	1.59752	0.09711		86.76674	7.32847	0.22932	1.59752	0	0.17548	0	0.09711	
Healthy	64.33041	2.78402	0		64.33041	4.18008	16.43668	2.78402	0	0.69145	0	0	
Healthy	45.19073	2.5538	0.00132		45.19073	32.75329	10.3167	2.5538	0	0.73901	0	0.00132	
Healthy	13.80299	0.1879	0		13.80299	59.47244	1.30402	0.1879	0.02627	2.75295	1.65371	0	
Healthy	34.77124	1.19055	0.6158		34.77124	9.24266	0.22823	1.19055	1.86453	0.47306	8.04332	0.6158	
Healthy	35.35294	0.30027	0.06853		35.35294	9.17053	7.78644	0.30027	6.54328	0.20564	25.1723	0.06853	
Healthy	40.45877	8.06626	0		40.45877	38.10267	0.31686	8.06626	0.76858	0.51197	0	0	
Healthy	45.30071	0.18936	0		45.30071	34.33585	3.26758	0.18936	0	0.74219	0	0	
Healthy	39.76939	1.80414	0		39.76939	25.90139	9.44479	1.80414	0.94624	0.42852	0	0	
Healthy	40.0581	2.68824	0.01538		40.0581	21.75284	0.9595	2.68824	2.87693	1.84507	0	0.01538	
Healthy	7.38156	3.36562	0		7.38156	0	77.81907	3.36562	0	0.5705	0	0	
Healthy	40.00541	1.49391	0		40.00541	25.01971	13.49806	1.49391	0.05151	0.38445	0	0	
Healthy	67.45016	0.27252	0		67.45016	15.29849	0.04287	0.27252	0.11621	0	0.05076	0	
Healthy	18.93339	0.12693	0.03051		18.93339	42.49915	10.56806	0.12693	1.77402	0.11771	0	0.03051	
Healthy	33.38716	0.15321	0		33.38716	25.68701	0.29412	0.15321	0	1.9083	0	0	
Healthy	14.43407	2.52543	0		14.43407	28.21169	0.4995	2.52543	5.50325	0.006	0.05808	0	
Healthy	26.92825	16.867	0		26.92825	26.56389	2.97751	16.867	5.52258	2.86958	0	0	
Healthy	35.10278	0.07434	0		35.10278	47.64267	2.89382	0.07434	0	0.12167	0	0	
Healthy	48.16875	0.18263	0.23947		48.16875	17.49621	0	0.18263	5.84141	0.02265	0	0.23947	
Healthy	20.83528	23.59619	0.04548		20.83528	24.58581	13.1947	23.59619	1.65451	5.28737	0.79631	0.04548	
Healthy	26.99455	0.16637	0		26.99455	56.96097	0.18279	0.16637	0.55641	0.95955	0.1082	0	
Healthy	12.59463	2.29137	0		12.59463	55.79246	3.4566	2.29137	0	2.279	0	0	
Healthy	32.13403	1.18441	0.01282		32.13403	39.97158	0.53544	1.18441	0	0.68012	0.09203	0.01282	
Healthy	29.16997	6.53149	0.71956		29.16997	9.56664	0	6.53149	19.976	0.2058	0.54221	0.71956	
Healthy	15.76133	0.00495	0		15.76133	44.96341	12.99173	0.00495	0.93483	2.81392	0	0	
Healthy	0.00116	10.14839	0		0.00116	42.08953	26.23018	10.14839	0	5.06562	0	0	
D001943	83.68251	0.72381	0		83.68251	5.12118	7.14483	0.72381	0	0.30871	0	0	
Healthy	34.23946	0.11959	0		34.23946	32.98286	10.01482	0.11959	0.08687	0.49563	0	0	
Healthy	21.72158	3.94418	0.00855		21.72158	8.77087	48.46381	3.94418	0	0.67221	0.00083	0.00855	
Healthy	67.32252	0.42591	0		67.32252	17.90698	0	0.42591	0.40549	0	0	0	
Healthy	80.02181	0.39459	0.03054		80.02181	15.04774	0.02949	0.39459	0	0.00703	0	0.03054	
Healthy	92.37086	0.5699	0		92.37086	2.76603	0.18969	0.5699	1.85231	0	0	0	
Healthy	36.46828	0	0		36.46828	39.68371	0	0	0	6.35549	7.54448	0	
Healthy	46.13277	0.11479	0.24772		46.13277	31.23049	0.13699	0.11479	0.08623	0.02068	0	0.24772	
Healthy	21.17389	0	0		21.17389	17.0801	0.34594	0	48.7672	0.45389	0	0	
Healthy	39.6002	0.43006	0.07772		39.6002	28.40003	0.70274	0.43006	0.02505	1.63427	0.63907	0.07772	
Healthy	38.19224	9.98602	0.00133		38.19224	22.46823	6.68522	9.98602	0.71933	0.58617	0	0.00133	
Healthy	17.14225	0.26191	0		17.14225	46.69578	25.24584	0.26191	0	0.17857	0	0	
Healthy	0.03814	87.76696	0		0.03814	0	6.59575	87.76696	0	5.4974	0	0	
Healthy	45.26473	2.95411	0.00889		45.26473	37.92812	0.47902	2.95411	0.01764	1.19446	1.70994	0.00889	
Healthy	74.29777	0.01528	0		74.29777	11.65107	0	0.01528	0.70276	0	0	0	
Healthy	36.8274	0.19655	0.15156		36.8274	39.05863	3.53789	0.19655	0	0.10864	1.80075	0.15156	
Healthy	34.70987	0.19327	0.07473		34.70987	26.05212	3.84804	0.19327	1.65301	0.00266	0.18038	0.07473	
Healthy	81.72666	0	0		81.72666	14.09583	0.02023	0	0	0.51735	0	0	
Healthy	56.87795	0.002	0.10324		56.87795	13.87038	6.44048	0.002	0	0.03714	0.08119	0.10324	
Healthy	54.17995	4.30761	0.08008		54.17995	22.23502	1.66356	4.30761	0	0.1302	0	0.08008	
Healthy	73.74703	0.61323	0.04112		73.74703	8.20005	0.02352	0.61323	0	0.02913	0	0.04112	
Healthy	24.69327	0.91721	0.01514		24.69327	20.69677	30.93662	0.91721	0	0.29529	0	0.01514	
Healthy	70.62031	0.39039	0.07434		70.62031	10.29268	4.05241	0.39039	0.09043	0	0.04311	0.07434	
Healthy	63.4987	1.53674	0.15405		63.4987	14.20783	0.709	1.53674	0	0.01765	0.18758	0.15405	
