s	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Faecalibacterium_sp900539885	Dialister_invisus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Mediterraneibacter_torques	Streptococcus_thermophilus	Flavonifractor_plautii
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.85356186471423	-0.932780311025859	0.418049261100667	-5	-5	-0.362810577851238	-5	-5	-0.102136584883984	-5	-1.29208933428689
Healthy	1.33896440072116	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0290345782176112	0.579395987303872	0.866621056253241	-5	-5	-5	-1.28075160155205	-5	-5	-5
Healthy	-0.467041894261933	-5	-2.0670191780768	-5	-2.64206515299955	-5	-2.34969247686806	-5	-1.46092390120722	-2.73518217699046	0.308779906736506	0.283403004546355	-5	0.910934276003614	-5	0.181363312790112	-1.14266750356873	-1.47703440450801	0.546126676701531	-2.11463877996849
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.458722433800222	-5	0.111165021757667	-5	-5	-5	-5	-5
Healthy	0.268008991789746	-5	-2.57348873863542	-5	-5	-5	-5	-0.989869722784852	-5	-5	0.89963339825843	-5	-0.224011119885457	-0.520986454543866	-0.305096600186635	-0.423370751552372	-5	-0.609294458773629	-0.741290899430173	-1.43062609038495
Healthy	-5	-5	0.298735211663401	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3.33724216831843	-5	-5	-5	-0.767410437245213	-1.95000714307986	-5
Healthy	0.502986698753511	0.122671238959221	-5	-0.909565583824878	-0.294042257752404	-5	-5	-5	-5	-5	0.770393920694561	-5	-0.387184366797787	-1.57626275001767	-1.83505262737816	-5	-5	-2.20901152491118	-5	-2.87614835903291
Healthy	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	0.437435029969223	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-1.38753403604686	-5	-0.900388409607471	-5	-5	-1.31560352158098	-1.03616496929785	-5	-0.0535035217360121	0.818548524507822	0.221977281761181	-0.551077359503169	-5	-5	-5	-2.5003129173816	-5	-1.28743447212669
Healthy	-5	-5	-5	-5	0.336485750711003	-1.9100948885606	-5	-1.75522823850471	-5	-5	0.714882755706848	-5	-5	-5	-5	-5	0.783824284719325	-1.01006098671546	-1.51144928349956	-1.73353310455976
