c	Clostridia	Actinomycetia	Bacilli	Coriobacteriia	Bacteroidia	Gammaproteobacteria	Verrucomicrobiae
Healthy	0.834881459911079	-1.78251605578609	-0.738784727731408	0.157293537030964	1.12037516310008	0.99950331749903	1.63962801034967
Healthy	1.14248551342664	-5	-5	-5	1.85877539268605	-1.28075160155205	-5
D003093	1.48969248045381	0.60171893627804	0.257244063095167	-0.214577620288486	1.64339818885143	-0.720105019988362	-5
D003093	1.20138128184285	-1.18482086986058	0.131403709165372	-0.509170993696192	1.81424606370881	0.501394786040119	-5
D003093	1.6151884751285	0.615622893149362	-0.832033186604379	-0.357149831335032	1.60424841543354	0.442514260397309	-1.38059358911322
Healthy	0.905775918547835	-5	-5	-5	1.76248500077786	-5	-5
Healthy	0.506005509528048	0.256147450368233	-5	-5	0.753566207633706	-5	-5
Healthy	1.42200957240051	-0.0907114758377493	-0.157278457372331	-5	1.67342301960269	0.916401830084926	-2.79860287567955
Healthy	0.869094954125148	-0.419576861588155	-0.493494967595128	-5	1.84256505913163	-0.796070062755374	-5
Healthy	1.19020951815055	-0.301507982535077	-0.983091956027925	-0.249483891283201	1.49356483387704	0.445532593261974	0.815250243860085
Healthy	1.46509466393064	-0.0859743483036714	-1.13288622016802	0.113150877468074	1.71315322488589	-1.03207779326948	-5
Healthy	1.45921979121162	-5	-1.71579493229821	-1.91470942176993	1.76828215948572	-1.96617430604669	-5
Healthy	1.52809127080218	1.34327168575716	-1.07083661679494	0.146202479780109	1.40912732608835	0.254888708775947	-5
Healthy	1.34464707672557	-0.142643376767697	-0.119826892692204	-0.576737737901385	1.751024304759	0.253345275820191	-0.0835460514500749
Healthy	1.4756432996228	1.07310257186231	1.1269644402306	-5	1.3636531513135	-5	-5
Healthy	1.01454111895657	-5	-1.79425445905734	-0.434990895787404	1.83153801034881	-0.85873840937791	-0.218474395596606
Healthy	1.81661503022113	0.935873389978904	0.122641769625536	-0.0813721327862228	-0.56125202309777	1.05839185658905	-0.00261361560268669
Healthy	0.865013906964962	-0.639539128949822	-0.755747626027527	-5	1.93835333049894	0.203449022518777	-5
Healthy	0.621185632512497	1.10762472634163	-0.160232938160214	0.559244509416333	1.80841638682843	0.444673910810744	-5
Healthy	1.77431582986575	0.0604674143361238	0.439799901220617	-0.810650075660802	1.13997348798446	-0.726050107449991	-1.58037463911226
D003093	1.47016048652657	0.245194232986185	-0.372429335819457	0.263794610383533	1.48816376827247	-2.34103515733556	-5
Healthy	0.965797447276839	-0.768046430801019	-0.325074592106928	-1.23912536194781	1.54122030352031	0.0757512871934784	0.270571704722232
Healthy	1.53574792951024	0.490921572614853	-0.129479049987236	-0.767664722914346	1.65610510465173	-0.72268882082597	-5
D003093	1.49833040679785	-0.207545272329614	0.505078042338978	0.259749126939098	1.54429481094064	-0.556783965834167	-5
D003093	1.72463299139745	-0.619282376724682	0.471370933231537	-0.928744122318705	1.38174015917518	-0.756366755493862	-5
Healthy	1.42429183666506	0.393975096445539	0.457819850233151	-0.300812902691751	1.43020829188859	1.22703810241191	0.74214280216862
Healthy	1.67799618346722	-0.48384819086776	-0.914780798955058	0.409194025170417	1.54534163593735	-1.12871902714203	-5
Healthy	1.24294423094552	-5	-1.64474009447262	-5	1.68276546649112	-0.738404101517821	0.766518433276982
Healthy	1.39068469769986	1.10904437714116	0.723240523942585	-0.4678318683063	1.31879954964682	1.37284206856713	0.218672021321886
Healthy	1.74657558857697	0.436447310914848	0.357746230812359	-0.139763839938269	1.10018575831703	0.360097118092937	-5
Healthy	0.980759885403075	-5	-0.686533527341765	-5	1.46493613135373	0.815012931185225	1.30050874675137
D003093	1.54418950573462	0.585422374535958	-1.4521022824369	-0.0290119202758115	1.29247294286057	-0.906823550303751	-5
D003093	1.44586112374768	-1.03578752703018	0.808023165812186	0.168102490788298	1.6067753838089	0.307104354491496	-5
Healthy	1.51828844302872	0.99456129217834	-0.304833651694131	-0.856080061614163	1.53452703352098	-0.922268820347608	-1.06108018775523
Healthy	1.2530225910835	-5	-5	-5	1.82816042852175	-0.370671966205419	-0.392009141452825
Healthy	1.49457893733627	-5	-1.68423950933427	-0.863279432843593	1.66400962634643	-0.940058111938045	-1.06429125215734
Healthy	1.23249066332249	-0.460986665060487	-0.343039817257151	-5	1.32580085766442	-5	1.68812791006636
Healthy	1.45331895172898	-0.215925022521303	0.213326465927919	-1.02447628703967	1.5976974889962	-0.366460851072662	-1.60101893334187
Healthy	1.6692777272002	1.38646596861784	-0.74816718137136	-0.0468639369858433	1.23406807784543	-0.581831337932134	-5
Healthy	1.41584323663477	0.530503213925169	-2.57348873863542	-0.341330501793832	1.54045311221858	-0.713813083058962	0.21827810816134
Healthy	1.14208867249843	0.750233691942234	-1.43004118190341	-0.0893435844122668	1.75494401147996	-2.69680394257951	-5
Healthy	1.34703771974518	-0.687653360969147	-0.885355661097721	0.163846875794205	1.73383868006618	0.63423738469509	-5
Healthy	1.31590278328254	1.40112833208387	-0.529736553034922	0.759851342542993	1.39257878095216	-0.0375264840391993	-5
Healthy	1.15252805770336	-0.299330889371745	-1.75300930075845	-0.683903790324869	1.80276490252706	0.186603221792895	-5
Healthy	1.41352674519155	-0.587875593826683	-0.235375602149019	-1.06068046892176	1.71674927159693	0.345965457886395	-0.200824927584771
Healthy	1.49291480841852	-0.328716051374985	0.0460149508590078	-0.423336216585005	1.60690102497749	-0.530929447968747	-1.40693556834128
D003093	1.04744893978851	-5	-5	-5	1.91843072064085	-0.293051906423861	-5
Healthy	1.24379901006385	0.768325030057909	-0.0923522065996969	-0.0285803382281341	1.68234249553608	-0.341635584312928	0.066516004090991
Healthy	1.36879806566854	0.749569366032057	-1.03607057797344	0.234745000628051	1.74789136461658	-1.95233580539844	-1.13948232253825
Healthy	0.821560034071882	-0.181859917724294	-0.787785752580059	-0.844998163768747	1.8861083213193	-0.410351941664339	-5
Healthy	-0.476006549684386	1.7298044975577	0.544609953795997	-0.920782564253433	0.99071082098826	1.44376241272035	-5
Healthy	1.40206921838821	-0.00137890022102005	0.0811419957201863	-5	1.67301168634137	-5	0.667019376016459
Healthy	0.409082289950506	-5	-0.612450012609767	-0.81121208736253	1.94992288585992	-0.334353353872193	-5
D003093	1.5612564611304	0.446909792134601	-1.0977250795255	0.136913896114803	1.4654151248734	-1.2943073034623	0.830566215657378
Healthy	1.55513678720214	-5	-0.844208647642382	-1.78727984558216	1.72528954175842	0.108751013469221	-1.60572347323218
Healthy	0.995212978021115	-5	-0.564028293600659	-5	1.4858262973554	0.806654046147595	1.30133411244408
Healthy	0.767879087701276	-5	-5	-0.991357252434715	1.64796730935212	-0.999088937868777	-5
Healthy	1.40436788267485	-1.02122621566988	-5	-1.15851539066461	1.59439929128072	-5	0.0558597642979701
Healthy	1.2300635056576	-5	-0.845697780315335	-5	1.61538794443253	1.21619916612133	-5
Healthy	0.883333177521008	-0.65380355627079	-0.989530430203608	-5	1.93830958188606	0.244037017036314	-5
Healthy	1.83420763729357	-5	-0.938698343793955	-5	1.09571109663366	-5	-2.0301183562535
