group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Coriobacteriaceae	Peptostreptococcaceae	Lactobacillaceae	Pasteurellaceae	Eggerthellaceae	Rikenellaceae	Ruminococcaceae	Bifidobacteriaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	1.16509	3.74911	0.01649	0	0.18247	1.2759	0	0	0	0.16055	1.22466	3.74911	0.01649	2.61847	43.6142	0	0.29566	0	0	0.08615
Healthy	12.81393	1.06913	0	0	0	0	0	0	0	0	0.50622	1.06913	0	3.7966	0	7.35564	0.05238	0	0	0
D003093	28.88051	1.73204	3.99685	0.05753	1.75065	0.59781	0.02387	0	0	0.01231	1.4082	1.73204	3.99685	0	0	1.14588	0.17525	0	0.86806	0.22196
D003093	6.28337	9.61604	0.06533	1.35332	0	0.30961	0	0	2.31065	0	0.02422	9.61604	0.06533	0.24288	0	0.02415	0	0	0	0
D003093	23.3136	16.03908	4.12688	0.1447	0.00251	0.43149	0.09413	0	0.13919	0.00789	14.13625	16.03908	4.12688	0.7917	0.04162	0	2.12675	0	0	0.8544
Healthy	5.273	1.2917	0	0	0	0	0	0	0	0	0.14663	1.2917	0	0	0	2.87555	0	0	0	0
Healthy	0.4486	2.738	1.80362	0	0	0	0	0	0	0	0	2.738	1.80362	1.90338	0	0	0	0	0	0.0197
Healthy	20.27984	5.39337	0.81149	0.67699	0.01918	0	0	0	2.17012	0	10.34421	5.39337	0.81149	0	0.00158	0	6.07888	0	0	0.01846
Healthy	4.83874	1.91785	0.38055	0	0.32099	0	0	0	0	0	10.92935	1.91785	0.38055	6.19992	0	0	0.15992	0	0.55586	0.08412
Healthy	12.61702	2.22194	0.49944	0.03327	0.06025	0.52729	0	0.01044	0	0.03571	3.6657	2.22194	0.49944	0	6.53506	6.30253	2.69313	0	0.95678	0.24479
Healthy	13.11565	8.86169	0.82039	0.01675	0.01258	1.24665	0.11958	0.0443	0.00554	0.05097	2.38913	8.86169	0.82039	0	0	0.70212	0.00297	0	0.32504	0.01426
Healthy	17.38151	10.9513	0	0.01923	0	0.01216	0	0	0	0	4.31613	10.9513	0	0	0	0.20612	0.0108	0	0.77354	0.03753
Healthy	15.16349	17.1618	22.04304	0	0	1.33029	0	0.08494	0	0.06994	9.94663	17.1618	22.04304	2.94971	0	0.85356	1.7984	0	0	1.41052
Healthy	15.18054	5.78407	0.71602	0.05212	0.7062	0	0	0	0	0.265	12.45978	5.78407	0.71602	0	0.82499	7.18629	1.79202	0.25495	1.90355	0.37629
Healthy	9.4425	3.80287	11.8332	13.39566	0	0	0	0	0	0	0	3.80287	11.8332	0	0	0	0	0	0	0
Healthy	2.35283	7.65391	0	0.01605	0	0.11977	0	0	0.07188	0.24751	20.72911	7.65391	0	0.44101	0.60467	0.70341	0.0282	0	0.9057	0
Healthy	28.12663	1.67025	8.54688	0.34454	0	0	0	0.10925	0	0.82913	0	1.67025	8.54688	0	0.99399	0	0	0	0	0
Healthy	3.85457	2.41444	0.22932	0.12083	0.05465	0	0	0	0	0	1.56175	2.41444	0.22932	0	0	2.58816	0.09287	0	0	0.91628
Healthy	4.10155	0	12.7725	0.42839	0.00177	3.62446	0	0.1374	0.02253	0	0	0	12.7725	0	0	0	0	0	0	0.07853
