g	Enterocloster	Anaerobutyricum	Bariatricus	Blautia_A	Dorea	Anaerostipes	Eubacterium_I	Lawsonibacter	Longicatena	Gordonibacter	Bacteroides	Alistipes	Parabacteroides	Ruminococcus_H	Akkermansia	Butyrivibrio_A	Desulfovibrio	Oxalobacter
Healthy	-1.07314329105031	-5	-5	-0.827280338650503	-5	-5	-5	-1.74909230029914	-0.900077767803078	-0.833984543676225	0.934626195830804	0.0880190793238638	0.481229012021988	0.256919696449344	1.63962801034967	-5	-5	-0.537587026687449
Healthy	-5	-1.4087127349415	-5	-5	-5	-5	-5	-5	-5	-5	1.12876716449744	-0.295652121429059	0.925511656050378	-5	-5	-5	-5	-5
D003093	-0.280594126857704	0.857984654625904	0.309970657041068	0.472534127232467	0.291215621382232	0.14090381854216	-0.812789600349947	-5	-5	-5	1.24146280112148	0.121090171484831	0.451029213301331	-1.64397414280688	-5	-5	-5	-5
D003093	-0.0339756600125683	-1.41612140150137	-5	-1.97798426018228	-5	-5	-5	-5	-5	-5	1.66861446692001	-1.61564658586249	1.11997471804947	-5	-5	-5	-5	-5
D003093	0.178168003973732	-5	-0.664080969009287	-1.38880793913157	-0.901425489974293	-1.18495382393537	-5	-1.35822852934604	-2.59859945921846	-5	1.11642376072377	1.15033452429772	0.66229307682248	-0.842331727261231	-1.38059358911322	-5	-5	-5
Healthy	-0.372071154783151	-5	-0.169469070017471	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-0.83374754804584	0.235912072547043	0.171705981376956	-5	-5	-5	-5
Healthy	-0.87739097642401	-5	-5	-5	-5	-5	-5	-1.70531337572056	-5	-5	0.749682991442778	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.0417228744523	-1.5775743236288	-0.93715488672295	-0.695487930375765	-1.46079840070587	-0.8980468225228	-1.16545214231905	-5	-5	-5	1.45052007281021	1.01469774850903	0.289985611272195	-0.134896025358872	-2.79860287567955	-5	-5	-5
Healthy	-1.3646167959525	-5	-5	-0.724619532472566	-1.0375359539421	-5	-5	-5	-0.517555208081735	-5	1.47379006751291	1.0325200463414	0.201765708466026	-5	-5	-5	-5	-5
Healthy	0.328036926154057	-0.38985107238046	-0.00422883548815415	-0.988556437977925	-0.0332155177848394	-0.588262478182643	-0.903020505433215	-2.70996538863748	-2.81247927916354	-1.44708854978349	1.13133117789128	0.32121926695224	0.137043790184323	-1.63978538670465	0.815250243860085	-5	-5	-5
Healthy	0.155238841810451	0.236753850890513	0.442827692388095	-0.119260701287455	-0.416653840383539	-0.903750616810388	-0.834993220431632	-2.73282827159699	-2.07935499859321	-5	0.604218490676903	0.378241599497053	0.199497375490972	0.846837314327683	-5	-5	-5	-5
Healthy	-1.24611066854017	-2.02918838912748	-0.865536008465711	-1.70774392864352	-5	-5	-5	-5	-5	-5	1.2110233082393	0.631627392107811	0.0638922893443259	-0.378605586791193	-5	-5	-0.876605751894469	-5
Healthy	-1.15864052954515	-1.65619766683834	-5	-5	-1.32330639037513	-5	-1.43191566868461	0.149382327425737	-5	-5	0.612634476100502	0.997676399751038	-0.13519829994923	-5	-5	-5	-5	-5
Healthy	-0.310753314270764	0.152581852717208	0.0703186811679367	0.136425654004358	-0.765280295378124	0.129241835238635	-0.542269451754002	-5	-1.82944494147879	-5	1.04793107138044	1.08252543369551	0.557037765882228	-0.916175003946663	-0.0835460514500749	-5	-5	-5
Healthy	-5	-5	0.575886081633898	-5	-5	-5	-5	-5	-5	-5	1.29310941877446	-5	0.490821992900465	1.22148491906009	-5	-5	-5	-5
Healthy	-0.879755204453635	-5	-1.63320361671327	-1.46407325860443	-2.01772876696043	-5	-5	-5	-5	-5	0.813588993922648	1.31567232140591	0.687245284100021	-0.476578725627368	-0.218474395596606	-5	-5	-5
Healthy	0.526544743132059	0.689214707374531	-0.562566556202029	0.552736335394256	-0.0487936637775196	-0.908931268499988	-1.21666823711258	-5	-5	-5	-5	-5	-5	1.55339155917997	-0.00261361560268669	-5	-5	-5
Healthy	0.394225718874703	-5	-5	-5	-5	-5	-5	-0.441423417457764	-5	-5	1.8443313923597	0.183281234864086	0.931182153667447	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-3.45593195564972	-5	-5	-5	-2.68613277963085	-2.74957999769111	-5	1.12402630324437	-5	1.56312270394849	-5	-5	-5	-5	-5
Healthy	0.457071567890118	-0.0714658920279765	0.268121442015216	-0.0705197664510663	-0.243812869364553	-0.591353074344234	-0.978273335586223	-5	-5	-5	0.577490650908505	-0.174957061303584	0.307457527335506	1.03791271517197	-1.58037463911226	-5	-5	-5
D003093	0.702347805807709	0.606312560534747	0.226378190904866	0.275764995587281	0.638104711181032	-0.630153574413799	0.0686940971024785	-1.9434762759209	-1.56114134057944	-1.31273865375649	0.997046330669865	-0.557394821035199	0.463413657454796	-2.71219827006977	-5	-5	-5	-5
Healthy	-0.177884248420696	0.273852811995447	-1.63395079019976	-0.279848968948673	-0.496713336441085	-0.721360702109261	-0.966335036796823	-2.05109823902979	-1.97633608180221	-1.93255715722362	0.963292827295192	0.404301636544275	0.445867190898078	-1.52665903581406	0.270571704722232	-5	-0.439400014692459	-1.43521561549601
Healthy	-1.3243132913006	-0.114734923502896	-5	-0.729158188466814	-1.17848647159523	-0.0972195581149567	-5	-5	-5	-5	1.31195909614083	0.423257345715005	-0.600620521847371	0.320561680195237	-5	-5	-5	-5
D003093	-1.05734718830679	-5	0.093617773879297	-0.439495584804943	-1.00039104102858	-2.6345120151091	-0.861697301833718	-1.29456395341475	-2.17587416608345	-5	1.33967459344099	0.0167409272862598	0.470106054718016	0.426693399128513	-5	-5	-5	-1.80687540164554
D003093	-0.0952844547213191	-0.349197255551879	-0.0585730493371347	-0.495841887744805	-0.455002320299602	-1.48333244090096	-1.48399376961395	-5	-2.45717457304082	-5	0.66447367733984	0.346352974450639	-0.293734665590408	0.644800842810223	-5	-5	-5	-5
Healthy	-0.9466910188759	-0.562852161439543	-0.529001830339126	-0.615001806737603	-0.836778973284422	-5	-1.24833605373901	-5	-0.672375460813222	-5	0.618531307434169	0.753411451864336	0.0154352054250808	-5	0.74214280216862	1.17511763840797	-5	-5
Healthy	0.19739359784971	0.0046437500057119	0.0460032316992487	-0.148075428764255	-0.479319998365605	-0.742513420926119	-0.26051468137794	-5	-2.18309616062434	-1.86742015234026	0.468589522375208	0.708882995106557	-0.547922086510154	-1.86106605974308	-5	-2.06048074738138	-5	-5
