group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	6.83724	1.45294	0.18247		13.19395	6.83724	1.45294	9.98856	43.6142	0.18247	0	0.70028	
Healthy	13.88306	0	0		72.2396	13.88306	0	0.05238	0	0	0	0	
D003093	30.88107	4.60697	1.80818		43.99447	30.88107	4.60697	0.19049	0	1.80818	0	0.05989	
D003093	15.89941	0.37494	1.35332		65.19976	15.89941	0.37494	3.17244	0	1.35332	0	0	
D003093	41.22763	4.56626	0.14721		40.20206	41.22763	4.56626	2.77021	0.04162	0.14721	0	0	
Healthy	8.04962	0	0		57.87419	8.04962	0	0	0	0	0	0	
Healthy	3.2063	1.80362	0		5.66977	3.2063	1.80362	0	0	0	0	0	
Healthy	26.42466	0.81149	0.69617		47.14362	26.42466	0.81149	8.249	0.00158	0.69617	0	0	
Healthy	7.39766	0.38055	0.32099		69.59291	7.39766	0.38055	0.15992	0	0.32099	0	0	
Healthy	15.49563	1.06244	0.10396		31.15765	15.49563	1.06244	2.78953	6.53506	0.10396	0	0.04458	
Healthy	29.18062	2.11801	0.07363		51.65985	29.18062	2.11801	0.09287	0	0.07363	0	0.00051	
Healthy	28.78854	0.01216	0.01923		58.6519	28.78854	0.01216	0.0108	0	0.01923	0	0.18026	
Healthy	33.73581	23.44327	0.08494		25.65235	33.73581	23.44327	1.7984	0	0.08494	0	0	
Healthy	22.11296	0.98503	0.75887		56.36691	22.11296	0.98503	1.79202	0.82499	0.75887	0.25495	0.01459	
Healthy	29.89807	11.8332	13.39566		23.10218	29.89807	11.8332	0	0	13.39566	0	0	
Healthy	10.34048	0.36728	0.01605		67.84814	10.34048	0.36728	0.13843	0.60467	0.01605	0	0.07128	
Healthy	65.55638	9.45639	1.32629		0.27462	65.55638	9.45639	11.43909	0.99399	1.32629	0	0	
Healthy	7.32847	0.22932	0.17548		86.76674	7.32847	0.22932	1.59752	0	0.17548	0	0.09711	
Healthy	4.18008	16.43668	0.69145		64.33041	4.18008	16.43668	2.78402	0	0.69145	0	0	
Healthy	59.47244	1.30402	2.75295		13.80299	59.47244	1.30402	0.1879	0.02627	2.75295	1.65371	0	
D003093	29.52299	3.59436	0.42419		30.77256	29.52299	3.59436	0.00455	0	0.42419	0	0.05714	
Healthy	9.24266	0.22823	0.47306		34.77124	9.24266	0.22823	1.19055	1.86453	0.47306	8.04332	0.6158	
Healthy	34.33585	3.26758	0.74219		45.30071	34.33585	3.26758	0.18936	0	0.74219	0	0	
D003093	31.50143	2.43872	3.19946		35.01827	31.50143	2.43872	0.27746	0	3.19946	9.65625	0.07031	
D003093	53.04359	0.35809	2.96053		24.08463	53.04359	0.35809	0.17523	0	2.96053	0.38958	0	
Healthy	26.56389	2.97751	2.86958		26.92825	26.56389	2.97751	16.867	5.52258	2.86958	0	0	
Healthy	47.64267	2.89382	0.12167		35.10278	47.64267	2.89382	0.07434	0	0.12167	0	0	
Healthy	17.49621	0	0.02265		48.16875	17.49621	0	0.18263	5.84141	0.02265	0	0.23947	
Healthy	24.58581	13.1947	5.28737		20.83528	24.58581	13.1947	23.59619	1.65451	5.28737	0.79631	0.04548	
Healthy	55.79246	3.4566	2.279		12.59463	55.79246	3.4566	2.29137	0	2.279	0	0	
Healthy	9.56664	0	0.2058		29.16997	9.56664	0	6.53149	19.976	0.2058	0.54221	0.71956	
D003093	35.00978	4.78502	0.0353		19.60978	35.00978	4.78502	0.12392	0	0.0353	0	0.04322	
D003093	27.9165	1.56473	6.42721		40.43666	27.9165	1.56473	2.02816	0	6.42721	0.00298	0	
Healthy	32.98286	10.01482	0.49563		34.23946	32.98286	10.01482	0.11959	0.08687	0.49563	0	0	
Healthy	17.90698	0	0		67.32252	17.90698	0	0.42591	0.40549	0	0	0	
Healthy	31.23049	0.13699	0.02068		46.13277	31.23049	0.13699	0.11479	0.08623	0.02068	0	0.24772	
Healthy	17.0801	0.34594	0.45389		21.17389	17.0801	0.34594	0	48.7672	0.45389	0	0	
Healthy	28.40003	0.70274	1.63427		39.6002	28.40003	0.70274	0.43006	0.02505	1.63427	0.63907	0.07772	
