group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0.14252	0	0	0	0.00631	0	0.14655	0.01282	0.19137	43.6142	2.61847	0	0.43369	1.03329	0	0	0.00566	0.01731
Healthy	0.03901	0	0	0	0	0	0	0	0	0	0.50622	0	3.7966	0	0	0	0.05238	0	0	0
D003093	7.21081	0.49002	2.9132	1.9553	0.93978	0.44347	0.05527	0	0	0	1.18584	0	0	0	0	0.05235	0	0.86806	0.17525	0.07679
D003093	0.03835	0.115	0.01051	0	0	0	0	0.03934	0	0	0.01153	0	0.24288	0	0	0	0	0	0	0
D003093	0	0.63003	0.04084	0.12547	0.03532	0.02999	0	0	0	0.00251	14.0781	0.04162	0.7917	1.70543	0	0	2.06758	0	0.05917	0.57513
Healthy	0	0.42454	0	0	0	0	0	0	0	0	0.14663	0	0	0	1.2917	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.90338	0	0	0	0	0	0	0
Healthy	0.02644	0.09083	0.2016	0.0346	0.08539	0.04106	0	0.01756	0	0	8.10952	0.00158	0	0	0	1.64835	6.07888	0	0	0
Healthy	0	0.0314	0.18852	0.09171	0	0	0	0	0	0	9.29193	0	6.19992	0	0	1.48561	0	0.55586	0.15992	0
Healthy	0.40751	2.12778	0.10266	0.92534	0.0635	0.19456	0	0	0.03571	0.00153	1.64579	6.53506	0	0.31005	0.47091	0.13884	2.68954	0.95503	0.00359	0.00359
Healthy	1.72485	1.42967	0.75986	0.38312	0.07791	0.04689	0	0	0	0.00136	2.17837	0	0	0	0.00168	0.12223	0	0.32504	0.00297	0
Healthy	0.00934	0.05673	0.01959	0	0	0	0	0	0	0	3.89297	0	0	0	7.66235	0.19329	0	0.75931	0.0108	0.01615
Healthy	0.02206	0.06939	0	0.04749	0	0	0	0	0	0	4.789	0	2.94971	16.8856	0	0	1.7984	0	0	0
Healthy	1.42095	0.47282	1.36906	0.17167	0.02334	1.32326	0	0	0	0.00069	10.3602	0.82499	0	0.51267	0	0.27825	1.77474	1.90355	0.01728	0.00166
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.03434	0.00959	0	0	0	0	0	0	15.4865	0.60467	0.44101	0	0	0.44617	0	0.86158	0.0282	0
Healthy	4.88893	3.36158	3.57055	0.89372	0	0.12332	0	0	0	0	0	0.99399	0	0	0.15953	0	0	0	0	0
