g	Bacteroides	Phocaeicola	Phytobacter	Enterocloster	Dialister	Veillonella	Ruminococcus_B	Faecalimonas	Clostridium_Q	Flavonifractor	Muricomes	Longicatena	Alistipes	Ruminococcus_H	Lachnospira	Barnesiella	Coprococcus	Ruminiclostridium_E	Methanobrevibacter_A	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.934626195830804	-0.470723678080773	0.986454180272142	-1.07314329105031	0.418049261100667	-5	-5	-5	-1.5777385491864	-1.16526148109616	-1.40099076017666	-0.900077767803078	0.0880190793238638	0.256919696449344	-2.94692155651658	-5	-5	-0.362810577851238	-5	-5	-5	-5
Healthy	1.12876716449744	1.62841457821411	-5	-5	0.579395987303872	-5	-5	-5	-5	-5	-5	-5	-0.295652121429059	-5	-1.51272018355693	0.866621056253241	-5	-5	-5	-5	-5	-5
Healthy	1.72534398472439	-5	-5	-0.372071154783151	-5	-5	-5	-5	-5	-5	-5	-5	-0.83374754804584	0.171705981376956	0.35488025902298	0.458722433800222	-5	0.111165021757667	-5	-5	-5	-5
Healthy	0.749682991442778	-1.29688065376392	-5	-0.87739097642401	0.279527783292017	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.45052007281021	0.821648446606005	-5	-1.0417228744523	-5	0.0235939977382082	-5	-5	-5	-1.73353310455976	-5	-5	1.01469774850903	-0.134896025358872	-0.0654964988499561	-5	0.85105155085077	-5	-5	-5	-5	-5
Healthy	1.47379006751291	1.42725250750727	-5	-1.3646167959525	0.792386786145778	-5	0.222378265944956	-5	-5	-1.07504911108439	-5	-0.517555208081735	1.0325200463414	-5	-5	-5	-5	-5	-5	-0.818671012910266	-5	-5
Healthy	1.13133117789128	0.099801453452244	-1.01587791713889	0.328036926154057	-5	-5	-3.65757731917779	-5	-5	-1.60484840849546	-5	-2.81247927916354	0.32121926695224	-1.63978538670465	-0.9456934341516	0.799515610671236	-5	-0.327052864653497	-5	0.196051767145499	-0.823272242355811	-5
Healthy	0.604218490676903	1.62819606048013	-1.50723961097316	0.155238841810451	-5	-2.22694530663574	-1.02599520310259	-2.06651271215129	-5	-1.90552887135835	-5	-2.07935499859321	0.378241599497053	0.846837314327683	-1.46826569072345	-0.15358247041197	-5	-2.77211329538633	-5	-5	-1.28718199979215	-1.29260016886675
Healthy	1.2110233082393	1.48601142699579	-5	-1.24611066854017	-5	-5	-2.26680273489343	-1.30033567979763	-5	-1.53446844302645	-5	-5	0.631627392107811	-0.378605586791193	1.00059500994851	-0.685858796739429	-5	0.884362552546645	-5	-1.4641997091751	-1.95703092660682	-5
Healthy	0.612634476100502	1.00091582933318	-5	-1.15864052954515	0.469780792850616	-5	-5	-5	-5	-5	-5	-5	0.997676399751038	-5	0.506349416162233	-0.0687608572473792	-5	-5	-5	-5	-1.02099825152528	-1.15521228117215
Healthy	1.04793107138044	-0.811071516239147	-5	-0.310753314270764	-5	-1.90692869362394	-1.26913700795351	-5	-5	-1.79155864356143	-5	-1.82944494147879	1.08252543369551	-0.916175003946663	-0.39099287211093	0.856505343348038	0.204535078318247	-5	-0.593527949534324	-0.435286603778826	-1.27621606303467	-0.611454779904043
Healthy	1.29310941877446	-5	-5	-5	-5	-5	0.487202029612374	-5	-5	-5	-5	-5	-5	1.22148491906009	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.813588993922648	1.47216938959718	-5	-0.879755204453635	-0.355541715083896	-1.86296254521049	-5	-5	-5	-5	-1.49052864789745	-5	1.31567232140591	-0.476578725627368	-0.469685017679468	-0.152785287758974	-0.329021661049564	-5	-5	-1.36321131096562	-5	-0.606389703644708
Healthy	-5	-0.56125202309777	0.192475455673402	0.526544743132059	-5	-5	-0.454952795598816	-5	-5	-5	-5	-5	-5	1.55339155917997	0.127813998776952	-5	-5	-0.797130412284789	-5	-5	-0.441675505973762	-0.0813721327862228
Healthy	1.8443313923597	0.623842420976196	-0.565718591863699	0.394225718874703	-5	-5	-5	-5	-0.769091480679235	-0.256168944872347	-0.975309137644569	-5	0.183281234864086	-5	-5	0.412992798904376	-5	-5	-5	-1.43497907165471	-5	-5
Healthy	1.12402630324437	1.14641581550975	0.403364207011209	-5	-5	0.538041849888292	0.597037763343695	-2.3777859770337	-5	-1.11639533907771	-5	-2.74957999769111	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.577490650908505	0.663311675903635	-1.28449805470672	0.457071567890118	-5	-5	-0.720675334557389	-5	-5	-2.09097914578884	-5	-5	-0.174957061303584	1.03791271517197	-0.923286755309975	0.355493663995184	0.748155453698543	-1.08107890990866	0.218461978766149	-5	-0.291460131372035	-1.79805693659835
Healthy	0.963292827295192	0.321993816695139	-5	-0.177884248420696	-5	-5	-5	-5	-5	-1.27687284120431	-5	-1.97633608180221	0.404301636544275	-1.52665903581406	-1.19415945118533	0.51030232728663	-0.211407444079641	0.383077156157465	0.882374244923364	-0.440644069587046	-1.00850811108984	-3.06048074738138
Healthy	1.31195909614083	1.34024893593354	-5	-1.3243132913006	0.193238724856175	-5	-5	-5	-5	-5	-5	-5	0.423257345715005	0.320561680195237	-0.0520274207542199	-5	0.64932901614618	0.0600213249091543	-5	-5	-2.00568284733036	-5
Healthy	0.618531307434169	0.565492448756345	1.22703810241191	-0.9466910188759	-5	-5	-5	-5	-5	-5	-5	-0.672375460813222	0.753411451864336	-5	0.25333315826243	0.46037156183465	-5	-1.65384269776799	-5	-5	-1.45929521668924	-5
Healthy	0.468589522375208	1.34569614557904	-1.30381841283148	0.19739359784971	0.521164245234233	-1.25328797748334	-5	-5	-5	-2.01547268665621	-5	-2.18309616062434	0.708882995106557	-1.86106605974308	0.395864340247071	0.505339940604518	-5	1.09237356156773	-5	-0.912680087793599	-0.329067984312	-0.564776953788971
Healthy	1.57196514126718	0.191688497983763	-1.59142087459133	0.77528123506865	-5	-5	-5	-5	-1.45531197769732	-0.382108905572645	-5	-2.30715308072277	0.837224058796229	-0.163068550109335	-1.31975516295739	-5	-5	0.755196216792059	-5	-5	-5	-5
Healthy	1.01210927712122	0.177951838838561	1.33662401418808	0.130459213226411	-5	-1.36101184065632	-0.956048581736723	-0.887160489154885	-1.08799062441302	-5	-1.80799040734633	-5	0.554417680273994	-5	-0.0508296359849904	0.573923549338574	0.817683677206976	-0.725888354734651	-0.106138411603977	-1.52929557027721	-0.347202677130181	-5
Healthy	0.94555130001292	0.559748671049318	-5	-0.220230402588856	0.49474716856849	0.236479318104428	-5	-5	-5	-5	-5	-5	-0.910094888560602	0.358808271489324	0.261203372322519	-5	0.777850759435224	0.523220834566593	-5	-5	-0.537706844457469	-1.9613798380503
Healthy	0.952388947631285	0.230484685333582	0.811735155939139	0.263119815292126	-5	-5	-5	-5	-5	-0.10075419655213	-5	-5	0.935179153850682	-0.0467623549877529	-0.281772426644859	-0.230984736872638	-5	-5	-0.265824467335679	-2.02227639471115	-5	-5
Healthy	1.18845317024137	1.16159946442968	-5	-0.813382648146363	-0.00398770325701485	-5	-5	-5	-5	-5	-5	-5	0.506372423814909	0.558809334357925	0.721659780881753	-5	0.743010901986168	-0.312364038953534	-5	-5	-1.03640103740276	-5
Healthy	1.10452944613239	1.06598208154639	-0.981674054597079	-0.676562255410414	-5	-5	-5	-5	-5	-5	-5	-5	0.366828109700658	0.339544849295641	-0.359876481674179	-0.963411023244595	-5	-1.47108329972235	-5	-1.37788963963878	-2.0762380391713	-5
Healthy	1.49639558020671	1.0229654422968	-1.00117418095971	-0.979472987725437	-5	-0.673787070000569	-5	-5	-5	-0.76654697795928	-5	-5	0.221416846209772	-0.0446875498903091	-1.58103616929638	-5	-0.237178945053849	-0.998655769588399	-5	-5	-1.07078549626261	-1.24595761321456
Healthy	1.28926333258579	0.0765166539225599	-5	0.459966643471183	0.498321583350671	-5	-1.97142874730746	-5	-5	-1.97142874730746	-5	-0.914673737576011	-0.533399263703119	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.0546471380597	1.15457185761662	-2.35261702988538	-0.168418145168527	-5	-1.19551981089401	-5	-5	-5	-1.07242434530889	-5	-2.84771165561694	0.617383064910903	0.533360185517288	-0.410374286513177	0.0273944621654235	0.221805317996549	0.720478495926727	-0.194444773478747	-1.51956185282218	-1.14684956355216	-2.82390874094432
Healthy	0.714281129455165	0.414911540127346	-0.662620616304181	-0.713229263285944	-5	-0.515017218069439	-0.221226706550073	-5	-5	-5	-5	-5	0.874301452368863	1.04217016556323	-5	0.170203022985664	-5	-5	-5	-5	-5	-0.729088360589519
Healthy	1.16382841125996	0.361302774775774	-5	-0.144783805266637	-5	-5	-5	-5	-5	-1.26897562018431	-5	-5	0.974543929731445	0.757873338483088	0.265390996562983	0.743498005693372	0.116119386267611	-0.11172500550642	-0.743787541434838	0.0493343359722838	-0.508806452705314	-1.20474581741912
Healthy	1.5392230562493	0.741569140493534	-5	-0.795662924371845	-5	-5	-5	-5	-5	-0.683128432651653	-5	-1.90974194706868	1.14318879562959	-0.568314655313988	-0.0448319825238872	-5	-5	0.463013062265057	-1.09044397075882	-5	-5	-0.678588002025994
Healthy	0.9991649179469	0.812213913666027	-5	-1.62616885492617	-5	-5	-5	-5	-5	-5	-5	-5	0.484033485331173	-5	-0.0123694809465719	0.763261731784976	-5	-2.1073489661227	-5	-0.744799883342882	-0.807181742951705	-1.20830935097988
Healthy	1.38642654737367	-0.623204126120284	-0.0375264840391993	-5	-5	-1.39523411529611	1.29013504426744	-5	-5	-1.31443738884177	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.33837500594045	0.945498620332878	-1.24192117775039	-1.86486734862323	-0.413401444321602	-1.48558507941963	-5	-5	-5	-0.794985207430996	-5	-5	1.13919406056096	-0.151552231418591	0.526283694479785	0.71903530230948	-5	0.240314566027667	-0.726790316599669	-1.52143350440616	-5	-2.03715731879876
Healthy	1.32063038961321	1.15147067332424	-1.01475320919714	-0.400990760176656	-5	-5	-5	-5	-5	-1.56607023439154	-5	-5	0.792185000205915	-1.61457248519487	-2.14026143380285	0.41772737834436	-5	-0.300188280568997	-1.15187248943213	-1.28920590006967	-0.86087686589042	-2.18708664335714
Healthy	1.25634220509257	1.20836986396273	-5	-0.05733727641529	-5	-1.30980391997149	-5	-5	-5	-1.09130056764778	-5	-5	0.406098849324656	-0.192113349312696	0.144739177044223	0.079752690996707	-0.0108974007032804	0.598310001050247	-5	-2.09691001300806	-0.413480207489726	-1.38658105496543
Healthy	1.30841628001052	0.831467913988562	-2.04383156952464	-0.575902760599452	1.01102501303179	-1.68319124794698	-1.82944494147879	-5	-5	-0.666653501575613	-2.52578373592374	-3.76955107862173	0.244836023425545	0.593166397973338	-5	-5	-5	-0.571168948613432	-5	-1.73969005420508	-0.300569887327523	-1.6267201067225
Healthy	1.38402295219386	1.15371427923842	-2.47237009912866	0.0513802260719356	-5	-5	-1.92263209471584	-5	-5	-1.66514431038271	-5	-2.43770713554353	0.787619851891287	0.692816966900798	-0.812394684581851	0.568374233824325	0.470492813880528	-0.167900027514095	-0.276363751548955	-1.01913344541792	-0.813297877434899	-0.570764660373345
Healthy	1.66106333087285	0.996351846896323	-1.13745123047521	-1.80299527197695	0.795363420938209	-0.627972207342595	-5	-5	-2.84466396253494	-0.999652703314636	-5	-5	0.934911339664022	-0.00291519231145859	-5	0.805146617599273	-5	-0.762230125698981	-5	-1.22148698826108	-5	-5
Healthy	0.3276613024366	0.839155506402829	1.211283704902	-5	-5	-0.233118902799713	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.22873929438427	0.976942544746109	-5	-0.0156662496057866	-5	-5	-5	-5	-5	-0.538336430659125	-5	-5	0.920074256594067	0.261914416454581	-1.70049270129951	0.557562537843242	-5	-0.382527856027807	0.459439232218998	-5	-0.87791524928913	-5
Healthy	1.88334863050346	0.971910586743869	-0.423232628157107	-1.04067235402783	0.521718499145115	-1.46495918674884	-1.68739956073874	-5	-0.311322169816408	-0.722092954952575	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
