s	Phocaeicola_vulgatus	Bacteroides_stercoris	Phytobacter_ursingii	Dialister_invisus	Enterocloster_sp900540675	Enterocloster_clostridioformis_A	Veillonella_parvula_A	Ruminococcus_B_gnavus	Clostridium_Q_symbiosum	Veillonella_atypica	Flavonifractor_sp000508885	Muricomes_sp000509105	Enterocloster_asparagiformis	Enterocloster_sp000155435	Enterocloster_citroniae	Veillonella_dispar_A	Ruminococcus_H_sp003531055	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Roseburia_sp900552665	Alistipes_obesi	Mediterraneibacter_lactaris	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	-0.470723678080773	0.448494530393402	0.986454180272142	0.418049261100667	-1.07314329105031	-5	-5	-5	-1.5777385491864	-5	-1.76145211231867	-1.40099076017666	-5	-5	-5	-5	0.256919696449344	-2.94692155651658	-5	0.0142264293892295	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.579395987303872	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.51272018355693	0.866621056253241	-5	0.899422125331053	-5	-0.458657935609943	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.171705981376956	0.35488025902298	0.458722433800222	-5	-5	-5	0.258627706113928	-5	-5	-5
Healthy	-1.29688065376392	-5	-5	0.279527783292017	-0.87739097642401	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.821648446606005	-5	-5	-5	-5	-5	-0.521217132493401	-5	-5	-0.200804239506554	-5	-5	-5	-5	-5	-0.903402791642106	-0.134896025358872	-0.0654964988499561	-5	0.217052067154388	-1.07628980560344	-0.440656048967849	-5	-5	-5	-5
Healthy	-5	-5	-5	0.792386786145778	-1.92848619490491	-5	-5	0.222378265944956	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.171907737413988	0.0108509573739229	-5	-1.03824678581322	-0.818671012910266	-5	-5
Healthy	-0.0408011448226132	0.569563506245393	-1.01587791713889	-5	-3.26760624017703	-5	-5	-3.65757731917779	-5	-5	-2.44369749923271	-5	-5	-5	-5	-5	-1.63978538670465	-0.9456934341516	0.799515610671236	-0.857454115913723	-0.660131359415349	-1.03390522055383	0.30554267487446	0.196051767145499	-0.823272242355811	-5
Healthy	0.352234630322521	-5	-1.50723961097316	-5	-5	-5	-2.22694530663574	-1.02599520310259	-5	-5	-5	-5	-5	-5	-5	-5	0.846837314327683	-1.46826569072345	-0.15358247041197	-0.912786658768385	0.336209492134949	-1.21381665443237	-1.00753485219196	-5	-1.28718199979215	-1.29260016886675
Healthy	0.410184839777753	1.06002926779479	-5	-5	-5	-5	-5	-2.26680273489343	-5	-5	-1.79155864356143	-5	-5	-5	-5	-5	-0.378605586791193	1.00059500994851	-0.685858796739429	-0.713768145971447	0.799546618096856	-0.795635795378995	-5	-1.4641997091751	-1.95703092660682	-5
Healthy	0.26556068059152	-5	-5	0.469780792850616	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.506349416162233	-0.0687608572473792	-5	-0.131050076200985	0.438997763148884	-1.44635966376865	-5	-1.02099825152528	-1.15521228117215
Healthy	-2.60554831917378	-0.351610711726253	-5	-5	-2.84771165561694	-5	-1.90692869362394	-1.26913700795351	-5	-5	-2.77728352885242	-5	-5	-2.24412514432751	-2.04527520902094	-5	-0.916175003946663	-0.39099287211093	0.856505343348038	-0.555549219206082	0.0714511796623383	-5	0.0852941467814013	-0.435286603778826	-1.27621606303467	-0.611454779904043
Healthy	-5	-5	-5	-5	-5	-5	-5	0.487202029612374	-5	-5	-5	-5	-5	-5	-5	-5	1.22148491906009	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0100411689718056	-5	-5	-0.355541715083896	-1.17405485679615	-1.27466018409026	-1.86296254521049	-5	-5	-5	-5	-1.49052864789745	-1.92775010238649	-5	-5	-5	-0.476578725627368	-0.469685017679468	-0.152785287758974	-0.350489900848029	-5	0.468022226494091	-1.44977164694491	-1.36321131096562	-5	-0.606389703644708
Healthy	-0.56125202309777	-5	0.192475455673402	-5	-5	-5	-5	-0.454952795598816	-5	-5	-5	-5	-5	-5	-5	-5	1.55339155917997	0.127813998776952	-5	-5	-5	-5	-5	-5	-0.441675505973762	-0.0813721327862228
Healthy	-0.0939128893255064	-5	-0.565718591863699	-5	0.356715970741412	-5	-5	-5	-0.769091480679235	-5	-0.368444627587096	-0.975309137644569	-0.702808710968012	-5	-2.16241156176449	-5	-5	-5	0.412992798904376	-1.11890078161098	-5	-1.04315950984077	-5	-1.43497907165471	-5	-5
Healthy	1.14639194447986	-5	0.403364207011209	-5	-5	-5	-1.81844222613721	0.597037763343695	-5	-0.482870109266796	-1.11639533907771	-5	-5	-5	-5	0.492432100338645	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0899827831811718	0.37376686840687	-1.28449805470672	-5	-5	-5	-5	-0.720675334557389	-5	-5	-5	-5	-5	-5	-5	-5	1.03791271517197	-0.923286755309975	0.355493663995184	-0.545444766198891	-0.339779805180208	-0.498516240927055	-5	-5	-0.291460131372035	-1.79805693659835
Healthy	-0.389137639007543	-2.32975414692588	-5	-5	-1.88806572366732	-5	-5	-5	-5	-5	-2.25963731050576	-5	-2.10623823794206	-5	-5	-5	-1.52665903581406	-1.19415945118533	0.51030232728663	-0.215168821875531	-0.576639421915023	-1.13984173868172	-5	-0.440644069587046	-1.00850811108984	-3.06048074738138
Healthy	-5	-5	-5	0.193238724856175	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.320561680195237	-0.0520274207542199	-5	0.315336274434903	-0.162316885787969	-0.429352001580662	-0.965692470403437	-5	-2.00568284733036	-5
Healthy	0.104090875895339	-5	1.22703810241191	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.25333315826243	0.46037156183465	-0.147465113058053	-0.496986023155788	-1.60032627851896	-0.411269024501929	-5	-1.45929521668924	-5
Healthy	0.865480634300108	-5	-1.30381841283148	0.521164245234233	-5	-5	-1.25328797748334	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.86106605974308	0.395864340247071	0.505339940604518	0.0763600457525881	-0.0554630444322364	-5	0.248860577400447	-0.912680087793599	-0.329067984312	-0.564776953788971
Healthy	0.191688497983763	1.40360621299781	-1.59142087459133	-5	0.0100369252660457	0.655608025977978	-5	-5	-1.45531197769732	-5	-0.530457789228313	-5	-0.399081530590897	-1.87647501905727	-5	-5	-0.163068550109335	-1.31975516295739	-5	0.101382718498418	-5	-5	-5	-5	-5	-5
Healthy	0.120817331105136	0.119935180421734	1.33662401418808	-5	-1.3465945093355	-5	-1.36101184065632	-0.956048581736723	-1.08799062441302	-5	-5	-1.80799040734633	-5	-5	-2.65560772631489	-5	-5	-0.0508296359849904	0.573923549338574	-0.50956391880679	-0.251532873384984	-0.24272546917445	-5	-1.52929557027721	-0.347202677130181	-5
Healthy	-5	-5	-5	0.49474716856849	-5	-5	0.129406283931278	-5	-5	-0.675696962513166	-5	-5	-5	-5	-5	-0.780782342977093	0.358808271489324	0.261203372322519	-5	-0.970697406441002	0.135056285193722	-5	-0.718602978151244	-5	-0.537706844457469	-1.9613798380503
Healthy	-0.0608153329025503	-0.486769078219758	0.811735155939139	-5	0.194378343404832	-5	-5	-5	-5	-5	-0.976212720210153	-5	-0.571346954737989	-5	-5	-5	-0.0467623549877529	-0.281772426644859	-0.230984736872638	0.227194880408394	-5	0.494509401265625	-5	-2.02227639471115	-5	-5
Healthy	-5	-5	-5	-0.00398770325701485	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.558809334357925	0.721659780881753	-5	0.258055120057764	-0.449845055032846	-0.0281723540571374	-1.76522970483908	-5	-1.03640103740276	-5
Healthy	-1.42805836492554	-2.77211329538633	-0.981674054597079	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.339544849295641	-0.359876481674179	-0.963411023244595	-1.3269790928711	0.98973984375708	-2.18575240426808	-1.40461401919086	-1.37788963963878	-2.0762380391713	-5
Healthy	0.864689627191863	1.20171958431672	-1.00117418095971	-5	-5	-5	-1.15920410115291	-5	-5	-0.909988975992853	-1.74208154968594	-5	-5	-5	-5	-1.70730099695607	-0.0446875498903091	-1.58103616929638	-5	-0.891198275877974	-0.355758414156271	-1.66756154008439	-0.22801588300237	-5	-1.07078549626261	-1.24595761321456
Healthy	0.075685621526228	1.15098074183272	-5	0.498321583350671	-1.22555603107503	-5	-5	-1.97142874730746	-5	-5	-2.48945498979339	-5	-5	-2.08512818245995	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0390332008472302	0.182719863884381	-2.35261702988538	-5	-5	-5	-1.46890445312997	-5	-5	-1.68465952337271	-2.64397414280688	-5	-2.26760624017703	-5	-5	-2.0395292224657	0.533360185517288	-0.410374286513177	0.0273944621654235	-0.537781747353759	-0.763865983184569	-0.538846765009157	0.0707174213476563	-1.51956185282218	-1.14684956355216	-2.82390874094432
