f	Lachnospiraceae	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Pasteurellaceae	Lactobacillaceae	Veillonellaceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae	Micrococcaceae
Healthy	0.0663632022584946	0.573929341329467	-5	-0.738784727731408	0.986454180272142	-5	-5	-5	-5	-5	-5	-0.154722075245364	-0.794362640520571	-5	-5
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.72205859495003	0.111165021757667	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.348131049753465	0.437435029969223	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.30706473841213	0.731861020341784	-5	-1.71692502526453	-5	-0.169411331314856	-5	-5	0.336485750711003	-5	0.0235939977382082	-5	-5	-5	-5
Healthy	0.684733184327011	0.282816901350496	-0.255026763964733	-0.493494967595128	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.1009571356995	0.346734281891791	-0.0191833724103408	-1.21997087266266	-1.01587791713889	-1.47781668238131	-5	-5	-5	-1.98088370955293	-5	-1.35076252765039	-1.44708854978349	-0.496331862454351	-5
Healthy	1.11779014983648	0.947517043534692	-0.488049829624501	-1.89997426989214	-1.07381195089279	-1.77572598570574	-5	-0.922305134113414	-2.25570701687732	-1.35349824996839	-2.22694530663574	-3.2839966563652	-1.29260016886675	-1.4087127349415	-5
Healthy	1.24008775247789	1.03946607275992	-0.111511609537604	-5	-5	-1.71579493229821	-5	-5	-5	-5	-5	-0.744076541267099	-5	-1.70136521687556	-5
Healthy	1.18079945560002	1.23456308954756	-5	-5	-5	-5	-5	-5	-5	-1.07083661679494	-5	-5	-1.15521228117215	-5	-5
Healthy	1.18128750658172	0.762234291084241	0.279566570280012	-0.151066137078684	-5	-1.28291227507298	-3.2518119729938	-5	-5	-5	-1.90692869362394	-1.83564714421556	-0.576737737901385	-1.18902860017779	-2.39577394691553
Healthy	0.975087453435228	0.580112621451532	-5	-5	-5	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.37159239488545	0.883883918596591	-0.043010837158594	-5	-5	-1.79425445905734	-5	-5	-1.14333151638846	-5	-1.86296254521049	-1.14697138528701	-0.606389703644708	-5	-5
Healthy	1.4491178545749	0.222784080594466	-5	-5	0.375840952758352	-0.462747745749293	-5	-5	-5	-0.961538803821436	-5	-5	-0.0813721327862228	-5	-5
Healthy	0.585977063678932	0.382818216177063	-5	-1.26233037264336	0.177438375806556	-0.917789283398757	-5	-5	-5	-5	-5	-1.01269132626882	-5	-5	-5
Healthy	0.612949069045181	-5	-5	-2.74957999769111	0.411570887173071	-0.368150537840182	-1.70289634985074	-5	-1.64704608828991	-0.861981660385737	0.989411548229137	-5	-5	-5	-1.58972903574782
Healthy	1.54045411318771	1.1242997452926	-0.488892380040732	0.0798249722168164	-1.23425695857896	0.0509285617774432	-5	-0.359617955290432	-1.10253786198694	-0.436008977413847	-5	-5	-1.79805693659835	-5	-5
Healthy	0.730895274398542	0.572649753445391	0.910634008346503	-1.10275789719463	-5	-0.544591684757714	-0.963411023244595	-5	-5	-5	-5	-0.210553262965207	-1.9017024635053	-0.893367211079884	-5
Healthy	1.41598657678453	0.776149613960153	-5	-0.177714206154696	-5	-1.10773839308446	-5	-0.67623241670322	-0.880216413838302	-5	-5	-5	-5	-5	-5
Healthy	1.29766532782319	0.806758421702446	-5	-0.147812887895141	1.22703810241191	-5	-5	-0.509002705984747	-5	-5	-5	-5	-5	-5	-5
Healthy	1.31259663335331	1.40267260647622	0.104521252618329	-2.18309616062434	-1.30381841283148	-1.06570359318059	-5	0.252428233716468	-5	-2.3585258894959	-1.25328797748334	-5	-0.543679524625626	-5	-5
Healthy	0.792191307435894	1.00806037456492	-5	-1.64474009447262	-1.59142087459133	-5	-5	-5	-5	-5	-5	-0.620730750526353	-5	-5	-5
Healthy	1.26187639673694	0.782903837869686	-0.0631445861152637	0.563071516383439	1.33662401418808	0.091846264855252	-0.545246580034338	-1.29191918953177	-0.461753115328017	-5	-1.36101184065632	-1.34208406317004	-5	-5	-5
Healthy	1.59537506542604	0.970598824129357	-5	0.301743823124463	-5	-0.559515979176601	-5	0.678835107291026	0.336385677323575	-5	0.236479318104428	-5	-1.9613798380503	-5	-5
Healthy	0.640088704941548	0.541474401590156	-5	-1.7830427926389	0.811735155939139	-0.722757627218642	-5	-5	-5	-5	-5	-0.142926951366022	-5	-5	-5
Healthy	1.3757118865383	0.710355188383346	-0.0417659044388201	-0.334456530644509	-5	-1.48558507941963	-5	-0.321836849737658	-1.0395292224657	-5	-5	-5	-5	-5	-5
Healthy	1.18324449723243	-0.325662531844354	-5	-5	-0.981674054597079	-5	-5	-5	-5	-5	-5	-5	-5	-1.70487291474781	-5
Healthy	1.01488034167546	1.29451935233853	-0.400433488998382	-1.68423950933427	-1.00117418095971	-5	-5	-5	-5	-5	-0.673787070000569	-0.606021397348228	-1.23010596418783	-5	-5
Healthy	1.15191322113061	0.423034411187299	-5	-0.691713111370895	-5	-0.731913695552616	-1.18601892436353	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.14402562286898	1.03548137012738	0.0623713661435777	0.164715607852906	-1.0315637522883	-0.817328613324521	-5	-1.65521487736734	-0.96106208096138	-5	-1.19551981089401	-1.10941133229451	-2.77211329538633	-1.05497479875754	-3.39794000867204
Healthy	1.42342201427606	0.962149054149991	-5	-5	-0.662620616304181	-0.74816718137136	-5	-5	-5	-5	-0.515017218069439	-5	-0.622475199326298	-5	-5
Healthy	1.25318772119131	0.371568398420568	0.171196788699384	-5	-5	-2.57348873863542	-5	-5	-5	-5	-5	-1.12644690648638	-1.10061729446673	-1.7867479478036	-5
Healthy	0.584881660330662	0.974226982265468	-5	-1.90974194706868	-5	-1.60467360693065	-5	-5	-5	-5	-5	-0.986109939671561	-0.55565848549737	-5	-5
Healthy	1.20437505574366	0.794184003829024	-5	-5	-5	-0.885355661097721	-5	-5	-5	-5	-5	-1.09642170633695	-1.20830935097988	-0.678194516142461	-5
Healthy	1.31487020916473	-3.16115090926274	-5	-5	-0.0375264840391993	-2.97881070093006	-5	-5	-5	-0.53426034079614	0.862933010009963	-1.81958736716168	-1.47977856411804	-5	-5
Healthy	0.826166189386517	0.822214515000215	0.365081579699462	-5	-1.24192117775039	-1.75300930075845	-5	-5	-1.68131073005225	-5	-1.48558507941963	-0.812310106474816	-2.03715731879876	-0.528605596307167	-5
Healthy	1.33867697157123	0.594813380000131	-0.00465882137147871	-1.68298189895189	-1.01475320919714	-0.251145532354061	-5	-5	-5	-5	-5	-1.03123695180275	-2.18708664335714	-0.753501419204199	-5
Healthy	1.2825602605898	1.04842587653765	-0.0736112448204073	-1.20453710560962	-0.997315687010271	0.0209162281357402	-5	-1.57528166266843	-1.2958494831602	-5	-1.30980391997149	-5	-1.38658105496543	-5	-5
Healthy	0.969957045245668	0.604968687935136	-0.340958972003924	-0.101346109972029	-2.04383156952464	-1.78041547378575	-5	-5	-5	-5	-1.68319124794698	-2.91721462968355	-1.6267201067225	-0.838242804738273	-5
Healthy	1.13142200053863	0.650962842283374	0.51923059217666	-2.43770713554353	-2.03574036980315	-1.05359686610095	-5	-1.87095494011204	-2.70774392864352	-5	-5	-1.23121395309199	-0.551154604488859	-1.91080163319485	-5
Healthy	0.464564059655464	0.326407554571499	0.017016635343629	-0.787785752580059	-1.13745123047521	-5	-5	-5	-1.63808338133136	-5	-0.627972207342595	-1.10325338439259	-5	-5	-5
Healthy	-0.7247577694441	-2.43297363384094	-5	-5	1.211283704902	0.0871458327523663	-5	-5	-0.715185902618769	-5	0.505247683586904	-0.879919865870547	-5	-5	-0.475694771155077
Healthy	1.11621643709677	1.00051997338741	0.314941086692983	-0.0994417145904625	-5	-0.721863993284522	-0.656847528337743	-5	-5	-5	-5	-1.05276239212933	-5	-0.774354787024547	-5
Healthy	0.0459094670350095	-0.0436634570789661	-5	-1.93930215964639	-0.423232628157107	-0.63339028960757	-5	-5	-5	-5	-1.46495918674884	-2.59859945921846	-5	-5	-5
Healthy	0.930982632957629	1.43494188581265	0.14447768699984	-3.20760831050175	-5	-0.846063245539065	-5	-5	-5	-5	-5	-1.43168091490489	-5	-5	-5
Healthy	0.663210772256511	0.554371636252344	-5	-1.2308443092856	0.804400475980121	-0.669342765288606	-5	-5	-5	-5	-5	-0.183427303973897	-5	-1.27351730321517	-5
Healthy	0.518965108499921	-0.159498701709034	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.24123945609002	-5	-5	-5
Healthy	1.38272503194164	0.0216068482110759	0.014293671949801	-5	-5	-5	-5	-5	-5	-5	-5	-1.57528166266843	-5	-0.638933550246058	-5
Healthy	1.10938143304344	0.0385963207931104	-5	-0.845697780315335	1.21513266374785	-5	-5	-0.45143861810245	-5	-5	-5	-5	-5	-0.811380832792151	-5
Healthy	0.607349921956901	0.393483947973508	-5	-1.397831448621	0.223698374168054	-1.20453710560962	-5	-5	-5	-5	-5	-1.0073581301216	-5	-5	-5
Healthy	1.77027099352016	0.473172996720667	-5	-5	-5	-0.938698343793955	-5	-5	-5	-5	-0.0579869836405412	-5	-5	-5	-5
Healthy	0.475268662137219	0.342472029664019	-0.00246945725840384	-0.849304948857286	-1.54760015408856	-5	-5	-5	-1.9734667354767	-5	-0.650955713397964	-0.998699066979582	-5	-5	-5
Healthy	1.20174796898831	0.415457483406035	-5	-5	0.243191885767495	1.1958479212595	0.410225371069719	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.17840854131628	0.329745582554248	-0.226637820770666	0.229351581311782	0.811834968573133	-0.472524771587791	-5	-1.32385531964379	-1.46218090492673	-0.882165481456253	-2.32422165832591	-1.43937612545007	-5	-5	-2.82390874094432
Healthy	0.469372767370689	0.309361843843319	-5	-0.617982957425132	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.52023716615483	0.319264334449031	-0.111152442643604	-1.01295971302073	-5	-5	-5	-5	-1.7619538968712	-5	-5	-0.69216179584344	-5	-5	-5
Healthy	0.670205020049456	0.712669900900809	0.353773942046363	-0.654998961821958	1.10904539072735	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.650437694808689	0.893824988069619	0.364537863140856	-2.49349496759513	-2.08301995267962	-1.96217524941166	-5	-5	-5	-5	-5	-1.03428102975578	-1.18329481633348	-1.39061905574929	-5
Healthy	0.695893010680155	0.953635037609222	-5	-1.45247142354022	-2.38721614328026	-0.590997296598228	-2.14508697769214	-1.00291956452827	0.359939776350954	-5	-1.708409174342	-5	-2.43297363384094	-5	-1.6643415477107
Healthy	1.41534968477539	0.945889872880691	-5	-1.60136567546161	-1.6643415477107	-0.267027566564563	-1.20523320205918	-1.04186632432376	-0.712332608725865	-5	-1.91435271170314	-1.17947015147648	-0.690433704106227	-5	-5
Healthy	1.20227438660659	1.24625723903805	-0.23099952136564	-1.05978244440026	-5	0.358813974372079	-5	-5	-5	-2.52143350440616	-5	-0.548014111051091	-0.424569664694468	-0.861570979993996	-5
Healthy	1.14197781774328	0.673914394293989	0.275523266187393	-5	-5	-5	-5	-0.912999879204009	-5	-5	-5	-5	-1.2057211342786	-1.41072077876403	-5
Healthy	1.13642724009451	0.575046907362638	-5	-5	-5	-0.703290943824397	-5	-5	0.443353749433271	-5	-0.522893222004348	-1.70929775671215	-5	-5	-5
Healthy	0.73885267074137	0.65110833457348	-5	-5	-5	-5	-5	-5	-0.905738557279498	-5	-5	-5	-5	-5	-5
