g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	-0.827280338650503	-5	-5	-5	-5	-5	-5	-0.900077767803078	-1.85356186471423	-5
Healthy	-5	-5	-5	-5	0.0909842096329808	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.695487930375765	-0.8980468225228	-1.46079840070587	-5	-0.133866316074504	-5	0.336485750711003	-5	-5	-5
Healthy	-0.724619532472566	-5	-1.0375359539421	-5	-5	-5	-5	-0.517555208081735	-5	-5
Healthy	-0.988556437977925	-0.588262478182643	-0.0332155177848394	-5	0.0538118967663465	-0.823272242355811	-5	-2.81247927916354	-5	-5
Healthy	-0.119260701287455	-0.903750616810388	-0.416653840383539	-0.922305134113414	-0.366905400540435	-1.28718199979215	-2.25570701687732	-2.07935499859321	-5	-5
Healthy	-1.70774392864352	-5	-5	-5	-0.659020783396364	-1.95703092660682	-5	-5	-5	-5
Healthy	-5	-5	-1.32330639037513	-5	-1.27810698378504	-1.02099825152528	-5	-5	-5	-5
Healthy	0.136425654004358	0.129241835238635	-0.765280295378124	-5	-0.0132640853124717	-1.27621606303467	-5	-1.82944494147879	-1.69100897099984	-2.39577394691553
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.46407325860443	-5	-2.01772876696043	-5	-5	-5	-1.14333151638846	-5	-5	-5
Healthy	0.552736335394256	-0.908931268499988	-0.0487936637775196	-5	-1.45917018588892	-0.441675505973762	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-3.45593195564972	-5	-5	-5	-5	-5	-1.64704608828991	-2.74957999769111	-5	-1.58972903574782
Healthy	-0.0705197664510663	-0.591353074344234	-0.243812869364553	-0.359617955290432	0.310650836478306	-0.291460131372035	-1.10253786198694	-5	-5	-5
Healthy	-0.279848968948673	-0.721360702109261	-0.496713336441085	-5	-1.11069829749369	-1.00850811108984	-5	-1.97633608180221	-5	-5
Healthy	-0.729158188466814	-0.0972195581149567	-1.17848647159523	-0.67623241670322	-5	-2.00568284733036	-0.880216413838302	-5	-5	-5
Healthy	-0.615001806737603	-5	-0.836778973284422	-0.509002705984747	-5	-1.45929521668924	-5	-0.672375460813222	-5	-5
Healthy	-0.148075428764255	-0.742513420926119	-0.479319998365605	0.252428233716468	-2.56863623584101	-0.329067984312	-5	-2.18309616062434	-5	-5
Healthy	-1.40993876919626	-5	-1.34466944199066	-5	-5	-5	-5	-2.30715308072277	-5	-5
