s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-5	-5	-5	-5	-5	-5	-1.89177334362507	-5	-5	-5	-5	-0.102136584883984
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.323544969649285	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.677677314125989	-5
Healthy	-5	-1.51144928349956	-5	-1.06854212931099	0.336485750711003	-0.329225520373139	-5	-0.903402791642106	-1.75522823850471	-5	-5	-1.01006098671546
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-0.823272242355811	-1.19715788726093	-5	-2.74714696902011	-2.81247927916354	-5	-5	-5	0.577658362336873	-0.105357231476041
Healthy	-0.922305134113414	-3.30980391997149	-1.28718199979215	-1.10835105612944	-2.25570701687732	-2.431798275933	-2.86327943284359	-5	-5	-5	-5	-1.41307529185518
Healthy	-5	-5	-1.95703092660682	-5	-5	-5	-5	-5	-5	-5	-0.187782071018796	-1.08996287644695
Healthy	-5	-5	-1.02099825152528	-5	-5	-5	-5	-5	-5	-5	-5	-0.429153626990195
Healthy	-5	-2.67778070526608	-1.27621606303467	-1.63171311509787	-5	-5	-3.15490195998574	-5	-5	-2.39577394691553	0.394104807227529	-1.31140222491883
Healthy	-5	1.02953027662577	-5	-5	-5	-5	-5	-5	-5	-5	0.434833870556297	0.415979410900535
Healthy	-5	-5	-5	-5	-1.14333151638846	-5	-5	-5	-5	-5	0.29160192144068	-1.30198649606082
Healthy	-5	-5	-0.441675505973762	-5	-5	-5	-5	-5	-5	-5	-5	0.386238489119285
Healthy	-5	-0.917789283398757	-5	-5	-5	-5	-5	-5	-5	-5	0.726885253679645	0.0413413564136055
Healthy	-5	-5	-5	-5	-1.64704608828991	-0.487515724122098	-2.74957999769111	0.492432100338645	-5	-1.58972903574782	-5	-0.844542498548157
Healthy	-0.359617955290432	-0.168904842959332	-0.291460131372035	-0.728413935972729	-1.10253786198694	-1.0007389288869	-5	-5	-5	-5	-5	-0.882861333596115
Healthy	-5	-0.544591684757714	-1.00850811108984	-1.35095736591382	-5	-5	-2.6252516539899	-5	-5	-5	0.601055610567848	-1.04029097575357
Healthy	-0.67623241670322	-5	-2.00568284733036	-0.794011149247548	-5	-5	-5	-5	-5	-5	0.320287564683104	-2.00700490156866
Healthy	-0.509002705984747	-5	-1.45929521668924	-5	-5	-5	-0.672375460813222	-5	-5	-5	-5	-0.253716179848593
