f	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Streptococcaceae	Bifidobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Oscillospiraceae	Peptostreptococcaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Marinifilaceae
Healthy	0.0663632022584946	0.573929341329467	0.264085514155395	-5	-1.78251605578609	0.105820041248875	-5	-5	-5	-0.738784727731408	-1.06469430971007	-5	-0.794362640520571	-5	0.951376380098069	0.0880190793238638	0.481229012021988	-5	-0.529192738698152	-5
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.74783028473047	-0.295652121429059	0.925511656050378	0.866621056253241	-1.28075160155205	-5
Healthy	0.72205859495003	0.111165021757667	0.171705981376956	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-0.83374754804584	0.235912072547043	0.458722433800222	-5	-5
Healthy	-0.348131049753465	0.437435029969223	-5	-5	0.256147450368233	-5	-5	-5	-5	-5	-1.70531337572056	-5	-5	-5	0.753566207633706	-5	-5	-5	-5	-5
Healthy	1.30706473841213	0.731861020341784	-0.134896025358872	-0.169411331314856	-0.0907114758377493	-5	0.529330239490453	-5	-5	-1.71692502526453	-1.73353310455976	-5	-5	-5	1.54219842077457	1.01469774850903	0.289985611272195	-5	0.783824284719325	-5
Healthy	0.684733184327011	0.282816901350496	-0.254175994059787	-5	-0.419576861588155	-5	-5	-5	-5	-0.493494967595128	-1.07504911108439	-5	-5	-5	1.75217425969463	1.03859473133614	0.201765708466026	-5	-0.796070062755374	-0.255026763964733
Healthy	1.1009571356995	0.346734281891791	-0.385218751858922	-1.47781668238131	-0.301507982535077	-0.277942228668536	-5	-1.98088370955293	-5	-1.21997087266266	-0.611188586526476	-5	-1.44708854978349	-5	1.26817390882452	0.564158104275546	0.137043790184323	0.799515610671236	0.430258930332081	-0.0191833724103408
Healthy	1.11779014983648	0.947517043534692	0.84938562719768	-1.77572598570574	-0.0859743483036714	0.0957480250442235	-5	-1.35349824996839	-5	-1.89997426989214	-1.84557602688535	-0.922305134113414	-1.29260016886675	-5	1.66858633555195	0.378241599497053	0.199497375490972	-0.15358247041197	-2.52578373592374	-0.488049829624501
Healthy	1.24008775247789	1.03946607275992	-0.378605586791193	-1.71579493229821	-5	-1.91470942176993	-5	-5	-5	-5	-1.42550573171467	-5	-5	-5	1.71748543082935	0.635095523184499	0.0638922893443259	-0.685858796739429	-1.96617430604669	-0.111511609537604
Healthy	1.18079945560002	1.23456308954756	-5	-5	1.34327168575716	0.123949591081827	-5	-1.07083661679494	-5	-5	0.149382327425737	-5	-1.15521228117215	-5	1.14982516181725	0.997676399751038	-0.13519829994923	-0.0687608572473792	0.254888708775947	-5
Healthy	1.18128750658172	0.762234291084241	-0.112343322416142	-1.28291227507298	-0.14506878137718	-5	-5	-5	-3.2518119729938	-0.151066137078684	-0.424465781680136	-5	-0.576737737901385	-2.39577394691553	1.4934093905568	1.09551072269155	0.557037765882228	0.856505343348038	0.253345275820191	0.279566570280012
Healthy	0.975087453435228	0.580112621451532	1.22148491906009	1.1269644402306	1.07310257186231	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.30116134987843	-5	0.490821992900465	-5	-5	-5
Healthy	0.37159239488545	0.883883918596591	-0.476578725627368	-1.79425445905734	-5	-0.92161569125181	-5	-5	-5	-5	-5	-5	-0.606389703644708	-5	1.60898703950159	1.31658086566086	0.687245284100021	-0.152785287758974	-1.54959691384463	-0.043010837158594
Healthy	1.4491178545749	0.222784080594466	1.55339155917997	-0.462747745749293	0.9318081145476	-5	-5	-0.961538803821436	-5	-5	-5	-5	-0.0813721327862228	-5	-0.56125202309777	-5	-5	-5	-5	-5
Healthy	0.585977063678932	0.382818216177063	-0.844087310914094	-0.917789283398757	-0.639539128949822	-5	-5	-5	-5	-1.26233037264336	-0.0379670531146965	-5	-5	-5	1.86971428135975	0.193614295428634	0.931182153667447	0.412992798904376	-1.03207779326948	-5
Healthy	0.612949069045181	-5	-5	-0.368150537840182	1.10627625137725	0.559244509416333	-5	-0.861981660385737	-1.70289634985074	-2.74957999769111	-1.1049091030656	-5	-5	-1.58972903574782	1.44342916133512	-5	1.56312270394849	-5	-5	-5
Healthy	1.54045411318771	1.1242997452926	1.03998803970842	0.0509285617774432	0.0496753420608595	-0.857798309836487	0.199894984410582	-0.436008977413847	-5	0.0798249722168164	-2.09097914578884	-0.359617955290432	-1.79805693659835	-5	0.930091305931401	-0.174957061303584	0.307457527335506	0.355493663995184	-1.2954205503037	-0.488892380040732
Healthy	0.730895274398542	0.572649753445391	-1.37768233916616	-0.544591684757714	-0.768046430801019	-1.34553466647985	-5	-5	-0.963411023244595	-1.10275789719463	-1.08990945440593	-5	-1.9017024635053	-5	1.24487037494188	0.462311130315528	0.445867190898078	0.51030232728663	0.0757512871934784	0.910634008346503
Healthy	1.41598657678453	0.776149613960153	0.320561680195237	-1.10773839308446	0.490921572614853	-0.767664722914346	-5	-5	-5	-0.177714206154696	-5	-0.67623241670322	-5	-5	1.62736421774254	0.423257345715005	-0.600620521847371	-5	-1.23942674605561	-5
Healthy	1.29766532782319	0.806758421702446	-5	-5	0.393975096445539	-0.300812902691751	0.355229239344489	-5	-5	-0.147812887895141	-5	-0.509002705984747	-5	-5	1.23899524129313	0.753411451864336	0.0154352054250808	0.46037156183465	-5	-5
Healthy	1.31259663335331	1.40267260647622	-1.61136603064821	-1.06570359318059	-0.486076911675506	0.357871984039196	-5	-2.3585258894959	-5	-2.18309616062434	-1.78887945874195	0.252428233716468	-0.543679524625626	-5	1.39981973061662	0.719140619695214	-0.547922086510154	0.505339940604518	-1.6076548446388	0.104521252618329
Healthy	0.792191307435894	1.00806037456492	-0.163068550109335	-5	-5	-5	-5	-5	-5	-1.64474009447262	-0.371795045398399	-5	-5	-5	1.58969118064357	0.837224058796229	0.383400614175564	-5	-0.804017369311642	-5
Healthy	1.26187639673694	0.782903837869686	-1.65757731917779	0.091846264855252	1.10882842935222	-0.4678318683063	0.290828977408293	-5	-0.545246580034338	0.563071516383439	-5	-1.29191918953177	-5	-5	1.07148359866083	0.557983341397184	-0.0870131533003444	0.573923549338574	-0.888233566947438	-0.0631445861152637
Healthy	1.59537506542604	0.970598824129357	0.358808271489324	-0.559515979176601	0.436447310914848	-0.146356534676225	-5	-5	-5	0.301743823124463	-5	0.678835107291026	-1.9613798380503	-5	1.09518156034197	-0.910094888560602	-1.6714165502858	-5	-0.914495360573502	-5
Healthy	0.640088704941548	0.541474401590156	-0.0322087372703593	-0.722757627218642	-5	-5	0.0206802558933171	-5	-5	-1.7830427926389	-0.10075419655213	-5	-5	-5	1.25872082968974	0.935657378806223	0.25912301859412	-0.230984736872638	-1.30874164186689	-5
Healthy	1.3757118865383	0.710355188383346	0.558809334357925	-1.48558507941963	0.99456129217834	-0.856080061614163	-5	-5	-5	-0.334456530644509	-5	-0.321836849737658	-5	-5	1.476263690349	0.506372423814909	-0.741482440083547	-5	-1.5480601306349	-0.0417659044388201
Healthy	1.18324449723243	-0.325662531844354	0.339544849295641	-5	-5	-5	0.515312075477326	-5	-5	-5	-5	-5	-5	-5	1.75222451277329	0.374574226824472	0.919187437099777	-0.963411023244595	-0.492656952400061	-5
Healthy	1.01488034167546	1.29451935233853	0.00361991650831003	-5	-5	-1.10712659311123	-5	-5	-5	-1.68423950933427	-0.76654697795928	-5	-1.23010596418783	-5	1.62225993759292	0.221416846209772	0.335590275135901	-5	-1.82159865846624	-0.400433488998382
Healthy	1.15191322113061	0.423034411187299	-1.53895190832934	-0.731913695552616	-0.460986665060487	-5	-5	-5	-1.18601892436353	-0.691713111370895	-0.668006161957744	-5	-5	-5	1.31508932424031	-0.533399263703119	-0.651597772422364	-5	-5	-5
Healthy	1.14402562286898	1.03548137012738	0.542963533042303	-0.817328613324521	-0.216203578966548	-1.03226486821612	0.427232859115983	-5	-5	0.164715607852906	-0.986446569458324	-1.65521487736734	-2.77211329538633	-3.39794000867204	1.42352406105931	0.620538918337038	0.819659074117858	0.0273944621654235	-0.720173418205985	0.0623713661435777
Healthy	1.42342201427606	0.962149054149991	1.04217016556323	-0.74816718137136	1.38646596861784	-0.180982801310941	-5	-5	-5	-5	-5	-5	-0.622475199326298	-5	0.890926004646825	0.874301452368863	-0.401691094102905	0.170203022985664	-1.35193287055107	-5
Healthy	1.25318772119131	0.371568398420568	0.757873338483088	-2.57348873863542	0.530503213925169	-0.424373462079022	-5	-5	-5	-5	-1.22650610772903	-5	-1.10061729446673	-5	1.22737552968019	1.02329321142189	-0.620803296167865	0.743498005693372	-0.713813083058962	0.171196788699384
Healthy	0.584881660330662	0.974226982265468	-0.416960004993965	-1.60467360693065	0.750233691942234	-0.270932451300711	-5	-5	-5	-1.90974194706868	-0.659813762083655	-5	-0.55565848549737	-5	1.60343669195043	1.14318879562959	0.454144853475704	-5	-2.69680394257951	-5
Healthy	1.20437505574366	0.794184003829024	-5	-0.885355661097721	-0.687653360969147	0.145012950231849	-5	-5	-5	-5	-5	-5	-1.20830935097988	-5	1.63268622347133	0.508945634463445	0.305718859250873	0.763261731784976	0.63423738469509	-5
Healthy	1.31487020916473	-3.16115090926274	-5	-2.97881070093006	1.39885991175452	0.757343636962944	-1.53017798402184	-0.53426034079614	-5	-5	-1.31443738884177	-5	-1.47977856411804	-5	1.39065343053428	-5	-0.961618308532304	-5	-5	-5
Healthy	0.826166189386517	0.822214515000215	-0.151552231418591	-1.75300930075845	-0.299330889371745	-0.703576151496223	-5	-5	-5	-5	-0.794985207430996	-5	-2.03715731879876	-5	1.50960986887521	1.14014147204914	0.978170470050854	0.71903530230948	0.163951096346079	0.365081579699462
Healthy	1.33867697157123	0.594813380000131	-0.851613312333179	-0.251145532354061	-0.587875593826683	-1.09436599867305	0.310272618148416	-5	-5	-1.68298189895189	-1.55346283292636	-5	-2.18708664335714	-5	1.55211106172449	0.7957702138193	0.806486586202032	0.41772737834436	0.326616422851385	-0.00465882137147871
Healthy	1.2825602605898	1.04842587653765	-0.187949407278121	0.0209162281357402	-0.328716051374985	-0.47336353939984	-5	-5	-5	-1.20453710560962	-1.05090287488708	-1.57528166266843	-1.38658105496543	-5	1.53531349193017	0.407458890457392	0.159855824933591	0.079752690996707	-0.843784117323237	-0.0736112448204073
Healthy	0.969957045245668	0.604968687935136	0.594541709885265	-1.78041547378575	0.768325030057909	-0.0396719494698569	-5	-5	-5	-0.101346109972029	-0.618217287364813	-5	-1.6267201067225	-5	1.44856611752775	0.249310892365619	1.24685074829116	-5	-1.59074334796109	-0.340958972003924
Healthy	1.13142200053863	0.650962842283374	0.695786276259427	-1.05359686610095	0.749569366032057	0.157099998467163	-3.09691001300806	-5	-5	-2.43770713554353	-0.408957665056477	-1.87095494011204	-0.551154604488859	-5	1.59364864015416	0.794343722588347	0.541821283181823	0.568374233824325	-5	0.51923059217666
Healthy	0.464564059655464	0.326407554571499	-0.00291519231145859	-5	-0.181859917724294	-0.844998163768747	-5	-5	-5	-0.787785752580059	-0.219985286923832	-5	-5	-5	1.74614522573484	0.937929925210487	0.70774811522215	0.805146617599273	-0.533325112790015	0.017016635343629
Healthy	-0.7247577694441	-2.43297363384094	-3.82390874094432	0.0871458327523663	1.72695611069928	-0.920782564253433	-1.77211329538633	-5	-5	-5	-5	-5	-5	-0.475694771155077	0.955752192332405	-5	-0.120875436210633	-5	1.03783709058621	-5
Healthy	1.11621643709677	1.00051997338741	0.261914416454581	-0.721863993284522	-0.00137890022102005	-5	-5	-5	-0.656847528337743	-0.0994417145904625	-0.480276984344663	-5	-5	-5	1.42186919318945	0.920074256594067	0.814258919213428	0.557562537843242	-5	0.314941086692983
Healthy	0.0459094670350095	-0.0436634570789661	-0.444276944924946	-0.63339028960757	-5	-0.81121208736253	-5	-5	-5	-1.93930215964639	-0.722092954952575	-5	-5	-5	1.93358142540017	-5	0.517285651668054	-5	-1.06696850489759	-5
Healthy	0.930982632957629	1.43494188581265	-1.5880437620696	-0.846063245539065	-5	-1.78727984558216	-5	-5	-5	-3.20760831050175	-0.90770052342575	-5	-5	-5	1.55696393400083	1.06594812991886	0.605784337510173	-5	0.108751013469221	0.14447768699984
Healthy	0.663210772256511	0.554371636252344	0.0138269621155902	-0.669342765288606	-5	-5	0.00220927298801476	-5	-5	-1.2308443092856	-0.174424598877565	-5	-5	-5	1.27546131576099	0.951375894353253	0.318935224047325	-0.172191484490173	-1.47925452848052	-5
Healthy	0.518965108499921	-0.159498701709034	-0.695315634025614	-5	-5	-0.991357252434715	-5	-5	-5	-5	0.220638858627918	-5	-5	-5	1.39716209898583	1.20753338824139	-5	0.528696927648808	-0.999088937868777	-5
Healthy	1.38272503194164	0.0216068482110759	-0.798439021883263	-5	-1.02122621566988	-1.15851539066461	-1.93404701968613	-5	-5	-5	-1.63059858630338	-5	-5	-5	1.49551658621369	-0.622711966364296	0.313365172592993	0.647729093967794	-5	0.014293671949801
D003924	0.939098731904189	1.39877080059939	0.929723846652466	-1.95821268102825	1.27749804819187	1.00747295074135	-3.16115090926274	0.431765702625348	-5	-1.63732907027433	-1.48758245139916	-1.2942217871714	-0.573879291253384	-5	-0.130838712112069	0.143495694701392	-5	-5	-5	-5
Healthy	1.10938143304344	0.0385963207931104	0.427195508483244	-5	-5	-5	-5	-5	-5	-0.845697780315335	-5	-0.45143861810245	-5	-5	1.50486419997644	0.480972246500199	0.279837982245049	0.621364296815923	-1.39404884243513	-5
Healthy	0.607349921956901	0.393483947973508	-0.81599035029872	-1.20453710560962	-0.65380355627079	-5	-5	-5	-5	-1.397831448621	-0.0141291292280235	-5	-5	-5	1.86838348948559	0.177146758624016	0.946365790534768	0.408331564643599	-1.09550084460218	-5
Healthy	1.77027099352016	0.473172996720667	0.804313251695468	-0.938698343793955	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.04513709227305	-5	-0.0430923610367338	-0.332761912577582	-5	-5
Healthy	0.475268662137219	0.342472029664019	-0.0165496310003799	-5	-0.207181230830761	-0.719763190390311	-5	-5	-5	-0.849304948857286	-0.15862175641422	-5	-5	-5	1.74525737558798	0.926392871256541	0.712274160742297	0.794208418796174	-0.524474084960719	-0.00246945725840384
Healthy	1.20174796898831	0.415457483406035	0.785339802310727	1.1958479212595	1.35339280128144	0.451102996833693	-5	-5	0.410225371069719	-5	-5	-5	-5	-5	0.899410628259633	0.207173711781878	-0.615951397971382	-5	-5	-5
Healthy	1.17840854131628	0.329745582554248	0.298826887008094	-0.472524771587791	0.703513198641274	0.239269440429388	0.335862919556807	-0.882165481456253	-5	0.229351581311782	-2.52287874528034	-1.32385531964379	-5	-2.82390874094432	1.54821959852132	0.760112485603433	-0.300995253495097	-5	0.953714279257453	-0.226637820770666
Healthy	0.469372767370689	0.309361843843319	-0.219027778954588	-5	-0.411392195257313	-5	-5	-5	-5	-0.617982957425132	0.241441878733204	-5	-5	-5	1.74251091554351	1.06591268308008	0.156324980573815	-5	-0.890826578574528	-5
Healthy	0.52023716615483	0.319264334449031	-5	-5	-0.30756731148585	-0.500381640299993	-5	-5	-5	-1.01295971302073	-1.59380057633669	-5	-5	-5	1.68411874656299	1.34654132350584	0.370079874415941	0.251956829472245	0.774801536086167	-0.111152442643604
Healthy	0.670205020049456	0.712669900900809	0.288582310361681	-5	-5	-5	-5	-5	-5	-0.654998961821958	-5	-5	-5	-5	1.33460271273611	0.763092408893041	0.517411011841207	-0.0477404634091795	-0.425101010741054	0.353773942046363
Healthy	0.650437694808689	0.893824988069619	1.06992253224919	-1.96217524941166	-5	-0.835141753037445	-5	-5	-5	-2.49349496759513	-1.35733766855796	-5	-1.18329481633348	-5	1.36200682779646	1.31518938226151	0.815480120702342	-5	0.152893488130231	0.364537863140856
Healthy	0.695893010680155	0.953635037609222	-5	-0.590997296598228	0.712346599731528	-5	-5	-5	-2.14508697769214	-1.45247142354022	-2.28232949699774	-1.00291956452827	-2.43297363384094	-1.6643415477107	1.70142921313911	0.782248252400543	-5	-5	-2.45469288353418	-5
Healthy	1.41534968477539	0.945889872880691	0.674658177715271	-0.267027566564563	0.992401068294658	-5	-5	-5	-1.20523320205918	-1.60136567546161	-0.283879746664904	-1.04186632432376	-0.690433704106227	-5	1.10118907326706	0.74022922213786	0.323487236368282	-5	-2.1681302257195	-5
Healthy	1.20227438660659	1.24625723903805	-0.97790170253886	0.358813974372079	-0.135524518308971	-0.135411796988235	0.352346553933043	-2.52143350440616	-5	-1.05978244440026	-1.98380264648756	-5	-0.424569664694468	-5	1.32834310485708	0.646343920833674	0.665625074829395	0.590723719144111	-2.03105031901866	-0.23099952136564
Healthy	1.14197781774328	0.673914394293989	0.412611726156164	-5	0.412347969086344	-0.418323354039824	-5	-5	-5	-5	-0.85325198636936	-0.912999879204009	-1.2057211342786	-5	1.37317930623549	1.2341425555571	0.402440223353807	0.98004475264662	0.0660723575773765	0.275523266187393
Healthy	1.13642724009451	0.575046907362638	-5	-0.703290943824397	-0.29654525468797	-5	-5	-5	-5	-5	-0.996496385257463	-5	-5	-5	1.73083070729463	0.843816844609101	0.626298270597842	0.0441750821728493	0.0322116708328178	-5
Healthy	0.73885267074137	0.65110833457348	-5	-5	-5	-5	-5	-5	-5	-5	-1.78489141894691	-5	-5	-5	1.71839131588211	1.07351526561884	0.103064449522434	-5	-0.982215646903322	-5
Healthy	0.765563506854856	0.411463129730481	-5	-1.19348086591929	-2.17392519729917	-0.502503649414585	-5	-5	-5	-5	-0.885322308989122	-1.14929251462546	-3.56863623584101	-5	1.88037084345413	-0.288614620901548	-1.07572071393812	-5	-5	-5
Healthy	0.882307051669907	0.92328703134746	-1.05290953578038	-5	-0.868060704789575	-0.850904108932027	-5	-5	-5	-5	-5	-5	-1.04248848854552	-5	1.10009402522016	1.36419440860694	1.1939645351747	0.208758361685043	-0.408868583576876	-1.45543590250396
Healthy	0.312469327661736	0.629901724475788	0.317616282741985	-2.53461714855158	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.56737366284442	1.46202434395028	0.718447710099263	0.44306105227313	-1.88572270343841	0.31530475669591
Healthy	1.24119746047586	0.648758988205086	-1.64244628025692	0.16766286021636	0.907230187791701	-0.144814112987219	-5	-0.0435674220336518	-5	-1.09183679994445	-0.872830386400104	-0.864930986176552	-0.535540261034547	-2.48412615628832	1.46484291993504	0.945877574707744	0.16683254525725	0.453769221661935	-2.36251027048749	0.134260004631847
Healthy	-0.0837092715592769	0.603458337409067	-0.237021509132257	-5	-1.65600093094284	-0.166865642884846	-5	-5	-5	-0.447623844747437	0.25182065879658	-5	-1.97963871735229	-5	1.70123829691938	0.396769311460364	0.24360598252689	-5	-0.566694301291877	-5
Healthy	1.11902151823587	1.58177517773157	-1.36815053784018	-1.57121748850305	0.362126071357915	-0.446141236295426	-0.71545647704125	-5	-5	-5	-1.77391588402418	-5	-1.27761290582288	-5	1.40042003177147	0.902693512358132	0.148361998868332	-0.291451634869439	0.269157891804425	0.189728871509213
Healthy	1.476703841958	1.34457165331444	1.51179128078787	-5	-5	0.566215868865457	-0.581019618754964	-5	0.0506967567251994	0.286234100760879	-5	-0.569086848995397	-5	-5	0.341693638960031	-5	-5	-5	-5	-5
Healthy	0.0637085593914174	-0.0461147240174617	-0.428407616638693	-0.665827827275394	-5	-0.827718238544999	-5	-5	-5	-1.56719099496683	-0.68670237391313	-5	-5	-5	1.93356143552987	-5	0.502208552047306	-5	-0.952452566921365	-5
Healthy	1.20654443756562	0.691330852382571	0.480926328284688	-1.31614279459965	0.272340642245293	-0.632196967250993	-5	-5	-5	-0.357852165202157	-5	-0.584525831890764	-5	-5	1.71196025925826	0.574391293348047	-0.566790391228526	-5	-1.44733178388781	-5
Healthy	0.425726545582806	0.95174102112836	-5	-5	-5	-5	-5	-5	-5	-1.7680209731685	-0.805763251276171	-5	-0.291324207273463	-5	1.79837555119575	-0.195090837687287	0.763932380692665	-5	0.755898474554684	-0.016279017238374
Healthy	0.505681663469531	1.05508883268642	-5	-2.34486156518862	-5	-5	-5	-5	-5	-1.91506642506328	0.426141872679365	-5	-0.133411418224968	-5	1.69180159366179	-0.046278956881365	0.825333276588013	-5	0.851036863233541	0.032916782799791
Healthy	1.35264551866897	1.08916936571673	0.409302347027763	-5	0.0755615592810349	-5	-5	-2.13608262304214	-5	-1.86614187479667	-1.00366348190422	-5	-1.4386600585411	-5	1.57407759000198	-0.0597824444002649	-2.51570016065321	0.0952181850134257	-5	-0.231354500272272
Healthy	1.37119221901313	0.550455839306529	-0.558493387505885	-5	-5	-1.1114274031424	-5	-5	-5	-1.26656197290894	-0.600655151819632	-5	-5	-5	1.50279720512949	1.38801234336419	0.801658174557992	0.0427132993461132	0.473590604448907	-0.0997093576097716
Healthy	0.722335242394437	0.686776543383143	-5	-0.237839297913818	-0.632401836320167	-1.44708854978349	-5	-5	-5	-5	-0.912538033828181	-5	-5	-5	1.75265511377554	0.390550073884366	0.781344574733547	0.575844565061737	0.801618402870708	0.0180593997488588
Healthy	-0.129484901474809	0.88538723168243	0.310321507590838	-5	0.434388442735579	-5	-5	-5	-5	-5	-0.727045055151827	-5	-0.833066905128846	-5	1.12574891681032	1.23214853660985	0.718817952646753	0.79922679076308	-1.19921420967224	-5
Healthy	0.668742711689318	-0.318921653599093	-1.2673650324608	-0.988344989275222	0.736743798962006	0.167030664885846	-5	-5	-2.34775365899668	-2.24412514432751	-1.2281186798099	-5	-2.09528445472132	-5	0.233577320349225	-0.699600188328667	-1.66294027367948	-5	-1.55284196865778	-5
Healthy	1.30268108084626	0.822265523070607	0.192765321657618	-1.79642322502203	-0.12731939284807	-5	-5	-1.58352592089978	-0.851922023237494	-2.26280735729526	-1.33648752958484	-0.59665638086955	-1.98171569157347	-5	1.8012357228892	-5	-5	-5	-0.759151341514639	-5
