group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.08449	1.2759	0.03006	0.02643	0	0	0.12586	0.03971	0	0	1.80683	0	0	0.43369	0.79042	0	0.06834	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	10.32276	0	0	0.3478	0	0	0	0	0
Healthy	0.42454	0	0	0	0	0	0	0	0	0	1.48492	0	0	1.2917	1.81395	0	0	0	0	0
Healthy	0.13261	0	0	0	0	0.1082	0	0	0	0	0	0.20779	0	0	0	0	0	0	0	0
Healthy	0.09083	0	0	0	0	0	0	0	0	0	0.73299	2.87887	7.09661	0	0.0977	0	0.01846	0	0	0
Healthy	0.04318	0	0.55695	0	0	1.66869	0.30369	0	0	0	0	1.02529	0	0	0.09156	0	0.08412	0.15181	0	0
Healthy	2.12831	0.52729	0.38897	0	0	0.00021	0.00153	0	0	0.02561	0.02291	1.21205	0	0.47091	2.80546	0	0.02483	1.57054	0.15021	0
Healthy	1.42967	1.24665	0.04136	0	0.00857	0.09418	0.00832	0	0	0	7.02808	3.95209	0	0.00168	0.13689	0	0.01242	0	0.05161	0.05097
Healthy	0.05673	0.01216	0	0	0.05007	0.0054	0	0	0	0	0.4182	6.77883	0	7.66235	0.08128	0	0.0292	0.03433	0.01103	0
Healthy	0.06939	1.33029	0	0	0	0	0	0	0	0	0	6.73935	0	0	0.40802	0	0	0	0.09527	0.06994
Healthy	0.48892	0	0.65078	0	0	0.0538	0.0148	0	0.02526	0	0.12128	1.54575	1.60152	0	1.26581	0.25495	0.01615	0.36703	0.05293	0.24464
Healthy	0	0	0	0	0	3.07044	0	0	0	0	16.6527	0	0	0	2.60602	0	0	0	0	0
Healthy	0.13189	0.11977	0	0	0	0	0	0.03231	0	0	0.33374	0.58737	0.46878	0	0.08537	0	0	0.04332	0	0.24751
Healthy	3.36158	0	0	0	0	0.35078	0	0	0	0.34454	35.7595	0.17514	0	0.15953	2.43353	0	0	0	0.36167	0.82913
Healthy	2.4787	0	0.14318	0.17017	0	0	0	0.10584	0	0	0	0	0	0	1.09986	0	0.5544	0.03672	0	0
Healthy	0	3.62446	0	0	0.00418	3.954	0.00177	0	0	0	0	0	0	0	0.14303	0	0.07648	0	0	0
Healthy	2.86464	0.13873	0.05227	0	0	0.19024	0	0	0	0.18085	10.9122	5.53216	5.59957	0.08296	0.13095	1.65371	0.0081	0	0.51113	0.01591
Healthy	0.66391	0.04512	0.01217	0	0	0	0.01055	0	0.00543	0	0.02973	0.59109	0.61459	2.41588	0.09113	7.62735	0.05285	0.36253	0.09805	0.00086
Healthy	0.04738	0.17073	0	0	0	0	0	0	0	0	2.09199	1.79833	4.45993	1.1482	0.11804	0	0	0	0.00986	0
Healthy	0.11305	0.50024	0	0	0	0	0.21262	0	0	0	0	0.31842	0	0.02218	0.94544	0	0	0	0.03472	0
Healthy	1.5754	2.27966	0.0107	0	0	0	0.00655	0	0	0.00694	0.01376	2.89536	0	12.3701	1.78543	0	0.00964	0.12226	0.46873	0.2724
Healthy	5.96047	0	0	0.03504	0	0	0.00492	0	0.00699	0	0.68695	0	0	5.69109	0.02543	0	0.41484	0	0	0
Healthy	1.35038	0.34053	0.02199	0.08165	0.12966	0.11064	0	0.01555	0	0.78075	0	1.38869	6.57178	0.18797	0.0276	0.78317	0	0.02955	0.44956	0
Healthy	0.60223	0.7139	0	0	0	0	0	0	0	0	2.28458	8.29923	5.99584	3.33595	0.21263	0	0	0	0.28992	0.01092
Healthy	1.83281	0	0.0306	0	0	0	0	0	0	0	0.89791	0.32953	0	0	1.68104	0.54221	0.79294	0.00949	0	0
Healthy	0.15367	0.13928	0	0	0	0	0	0	0	0	3.62083	3.12864	5.53363	0.48711	0.31833	0	0	0	0.09195	0
Healthy	0.21058	0	0	0	0	0	0	0	0	0	2.18546	11.75675	0	0.03379	0.08068	0	0	0.04188	0.00838	0
Healthy	0.10483	0.07813	0.10615	0	0	0	0	0	0	0	0.90221	2.08954	0.57918	0.1003	0.73155	0	0.17117	0	0.08495	0.05675
Healthy	2.8838	0	0.0289	0	0	0.01067	0.1217	0	0	0	0	0.65362	0	0	0.021	0	0.01067	0	0	0
Healthy	0.67854	0.09283	0.07635	0	0	0	0.00141	0	0	0.02515	3.41475	5.35663	1.66649	5.25385	1.21371	0.63907	0.08463	0.03022	0.0713	0.00149
Healthy	0.19353	0.65919	0	0	0	0.60085	0	0	0	0	11.0197	8.09801	0	0	0.11753	0	0	0	0	0.18659
Healthy	0.71649	0.37637	0	0	0	0	0	0	0	0	5.72628	0.36263	1.30652	0.77316	0.00251	0.18038	0.05382	1.12029	0.30987	0.0624
Healthy	0.16007	0.53587	0.11266	0	0	0	0.0123	0	0.03366	0.02484	0.27019	0.50285	0	2.9041	0.02034	0.08119	0.20742	0	0	0.2096
Healthy	0.02364	1.3964	0	0	0	0	0	0	0	0	0	3.01678	0	0.0078	2.85395	0	0	0.17996	0.15588	0.06189
Healthy	0	5.7193	0	0	0	19.5045	0	0	0	0	0	0	0	0	1.13657	0	0.04847	0	0	0
Healthy	0.01364	0.19788	0	0	0	0	0	0	0.06048	0	0.70541	0.82116	0	1.73905	0.15612	0.18758	0.16032	0.03009	0	0.00917
Healthy	0.39719	0.08046	0.11644	0	0	0	0	0	0	0	0.02428	11.94483	0	0.50096	1.58654	0.07048	0.02715	0.05137	0.13775	0.00649
Healthy	0.87631	0.33622	0.00619	0	0	0	0	0	0	0	0.64251	8.37612	0.97521	3.9656	0.93048	0	0.08103	0.00799	0.38593	0.04105
Healthy	0.26551	0.91269	0.01243	0	0	0.0148	0.00016	0.00297	0.08122	0	3.91891	3.3525	0	0.26842	0.73978	0	0.21544	0.0182	0.50052	0.02361
Healthy	1.12558	1.43581	0.03382	0	0	0.01194	0.00364	0	0.00887	0.00232	4.92965	0.77764	2.95455	0.67935	0.03239	0.52921	0.02161	0.09568	0.1537	0.26867
Healthy	0.01573	0.14288	0	0.00142	0	0	0	0	0.03768	0	0.9933	1.14848	0	0.17288	0.19409	0	0.10007	0.06004	0	0
Healthy	0	0.12	0.00014	0	0	0	0	0	0	0	0	0	0	0	0.18846	0	0	0	0	0
Healthy	0.96456	0	0	0	0	0	0	0	0	0	1.82773	7.38522	0	0.41444	0.32606	2.8803	0.2895	0	0.13245	0
