o	Lachnospirales	Oscillospirales	Lactobacillales	Actinomycetales	Coriobacteriales	Erysipelotrichales	Acidaminococcales	Peptostreptococcales	Bacteroidales	Burkholderiales
Healthy	0.0663632022584946	0.753748472904391	-5	-1.78251605578609	0.157293537030964	-0.738784727731408	-5	-5	1.12037516310008	-0.529192738698152
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	1.85877539268605	-1.28075160155205
Healthy	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	1.76248500077786	-5
Healthy	-0.348131049753465	0.440548593956687	-5	0.256147450368233	-5	-5	-5	-5	0.753566207633706	-5
Healthy	1.30706473841213	0.788509872400148	-0.169411331314856	-0.0907114758377493	-5	-1.71692502526453	0.529330239490453	-5	1.67342301960269	0.783824284719325
Healthy	0.684733184327011	0.408058405844381	-5	-0.419576861588155	-5	-0.493494967595128	-5	-5	1.84256505913163	-0.796070062755374
Healthy	1.1009571356995	0.459184338446896	-1.35931984672233	-0.301507982535077	-0.249483891283201	-1.21997087266266	-5	-5	1.49356483387704	0.430258930332081
Healthy	1.11779014983648	1.20263541825529	-1.21424320003736	-0.0859743483036714	0.113150877468074	-1.89997426989214	-5	-0.922305134113414	1.71315322488589	-2.52578373592374
Healthy	1.24008775247789	1.05717296444977	-1.71579493229821	-5	-1.91470942176993	-5	-5	-5	1.76828215948572	-1.96617430604669
Healthy	1.18079945560002	1.26886639176701	-1.07083661679494	1.34327168575716	0.146202479780109	-5	-5	-5	1.40912732608835	0.254888708775947
Healthy	1.18128750658172	0.840885492996785	-1.28291227507298	-0.142643376767697	-0.576737737901385	-0.150728037929926	-5	-5	1.751024304759	0.253345275820191
Healthy	0.975087453435228	1.31081179804747	1.1269644402306	1.07310257186231	-5	-5	-5	-5	1.3636531513135	-5
Healthy	0.37159239488545	0.902419570561906	-1.79425445905734	-5	-0.434990895787404	-5	-5	-5	1.83153801034881	-1.54959691384463
Healthy	1.4491178545749	1.57321704242274	0.122641769625536	0.9318081145476	-0.0813721327862228	-5	-5	-5	-0.56125202309777	-5
Healthy	0.585977063678932	0.540818562812956	-0.917789283398757	-0.639539128949822	-5	-1.26233037264336	-5	-5	1.93835333049894	-1.03207779326948
Healthy	0.612949069045181	-1.1049091030656	-0.217821304876339	1.10762472634163	0.559244509416333	-1.66574735766577	-5	-5	1.80841638682843	-5
Healthy	1.54045411318771	1.38536135539875	0.173431036581284	0.0496753420608595	-0.810650075660802	0.0798249722168164	0.199894984410582	-0.359617955290432	1.13997348798446	-1.2954205503037
Healthy	0.730895274398542	0.586731295549415	-0.544591684757714	-0.768046430801019	-1.23912536194781	-0.726512590302816	-5	-5	1.54122030352031	0.0757512871934784
Healthy	1.41598657678453	0.906572060952197	-1.10773839308446	0.490921572614853	-0.767664722914346	-0.177714206154696	-5	-0.67623241670322	1.65610510465173	-1.23942674605561
Healthy	1.29766532782319	0.806758421702446	0.334067539936592	0.393975096445539	-0.300812902691751	-0.147812887895141	0.355229239344489	-0.509002705984747	1.43020829188859	-5
Healthy	1.31259663335331	1.40337158409763	-1.03706271157	-0.486076911675506	0.409194025170417	-2.18309616062434	-5	0.252428233716468	1.54534163593735	-1.6076548446388
Healthy	0.792191307435894	1.0530434679177	-5	-5	-5	-1.64474009447262	-5	-5	1.68276546649112	-0.804017369311642
Healthy	1.26187639673694	0.784475357123432	0.129016019910109	1.10904437714116	-0.4678318683063	0.595659327191767	0.290828977408293	-1.29191918953177	1.31879954964682	-0.888233566947438
Healthy	1.59537506542604	1.06557971472845	-0.559515979176601	0.436447310914848	-0.139763839938269	0.301743823124463	-5	0.678835107291026	1.10018575831703	-0.914495360573502
Healthy	0.640088704941548	0.716054286730303	-0.722757627218642	-5	-5	-1.7830427926389	0.0206802558933171	-5	1.46493613135373	-1.30874164186689
Healthy	1.3757118865383	0.94218868195857	-1.48558507941963	0.99456129217834	-0.856080061614163	-0.334456530644509	-5	-0.321836849737658	1.53452703352098	-1.5480601306349
Healthy	1.18324449723243	0.424537003174977	-5	-5	-5	-5	0.515312075477326	-5	1.82816042852175	-0.492656952400061
Healthy	1.01488034167546	1.31977084357145	-5	-5	-0.863279432843593	-1.68423950933427	-5	-5	1.66400962634643	-1.82159865846624
Healthy	1.15191322113061	0.461255349847157	-0.731913695552616	-0.460986665060487	-5	-0.571023361487117	-5	-5	1.32580085766442	-5
Healthy	1.14402562286898	1.159734081827	-0.817328613324521	-0.215925022521303	-1.02447628703967	0.164715607852906	0.427232859115983	-1.65521487736734	1.5976974889962	-0.720173418205985
Healthy	1.42342201427606	1.30502982953019	-0.74816718137136	1.38646596861784	-0.0468639369858433	-5	-5	-5	1.23406807784543	-1.35193287055107
Healthy	1.25318772119131	0.910535829660712	-2.57348873863542	0.530503213925169	-0.341330501793832	-5	-5	-5	1.54045311221858	-0.713813083058962
Healthy	0.584881660330662	1.00110734089234	-1.60467360693065	0.750233691942234	-0.0893435844122668	-1.90974194706868	-5	-5	1.75494401147996	-2.69680394257951
Healthy	1.20437505574366	0.794184003829024	-0.885355661097721	-0.687653360969147	0.163846875794205	-5	-5	-5	1.73383868006618	0.63423738469509
