s	Clostridium_A_leptum	Enterocloster_sp900540675	Clostridium_Q_symbiosum	Muricomes_sp000509105	Bifidobacterium_sp002742445	Enterocloster_clostridioformis_A	Anaerotruncus_colihominis	Enterocloster_citroniae	Enterocloster_sp000155435	Longicatena_innocuum	Bacteroides_uniformis	Alistipes_putredinis	Phocaeicola_vulgatus	Phocaeicola_dorei	Bacteroides_ovatus	Lachnospira_eligens_B	Barnesiella_intestinihominis	Bacteroides_cellulosilyticus	Alistipes_shahii	Alistipes_obesi	Odoribacter_splanchnicus	Parasutterella_excrementihominis
Healthy	-1.52186657189948	-1.07314329105031	-1.5777385491864	-1.40099076017666	-5	-5	-5	-5	-5	-1.89177334362507	0.674527717014598	-0.71810344975394	-0.470723678080773	-5	-0.0657591718798766	-2.94692155651658	-5	-5	0.0142264293892295	-5	-5	-2.24641694110709
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.90145777648425	-0.295652121429059	-5	1.31548773778824	-5	-1.51272018355693	0.866621056253241	0.209919631350914	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-0.83374754804584	-5	-5	-5	0.35488025902298	0.458722433800222	1.58001451130873	-5	-5	-5	-5
Healthy	-5	-0.87739097642401	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	-5	-1.29688065376392	-5	0.264246255403716	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.09209962985614	0.90899568475106	0.821648446606005	-5	0.0290995668235429	-0.0654964988499561	-5	-5	0.217052067154388	-0.440656048967849	-5	-5
Healthy	-0.254175994059787	-1.92848619490491	-5	-5	-5	-5	-5	-5	-5	-5	1.43515305221608	0.968106396806949	-5	1.42725250750727	0.403835745348327	-5	-5	-5	0.171907737413988	-5	-0.255026763964733	-0.796070062755374
Healthy	-0.410072728013453	-3.26760624017703	-5	-5	-5	-5	-5	-5	-5	-2.81247927916354	0.527267622958763	0.216377057988173	-0.0408011448226132	-0.45838331848761	-0.65913963793512	-0.9456934341516	0.799515610671236	0.0375938085364312	-0.857454115913723	-1.03390522055383	-0.0199784384524009	-2.44369749923271
Healthy	-1.38331447910449	-5	-5	-5	-5	-5	-5	-5	-5	-2.86327943284359	0.456388810214364	0.338133641034116	0.352234630322521	-0.58838029403677	-1.66334017654558	-1.46826569072345	-0.15358247041197	-5	-0.912786658768385	-1.21381665443237	-0.488049829624501	-2.52578373592374
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.361520726941314	0.590282172556603	0.410184839777753	-1.64704608828991	-2.29242982390206	1.00059500994851	-0.685858796739429	-0.328003797349959	-0.713768145971447	-0.795635795378995	-0.119575160934349	-1.96617430604669
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.325962863082671	0.680245743900049	0.26556068059152	-5	0.127376957372236	0.506349416162233	-0.0687608572473792	-5	-5	0.438997763148884	-5	-5
Healthy	-0.186559129026798	-2.84771165561694	-5	-5	-5	-5	-1.59739475808009	-2.04527520902094	-2.24412514432751	-3.15490195998574	0.722922533741182	1.01536855858652	-2.60554831917378	-0.818070704496767	0.0890674928872376	-0.39099287211093	0.856505343348038	-5	-0.555549219206082	-5	0.279566570280012	-1.76220500672608
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.538757164376499	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.17405485679615	-5	-1.49052864789745	-5	-1.27466018409026	-5	-5	-5	-5	-0.368160675551451	1.18995355729989	0.0100411689718056	0.61680098147796	-1.04421607108309	-0.469685017679468	-0.152785287758974	-5	-0.350489900848029	0.468022226494091	-0.0646993502973799	-1.54959691384463
Healthy	-5	-5	-5	-5	0.9318081145476	-5	-5	-5	-5	-5	-5	-5	-0.56125202309777	-5	-5	0.127813998776952	-5	-5	-5	-5	-5	-5
Healthy	-0.844087310914094	0.356715970741412	-0.769091480679235	-0.975309137644569	-5	-5	-5	-2.16241156176449	-5	-5	1.49050922025472	-5	-0.0939128893255064	0.53150574028484	1.05693189865932	-5	0.412992798904376	1.34644510553391	-1.11890078161098	-1.04315950984077	-5	-1.03207779326948
