f	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Burkholderiaceae	Coriobacteriaceae	Desulfovibrionaceae	Micrococcaceae	Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Acutalibacteraceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	0.951376380098069	0.573929341329467	0.986454180272142	-0.529192738698152	0.105820041248875	-0.154722075245364	-5	0.0663632022584946	-1.78251605578609	0.481229012021988	0.264085514155395	0.418049261100667	1.63962801034967	-5	-5	-5	-5	-0.738784727731408	-5	-5	-5
Healthy	1.74783028473047	0.0290345782176112	-5	-1.28075160155205	-5	-5	-5	1.10768268611987	-5	0.925511656050378	-5	0.579395987303872	-5	0.866621056253241	-5	-5	-5	-5	-5	-5	-5
Healthy	1.72534398472439	0.111165021757667	-5	-5	-5	-5	-5	0.72205859495003	-5	0.235912072547043	0.171705981376956	-5	-5	0.458722433800222	-5	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	0.437435029969223	-5	-5	-5	-5	-5	-0.348131049753465	0.256147450368233	-5	-5	0.279527783292017	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.54219842077457	0.731861020341784	-5	0.783824284719325	-5	-5	-5	1.30706473841213	-0.0907114758377493	0.289985611272195	-0.134896025358872	-5	-2.79860287567955	-5	-5	-0.169411331314856	-5	-1.71692502526453	-5	-5	-5
Healthy	1.75217425969463	0.282816901350496	-5	-0.796070062755374	-5	-5	-5	0.684733184327011	-0.419576861588155	0.201765708466026	-0.254175994059787	0.792386786145778	-5	-5	-5	-5	-0.255026763964733	-0.493494967595128	-5	-5	-5
Healthy	1.26817390882452	0.346734281891791	-1.01587791713889	0.430258930332081	-0.277942228668536	-1.35076252765039	-5	1.1009571356995	-0.301507982535077	0.137043790184323	-0.385218751858922	-5	0.815250243860085	0.799515610671236	-5	-1.47781668238131	-0.0191833724103408	-1.21997087266266	-5	-5	-0.496331862454351
Healthy	1.66858633555195	0.947517043534692	-1.07381195089279	-2.52578373592374	0.0957480250442235	-3.2839966563652	-5	1.11779014983648	-0.0859743483036714	0.199497375490972	0.84938562719768	-5	-5	-0.15358247041197	-5	-1.77572598570574	-0.488049829624501	-1.89997426989214	-5	-0.922305134113414	-1.4087127349415
Healthy	1.71748543082935	1.03946607275992	-5	-1.96617430604669	-1.91470942176993	-0.744076541267099	-5	1.24008775247789	-5	0.0638922893443259	-0.378605586791193	-5	-5	-0.685858796739429	-5	-1.71579493229821	-0.111511609537604	-5	-5	-5	-1.70136521687556
Healthy	1.14982516181725	1.23456308954756	-5	0.254888708775947	0.123949591081827	-5	-5	1.18079945560002	1.34327168575716	-0.13519829994923	-5	0.469780792850616	-5	-0.0687608572473792	-5	-5	-5	-5	-5	-5	-5
Healthy	1.4934093905568	0.762234291084241	-5	0.253345275820191	-5	-1.83564714421556	-2.39577394691553	1.18128750658172	-0.14506878137718	0.557037765882228	-0.112343322416142	-5	-0.0835460514500749	0.856505343348038	-0.593527949534324	-1.28291227507298	0.279566570280012	-0.151066137078684	-3.2518119729938	-5	-1.18902860017779
Healthy	1.30116134987843	0.580112621451532	-5	-5	-5	-5	-5	0.975087453435228	1.07310257186231	0.490821992900465	1.22148491906009	-5	-5	-5	-5	1.1269644402306	-5	-5	-5	-5	-5
Healthy	1.60898703950159	0.883883918596591	-5	-1.54959691384463	-0.92161569125181	-1.14697138528701	-5	0.37159239488545	-5	0.687245284100021	-0.476578725627368	-0.355541715083896	-0.218474395596606	-0.152785287758974	-5	-1.79425445905734	-0.043010837158594	-5	-5	-5	-5
Healthy	-0.56125202309777	0.222784080594466	0.375840952758352	-5	-5	-5	-5	1.4491178545749	0.9318081145476	-5	1.55339155917997	-5	-0.00261361560268669	-5	-5	-0.462747745749293	-5	-5	-5	-5	-5
Healthy	1.86971428135975	0.382818216177063	0.177438375806556	-1.03207779326948	-5	-1.01269132626882	-5	0.585977063678932	-0.639539128949822	0.931182153667447	-0.844087310914094	-5	-5	0.412992798904376	-5	-0.917789283398757	-5	-1.26233037264336	-5	-5	-5
Healthy	1.44342916133512	-5	0.411570887173071	-5	0.559244509416333	-5	-1.58972903574782	0.612949069045181	1.10627625137725	1.56312270394849	-5	-5	-5	-5	-5	-0.368150537840182	-5	-2.74957999769111	-1.70289634985074	-5	-5
Healthy	0.930091305931401	1.1242997452926	-1.23425695857896	-1.2954205503037	-0.857798309836487	-5	-5	1.54045411318771	0.0496753420608595	0.307457527335506	1.03998803970842	-5	-1.58037463911226	0.355493663995184	0.218461978766149	0.0509285617774432	-0.488892380040732	0.0798249722168164	-5	-0.359617955290432	-5
Healthy	1.24487037494188	0.572649753445391	-5	0.0757512871934784	-1.34553466647985	-0.210553262965207	-5	0.730895274398542	-0.768046430801019	0.445867190898078	-1.37768233916616	-5	0.270571704722232	0.51030232728663	0.90543588720795	-0.544591684757714	0.910634008346503	-1.10275789719463	-0.963411023244595	-5	-0.893367211079884
Healthy	1.62736421774254	0.776149613960153	-5	-1.23942674605561	-0.767664722914346	-5	-5	1.41598657678453	0.490921572614853	-0.600620521847371	0.320561680195237	0.193238724856175	-5	-5	-5	-1.10773839308446	-5	-0.177714206154696	-5	-0.67623241670322	-5
