g	Prevotella	Faecalibacterium	Phytobacter	Collinsella	Ruminococcus_B	Parasutterella	Ruminococcus_C	Bilophila	Faecalimonas	Pseudodesulfovibrio	Muricomes	Rothia	Holdemania	Eggerthella	Bacteroides	Parabacteroides	Ruminococcus_H	Lachnospira	Mediterraneibacter	Methanobrevibacter_A	Streptococcus	Anaerobutyricum	Blautia_A	Anaerostipes
Healthy	-5	-0.932780311025859	0.986454180272142	0.105820041248875	-5	-2.24641694110709	-5	-1.01224438326148	-5	-0.219625073839878	-1.40099076017666	-5	-1.24703013497092	-1.85356186471423	0.934626195830804	0.481229012021988	0.256919696449344	-2.94692155651658	-0.102136584883984	-5	-5	-5	-0.827280338650503	-5
Healthy	-5	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.12876716449744	0.925511656050378	-5	-1.51272018355693	-0.458657935609943	-5	-5	-1.4087127349415	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	0.235912072547043	0.171705981376956	0.35488025902298	0.258627706113928	-5	-5	-5	-5	-5
Healthy	-5	0.437435029969223	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.749682991442778	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	0.714882755706848	-5	-5	-5	-5	-0.684470466786151	-5	-5	-5	-5	-5	-1.71692502526453	-5	1.45052007281021	0.289985611272195	-0.134896025358872	-0.0654964988499561	-1.01006098671546	-5	-0.169411331314856	-1.5775743236288	-0.695487930375765	-0.8980468225228
Healthy	-5	0.282816901350496	-5	-5	0.222378265944956	-0.796070062755374	-5	-5	-5	-5	-5	-5	-1.76170293212461	-5	1.47379006751291	0.201765708466026	-5	-5	-1.03824678581322	-5	-5	-5	-0.724619532472566	-5
Healthy	0.574421378438619	0.238843668857748	-1.01587791713889	-0.277942228668536	-3.65757731917779	-2.44369749923271	-5	-1.35076252765039	-5	-5	-5	-5	-1.23113999915704	-5	1.13133117789128	0.137043790184323	-1.63978538670465	-0.9456934341516	0.44800562898169	-5	-2.11520463605102	-0.38985107238046	-0.988556437977925	-0.588262478182643
Healthy	-5	0.946700292266965	-1.50723961097316	0.0957480250442235	-1.02599520310259	-2.52578373592374	-1.83356988615672	-3.2839966563652	-2.06651271215129	-5	-5	-5	-2.36957212497498	-5	0.604218490676903	0.199497375490972	0.846837314327683	-1.46826569072345	-0.86359655186601	-5	-1.77572598570574	0.236753850890513	-0.119260701287455	-0.903750616810388
Healthy	0.600727923705879	0.488691698316941	-5	-1.91470942176993	-2.26680273489343	-1.96617430604669	-0.683526416384916	-1.67264106561367	-1.30033567979763	-1.58203035778526	-5	-5	-5	-5	1.2110233082393	0.0638922893443259	-0.378605586791193	1.00059500994851	-1.08996287644695	-5	-1.71579493229821	-2.02918838912748	-1.70774392864352	-5
Healthy	-5	1.23456308954756	-5	0.123949591081827	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.612634476100502	-0.13519829994923	-5	0.506349416162233	-0.389307904666298	-5	-5	-1.65619766683834	-5	-5
