p	Proteobacteria	Desulfobacterota	Verrucomicrobiota	Firmicutes	Methanobacteriota
Healthy	0.99950331749903	-0.154722075245364	1.63962801034967	-0.738784727731408	-5
Healthy	-1.28075160155205	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5
Healthy	0.916401830084926	-5	-2.79860287567955	-0.157278457372331	-5
Healthy	-0.796070062755374	-5	-5	-0.493494967595128	-5
Healthy	0.445532593261974	-1.35076252765039	0.815250243860085	-0.983091956027925	-5
Healthy	-1.03207779326948	-3.2839966563652	-5	-1.13288622016802	-5
Healthy	-1.96617430604669	-0.744076541267099	-5	-1.71579493229821	-5
Healthy	0.254888708775947	-5	-5	-1.07083661679494	-5
Healthy	0.253345275820191	-1.83564714421556	-0.0835460514500749	-0.119826892692204	-0.593527949534324
Healthy	-5	-5	-5	1.1269644402306	-5
Healthy	-0.85873840937791	-1.14697138528701	-0.218474395596606	-1.79425445905734	-5
Healthy	1.05839185658905	-5	-0.00261361560268669	0.122641769625536	-5
Healthy	0.203449022518777	-1.01269132626882	-5	-0.755747626027527	-5
Healthy	0.444673910810744	-5	-5	-0.160232938160214	-5
Healthy	-0.726050107449991	-5	-1.58037463911226	0.439799901220617	0.218461978766149
Healthy	0.0757512871934784	-0.210553262965207	0.270571704722232	-0.325074592106928	0.90543588720795
Healthy	-0.72268882082597	-5	-5	-0.129479049987236	-5
Healthy	1.22703810241191	-5	0.74214280216862	0.457819850233151	-5
Healthy	-1.12871902714203	-5	-5	-0.914780798955058	-5
Healthy	-0.738404101517821	-0.620730750526353	0.766518433276982	-1.64474009447262	-5
Healthy	1.37284206856713	-1.34208406317004	0.218672021321886	0.723240523942585	-0.0989123766000521
Healthy	0.360097118092937	-5	-5	0.357746230812359	-5
Healthy	0.815012931185225	-0.142926951366022	1.30050874675137	-0.686533527341765	-0.265824467335679
Healthy	-0.922268820347608	-5	-1.06108018775523	-0.304833651694131	-5
Healthy	-0.370671966205419	-5	-0.392009141452825	-5	-5
Healthy	-0.940058111938045	-0.606021397348228	-1.06429125215734	-1.68423950933427	-5
Healthy	-5	-5	1.68812791006636	-0.343039817257151	-5
Healthy	-0.366460851072662	-1.10941133229451	-1.60101893334187	0.213326465927919	-0.194444773478747
Healthy	-0.581831337932134	-5	-5	-0.74816718137136	-5
Healthy	-0.713813083058962	-1.12644690648638	0.21827810816134	-2.57348873863542	-0.743787541434838
Healthy	-2.69680394257951	-0.986109939671561	-5	-1.43004118190341	-1.09044397075882
Healthy	0.63423738469509	-1.09642170633695	-5	-0.885355661097721	-5
Healthy	-0.0375264840391993	-1.81958736716168	-5	-0.529736553034922	-5
Healthy	0.186603221792895	-0.812310106474816	-5	-1.75300930075845	-0.726790316599669
Healthy	0.345965457886395	-1.03123695180275	-0.200824927584771	-0.235375602149019	-1.15187248943213
Healthy	-0.530929447968747	-5	-1.40693556834128	0.0460149508590078	-5
Healthy	-0.341635584312928	-2.91721462968355	0.066516004090991	-0.0923522065996969	-5
Healthy	-1.95233580539844	-1.23121395309199	-1.13948232253825	-1.03607057797344	-0.276363751548955
Healthy	-0.410351941664339	-1.10325338439259	-5	-0.787785752580059	-5
Healthy	1.44376241272035	-0.879919865870547	-5	0.544609953795997	-5
Healthy	-5	-1.05276239212933	0.667019376016459	0.0811419957201863	0.459439232218998
Healthy	-0.334353353872193	-2.59859945921846	-5	-0.612450012609767	-5
Healthy	0.108751013469221	-1.43168091490489	-1.60572347323218	-0.844208647642382	-5
Healthy	0.806654046147595	-0.183427303973897	1.30133411244408	-0.564028293600659	-0.262688062010375
Healthy	-0.999088937868777	-1.24123945609002	-5	-5	-5
Healthy	-5	-1.57528166266843	0.0558597642979701	-5	1.19431477032722
D006973	0.144004113952481	-2.01502287358451	-5	-5	-5
Healthy	1.21619916612133	-5	-5	-0.845697780315335	-0.48537256758866
Healthy	0.244037017036314	-1.0073581301216	-5	-0.989530430203608	-5
Healthy	-5	-5	-2.0301183562535	-0.938698343793955	0.506717392419689
Healthy	-0.471276076739006	-0.998699066979582	-5	-0.849304948857286	-5
Healthy	0.243191885767495	-5	-5	1.2620379575553	0.0200254863257827
Healthy	1.19097649680895	-1.43937612545007	-5	0.335205073740825	-5
Healthy	-0.890826578574528	-5	-5	-0.617982957425132	-5
Healthy	0.776060890414528	-0.69216179584344	-5	-1.01295971302073	-5
Healthy	1.12155820285983	-5	-0.264648654831209	-0.654998961821958	-0.21511893041391
Healthy	0.155405883408257	-1.03428102975578	0.282975385635692	-1.85047298624565	-1.70289634985074
Healthy	0.361376481869873	-5	-5	-0.498803757972911	-5
Healthy	-0.652923803930265	-1.17947015147648	-5	-0.201985035648513	-5
Healthy	-2.03105031901866	-0.548014111051091	-0.0582550850508751	0.376981866455769	-5
Healthy	0.0660723575773765	-5	0.263893965288644	-5	-0.265648292705235
Healthy	0.585749411171379	-1.70929775671215	-5	-0.703290943824397	-5
Healthy	-0.641284886197868	-5	0.886332206961341	-5	-5
Healthy	0.138826693810669	-1.35872424276809	-5	-1.19348086591929	-5
Healthy	-0.361580635137367	-0.488584592791225	0.728773262075445	-5	-5
Healthy	-0.21175383062718	-2.14146280243036	-5	-2.53461714855158	-5
Healthy	0.329157781394064	-1.04793440981495	0.676698181121668	0.390341518926754	-2.14508697769214
D006973	0.200486610383238	-3.17392519729917	-5	-1.53476590501199	-5
Healthy	0.124950679542338	-0.747244028911427	0.855072517386656	-0.447623844747437	-5
Healthy	0.272560963861557	-0.829591588274682	-1.49620931694282	-1.57121748850305	-1.22929523178422
Healthy	-5	-5	-5	0.485269866168583	0.317892088957648
Healthy	-0.266626163055293	-5	-5	-0.614500972847943	-5
Healthy	-1.11025022473596	-5	-5	-0.312506711255048	-5
Healthy	0.761782798918629	-5	-5	-1.7680209731685	-5
Healthy	0.855023401569893	-5	-5	-1.77806440017199	-5
Healthy	-1.1253442674019	-5	-5	-1.67964596718233	-5
Healthy	0.473590604448907	-0.258422985219577	-5	-1.26656197290894	-5
Healthy	0.801618402870708	-5	-5	-0.237839297913818	-5
Healthy	-0.978852064279005	0.209152951593855	1.23550344900574	-5	-5
Healthy	1.89967569522853	-5	0.547602429785681	-0.869827111107464	-5
Healthy	0.310674198718182	-5	-5	-0.526542227184554	-5
Healthy	0.954119441900728	-5	-5	-5	-5
Healthy	-5	-5	-5	1.08418899343258	-5
Healthy	-1.15645578805436	-5	-5	0.0754119076576232	-5
Healthy	-5	-5	-1.16966800654804	-5	-5
Healthy	0.94718709417019	-1.3763372926438	0.483737027872602	-2.70774392864352	-0.242004572723122
Healthy	0.276783384700269	-1.49039429538844	0.262472447950243	-0.153743320221921	-0.819845440546652
Healthy	0.00609363020820083	-0.394608750110711	-2.3585258894959	-0.465237994969973	-5
Healthy	-0.951519352526498	-0.093761957868654	-0.286727919126105	-0.0678104461845136	-5
Healthy	-5	-5	1.40411516877084	-0.0862603017850711	-5
Healthy	-1.74836177955179	-1.03198428600636	-0.268604655755548	-1.63413778459744	-1.57823159879308
Healthy	0.246786537772904	-0.525710873834504	0.71558638787792	0.102519458368337	-0.299469343021408
Healthy	1.9366017988212	-5	-5	-0.640297291725886	-5
Healthy	0.724212769403576	-0.791881259261723	-5	-0.793470948317269	-5
Healthy	0.65769916511523	-5	-2.07468790850035	0.559402646841045	-5
Healthy	-0.162676764352586	-5	0.221849618204452	-5	-5
Healthy	-0.945885099489414	-1.497163361379	-5	-5	-5
Healthy	-0.534498180058329	-1.94846160948467	-5	-0.601625913848644	-5
Healthy	-0.222551427179631	-0.677801386448108	0.0238900543559375	-0.97802554488994	-5
Healthy	-0.930516906065389	-5	-1.96899571863646	-2.35457773065091	-5
