group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phytobacter_ursingii	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Bacteroides_salyersiae	Parasutterella_excrementihominis	Ruminococcus_C_callidus	Enterocloster_citroniae	Bacteroides_uniformis	Lachnospira_eligens_B	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Mediterraneibacter_torques	Blautia_A_wexlerae	Streptococcus_thermophilus	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	0.11673	0	2.80862	9.6929	0	0	0	0.00566	0	0	4.72636	0.00112	0	0	0.79042	0.14252	0	0	0	0
Healthy	1.06913	0	0	0	0	0	0	0	0	0	7.96998	0.0307	7.93271	0.03901	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	15.1103	2.26401	0	0	0	0	0	0	0	0
Healthy	2.738	0	0	0	0	0	0	0	0	0	3.57169	0	0	0	0	0	0	0	0	0
Healthy	5.18659	0	0	0	0	0	0	0	0.20678	0	12.3623	0.86	0.08388	0.02644	0.0977	0.2016	0.03079	0	0	0
Healthy	1.91785	0	0	0	0	0	0	0.15992	0	0	27.2366	0	1.02529	0	0	0.18852	0	0.15181	0	0
Healthy	1.73317	3.72932	3.71161	0.0964	0	0	0	0.00359	0	0	3.36718	0.11331	0.2187	0.40751	0.78458	0.10266	0	1.57054	0.15021	0
Healthy	8.84504	0	0	0.03109	35.4791	0	0	0.00297	0.01466	0	2.86014	0.03401	2.16874	1.72485	0.03862	0.75986	0.00048	0	0.05161	0.05097
Healthy	3.08099	0.03748	11.4823	0	14.5551	1.25582	0.68974	0.0108	0.20723	0	0.43498	10.0137	6.30298	0.00934	0.08128	0.01959	0	0.03433	0.01103	0
Healthy	17.1618	0	0	0	0	8.17796	0	0	0	0	2.11817	3.20884	0.73951	0.02206	0.37225	0	0	0	0.09527	0.06994
Healthy	5.5782	19.4628	0.44502	0	0	0	0	0.01728	0.17788	0.009	5.2835	0.40644	1.17882	1.42095	0.04881	1.36906	0.00209	0.36703	0.05293	0.24464
Healthy	3.80287	0.30528	0	0	0	0	0	0	0	0	3.45745	0	0	0	2.60602	0	10.7036	0	0	0
Healthy	7.56621	0	0	0	0	24.4984	0	0.0282	0.0877	0	0.42838	0.33908	0	0	0.04988	0.03434	0	0.04332	0	0.24751
Healthy	1.51072	0	0	1.55766	0	0	0	0	0	0	0	1.34218	0	4.88893	2.43353	3.57055	0	0	0.36167	0.82913
Healthy	2.41444	0	0	0.27181	0	0	0	0.09287	0	0.00687	30.9392	0	0	0	1.09986	0	0.12083	0.03672	0	0
Healthy	0	0	0	2.53141	0	0	0	0	0	0	1.24137	0	0	0	0.14303	0.00034	0	0	0	0
Healthy	12.8494	0	2.36464	0.05193	0	0	0	0.05064	0.31285	0	1.21561	0.11931	0.45731	0.84826	0.13095	0.85011	0.67778	0	0.51113	0.01591
Healthy	1.07594	6.08965	0.00467	0	0	0	0	0.00025	0.05991	0	0.93071	0.06394	0.26506	1.87867	0.09113	0.47688	0.28536	0.36253	0.09805	0.00086
Healthy	4.8242	0	0	0	5.75465	0	0	0.05761	0	0	13.698	0.88709	0.68814	0.76782	0.00983	0.18656	0	0	0.00986	0
Healthy	6.38634	9.43514	0	16.867	0	0	0	0	0	0	4.03295	1.79197	0.31842	0.27361	0.55754	0.24265	0	0	0.03472	0
Healthy	12.8088	0	0	0.04967	11.1923	0	0	0.02467	0.09501	0	0.91563	2.48807	0.8801	1.01074	0.01182	0.71108	0	0.12226	0.46873	0.2724
Healthy	3.35188	0	25.3283	0.02561	0	0	0	0.05902	0	0	11.7309	0.04788	0	0	0.02543	0	0	0	0	0
Healthy	5.26763	0	1.31805	21.7082	0.02122	0.03219	0	0	0.0368	0.0022	2.08503	0.88954	0.56035	1.75281	0.0276	0.44142	0.06744	0.02955	0.44956	0
Healthy	6.00946	0	0	0	1.33698	0	0	0.12175	0	0	4.00286	1.82474	1.36475	1.33005	0.02148	0.7084	0	0	0.28992	0.01092
Healthy	3.4574	6.70095	0.326	6.48238	0	0	0	0.04911	0	0	5.29432	0.52266	0	0	1.68104	0	0.18933	0.00949	0	0
Healthy	4.64569	0	0	0	5.98611	0	0	0.0283	0	0	9.97984	5.26816	0.35493	0.63437	0.30117	0.33974	0	0	0.09195	0
Healthy	0.43863	32.1609	0.00168	0.1043	0	9.26696	2.13896	0.32161	0	0	3.02569	0.43663	9.76651	0.10803	0.0413	0.01568	0	0.04188	0.00838	0
Healthy	19.6021	0	15.9118	0.09972	0	0	0	0.01507	0	0	7.63692	0.02623	0.44079	0.06532	0.14002	0.09136	0	0	0.08495	0.05675
Healthy	2.6487	0	14.1573	0	0	0	0.09448	0	0	0	4.57084	0	0	3.71069	0.021	0.69925	0	0	0	0
Healthy	5.59288	0.00254	1.52306	0.00443	0	0	0	0.18042	0.00159	0	0.85365	0.3887	0.17223	0.17246	0.03688	0.21407	0	0.03022	0.0713	0.00149
Healthy	9.16534	0	1.43591	0.21745	0	0	0	0.04446	0	0	1.28333	0	2.55857	1.00185	0.11753	0.80681	0	0	0	0.18659
Healthy	1.57533	0	0	0	1.26699	0	0	0.19327	0.00421	0	8.24346	1.84242	0.07303	0.47205	0.00251	0.32854	0	1.12029	0.30987	0.0624
Healthy	5.34315	0	0.00183	0	0	0	1.46424	0.002	0	0	25.9532	0.90191	0	0.01676	0.02034	0.12906	0	0	0	0.2096
Healthy	4.42903	26.4523	2.20567	0	0	0	0	0	0.00599	0	3.52309	0.97191	0.46258	0.64033	0.029	0.17307	0	0.17996	0.15588	0.06189
Healthy	0.00068	0	0	0.91721	0	0	0	0	0	0	0.05133	0	0	0	1.13657	0	0	0	0	0
Healthy	4.84117	0	0.03278	0.05728	0	0	0	0.01697	0	0	2.28163	3.35956	0.1239	0.00256	0.15612	0.08949	0	0.03009	0	0.00917
Healthy	3.41433	0	1.27045	0.09665	0	0	0.28382	0	0	0	2.68607	0.00723	1.35622	0.34	0.65814	0.48211	0.5457	0.05137	0.13775	0.00649
Healthy	7.21216	0	0	0	4.33873	0	0	0.08967	0	0	3.6752	1.39552	2.05414	0.51939	0.30163	0.3583	0.01507	0.00799	0.38593	0.04105
