f	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae	Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
Healthy	0.986454180272142	-5	-5	-5	-5	-5	0.951376380098069	0.0663632022584946	0.0880190793238638	0.573929341329467	0.481229012021988	0.264085514155395	-5	0.105820041248875	-1.06469430971007	-0.154722075245364
Healthy	-5	-5	-5	-5	-5	-5	1.74783028473047	1.10768268611987	-0.295652121429059	0.0290345782176112	0.925511656050378	-5	0.866621056253241	-5	-5	-5
D007234	1.65982248878747	0.466679335862195	-5	-5	-5	-5	1.4468779762291	0.358589604508266	-5	-5	0.157399341963615	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	1.72534398472439	0.72205859495003	-0.83374754804584	0.111165021757667	0.235912072547043	0.171705981376956	0.458722433800222	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	0.753566207633706	-0.348131049753465	-5	0.437435029969223	-5	-5	-5	-5	-1.70531337572056	-5
Healthy	-5	-5	-5	0.0235939977382082	-5	-5	1.54219842077457	1.30706473841213	1.01469774850903	0.731861020341784	0.289985611272195	-0.134896025358872	-5	-5	-1.73353310455976	-5
Healthy	-5	-5	-5	-5	-5	-5	1.75217425969463	0.684733184327011	1.03859473133614	0.282816901350496	0.201765708466026	-0.254175994059787	-5	-5	-1.07504911108439	-5
D007234	1.56148074833456	-2.01999662841625	-2.01502287358451	-2.86966623150499	0.479939348820883	-0.210391087810767	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.01587791713889	-5	-5	-5	-5	-5	1.26817390882452	1.1009571356995	0.564158104275546	0.346734281891791	0.137043790184323	-0.385218751858922	0.799515610671236	-0.277942228668536	-0.611188586526476	-1.35076252765039
Healthy	-1.07381195089279	-5	-5	-2.22694530663574	-5	-5	1.66858633555195	1.11779014983648	0.378241599497053	0.947517043534692	0.199497375490972	0.84938562719768	-0.15358247041197	0.0957480250442235	-1.84557602688535	-3.2839966563652
Healthy	-5	-5	-5	-5	-5	-5	1.71748543082935	1.24008775247789	0.635095523184499	1.03946607275992	0.0638922893443259	-0.378605586791193	-0.685858796739429	-1.91470942176993	-1.42550573171467	-0.744076541267099
Healthy	-5	-5	-5	-5	-5	-5	1.14982516181725	1.18079945560002	0.997676399751038	1.23456308954756	-0.13519829994923	-5	-0.0687608572473792	0.123949591081827	0.149382327425737	-5
D007234	1.45435299069848	0.30703154377937	-5	-0.136397615598263	-1.14813039927023	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.90692869362394	-5	-5	1.4934093905568	1.18128750658172	1.09551072269155	0.762234291084241	0.557037765882228	-0.112343322416142	0.856505343348038	-5	-0.424465781680136	-1.83564714421556
Healthy	-5	-5	-5	-5	-5	-5	1.30116134987843	0.975087453435228	-5	0.580112621451532	0.490821992900465	1.22148491906009	-5	-5	-5	-5
D007234	0.662470724795588	0.726474544005436	-5	0.674610407921993	-5	0.833358786850827	-5	-5	-5	-5	-5	-5	-5	-5	-0.115266925254406	-5
Healthy	-5	-1.41612140150137	-5	-1.86296254521049	-5	-5	1.60898703950159	0.37159239488545	1.31658086566086	0.883883918596591	0.687245284100021	-0.476578725627368	-0.152785287758974	-0.92161569125181	-5	-1.14697138528701
Healthy	0.375840952758352	0.957278688671952	-5	-5	-5	-5	-0.56125202309777	1.4491178545749	-5	0.222784080594466	-5	1.55339155917997	-5	-5	-5	-5
Healthy	0.177438375806556	-5	-5	-5	-5	-5	1.86971428135975	0.585977063678932	0.193614295428634	0.382818216177063	0.931182153667447	-0.844087310914094	0.412992798904376	-5	-0.0379670531146965	-1.01269132626882
