g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	0.986454180272142	-5	-5	-5	-5	-5	-5	-0.900077767803078	0.934626195830804	-0.470723678080773	0.0880190793238638	-0.932780311025859	-5	0.481229012021988	-5	-0.102136584883984	-1.07314329105031	-0.827280338650503
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.12876716449744	1.62841457821411	-0.295652121429059	0.0290345782176112	-0.075400281489385	0.925511656050378	1.01379625100197	-0.458657935609943	-5	-5
D007234	1.64875908570972	-5	0.466679335862195	-5	0.0604107334676256	-5	-5	-5	1.4468779762291	-5	-5	-5	-5	0.157399341963615	-5	-5	0.358589604508266	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.72534398472439	-5	-0.83374754804584	-5	-1.02867775475719	0.235912072547043	-5	0.258627706113928	-0.372071154783151	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.749682991442778	-1.29688065376392	-5	0.437435029969223	-5	-5	-0.682354456778841	-5	-0.87739097642401	-5
Healthy	-5	-5	-5	-5	-5	0.0235939977382082	-5	-5	1.45052007281021	0.821648446606005	1.01469774850903	0.714882755706848	0.373215534966044	0.289985611272195	0.459223562612027	-1.01006098671546	-1.0417228744523	-0.695487930375765
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.517555208081735	1.47379006751291	1.42725250750727	1.0325200463414	0.282816901350496	0.226166683429083	0.201765708466026	0.0108509573739229	-1.03824678581322	-1.3646167959525	-0.724619532472566
D007234	-5	-2.01502287358451	-2.01999662841625	1.38898009560144	1.07708834046341	-2.86966623150499	0.479939348820883	-2.18508681872493	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.01587791713889	-5	-5	-5	-5	-5	-5	-2.81247927916354	1.13133117789128	0.099801453452244	0.32121926695224	0.238843668857748	0.355198570996061	0.137043790184323	0.0835241190249404	0.44800562898169	0.328036926154057	-0.988556437977925
Healthy	-1.50723961097316	-5	-5	-1.43015810059624	-1.79182747333288	-2.22694530663574	-5	-2.07935499859321	0.604218490676903	1.62819606048013	0.378241599497053	0.946700292266965	0.0253837035262303	0.199497375490972	0.596827925009401	-0.86359655186601	0.155238841810451	-0.119260701287455
