o	Enterobacterales	Pseudomonadales	Staphylococcales	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	0.986454180272142	-5	-5	1.12037516310008	0.0663632022584946	0.753748472904391	-1.78251605578609	1.63962801034967	-0.529192738698152	-5	-0.738784727731408	0.157293537030964	-5	-0.154722075245364	-5
Healthy	-5	-5	-5	1.85877539268605	1.10768268611987	0.0290345782176112	-5	-5	-1.28075160155205	-5	-5	-5	-5	-5	-5
D007234	1.65982248878747	0.466679335862195	-5	1.46862421565067	0.358589604508266	-5	1.09325388899562	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.76248500077786	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.753566207633706	-0.348131049753465	0.440548593956687	0.256147450368233	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.336485750711003	-5	-5	1.67342301960269	1.30706473841213	0.788509872400148	-0.0907114758377493	-2.79860287567955	0.783824284719325	-5	-1.71692502526453	-5	0.529330239490453	-5	-5
Healthy	-5	-5	-5	1.84256505913163	0.684733184327011	0.408058405844381	-0.419576861588155	-5	-0.796070062755374	-5	-0.493494967595128	-5	-5	-5	-5
D007234	1.56148074833456	-1.71669877129645	0.479939348820883	-5	-5	-5	-0.202434719742559	-5	-5	-5	-2.18508681872493	-5	-5	-5	-3.82390874094432
Healthy	-1.01587791713889	-5	-5	1.49356483387704	1.1009571356995	0.459184338446896	-0.301507982535077	0.815250243860085	0.430258930332081	-5	-1.21997087266266	-0.249483891283201	-5	-1.35076252765039	-5
Healthy	-1.04619200233469	-5	-5	1.71315322488589	1.11779014983648	1.20263541825529	-0.0859743483036714	-5	-2.52578373592374	-5	-1.89997426989214	0.113150877468074	-5	-3.2839966563652	-0.922305134113414
Healthy	-5	-5	-5	1.76828215948572	1.24008775247789	1.05717296444977	-5	-5	-1.96617430604669	-5	-5	-1.91470942176993	-5	-0.744076541267099	-5
Healthy	-5	-5	-5	1.40912732608835	1.18079945560002	1.26886639176701	1.34327168575716	-5	0.254888708775947	-5	-5	0.146202479780109	-5	-5	-5
D007234	1.45435299069848	0.30703154377937	-1.14813039927023	-5	-5	-5	1.61920898788988	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.751024304759	1.18128750658172	0.840885492996785	-0.142643376767697	-0.0835460514500749	0.253345275820191	-0.593527949534324	-0.150728037929926	-0.576737737901385	-5	-1.83564714421556	-5
Healthy	-5	-5	-5	1.3636531513135	0.975087453435228	1.31081179804747	1.07310257186231	-5	-5	-5	-5	-5	-5	-5	-5
D007234	0.662470724795588	0.726474544005436	-5	-5	-5	-0.115266925254406	1.86959027544421	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.14333151638846	-1.41612140150137	-5	1.83153801034881	0.37159239488545	0.902419570561906	-5	-0.218474395596606	-1.54959691384463	-5	-5	-0.434990895787404	-5	-1.14697138528701	-5
Healthy	0.375840952758352	0.957278688671952	-5	-0.56125202309777	1.4491178545749	1.57321704242274	0.9318081145476	-0.00261361560268669	-5	-5	-5	-0.0813721327862228	-5	-5	-5
Healthy	0.177438375806556	-5	-5	1.93835333049894	0.585977063678932	0.540818562812956	-0.639539128949822	-5	-1.03207779326948	-5	-1.26233037264336	-5	-5	-1.01269132626882	-5
Healthy	0.415347348285907	-0.740406121114051	-1.19178902707578	1.80841638682843	0.612949069045181	-1.1049091030656	1.10762472634163	-5	-5	-5	-1.66574735766577	0.559244509416333	-5	-5	-5
Healthy	-0.862424366317959	-5	-5	1.13997348798446	1.54045411318771	1.38536135539875	0.0496753420608595	-1.58037463911226	-1.2954205503037	0.218461978766149	0.0798249722168164	-0.810650075660802	0.199894984410582	-5	-0.359617955290432
