p	Proteobacteria	Firmicutes	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes_C	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	0.99950331749903	-0.738784727731408	1.12037516310008	0.834881459911079	0.162250669289265	0.418049261100667	1.63962801034967	-5	-0.154722075245364
Healthy	-1.28075160155205	-5	1.85877539268605	1.14248551342664	-5	0.579395987303872	-5	-5	-5
D007234	1.68680477142394	-5	1.46862421565067	0.432247538268601	1.09325388899562	-5	-5	-5	-5
Healthy	-5	-5	1.76248500077786	0.905775918547835	-5	-5	-5	-5	-5
Healthy	-5	-5	0.753566207633706	0.506005509528048	0.256147450368233	0.279527783292017	-5	-5	-5
Healthy	0.916401830084926	-0.157278457372331	1.67342301960269	1.42200957240051	-0.0907114758377493	0.647289058452041	-2.79860287567955	-5	-5
Healthy	-0.796070062755374	-0.493494967595128	1.84256505913163	0.869094954125148	-0.419576861588155	0.792386786145778	-5	-5	-5
D007234	1.56170944729116	1.41215013017172	-5	0.72954301211988	-0.0121014585880395	-2.86966623150499	-5	-5	-5
Healthy	0.445532593261974	-0.983091956027925	1.49356483387704	1.19020951815055	0.0263085008540707	-5	0.815250243860085	-5	-1.35076252765039
Healthy	-1.03207779326948	-1.13288622016802	1.71315322488589	1.46509466393064	0.325930056738713	-2.22694530663574	-5	-5	-3.2839966563652
Healthy	-1.96617430604669	-1.71579493229821	1.76828215948572	1.45921979121162	-1.91470942176993	-0.517312174147043	-5	-5	-0.744076541267099
Healthy	0.254888708775947	-1.07083661679494	1.40912732608835	1.52809127080218	1.3700183746773	0.469780792850616	-5	-5	-5
D007234	1.48423661285938	-1.14813039927023	-5	-5	1.61920898788988	-0.136397615598263	-5	-5	-5
Healthy	0.253345275820191	-0.119826892692204	1.751024304759	1.34464707672557	-0.00654613353633836	-1.90692869362394	-0.0835460514500749	-0.593527949534324	-1.83564714421556
Healthy	-5	1.1269644402306	1.3636531513135	1.4756432996228	1.07310257186231	-5	-5	-5	-5
D007234	0.996680191244608	-0.299841656066367	-5	0.938903815836663	1.86959027544421	0.674610407921993	-5	-5	-5
