s	Phytobacter_ursingii	Acinetobacter_baumannii	Pseudomonas_E_parafulva_B	Leclercia_sp000755535	Serratia_marcescens_I	Veillonella_parvula_A	Staphylococcus_warneri_A	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Faecalibacterium_sp900539885	Alistipes_putredinis	Agathobacter_rectalis	Phocaeicola_vulgatus	Bacteroides_ovatus	Alistipes_shahii	Alistipes_onderdonkii	Mediterraneibacter_torques	Blautia_A_wexlerae
Healthy	0.986454180272142	-5	-5	-5	-5	-5	-5	-1.89177334362507	-5	-5	0.674527717014598	-0.932780311025859	-0.71810344975394	-5	-0.470723678080773	-0.0657591718798766	0.0142264293892295	-5	-0.102136584883984	-0.846093714861132
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.90145777648425	0.0290345782176112	-0.295652121429059	-0.075400281489385	-5	-5	-5	-5	-5	-5
D007234	1.64875908570972	-5	0.466679335862195	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.42305097128878	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-5	-0.83374754804584	-1.02867775475719	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	0.437435029969223	-5	-5	-1.29688065376392	0.264246255403716	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-0.521217132493401	-5	-5	-0.903402791642106	-5	1.09209962985614	0.714882755706848	0.90899568475106	0.373215534966044	0.821648446606005	0.0290995668235429	0.217052067154388	-0.650081705290739	-1.01006098671546	-0.695487930375765
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.43515305221608	0.282816901350496	0.968106396806949	0.226166683429083	-5	0.403835745348327	0.171907737413988	-5	-5	-0.724619532472566
D007234	-5	-2.01502287358451	-2.01999662841625	1.38898009560144	1.07708834046341	-3.19382002601611	-1.74982405191607	-2.18508681872493	-3.14266750356873	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.01587791713889	-5	-5	-5	-5	-5	-5	-2.81247927916354	-5	-5	0.527267622958763	0.238843668857748	0.216377057988173	0.355198570996061	-0.0408011448226132	-0.65913963793512	-0.857454115913723	-0.667480748626269	-0.105357231476041	-0.988556437977925
Healthy	-1.50723961097316	-5	-5	-1.43015810059624	-1.79182747333288	-2.22694530663574	-5	-2.86327943284359	-5	-2.36451625318509	0.456388810214364	0.946700292266965	0.338133641034116	0.0253837035262303	0.352234630322521	-1.66334017654558	-0.912786658768385	-1.67819451614246	-1.41307529185518	-0.119260701287455
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.361520726941314	0.488691698316941	0.590282172556603	-5	0.410184839777753	-2.29242982390206	-0.713768145971447	-1.48122293107323	-1.08996287644695	-1.70774392864352
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.325962863082671	1.23456308954756	0.680245743900049	0.651607487481262	0.26556068059152	0.127376957372236	-5	0.381975593405753	-0.429153626990195	-5
D007234	1.09922504894932	-5	0.30703154377937	1.17195187732477	0.0183842304643757	-0.136397615598263	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-1.90692869362394	-5	-3.15490195998574	-5	-5	0.722922533741182	0.746494859898562	1.01536855858652	0.480235534517375	-2.60554831917378	0.0890674928872376	-0.555549219206082	-0.151878650555156	-1.31140222491883	0.136425654004358
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.538757164376499	0.580112621451532	-5	-5	-5	-5	-5	-5	0.415979410900535	-5
D007234	-0.0268259473170278	-5	0.726474544005436	0.563109521648909	-5	0.674610407921993	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-1.86296254521049	-5	-5	-5	-5	-0.368160675551451	0.878878964949977	1.18995355729989	-0.193243611348028	0.0100411689718056	-1.04421607108309	-0.350489900848029	0.248515182809189	-1.30198649606082	-1.46407325860443
Healthy	0.192475455673402	-5	0.957278688671952	-5	-5	-5	-5	-5	-5	-5	-5	0.179186853493301	-5	1.01097843562859	-0.56125202309777	-5	-5	-5	0.386238489119285	0.552736335394256
Healthy	-0.565718591863699	-5	-5	0.0909102395031544	-5	-5	-5	-5	-5	-5	1.49050922025472	0.382818216177063	-5	-5	-0.0939128893255064	1.05693189865932	-1.11890078161098	0.133050052044805	0.0413413564136055	-5
Healthy	0.403364207011209	-1.0694075115574	-1.01511279893567	-5	-1.68193666503724	-1.81844222613721	-1.59345981956604	-2.74957999769111	0.492432100338645	-1.94730605807503	0.0939047441429764	-5	-5	-5	1.14639194447986	1.08076028960757	-5	-5	-0.844542498548157	-3.45593195564972
