group	Lachnospiraceae	Coriobacteriaceae	Lactobacillaceae	Streptococcaceae	Erysipelotrichaceae	Methanobacteriaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	1.16509	1.2759	0	0	0.18247	0	0	0.16055	0	0	1.16509	3.74911	0.01649	1.83689	43.6142	0	1.2759	0.08615	0.70028	0.16055
Healthy	12.81393	0	0	0	0	0	0	0	0	0	12.81393	1.06913	0	0	0	0	0	0	0	0
Healthy	5.273	0	0	0	0	0	0	0	0	0	5.273	1.2917	0	1.48492	0	0	0	0	0	0
Healthy	0.4486	0	0	0	0	0	0	0	0	0	0.4486	2.738	1.80362	0	0	0	0	0.0197	0	0
Healthy	20.27984	0	0	0.67699	0.01918	0	0	0	0	0	20.27984	5.39337	0.81149	0.73299	0.00158	0	0	0.01846	0	0
Healthy	4.83874	0	0	0	0.32099	0	0	0	0	0	4.83874	1.91785	0.38055	0.55695	0	0	0	0.08412	0	0
Healthy	12.61702	0.52729	0.01044	0.03327	0.06025	0	0	0.03571	0	0	12.61702	2.22194	0.49944	0.41188	6.53506	0	0.52729	0.24479	0.04458	0.03571
Healthy	13.11565	1.24665	0.0443	0.01675	0.01258	0	0	0.05097	0.11958	0	13.11565	8.86169	0.82039	7.06944	0	0	1.24665	0.01426	0.00051	0.05097
Healthy	17.38151	0.01216	0	0.01923	0	0	0	0	0	0	17.38151	10.9513	0	0.4182	0	0	0.01216	0.03753	0.18026	0
Healthy	15.16349	1.33029	0.08494	0	0	0	0	0.06994	0	0	15.16349	17.1618	22.04304	0	0	0	1.33029	1.41052	0	0.06994
Healthy	15.18054	0	0	0.05212	0.7062	0.25495	0.00055	0.265	0	0.00401	15.18054	5.78407	0.71602	0.77206	0.82499	0.25495	0	0.37629	0.01459	0.265
Healthy	9.4425	0	0	13.39566	0	0	0	0	0	0	9.4425	3.80287	11.8332	16.6527	0	0	0	0	0	0
Healthy	2.35283	0.11977	0	0.01605	0	0	0	0.24751	0	0	2.35283	7.65391	0	0.33374	0.60467	0	0.11977	0	0.07128	0.24751
Healthy	28.12663	0	0.10925	0.34454	0	0	0	0.82913	0	0	28.12663	1.67025	8.54688	35.7595	0.99399	0	0	0	0	0.82913
Healthy	3.85457	0	0	0.12083	0.05465	0	0	0	0	0	3.85457	2.41444	0.22932	0.14318	0	0	0	0.91628	0.09711	0
Healthy	4.10155	3.62446	0.1374	0.42839	0.00177	0	0.01981	0	0	0.02571	4.10155	0	12.7725	0	0	0	3.62446	0.07853	0	0
Healthy	34.70995	0.13873	0.36642	1.12441	1.20177	1.65371	0	0.01591	0.43689	0	34.70995	13.31372	1.12117	10.96447	0.02627	1.65371	0.13873	0.0081	0	0.01591
Healthy	5.38139	0.04512	0	0.28536	0.07892	8.04332	0.10878	0.01253	0	0	5.38139	3.73808	0.17058	0.0419	1.86453	8.04332	0.04512	0.08129	0.6158	0.01253
Healthy	26.06072	0.17073	0	0.07802	0.66417	0	0	0	0.21074	0	26.06072	5.9724	3.09685	2.09199	0	0	0.17073	0	0	0
Healthy	19.84564	0.50024	0	0	0.71151	0	0	0	0.30973	0	19.84564	6.40852	2.47727	0	5.52258	0	0.50024	0	0	0
Healthy	20.53981	2.27966	0.00437	0.08595	0.00655	0	0	0.28596	1.78824	0	20.53981	25.27391	0.32652	0.02446	0	0	2.27966	0.01625	0	0.28596
Healthy	6.19713	0	0	0	0.02265	0	0	0	0	0	6.19713	10.18732	0	0.68695	5.84141	0	0	0.42481	0.23947	0
Healthy	18.27579	0.34053	0	1.2355	3.65654	0.79631	0.28493	0	0.05105	0	18.27579	6.06601	12.84778	0.02199	1.65451	0.79631	0.34053	0	0.04548	0
Healthy	39.389	0.7139	0	0.27572	2.00328	0	0	0.01092	4.77347	0	39.389	9.34541	2.73178	2.28458	0	0	0.7139	0	0	0.01092
Healthy	4.36604	0	0	0.18933	0.01647	0.54221	0	0	0	0	4.36604	3.47915	0	0.92851	19.976	0.54221	0	0.79294	0.71956	0
Healthy	23.75263	0.13928	0	0.03268	0.46295	0	0	0	0.4766	0	23.75263	5.1328	9.87554	3.62083	0.08687	0	0.13928	0	0	0
Healthy	15.2491	0	0	0	0	0	0	0	0	0	15.2491	0.47242	0	2.18546	0.40549	0	0	0	0	0
Healthy	10.34856	0.07813	0	0	0.02068	0	0	0.05886	0	0	10.34856	19.7024	0	1.00836	0.08623	0	0.07813	0.17117	0.24772	0.05886
Healthy	14.18773	0	0	0.18538	0.20336	0	0.06515	0	0	0	14.18773	2.6487	0.34594	0.0289	48.7672	0	0	0.21477	0	0
Healthy	13.93238	0.09283	0	0.15228	1.46121	0.63907	0	0.00168	0.02211	0.00039	13.93238	10.85128	0.60784	3.4911	0.02505	0.63907	0.09283	0.10316	0.07772	0.00168
Healthy	26.51074	0.65919	0	0.17857	0	0	0	0.23851	0	0	26.51074	9.16534	24.34814	11.0197	0	0	0.65919	0	0	0.23851
Healthy	17.91379	0.37637	0	0.00266	0	0.18038	0	0.07931	0	0	17.91379	2.3527	3.39236	5.72628	1.65301	0.18038	0.37637	0.05935	0.07473	0.07931
Healthy	3.84486	0.53587	0	0.02484	0.0123	0.08119	0	0.27818	0	0	3.84486	9.42381	5.62643	0.38285	0	0.08119	0.53587	0.21886	0.10324	0.27818
Healthy	16.00939	1.3964	0	0.1302	0	0	0	0.06189	0	0	16.00939	6.22563	0.20527	0	0	0	1.3964	0	0.08008	0.06189
Healthy	20.64762	5.7193	0.29223	0.00104	0	0	0	0.03312	0	0	20.64762	0.00068	25.053	0	0	0	5.7193	0.04847	0.01514	0.03312
Healthy	6.7014	0.19788	0	0.01765	0	0.18758	0	0.00917	0	0	6.7014	6.6407	0.50195	0.70541	0	0.18758	0.19788	0.16032	0.15405	0.00917
