group	Blautia_A	Streptococcus	Dorea	Longicatena	Faecalimonas	Clostridium_A	Adlercreutzia	Gordonibacter	Eggerthella	Lactococcus	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Blautia_A	Dorea	Flavonifractor
Healthy	0.14883	0	0	0.12586	0	0.03006	0	0.14655	0.014	0	0.11673	0	1.80683	0	0.79042	0.08449	1.2759	0.14883	0	0.06834
Healthy	0	0	0	0	0	0	0	0	0	0	1.06913	0.84061	0	10.32276	0.3478	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.0936	1.48492	0	1.81395	0.42454	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.738	0	0	0.20779	0	0.13261	0	0	0	0
Healthy	0.2016	0.67699	0.0346	0	0	0	0	0	0	0	5.18659	2.36164	0.73299	2.87887	0.0977	0.09083	0	0.2016	0.0346	0.01846
Healthy	0.18852	0	0.09171	0.30369	0	0.55695	0	0	0	0	1.91785	1.68331	0	1.02529	0.09156	0.04318	0	0.18852	0.09171	0.08412
Healthy	0.10266	0.00766	0.92636	0.00153	0	0.38897	0	0.03571	0	0.02561	1.73317	2.26567	0.02291	1.21205	2.80546	2.12831	0.52729	0.10266	0.92636	0.02483
Healthy	0.75986	0.01675	0.38312	0.00832	0.00857	0.04136	0.05097	0	0	0	8.84504	1.06018	7.02808	3.95209	0.13689	1.42967	1.24665	0.75986	0.38312	0.01242
Healthy	0.01959	0.01923	0	0	0.05007	0	0	0	0	0	3.08099	0	0.4182	6.77883	0.08128	0.05673	0.01216	0.01959	0	0.0292
Healthy	0	0	0.04749	0	0	0	0.06994	0	0	0	17.1618	4.48339	0	6.73935	0.40802	0.06939	1.33029	0	0.04749	0
Healthy	1.36906	0.05212	0.17167	0.0148	0	0.65078	0.24464	0	0.02036	0	5.5782	3.02158	0.12128	1.54575	1.26581	0.48892	0	1.36906	0.17167	0.01615
Healthy	0	13.39566	0	0	0	0	0	0	0	0	3.80287	0	16.6527	0	2.60602	0	0	0	0	0
Healthy	0.03434	0.01605	0.00959	0	0	0	0.24751	0	0	0	7.56621	0.64084	0.33374	0.58737	0.08537	0.13189	0.11977	0.03434	0.00959	0
Healthy	3.57055	0	0.89372	0	0	0	0.82913	0	0	0.34454	1.51072	10.256	35.7595	0.17514	2.43353	3.36158	0	3.57055	0.89372	0
Healthy	0	0.12083	0	0	0	0.14318	0	0	0	0	2.41444	0	0	0	1.09986	2.4787	0	0	0	0.5544
