group	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Verrucomicrobiales	Erysipelotrichales	Methanobacteriales	Peptostreptococcales	Pseudomonadales		Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	1.16509	5.67215	0	1.43645	43.6142	0.18247	0	0	0		1.16509	5.67215	0.01649	43.6142	0	0.18247	1.43645	0	0.70028	0
Healthy	12.81393	1.06913	0	0	0	0	0	0	0		12.81393	1.06913	0	0	0	0	0	0	0	0
Healthy	5.273	2.77662	0	0	0	0	0	0	0		5.273	2.77662	0	0	0	0	0	0	0	0
Healthy	0.4486	2.7577	0	0	0	0	0	0	0		0.4486	2.7577	1.80362	0	0	0	0	0	0	0
Healthy	20.27984	6.14482	0.67699	0	0.00158	0.01918	0	0	0		20.27984	6.14482	0.81149	0.00158	0	0.01918	0	3.38321	0	0
Healthy	4.83874	2.55892	0	0	0	0.32099	0	0	0		4.83874	2.55892	0.38055	0	0	0.32099	0	0	0	0
Healthy	12.61702	2.87861	0.04371	0.563	6.53506	0.06025	0	0	0		12.61702	2.87861	0.49944	6.53506	0	0.06025	0.563	0	0.04458	0
Healthy	13.11565	15.94539	0.06105	1.29762	0	0.01258	0	0.11958	0		13.11565	15.94539	0.82039	0	0	0.01258	1.29762	0	0.00051	0.11958
Healthy	17.38151	11.40703	0.01923	0.01216	0	0	0	0	0		17.38151	11.40703	0	0	0	0	0.01216	0	0.18026	0
Healthy	15.16349	18.57232	0.08494	1.40023	0	0	0	0	0		15.16349	18.57232	22.04304	0	0	0	1.40023	0	0	0
Healthy	15.18054	6.93242	0.05212	0.265	0.82499	0.70675	0.25495	0	0		15.18054	6.93242	0.72003	0.82499	0.25495	0.70675	0.265	0	0.01459	0
Healthy	9.4425	20.45557	13.39566	0	0	0	0	0	0		9.4425	20.45557	11.8332	0	0	0	0	0	0	0
Healthy	2.35283	7.98765	0.01605	0.36728	0.60467	0	0	0	0.03835		2.35283	7.98765	0	0.60467	0	0	0.36728	0	0.07128	0
Healthy	28.12663	37.42975	1.32629	0.82913	0.99399	0	0	0	9.06313		28.12663	37.42975	8.54688	0.99399	0	0	0.82913	0	0	0
Healthy	3.85457	3.4739	0.12083	0	0	0.05465	0	0	0		3.85457	3.4739	0.22932	0	0	0.05465	0	0	0.09711	0
Healthy	4.10155	0.07853	0.60558	3.62446	0	0.02158	0	0	0.18179		4.10155	0.07853	12.81222	0	0	0.02158	3.62446	0	0	0
Healthy	34.70995	24.28629	1.49083	0.15464	0.02627	1.20177	1.65371	0.43689	0		34.70995	24.28629	1.12117	0.02627	1.65371	1.20177	0.15464	1.5845	0	0.43689
Healthy	5.38139	3.86127	0.28536	0.05765	1.86453	0.1877	8.04332	0	0		5.38139	3.86127	0.17058	1.86453	8.04332	0.1877	0.05765	0	0.6158	0
