s	Blautia_A_wexlerae	Streptococcus_sp001556435	Ruminococcus_B_gnavus	Anaerostipes_hadrus	Streptococcus_parasanguinis_D	Clostridium_A_leptum	Adlercreutzia_equolifaciens	Eisenbergiella_tayi	Gordonibacter_pamelaeae	Eggerthella_lenta	Bacteroides_uniformis	Alistipes_putredinis	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Coprococcus_eutactus_A	Sutterella_wadsworthensis_A	Alistipes_obesi	Parasutterella_excrementihominis	Coprobacter_fastidiosus
Healthy	-0.846093714861132	-5	-5	-5	-5	-1.52186657189948	-5	-1.35941919351035	-0.833984543676225	-1.85356186471423	0.674527717014598	-0.71810344975394	-2.94692155651658	-5	0.0142264293892295	-5	-5	-5	-2.24641694110709	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.90145777648425	-0.295652121429059	-1.51272018355693	0.866621056253241	-5	-5	-1.28075160155205	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-0.83374754804584	0.35488025902298	0.458722433800222	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.695487930375765	-0.795635795378995	-5	-1.38647529714635	-0.329225520373139	-5	-5	-5	-5	-5	1.09209962985614	0.90899568475106	-0.0654964988499561	-5	0.217052067154388	0.85105155085077	0.783824284719325	-0.440656048967849	-5	-5
Healthy	-0.724619532472566	-5	0.222378265944956	-5	-5	-0.254175994059787	-5	-1.33264045381691	-5	-5	1.43515305221608	0.968106396806949	-5	-5	0.171907737413988	-5	-5	-5	-0.796070062755374	-5
Healthy	-0.988556437977925	-2.2298847052129	-3.65757731917779	-0.71092412110178	-2.74714696902011	-0.410072728013453	-5	-5	-1.44708854978349	-5	0.527267622958763	0.216377057988173	-0.9456934341516	0.799515610671236	-0.857454115913723	-5	0.429679622431677	-1.03390522055383	-2.44369749923271	-0.496331862454351
Healthy	-0.119260701287455	-2.08196966321512	-1.02599520310259	-1.32882715728492	-2.431798275933	-1.38331447910449	-1.29260016886675	-5	-5	-5	0.456388810214364	0.338133641034116	-1.46826569072345	-0.15358247041197	-0.912786658768385	-5	-5	-1.21381665443237	-2.52578373592374	-1.4087127349415
Healthy	-1.70774392864352	-1.71579493229821	-2.26680273489343	-5	-5	-5	-5	-5	-5	-5	-0.361520726941314	0.590282172556603	1.00059500994851	-0.685858796739429	-0.713768145971447	-5	-5	-0.795635795378995	-1.96617430604669	-1.70136521687556
Healthy	-5	-5	-5	-5	-5	-5	-1.15521228117215	-5	-5	-5	0.325962863082671	0.680245743900049	0.506349416162233	-0.0687608572473792	-5	-5	0.254888708775947	0.438997763148884	-5	-5
Healthy	0.136425654004358	-1.33170728955178	-1.26913700795351	0.121648466671617	-5	-0.186559129026798	-0.611454779904043	-5	-5	-1.69100897099984	0.722922533741182	1.01536855858652	-0.39099287211093	0.856505343348038	-0.555549219206082	0.204535078318247	0.249137184846198	-5	-1.76220500672608	-1.18902860017779
Healthy	-5	-5	0.487202029612374	-5	-5	-5	-5	-5	-5	-5	0.538757164376499	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.46407325860443	-1.79425445905734	-5	-5	-5	-5	-0.606389703644708	-5	-5	-5	-0.368160675551451	1.18995355729989	-0.469685017679468	-0.152785287758974	-0.350489900848029	-0.329021661049564	-5	0.468022226494091	-1.54959691384463	-5
Healthy	0.552736335394256	-5	-0.454952795598816	-0.908931268499988	-5	-5	-0.0813721327862228	-5	-5	-5	-5	-5	0.127813998776952	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-0.844087310914094	-5	-5	-5	-5	1.49050922025472	-5	-5	0.412992798904376	-1.11890078161098	-5	-5	-1.04315950984077	-1.03207779326948	-5
Healthy	-3.45593195564972	-5	0.597037763343695	-5	-0.487515724122098	-5	-5	-5	-5	-5	0.0939047441429764	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0705197664510663	-0.817043530944649	-0.720675334557389	-1.15889091553185	-1.0007389288869	-1.28166442109149	-1.79805693659835	-5	-5	-5	0.0847978367009172	-2.70774392864352	-0.923286755309975	0.355493663995184	-0.545444766198891	0.748155453698543	-5	-0.498516240927055	-1.2954205503037	-5
Healthy	-0.321581784276875	-5	-5	-0.837465463450644	-5	-1.91435271170314	-3.06048074738138	-1.85886390987926	-1.93255715722362	-5	-0.0311809535457074	0.146819254385544	-1.19415945118533	0.51030232728663	-0.215168821875531	-0.211407444079641	0.0620590120476802	-1.13984173868172	-3.58502665202918	-0.893367211079884
Healthy	-0.729158188466814	-1.10773839308446	-5	-0.194669086857231	-5	-5	-5	-5	-5	-5	1.13665747892332	-5	-0.0520274207542199	-5	0.315336274434903	-5	-5	-0.429352001580662	-1.23942674605561	-5
Healthy	-0.615001806737603	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.60562391457756	0.692898890557778	0.25333315826243	0.46037156183465	-0.147465113058053	-5	-5	-1.60032627851896	-5	-5
Healthy	-0.148075428764255	-1.48280410205003	-5	-1.09707290398274	-1.35644863143705	-1.97021052916814	-0.564776953788971	-2.85387196432176	-1.86742015234026	-5	-0.0382752433021856	0.592301141070598	0.395864340247071	0.505339940604518	0.0763600457525881	-5	-5	-5	-1.6076548446388	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.41273815030747	-5	-5	1.06933170287848	0.749063488247508	-1.31975516295739	-5	0.101382718498418	-5	-5	-5	-1.22892721677881	-5
Healthy	-0.355138155107936	-0.747001419843108	-0.956048581736723	-0.863945650448944	-1.00935041168115	-1.65757731917779	-5	-1.5394028111024	-5	-5	0.319114391018478	0.378363374072967	-0.0508296359849904	0.573923549338574	-0.50956391880679	-5	-0.888233566947438	-0.24272546917445	-5	-5
