c	Clostridia	Actinomycetia	Coriobacteriia	Bacilli	Verrucomicrobiae	Bacteroidia	Gammaproteobacteria	Desulfovibrionia
Healthy	0.834881459911079	-1.78251605578609	0.157293537030964	-0.738784727731408	1.63962801034967	1.12037516310008	0.99950331749903	-0.154722075245364
Healthy	1.14248551342664	-5	-5	-5	-5	1.85877539268605	-1.28075160155205	-5
Healthy	0.905775918547835	-5	-5	-5	-5	1.76248500077786	-5	-5
Healthy	0.506005509528048	0.256147450368233	-5	-5	-5	0.753566207633706	-5	-5
Healthy	1.42200957240051	-0.0907114758377493	-5	-0.157278457372331	-2.79860287567955	1.67342301960269	0.916401830084926	-5
Healthy	0.869094954125148	-0.419576861588155	-5	-0.493494967595128	-5	1.84256505913163	-0.796070062755374	-5
Healthy	1.19020951815055	-0.301507982535077	-0.249483891283201	-0.983091956027925	0.815250243860085	1.49356483387704	0.445532593261974	-1.35076252765039
Healthy	1.46509466393064	-0.0859743483036714	0.113150877468074	-1.13288622016802	-5	1.71315322488589	-1.03207779326948	-3.2839966563652
Healthy	1.45921979121162	-5	-1.91470942176993	-1.71579493229821	-5	1.76828215948572	-1.96617430604669	-0.744076541267099
Healthy	1.52809127080218	1.34327168575716	0.146202479780109	-1.07083661679494	-5	1.40912732608835	0.254888708775947	-5
Healthy	1.34464707672557	-0.142643376767697	-0.576737737901385	-0.119826892692204	-0.0835460514500749	1.751024304759	0.253345275820191	-1.83564714421556
Healthy	1.4756432996228	1.07310257186231	-5	1.1269644402306	-5	1.3636531513135	-5	-5
Healthy	1.01454111895657	-5	-0.434990895787404	-1.79425445905734	-0.218474395596606	1.83153801034881	-0.85873840937791	-1.14697138528701
Healthy	1.81661503022113	0.935873389978904	-0.0813721327862228	0.122641769625536	-0.00261361560268669	-0.56125202309777	1.05839185658905	-5
D009765	1.29431342462616	-5	-5	-5	-5	1.85317607556997	-1.00744648216786	-5
Healthy	0.865013906964962	-0.639539128949822	-5	-0.755747626027527	-5	1.93835333049894	0.203449022518777	-1.01269132626882
Healthy	0.621185632512497	1.10762472634163	0.559244509416333	-0.160232938160214	-5	1.80841638682843	0.444673910810744	-5
Healthy	1.77431582986575	0.0604674143361238	-0.810650075660802	0.439799901220617	-1.58037463911226	1.13997348798446	-0.726050107449991	-5
Healthy	0.965797447276839	-0.768046430801019	-1.23912536194781	-0.325074592106928	0.270571704722232	1.54122030352031	0.0757512871934784	-0.210553262965207
D009765	1.39379010392597	1.11330881904118	0.532248468869412	1.1566842037891	0.234018418940993	0.780595949045658	0.823094544646632	-0.362610349870788
Healthy	1.53574792951024	0.490921572614853	-0.767664722914346	-0.129479049987236	-5	1.65610510465173	-0.72268882082597	-5
D009765	1.55942648226182	-0.78059886964244	-0.555112428742062	-0.221740189565322	0.98486876406731	1.3552244475578	0.360072477970273	-1.13637977972968
Healthy	1.42429183666506	0.393975096445539	-0.300812902691751	0.457819850233151	0.74214280216862	1.43020829188859	1.22703810241191	-5
Healthy	1.67799618346722	-0.48384819086776	0.409194025170417	-0.914780798955058	-5	1.54534163593735	-1.12871902714203	-5
Healthy	1.24294423094552	-5	-5	-1.64474009447262	0.766518433276982	1.68276546649112	-0.738404101517821	-0.620730750526353
Healthy	1.39068469769986	1.10904437714116	-0.4678318683063	0.723240523942585	0.218672021321886	1.31879954964682	1.37284206856713	-1.34208406317004
Healthy	1.74657558857697	0.436447310914848	-0.139763839938269	0.357746230812359	-5	1.10018575831703	0.360097118092937	-5
Healthy	0.980759885403075	-5	-5	-0.686533527341765	1.30050874675137	1.46493613135373	0.815012931185225	-0.142926951366022
D009765	1.25718809711014	1.20060292344102	0.655353607082714	-0.0465447592532726	-2.03857890593355	0.581469497063895	-5	-1.58169870868025
