group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Coriobacteriaceae	Akkermansiaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	1.16509	3.74911	0.01649	1.83689	1.2759	43.6142	0	0.18247	0	0	8.94079	1.16509	3.74911	0.01649	1.83689	43.6142	0	1.2759	0	0.16055
Healthy	12.81393	1.06913	0	0	0	0	0	0	0	0	55.95388	12.81393	1.06913	0	0	0	0	0	0	0
Healthy	5.273	1.2917	0	1.48492	0	0	0	0	0	0	53.1305	5.273	1.2917	0	1.48492	0	0	0	0	0
Healthy	0.4486	2.738	1.80362	0	0	0	0	0	0	0	5.66977	0.4486	2.738	1.80362	0	0	0	0	0	0
Healthy	20.27984	5.39337	0.81149	0.73299	0	0.00158	3.38321	0.01918	0	0	34.84964	20.27984	5.39337	0.81149	0.73299	0.00158	0	0	3.38321	0
Healthy	4.83874	1.91785	0.38055	0.55695	0	0	0	0.32099	0	0	56.51636	4.83874	1.91785	0.38055	0.55695	0	0	0	0	0
Healthy	12.61702	2.22194	0.49944	0.41188	0.52729	6.53506	0	0.06025	0.01044	0	18.54273	12.61702	2.22194	0.49944	0.41188	6.53506	0	0.52729	0	0.03571
Healthy	13.11565	8.86169	0.82039	7.06944	1.24665	0	0	0.01258	0.0443	0	46.6215	13.11565	8.86169	0.82039	7.06944	0	0	1.24665	0	0.05097
Healthy	17.38151	10.9513	0	0.4182	0.01216	0	0	0	0	0	52.17775	17.38151	10.9513	0	0.4182	0	0	0.01216	0	0
Healthy	15.16349	17.1618	22.04304	0	1.33029	0	0	0	0.08494	0	14.11968	15.16349	17.1618	22.04304	0	0	0	1.33029	0	0.06994
Healthy	15.18054	5.78407	0.71602	0.77206	0	0.82499	0	0.7062	0	0.00055	31.1465	15.18054	5.78407	0.71602	0.77206	0.82499	0.25495	0	0	0.265
Healthy	9.4425	3.80287	11.8332	16.6527	0	0	0	0	0	0	20.00604	9.4425	3.80287	11.8332	16.6527	0	0	0	0	0
Healthy	2.35283	7.65391	0	0.33374	0.11977	0.60467	0	0	0	0	40.64311	2.35283	7.65391	0	0.33374	0.60467	0	0.11977	0	0.24751
Healthy	28.12663	1.67025	8.54688	35.7595	0	0.99399	0	0	0.10925	0	0.27462	28.12663	1.67025	8.54688	35.7595	0.99399	0	0	0	0.82913
D009765	17.43119	0	0	2.26187	0	0	1.67498	0	0	0	62.55873	17.43119	0	0	2.26187	0	0	0	1.67498	0
Healthy	3.85457	2.41444	0.22932	0.14318	0	0	0	0.05465	0	0	74.08226	3.85457	2.41444	0.22932	0.14318	0	0	0	0	0
Healthy	4.10155	0	12.7725	0	3.62446	0	0	0.00177	0.1374	0.01981	27.76061	4.10155	0	12.7725	0	0	0	3.62446	0	0
Healthy	34.70995	13.31372	1.12117	10.96447	0.13873	0.02627	1.5845	1.20177	0.36642	0	8.51316	34.70995	13.31372	1.12117	10.96447	0.02627	1.65371	0.13873	1.5845	0.01591
Healthy	5.38139	3.73808	0.17058	0.0419	0.04512	1.86453	0	0.07892	0	0.10878	17.57398	5.38139	3.73808	0.17058	0.0419	1.86453	8.04332	0.04512	0	0.01253
D009765	15.63617	9.12607	12.98101	0	3.40602	1.71402	7.04084	1.26375	13.0807	0	4.23259	15.63617	9.12607	12.98101	0	1.71402	0.27641	3.40602	7.04084	0
Healthy	26.06072	5.9724	3.09685	2.09199	0.17073	0	0	0.66417	0	0	42.39983	26.06072	5.9724	3.09685	2.09199	0	0	0.17073	0	0
D009765	30.83357	4.39187	0.16572	0.8488	0.27853	9.65758	0	0.60014	0	0	12.00901	30.83357	4.39187	0.16572	0.8488	9.65758	0.54376	0.27853	0	0
Healthy	19.84564	6.40852	2.47727	0	0.50024	5.52258	2.26583	0.71151	0	0	17.33784	19.84564	6.40852	2.47727	0	5.52258	0	0.50024	2.26583	0
Healthy	20.53981	25.27391	0.32652	0.02446	2.27966	0	0	0.00655	0.00437	0	25.10843	20.53981	25.27391	0.32652	0.02446	0	0	2.27966	0	0.28596
Healthy	6.19713	10.18732	0	0.68695	0	5.84141	0	0.02265	0	0	38.87685	6.19713	10.18732	0	0.68695	5.84141	0	0	0	0
Healthy	18.27579	6.06601	12.84778	0.02199	0.34053	1.65451	1.95356	3.65654	0	0.28493	11.78917	18.27579	6.06601	12.84778	0.02199	1.65451	0.79631	0.34053	1.95356	0
Healthy	39.389	9.34541	2.73178	2.28458	0.7139	0	0	2.00328	0	0	12.45034	39.389	9.34541	2.73178	2.28458	0	0	0.7139	0	0.01092
Healthy	4.36604	3.47915	0	0.92851	0	19.976	1.04876	0.01647	0	0	18.14348	4.36604	3.47915	0	0.92851	19.976	0.54221	0	1.04876	0
D009765	12.67119	4.6267	15.87094	0.75222	4.37725	0.00914	0	0.85777	0	0	1.78285	12.67119	4.6267	15.87094	0.75222	0.00914	0.2661	4.37725	0	0.14498
Healthy	23.75263	5.1328	9.87554	3.62083	0.13928	0.08687	0	0.46295	0	0	29.94081	23.75263	5.1328	9.87554	3.62083	0.08687	0	0.13928	0	0
Healthy	15.2491	0.47242	0	2.18546	0	0.40549	3.27575	0	0	0	56.5229	15.2491	0.47242	0	2.18546	0.40549	0	0	3.27575	0
Healthy	10.34856	19.7024	0	1.00836	0.07813	0.08623	0	0.02068	0	0	41.90442	10.34856	19.7024	0	1.00836	0.08623	0	0.07813	0	0.05886
Healthy	14.18773	2.6487	0.34594	0.0289	0	48.7672	0	0.20336	0	0.06515	20.65804	14.18773	2.6487	0.34594	0.0289	48.7672	0	0	0	0
D009765	27.74043	0.55794	0	7.42891	0	0	0.68279	22.1867	0	0	23.14312	27.74043	0.55794	0	7.42891	0	2.07219	0	0.68279	0
Healthy	13.93238	10.85128	0.60784	3.4911	0.09283	0.02505	2.67443	1.46121	0	0	26.51697	13.93238	10.85128	0.60784	3.4911	0.02505	0.63907	0.09283	2.67443	0.00168
Healthy	26.51074	9.16534	24.34814	11.0197	0.65919	0	0	0	0	0	7.77903	26.51074	9.16534	24.34814	11.0197	0	0	0.65919	0	0.23851
Healthy	17.91379	2.3527	3.39236	5.72628	0.37637	1.65301	0	0	0	0	16.88011	17.91379	2.3527	3.39236	5.72628	1.65301	0.18038	0.37637	0	0.07931
D009765	29.93906	5.61266	1.08956	0.07998	4.26857	0.00213	0	0.01161	0	0	2.0561	29.93906	5.61266	1.08956	0.07998	0.00213	0	4.26857	0	1.20586
Healthy	3.84486	9.42381	5.62643	0.38285	0.53587	0	0	0.0123	0	0	40.12699	3.84486	9.42381	5.62643	0.38285	0	0.08119	0.53587	0	0.27818
Healthy	16.00939	6.22563	0.20527	0	1.3964	0	0	0	0	0	42.92261	16.00939	6.22563	0.20527	0	0	0	1.3964	0	0.06189
Healthy	20.64762	0.00068	25.053	0	5.7193	0	0.02949	0	0.29223	0	24.58404	20.64762	0.00068	25.053	0	0	0	5.7193	0.02949	0.03312
Healthy	6.7014	6.6407	0.50195	0.70541	0.19788	0	0	0	0	0	32.3303	6.7014	6.6407	0.50195	0.70541	0	0.18758	0.19788	0	0.00917
Healthy	21.81106	3.9338	0.25829	0.14072	0.08046	0.62975	2.04301	0.02074	0	0	35.65422	21.81106	3.9338	0.25829	0.14072	0.62975	0.07048	0.08046	2.04301	0.00649
Healthy	19.16726	11.17958	0.46911	0.6487	0.33622	0.03917	0	0.06243	0	0	34.30152	19.16726	11.17958	0.46911	0.6487	0.03917	0	0.33622	0	0.04105
D009765	14.88757	1.385	0.24338	2.80682	2.3681	0	0	0.11769	0	0	14.37348	14.88757	1.385	0.24338	2.80682	0	0	2.3681	0	0.01088
Healthy	9.33161	4.02687	5.86576	3.93134	0.91269	1.1655	0	0.79186	0	0	28.09092	9.33161	4.02687	5.86576	3.93134	1.1655	0	0.91269	0	0.02361
Healthy	13.53386	4.47674	5.61783	4.96347	1.43581	0.07252	0.00079	0.00364	0	0	39.23273	13.53386	4.47674	5.61783	4.96347	0.07252	0.52921	1.43581	0.00079	0.28108
Healthy	2.91449	2.12034	0.65786	0.9933	0.14288	0	0	0.163	0	0	55.7372	2.91449	2.12034	0.65786	0.9933	0	0	0.14288	0	0
Healthy	0.18846	0.00368	53.32809	0.00014	0.12	0	0.01689	0	0	0	9.03133	0.18846	0.00368	53.32809	0.00014	0	0	0.12	0.01689	0
Healthy	13.06821	10.01197	0.99682	1.82773	0	4.64535	0	0.79534	0	0.22036	26.41612	13.06821	10.01197	0.99682	1.82773	4.64535	2.8803	0	0	0
D009765	24.74849	9.11493	1.79681	0	3.99968	0.27684	4.2437	0	0	0	21.27761	24.74849	9.11493	1.79681	0	0.27684	0	3.99968	4.2437	0
Healthy	1.11149	0.90434	0	0.35951	0.15444	0	0	0.01149	0	0	85.81859	1.11149	0.90434	0	0.35951	0	0	0.15444	0	0
D009765	2.25936	0.71146	0	1.98107	0	0	0	0	0	0	55.69891	2.25936	0.71146	0	1.98107	0	0	0	0	0
Healthy	8.53065	27.22336	0	0.02581	0.01631	0.02478	0	0.00061	0	0	36.05486	8.53065	27.22336	0	0.02581	0.02478	0	0.01631	0	0
Healthy	4.60479	3.58402	0	1.03234	0	20.014	1.00509	0.05876	0	0	18.8565	4.60479	3.58402	0	1.03234	20.014	0.54614	0	1.00509	0
Healthy	3.30342	0.69262	0	0.20168	0.102	0	0	0	0	0	24.95525	3.30342	0.69262	0	0.20168	0	0	0.102	0	0
Healthy	24.13931	1.051	0.09522	0.15905	0.06941	1.13725	0.01163	0	0	0	31.29799	24.13931	1.051	0.09522	0.15905	1.13725	15.6428	0.06941	0.01163	0
Healthy	12.86415	1.09293	0	2.6742	0	0	0	0.14265	0	0	31.97894	12.86415	1.09293	0	2.6742	0	0.32705	0	0	0
D009765	50.36475	1.93527	0.13816	1.28702	0.03663	0	0	0.06641	0.17722	0	29.19055	50.36475	1.93527	0.13816	1.28702	0	0	0.03663	0	0
Healthy	4.04901	2.47447	0.22191	0.15275	0	0	0	0.04	0	0	73.8556	4.04901	2.47447	0.22191	0.15275	0	0	0	0	0
Healthy	58.92111	2.97284	0	6.37254	0	0.00932	0	0	0	0	11.09524	58.92111	2.97284	0	6.37254	0.00932	3.21156	0	0	0
Healthy	2.98722	2.20024	0.6206	0.9626	0.19064	0	0	0.14147	0	0	55.62337	2.98722	2.20024	0.6206	0.9626	0	0	0.19064	0	0
Healthy	15.91284	2.60289	22.56278	6.10013	2.82554	0	0	0	0	2.57172	7.9325	15.91284	2.60289	22.56278	6.10013	0	1.04718	2.82554	0	0
Healthy	15.08024	2.1367	5.05257	1.98987	1.73487	0	2.16701	1.6957	0.13116	0	35.33617	15.08024	2.1367	5.05257	1.98987	0	0	1.73487	2.16701	0
D009765	9.83436	2.25134	0	1.14621	0	0	0	4.8618	0	0	49.06595	9.83436	2.25134	0	1.14621	0	0.90353	0	0	0
D009765	47.67332	6.55495	1.45397	14.22643	2.36966	0	0	0.42331	0	0	6.69271	47.67332	6.55495	1.45397	14.22643	0	0	2.36966	0	0.29488
Healthy	2.94694	2.03873	0.38779	0.6039	0	0	0	0.24099	0	0	55.27272	2.94694	2.03873	0.38779	0.6039	0	0	0	0	0
Healthy	3.31311	2.08575	0.49252	0	0.31594	0	0	0.09705	0	0	48.31908	3.31311	2.08575	0.49252	0	0	0	0.31594	0	0
D009765	60.78924	0.19471	0	0	0	0	0	0	0	0	17.4076	60.78924	0.19471	0	0	0	0	0	0	0
Healthy	4.67955	5.16023	0	1.94348	0	0.54368	0	0.2213	0	0	21.6074	4.67955	5.16023	0	1.94348	0.54368	0.60936	0	0	0
Healthy	4.47133	7.83113	0	11.74687	0.14616	1.91855	0	0.0032	0	0	23.01477	4.47133	7.83113	0	11.74687	1.91855	0.01981	0.14616	0	0.06556
Healthy	4.96469	8.98741	5.15639	0	0	0	0	0.03527	0	0.00715	50.28392	4.96469	8.98741	5.15639	0	0	0	0	0	0.00368
Healthy	26.02253	8.82855	9.82654	4.72778	0	0	0	0.02503	0	0.06233	12.62376	26.02253	8.82855	9.82654	4.72778	0	0	0	0	0.20396
Healthy	15.93214	17.63019	0.73193	0.10521	0.73212	0.87446	2.25084	0.08713	0.003	0	21.2982	15.93214	17.63019	0.73193	0.10521	0.87446	0	0.73212	2.25084	0.3762
Healthy	13.86684	4.71969	2.58432	2.58589	0.38165	1.83608	0	0	0	0	23.61452	13.86684	4.71969	2.58432	2.58589	1.83608	0.54243	0.38165	0	0.06226
Healthy	13.69074	3.75877	0.50518	0	0	0	0	0	0	0	53.80599	13.69074	3.75877	0.50518	0	0	0	0	0	0
Healthy	5.4809	4.47824	0	0	0	7.69718	0	0	0	0	52.2867	5.4809	4.47824	0	0	7.69718	0	0	0	0
Healthy	5.82858	2.57906	0.00669	0	0.3144	0	0	0	0	0	75.92255	5.82858	2.57906	0.00669	0	0	0	0.3144	0	0.00026
Healthy	7.62617	8.38082	0.13549	0.08852	0.14095	5.35516	0	0	0	0	12.59197	7.62617	8.38082	0.13549	0.08852	5.35516	0	0.14095	0	0.09067
Healthy	2.05337	4.26482	0	2.07785	0	0	0	0	0	0	36.92951	2.05337	4.26482	0	2.07785	0	0	0	0	0
D009765	7.07914	1.42247	0	5.01873	0	0	2.69818	0.31077	0.03509	0	67.59925	7.07914	1.42247	0	5.01873	0	0	0	2.69818	0
Healthy	17.42598	4.45408	8.07662	0.02277	0.71644	4.75004	0	0.08093	0.90454	0	29.16371	17.42598	4.45408	8.07662	0.02277	4.75004	0.00715	0.71644	0	0.29137
D009765	22.19461	9.21093	30.26857	2.91187	4.31341	0	6.68137	0.26239	0.64663	1.45353	7.39751	22.19461	9.21093	30.26857	2.91187	0	0.29917	4.31341	6.68137	0
Healthy	0.82468	4.01289	0.02207	0.57939	0.68097	7.16262	0	0.35675	0	0	50.26182	0.82468	4.01289	0.02207	0.57939	7.16262	0	0.68097	0	0.01047
Healthy	13.15289	38.17465	2.3021	0.04283	0.35797	0.03189	0.19254	0	0	0	25.14316	13.15289	38.17465	2.3021	0.04283	0.03189	0.05897	0.35797	0.19254	0.05276
Healthy	29.97117	22.10912	0	32.4931	3.68311	0	0.2624	1.933	0	1.12381	2.1963	29.97117	22.10912	0	32.4931	0	2.07917	3.68311	0.2624	0
D009765	18.1068	7.93899	1.73633	0.03401	0.17793	0.01313	0	0.50909	0.0228	0	17.5969	18.1068	7.93899	1.73633	0.03401	0.01313	0	0.17793	0	0.02009
Healthy	1.15799	0.89925	0	0.37289	0.14868	0	0	0.02708	0	0	85.81464	1.15799	0.89925	0	0.37289	0	0	0.14868	0	0
D009765	46.34252	1.49406	18.48157	9.48755	7.76515	0.30955	0	0.01863	0	0	0.47415	46.34252	1.49406	18.48157	9.48755	0.30955	0	7.76515	0	2.35867
Healthy	16.08956	4.91281	1.87214	3.02639	0.23323	0	0	0.43867	0	0	51.51814	16.08956	4.91281	1.87214	3.02639	0	0	0.23323	0	0
Healthy	2.66517	8.9483	0	0	0	0	0	0.01705	0	0	62.86016	2.66517	8.9483	0	0	0	0	0	0	0.51129
D009765	55.8041	19.9372	6.16482	2.65915	2.22626	0	0.20697	0.45686	3.39223	0	4.38575	55.8041	19.9372	6.16482	2.65915	0	0	2.22626	0.20697	0
Healthy	3.20391	11.35242	0	0	0	0	0	0.01215	0	0	49.18147	3.20391	11.35242	0	0	0	0	0	0	0.7355
Healthy	22.52399	12.27917	1.19003	2.56626	0	0	0	0.0136	0.0073	0	37.50399	22.52399	12.27917	1.19003	2.56626	0	0	0	0	0.03641
Healthy	23.50672	3.55185	0	0.27637	0.07736	0	0	0.05412	0	0	31.8271	23.50672	3.55185	0	0.27637	0	0	0.07736	0	0
Healthy	5.27636	4.86156	0.23312	0	0.03571	0	0	0	0	0	56.57897	5.27636	4.86156	0.23312	0	0	0	0.03571	0	0
D009765	7.90321	0.66214	0	5.80304	0	0	0	0	0	0	44.62098	7.90321	0.66214	0	5.80304	0	0.70058	0	0	0
