group	Agathobacter	Collinsella	Enterocloster	Anaerobutyricum	Bariatricus	Holdemanella	Blautia_A	Dorea	Eubacterium_I	Coprococcus_A	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0	1.2759	0.08449	0	0	0	0.14883	0	0	0	0.11673	0	1.80683	0	0.79042	0.08449	1.2759	0	0.14883	0
Healthy	0.84061	0	0	0.03901	0	0	0	0	0	0	1.06913	0.84061	0	10.32276	0.3478	0	0	0	0	0
Healthy	0.0936	0	0.42454	0	0.6769	0	0	0	0	0	0	0.0936	1.48492	0	1.81395	0.42454	0	0.6769	0	0
Healthy	0	0	0.13261	0	0	0	0	0	0	0	2.738	0	0	0.20779	0	0.13261	0	0	0	0
Healthy	2.36164	0	0.09083	0.02644	0.11556	0	0.2016	0.0346	0.06831	0	5.18659	2.36164	0.73299	2.87887	0.0977	0.09083	0	0.11556	0.2016	0.0346
Healthy	1.68331	0	0.04318	0	0	0	0.18852	0.09171	0	0	1.91785	1.68331	0	1.02529	0.09156	0.04318	0	0	0.18852	0.09171
Healthy	2.26567	0.52729	2.12831	0.40751	0.9903	0	0.10266	0.92636	0.12501	0.15021	1.73317	2.26567	0.02291	1.21205	2.80546	2.12831	0.52729	0.9903	0.10266	0.92636
Healthy	1.06018	1.24665	1.42967	1.72485	2.77221	0	0.75986	0.38312	0.14621	0.05161	8.84504	1.06018	7.02808	3.95209	0.13689	1.42967	1.24665	2.77221	0.75986	0.38312
Healthy	0	0.01216	0.05673	0.00934	0.13628	0	0.01959	0	0	0.01103	3.08099	0	0.4182	6.77883	0.08128	0.05673	0.01216	0.13628	0.01959	0
Healthy	4.48339	1.33029	0.06939	0.02206	0	0	0	0.04749	0.03698	0.09527	17.1618	4.48339	0	6.73935	0.40802	0.06939	1.33029	0	0	0.04749
Healthy	3.02158	0	0.48892	1.42095	1.17575	0	1.36906	0.17167	0.28689	0.05293	5.5782	3.02158	0.12128	1.54575	1.26581	0.48892	0	1.17575	1.36906	0.17167
Healthy	0	0	0	0	3.76604	0	0	0	0	0	3.80287	0	16.6527	0	2.60602	0	0	3.76604	0	0
Healthy	0.64084	0.11977	0.13189	0	0.02326	0	0.03434	0.00959	0	0	7.56621	0.64084	0.33374	0.58737	0.08537	0.13189	0.11977	0.02326	0.03434	0.00959
Healthy	10.256	0	3.36158	4.88893	0.27379	0	3.57055	0.89372	0.06071	0.36167	1.51072	10.256	35.7595	0.17514	2.43353	3.36158	0	0.27379	3.57055	0.89372
D009765	1.67319	0	0.02911	0.13435	0.13648	0	0	0	0	0	0	1.67319	2.26187	13.01404	0.50373	0.02911	0	0.13648	0	0
Healthy	0	0	2.4787	0	0	0	0	0	0	0	2.41444	0	0	0	1.09986	2.4787	0	0	0	0
Healthy	0	3.62446	0	0	0	0	0.00034	0	0	0	0	0	0	0	0.14303	0	3.62446	0	0.00034	0
Healthy	13.233	0.13873	2.86464	0.84826	1.85404	0	0.85011	0.5704	0.10512	0.51113	12.8494	13.233	10.9122	5.53216	0.13095	2.86464	0.13873	1.85404	0.85011	0.5704
Healthy	0.12388	0.04512	0.66391	1.87867	0.02322	0	0.52498	0.31862	0.10805	0.09805	1.07594	0.12388	0.02973	0.59109	0.09113	0.66391	0.04512	0.02322	0.52498	0.31862
D009765	2.24148	3.40602	1.3423	1.90605	0.42162	1.26375	3.76725	0.59535	0	0	9.12607	2.24148	0	3.87218	0.43066	1.3423	3.40602	0.42162	3.76725	0.59535
Healthy	16.92	0.17073	0.04738	0.76782	0	0.66417	0.18656	0.06629	0	0.00986	4.8242	16.92	2.09199	1.79833	0.11804	0.04738	0.17073	0	0.18656	0.06629
D009765	6.58587	0.27853	0.75987	0.01033	0.17764	0.60014	0.12844	0.10125	0	0.03783	3.03942	6.58587	0.8488	5.20976	0.53306	0.75987	0.27853	0.17764	0.12844	0.10125
Healthy	0.66154	0.50024	0.11305	0.27361	0.29579	0.49889	0.24265	0.14561	0.05644	0.03472	6.38634	0.66154	0	0.31842	0.94544	0.11305	0.50024	0.29579	0.24265	0.14561
Healthy	7.41907	2.27966	1.5754	1.01074	1.11173	0	0.71108	0.33164	0.54888	0.46873	12.8088	7.41907	0.01376	2.89536	1.78543	1.5754	2.27966	1.11173	0.71108	0.33164
Healthy	0	0	5.96047	0	0	0	0.0389	0.04521	0	0	3.35188	0	0.68695	0	0.02543	5.96047	0	0	0.0389	0.04521
Healthy	2.99815	0.34053	1.35038	1.75281	1.00828	3.65654	0.44142	0.41498	0.09477	0.44956	5.26763	2.99815	0	1.38869	0.0276	1.35038	0.34053	1.00828	0.44142	0.41498
Healthy	18.254	0.7139	0.60223	1.33005	0.03846	2.00328	0.7084	0.19194	0.08928	0.28992	6.00946	18.254	2.28458	8.29923	0.21263	0.60223	0.7139	0.03846	0.7084	0.19194
Healthy	0	0	1.83281	0	0	0	0	0	0	0	3.4574	0	0.89791	0.32953	1.68104	1.83281	0	0	0	0
D009765	1.30148	4.37725	3.55274	0.17109	3.01493	0.845	0.75676	0.59393	0.83556	1.12424	4.24834	1.30148	0.73868	0.3783	0.18712	3.55274	4.37725	3.01493	0.75676	0.59393
Healthy	8.12687	0.13928	0.15367	0.63437	0	0.46295	0.33974	0	0	0.09195	4.64569	8.12687	3.62083	3.12864	0.31833	0.15367	0.13928	0	0.33974	0
Healthy	1.60695	0	0.21058	0.10803	0.16322	0	0.01568	0.09646	0.07325	0.00838	0.43863	1.60695	2.18546	11.75675	0.08068	0.21058	0	0.16322	0.01568	0.09646
Healthy	5.7929	0.07813	0.10483	0.06532	0.04933	0	0.09136	0.00182	0.10972	0.08495	19.6021	5.7929	0.90221	2.08954	0.73155	0.10483	0.07813	0.04933	0.09136	0.00182
Healthy	0	0	2.8838	3.71069	2.39303	0	0.69925	0.00875	0	0	2.6487	0	0	0.65362	0.021	2.8838	0	2.39303	0.69925	0.00875
D009765	5.28115	0	1.91372	2.01034	1.38314	22.1867	1.18697	0.58769	0.3334	0	0.55794	5.28115	7.42891	4.43405	1.57138	1.91372	0	1.38314	1.18697	0.58769
Healthy	2.64282	0.09283	0.67854	0.17246	0.8052	1.45308	0.21407	0.17812	0.08635	0.0713	5.59288	2.64282	3.41475	5.35663	1.21371	0.67854	0.09283	0.8052	0.21407	0.17812
Healthy	12.7214	0.65919	0.19353	1.00185	1.22378	0	0.80681	0.42828	0	0	9.16534	12.7214	11.0197	8.09801	0.11753	0.19353	0.65919	1.22378	0.80681	0.42828
Healthy	10.8748	0.37637	0.71649	0.47205	0.88158	0	0.32854	0.13036	0.10032	0.30987	1.57533	10.8748	5.72628	0.36263	0.00251	0.71649	0.37637	0.88158	0.32854	0.13036
D009765	17.775	4.26857	0.43101	0.64318	0.66561	0	1.72913	1.7427	0.01772	0.07895	5.61266	17.775	0.01408	4.42547	1.368	0.43101	4.26857	0.66561	1.72913	1.7427
Healthy	2.01973	0.53587	0.16007	0.01676	0.01724	0	0.12906	0.0769	0	0	5.34315	2.01973	0.27019	0.50285	0.02034	0.16007	0.53587	0.01724	0.12906	0.0769
Healthy	2.28172	1.3964	0.02364	0.64033	0.17051	0	0.17307	0.2587	0.40139	0.15588	4.42903	2.28172	0	3.01678	2.85395	0.02364	1.3964	0.17051	0.17307	0.2587
Healthy	0	5.7193	0	0	0	0	0	0	0	0	0.00068	0	0	0	1.13657	0	5.7193	0	0	0
Healthy	2.17349	0.19788	0.01364	0.00256	0.08538	0	0.08949	0	0	0	4.84117	2.17349	0.70541	0.82116	0.15612	0.01364	0.19788	0.08538	0.08949	0
Healthy	5.97746	0.08046	0.39719	0.34	0.20512	0	0.48211	0.27323	0.10492	0.13775	3.41433	5.97746	0.02428	11.94483	1.58654	0.39719	0.08046	0.20512	0.48211	0.27323
Healthy	3.50391	0.33622	0.87631	0.51939	0.77811	0	0.3583	0.61097	0.2393	0.38593	7.21216	3.50391	0.64251	8.37612	0.93048	0.87631	0.33622	0.77811	0.3583	0.61097
D009765	3.13068	2.3681	1.66109	0.99937	2.5847	0.11769	0.55497	0.33505	0.39005	0.35675	1.385	3.13068	2.80682	4.00511	0.25885	1.66109	2.3681	2.5847	0.55497	0.33505
Healthy	2.92042	0.91269	0.26551	0.43019	0.34916	0	0.38507	0.20709	0.06404	0.50052	3.67723	2.92042	3.91891	3.3525	0.73978	0.26551	0.91269	0.34916	0.38507	0.20709
Healthy	3.4047	1.43581	1.12558	1.67721	1.37517	0	0.25643	0.46545	0.01954	0.1537	3.78626	3.4047	4.92965	0.77764	0.03239	1.12558	1.43581	1.37517	0.25643	0.46545
Healthy	1.43889	0.14288	0.01573	0.06374	0.01663	0	0.03551	0	0	0	1.90978	1.43889	0.9933	1.14848	0.19409	0.01573	0.14288	0.01663	0.03551	0
Healthy	0	0.12	0	0	0	0	0	0	0	0	0.00368	0	0	0	0.18846	0	0.12	0	0	0
Healthy	2.38036	0	0.96456	0.56451	0.7182	0.79534	0.20371	0.06101	0.21786	0.13245	9.59753	2.38036	1.82773	7.38522	0.32606	0.96456	0	0.7182	0.20371	0.06101
D009765	10.8836	3.99968	2.96641	1.11266	0.52318	0	1.44462	1.12854	0	0	9.11493	10.8836	0	2.52518	3.80439	2.96641	3.99968	0.52318	1.44462	1.12854
Healthy	0	0.15444	0.09105	0.01863	0.01295	0	0.01794	0	0	0	0.5278	0	0	0.38595	0.02773	0.09105	0.15444	0.01295	0.01794	0
D009765	0.68675	0	0	0.31906	0.79321	0	0	0	0	0	0.71146	0.68675	1.64702	0.01491	0.42853	0	0	0.79321	0	0
Healthy	0.51508	0.01631	0.14689	0.02058	0.34057	0	0.12538	0	0.01725	0	16.8393	0.51508	0.02157	3.23114	0.35646	0.14689	0.01631	0.34057	0.12538	0
Healthy	0	0	1.88463	0	0.00682	0	0	0	0	0	3.54818	0	0.98058	0.34484	1.83505	1.88463	0	0.00682	0	0
Healthy	0.03579	0.102	1.06288	0	0	0	0	0	0	0	0.69262	0.03579	0	0	2.18411	1.06288	0.102	0	0	0
Healthy	1.95917	0.06941	0.60527	0.92226	0.9289	0	0.64062	0.45839	0.2872	0.43583	0.90956	1.95917	0.15905	1.87495	1.8025	0.60527	0.06941	0.9289	0.64062	0.45839
Healthy	0.91554	0	0.47844	0.31703	0.23437	0.14265	0.06819	0.06578	0	0	1.09293	0.91554	2.6742	0.88099	0.06129	0.47844	0	0.23437	0.06819	0.06578
D009765	1.46198	0.03663	3.01219	1.22034	1.55802	0	0.84787	0.27923	0.03307	0.12289	1.90189	1.46198	1.28702	4.62179	0.66254	3.01219	0.03663	1.55802	0.84787	0.27923
Healthy	0	0	2.53167	0	0	0	0	0	0	0	2.47447	0	0	0	1.23277	2.53167	0	0	0	0
Healthy	14.9951	0	0.22579	0.44587	0.18392	0	0.53306	0.26968	0	0	1.19569	14.9951	6.37254	12.93834	0.40197	0.22579	0	0.18392	0.53306	0.26968
Healthy	1.42931	0.19064	0.01556	0.0557	0	0	0.01221	0	0	0	1.96391	1.42931	0.9626	1.23219	0.23742	0.01556	0.19064	0	0.01221	0
Healthy	2.61541	2.82554	1.87818	1.94333	2.63735	0	4.10101	0.67153	0	0.27437	2.60289	2.61541	6.10013	0.63495	0.20105	1.87818	2.82554	2.63735	4.10101	0.67153
Healthy	9.44655	1.73487	0.90362	0.56239	0.675	1.6957	0.32815	0.33065	0.1239	0.03973	2.1367	9.44655	1.98987	2.36098	0.05105	0.90362	1.73487	0.675	0.32815	0.33065
D009765	0.81155	0	0.43477	0	0.18523	4.8618	0.31727	0	0	0	0.80628	0.81155	1.14621	2.7761	1.18085	0.43477	0	0.18523	0.31727	0
D009765	13.4657	2.36966	3.95631	2.81176	4.40124	0.41911	1.97981	1.06931	2.1436	1.24812	6.55495	13.4657	14.2215	4.34024	0.04604	3.95631	2.36966	4.40124	1.97981	1.06931
Healthy	1.46116	0	0.09816	0	0	0	0.17257	0.09228	0	0	2.03873	1.46116	0	0.98094	0.08193	0.09816	0	0	0.17257	0.09228
Healthy	0.21343	0.31594	0.02291	0	0	0	0	0	0	0	1.74819	0.21343	0	2.87296	0.20381	0.02291	0.31594	0	0	0
D009765	17.8333	0	0.27537	0.29553	0.13907	0	0.17297	0.2464	0	0	0.07226	17.8333	0	1.78309	0.04034	0.27537	0	0.13907	0.17297	0.2464
Healthy	1.40639	0	0.41483	0.0884	1.31434	0.2213	0.08257	0	0	0	0.39347	1.40639	1.94348	1.10182	0.14231	0.41483	0	1.31434	0.08257	0
Healthy	1.11679	0.14616	0.45183	0.04157	0.11013	0	0.26395	0.03044	0.00849	0.00219	5.54289	1.11679	11.6922	0.49551	0.20969	0.45183	0.14616	0.11013	0.26395	0.03044
Healthy	0.16418	0	0.27756	0.91156	0	0	0.00032	0	0	0	8.98741	0.16418	0	0	0.01807	0.27756	0	0	0.00032	0
Healthy	9.55	0	0.61162	1.94611	0.03547	0	0.12913	0.55837	0.05594	0	8.79006	9.55	3.74279	7.35424	1.62393	0.61162	0	0.03547	0.12913	0.55837
Healthy	1.52905	0.73212	0.24044	1.40044	0.21954	0	0.35495	0.678	0.34821	0.11583	2.05589	1.52905	0.01244	1.31104	0.35965	0.24044	0.73212	0.21954	0.35495	0.678
Healthy	3.94545	0.38165	0.17365	0.26674	0.23362	0	1.27903	0.08256	0	0.14645	4.49347	3.94545	2.58589	1.62443	0.17201	0.17365	0.38165	0.23362	1.27903	0.08256
Healthy	6.31094	0	0	0	1.5103	0	0.10729	0.04752	0.04297	0	3.4988	6.31094	0	4.27233	0.39585	0	0	1.5103	0.10729	0.04752
Healthy	1.17275	0	0	0	0.0126	0	0	0	0	0	3.96119	1.17275	0	2.88291	0.1563	0	0	0.0126	0	0
Healthy	0	0.3144	0.5447	0.04396	0.20356	0	0.07178	0.2418	0	0.10801	2.57906	0	0	3.05923	0.76527	0.5447	0.3144	0.20356	0.07178	0.2418
Healthy	2.91926	0.14095	0	0	0	0	0	0.03418	0	0	8.32939	2.91926	0.03785	2.69115	1.42142	0	0.14095	0	0	0.03418
