o	Lachnospirales	Oscillospirales	Actinomycetales	Coriobacteriales	Verrucomicrobiales	Acidaminococcales	Erysipelotrichales	Bacteroidales	Enterobacterales	Veillonellales	Burkholderiales	Pseudomonadales	Desulfovibrionales
Healthy	0.0663632022584946	0.753748472904391	-1.78251605578609	0.157293537030964	1.63962801034967	-5	-0.738784727731408	1.12037516310008	0.986454180272142	0.418049261100667	-0.529192738698152	-5	-0.154722075245364
Healthy	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	1.85877539268605	-5	0.579395987303872	-1.28075160155205	-5	-5
Healthy	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	1.76248500077786	-5	-5	-5	-5	-5
Healthy	-0.348131049753465	0.440548593956687	0.256147450368233	-5	-5	-5	-5	0.753566207633706	-5	0.279527783292017	-5	-5	-5
Healthy	1.30706473841213	0.788509872400148	-0.0907114758377493	-5	-2.79860287567955	0.529330239490453	-1.71692502526453	1.67342301960269	0.336485750711003	0.0235939977382082	0.783824284719325	-5	-5
Healthy	0.684733184327011	0.408058405844381	-0.419576861588155	-5	-5	-5	-0.493494967595128	1.84256505913163	-5	0.792386786145778	-0.796070062755374	-5	-5
Healthy	1.1009571356995	0.459184338446896	-0.301507982535077	-0.249483891283201	0.815250243860085	-5	-1.21997087266266	1.49356483387704	-1.01587791713889	-5	0.430258930332081	-5	-1.35076252765039
Healthy	1.11779014983648	1.20263541825529	-0.0859743483036714	0.113150877468074	-5	-5	-1.89997426989214	1.71315322488589	-1.04619200233469	-2.22694530663574	-2.52578373592374	-5	-3.2839966563652
Healthy	1.24008775247789	1.05717296444977	-5	-1.91470942176993	-5	-5	-5	1.76828215948572	-5	-5	-1.96617430604669	-5	-0.744076541267099
Healthy	1.18079945560002	1.26886639176701	1.34327168575716	0.146202479780109	-5	-5	-5	1.40912732608835	-5	0.469780792850616	0.254888708775947	-5	-5
Healthy	1.18128750658172	0.840885492996785	-0.142643376767697	-0.576737737901385	-0.0835460514500749	-5	-0.150728037929926	1.751024304759	-5	-1.90692869362394	0.253345275820191	-5	-1.83564714421556
Healthy	0.975087453435228	1.31081179804747	1.07310257186231	-5	-5	-5	-5	1.3636531513135	-5	-5	-5	-5	-5
Healthy	0.37159239488545	0.902419570561906	-5	-0.434990895787404	-0.218474395596606	-5	-5	1.83153801034881	-1.14333151638846	-0.342255943752624	-1.54959691384463	-1.41612140150137	-1.14697138528701
Healthy	1.4491178545749	1.57321704242274	0.9318081145476	-0.0813721327862228	-0.00261361560268669	-5	-5	-0.56125202309777	0.375840952758352	-5	-5	0.957278688671952	-5
D009765	1.241327285873	0.354469560483226	-5	-5	-5	0.224012218562247	-5	1.85317607556997	-5	-5	-1.00744648216786	-5	-5
