group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	6.83724	1.45294	0.18247	43.6142		13.19395	6.83724	1.45294	9.98856	2.61847	43.6142	0.18247	0	0.70028	
Healthy	13.88306	0	0	0		72.2396	13.88306	0	0.05238	3.7966	0	0	0	0	
Healthy	8.04962	0	0	0		57.87419	8.04962	0	0	0	0	0	0	0	
Healthy	3.2063	1.80362	0	0		5.66977	3.2063	1.80362	0	1.90338	0	0	0	0	
Healthy	26.42466	0.81149	0.69617	0.00158		47.14362	26.42466	0.81149	8.249	4.43903	0.00158	0.69617	0	0	
Healthy	7.39766	0.38055	0.32099	0		69.59291	7.39766	0.38055	0.15992	6.19992	0	0.32099	0	0	
Healthy	15.49563	1.06244	0.10396	6.53506		31.15765	15.49563	1.06244	2.78953	0	6.53506	0.10396	0	0.04458	
Healthy	29.18062	2.11801	0.07363	0		51.65985	29.18062	2.11801	0.09287	0.00592	0	0.07363	0	0.00051	
Healthy	28.78854	0.01216	0.01923	0		58.6519	28.78854	0.01216	0.0108	0.30386	0	0.01923	0	0.18026	
Healthy	33.73581	23.44327	0.08494	0		25.65235	33.73581	23.44327	1.7984	2.94971	0	0.08494	0	0	
Healthy	22.11296	0.98503	0.75887	0.82499		56.36691	22.11296	0.98503	1.79202	0.01238	0.82499	0.75887	0.25495	0.01459	
Healthy	29.89807	11.8332	13.39566	0		23.10218	29.89807	11.8332	0	0	0	13.39566	0	0	
Healthy	10.34048	0.36728	0.01605	0.60467		67.84814	10.34048	0.36728	0.13843	0.45471	0.60467	0.01605	0	0.07128	
Healthy	65.55638	9.45639	1.32629	0.99399		0.27462	65.55638	9.45639	11.43909	0	0.99399	1.32629	0	0	
D009765	19.69306	0	0	0		71.3142	19.69306	0	0.09829	1.67498	0	0	0	0	
Healthy	7.32847	0.22932	0.17548	0		86.76674	7.32847	0.22932	1.59752	0	0	0.17548	0	0.09711	
Healthy	4.18008	16.43668	0.69145	0		64.33041	4.18008	16.43668	2.78402	9.75913	0	0.69145	0	0	
Healthy	59.47244	1.30402	2.75295	0.02627		13.80299	59.47244	1.30402	0.1879	1.5845	0.02627	2.75295	1.65371	0	
Healthy	9.24266	0.22823	0.47306	1.86453		34.77124	9.24266	0.22823	1.19055	0	1.86453	0.47306	8.04332	0.6158	
D009765	24.76224	16.38703	14.34445	1.71402		6.03386	24.76224	16.38703	6.65417	8.00811	1.71402	14.34445	0.27641	0.43389	
Healthy	34.33585	3.26758	0.74219	0		45.30071	34.33585	3.26758	0.18936	1.5604	0	0.74219	0	0	
D009765	36.25988	0.44425	0.60014	9.65758		22.65814	36.25988	0.44425	2.29124	0	9.65758	0.60014	0.54376	0.07304	
Healthy	26.56389	2.97751	2.86958	5.52258		26.92825	26.56389	2.97751	16.867	2.26583	5.52258	2.86958	0	0	
Healthy	47.64267	2.89382	0.12167	0		35.10278	47.64267	2.89382	0.07434	3.37599	0	0.12167	0	0	
Healthy	17.49621	0	0.02265	5.84141		48.16875	17.49621	0	0.18263	0	5.84141	0.02265	0	0.23947	
Healthy	24.58581	13.1947	5.28737	1.65451		20.83528	24.58581	13.1947	23.59619	1.9971	1.65451	5.28737	0.79631	0.04548	
Healthy	55.79246	3.4566	2.279	0		12.59463	55.79246	3.4566	2.29137	4.84801	0	2.279	0	0	
Healthy	9.56664	0	0.2058	19.976		29.16997	9.56664	0	6.53149	1.04876	19.976	0.2058	0.54221	0.71956	
D009765	18.07956	20.39317	0.89836	0.00914		3.81477	18.07956	20.39317	0	47.847	0.00914	0.89836	0.2661	0.02619	
Healthy	32.98286	10.01482	0.49563	0.08687		34.23946	32.98286	10.01482	0.11959	0.99085	0.08687	0.49563	0	0	
Healthy	17.90698	0	0	0.40549		67.32252	17.90698	0	0.42591	3.29726	0.40549	0	0	0	
Healthy	31.23049	0.13699	0.02068	0.08623		46.13277	31.23049	0.13699	0.11479	0.21193	0.08623	0.02068	0	0.24772	
Healthy	17.0801	0.34594	0.45389	48.7672		21.17389	17.0801	0.34594	0	3.15007	48.7672	0.45389	0	0	
D009765	35.72728	0	22.3509	0		29.60394	35.72728	0	0	0.68279	0	22.3509	2.07219	0	
Healthy	28.40003	0.70274	1.63427	0.02505		39.6002	28.40003	0.70274	0.43006	2.73817	0.02505	1.63427	0.63907	0.07772	
Healthy	46.69578	25.24584	0.17857	0		17.14225	46.69578	25.24584	0.26191	0.30547	0	0.17857	0	0	
Healthy	26.05212	3.84804	0.00266	1.65301		34.70987	26.05212	3.84804	0.19327	0	1.65301	0.00266	0.18038	0.07473	
D009765	35.65264	6.61198	1.7159	0.00213		7.785	35.65264	6.61198	0	0	0.00213	1.7159	0	0.17032	
Healthy	13.87038	6.44048	0.03714	0		56.87795	13.87038	6.44048	0.002	0	0	0.03714	0.08119	0.10324	
Healthy	22.23502	1.66356	0.1302	0		54.17995	22.23502	1.66356	4.30761	0.50975	0	0.1302	0	0.08008	
Healthy	20.69677	30.93662	0.29529	0		24.69327	20.69677	30.93662	0.91721	7.32293	0	0.29529	0	0.01514	
Healthy	14.20783	0.709	0.01765	0		63.4987	14.20783	0.709	1.53674	0.41868	0	0.01765	0.18758	0.15405	
Healthy	25.91353	0.34524	0.58159	0.62975		52.08938	25.91353	0.34524	2.21801	2.04301	0.62975	0.58159	0.07048	0.09305	
Healthy	31.11105	0.84638	1.11176	0.03917		40.45841	31.11105	0.84638	0.29448	0.04899	0.03917	1.11176	0	0	
D009765	19.15836	2.62236	0.11769	0		42.35436	19.15836	2.62236	10.16943	0	0	0.11769	0	0	
Healthy	17.53068	6.80206	0.80843	1.1655		48.12186	17.53068	6.80206	0.45536	10.27783	1.1655	0.80843	0	0.0012	
Healthy	23.37749	7.33472	0.09202	0.07252		55.96175	23.37749	7.33472	0.01115	0.00079	0.07252	0.09202	0.52921	0.05871	
Healthy	6.6307	0.80074	0.163	0		76.93222	6.6307	0.80074	0.38872	6.47807	0	0.163	0	0.07883	
Healthy	0.33418	53.799	3.50436	0		9.78837	0.33418	53.799	27.78192	3.2176	0	3.50436	0	0.13184	
Healthy	25.23882	0.99682	1.20542	4.64535		47.09899	25.23882	0.99682	0	0	4.64535	1.20542	2.8803	0.08855	
D009765	33.86342	5.79649	0	0.27684		24.56094	33.86342	5.79649	3.87455	4.2437	0.27684	0	0	0	
Healthy	2.56496	0.15444	0.24408	0		89.10926	2.56496	0.15444	0.46306	3.3587	0	0.24408	0	0.00251	
D009765	4.95189	0	0	0		73.97118	4.95189	0	0.15313	4.43253	0	0	0	0	
Healthy	35.90349	0.01631	0.14314	0.02478		53.12384	35.90349	0.01631	1.28454	0	0.02478	0.14314	0	0.037	
Healthy	9.89037	0	0.27287	20.014		30.60738	9.89037	0	6.40698	1.00509	20.014	0.27287	0.54614	0.65549	
Healthy	5.85974	0.102	0	0		44.45977	5.85974	0.102	0.1002	0	0	0	0	0.05737	
Healthy	25.37276	0.16463	0	1.13725		39.3006	25.37276	0.16463	0	0.6028	1.13725	0	15.6428	0.02658	
Healthy	16.98491	0	0.14265	0		41.24657	16.98491	0	16.45125	0	0	0.14265	0.32705	0	
D009765	53.69477	0.17479	2.64214	0		32.09683	53.69477	0.17479	0.19167	0.38718	0	2.64214	0	0	
Healthy	7.64421	0.22191	0.10243	0		86.758	7.64421	0.22191	1.75402	0	0	0.10243	0	0.09831	
Healthy	68.26649	0	0.11515	0.00932		12.46553	68.26649	0	0	5.12865	0.00932	0.11515	3.21156	0	
Healthy	6.84408	0.81124	0.14147	0		76.44017	6.84408	0.81124	0.33784	6.53381	0	0.14147	0	0.10029	
Healthy	24.61586	25.38832	18.28259	0		9.7859	24.61586	25.38832	1.75061	2.39552	0	18.28259	1.04718	0	
Healthy	19.25723	6.79437	2.16373	0		42.18549	19.25723	6.79437	15.52302	2.17174	0	2.16373	0	0.03635	
D009765	13.23191	0	4.8618	0		55.26187	13.23191	0	0	5.02727	0	4.8618	0.90353	0	
D009765	68.46511	4.11851	0.58866	0		9.63936	68.46511	4.11851	0.01215	0	0	0.58866	0	0	
Healthy	7.33314	0.38779	0.24099	0		68.34488	7.33314	0.38779	0.12857	6.35013	0	0.24099	0	0	
Healthy	5.42433	0.80846	0.09705	0		75.43383	5.42433	0.80846	5.97118	0	0	0.09705	0	0.20315	
D009765	60.98395	0	0.31714	0		26.02407	60.98395	0	2.46345	0	0	0.31714	0	0	
Healthy	11.78326	0	0.2213	0.54368		33.84867	11.78326	0	13.22994	11.5958	0.54368	0.2213	0.60936	0	
Healthy	24.09324	0.21172	0.0141	1.91855		52.57168	24.09324	0.21172	1.43022	0.22524	1.91855	0.0141	0.01981	0.0924	
Healthy	14.05663	5.18172	0.31709	0		56.34078	14.05663	5.18172	2.29813	0.01956	0	0.31709	0	0	
Healthy	40.22476	10.0305	0.62807	0		20.22819	40.22476	10.0305	0.22236	4.07963	0	0.62807	0	0.06614	
Healthy	33.73335	1.84195	2.38221	0.87446		34.97998	33.73335	1.84195	0.0093	2.25084	0.87446	2.38221	0	0.28312	
Healthy	21.43478	3.02823	0	1.83608		54.76138	21.43478	3.02823	1.16431	0	1.83608	0	0.54243	0	
Healthy	17.55031	0.50518	0.19801	0		66.122	17.55031	0.50518	3.85255	4.777	0	0.19801	0	0.01952	
Healthy	9.97554	0	0	7.69718		65.39898	9.97554	0	0.2284	0	7.69718	0	0	0	
Healthy	8.60875	0.32135	0.06404	0		76.52103	8.60875	0.32135	1.37665	0	0	0.06404	0	0.04377	
Healthy	16.09551	0.36711	0	5.35516		53.00535	16.09551	0.36711	0.43492	0	5.35516	0	0	0.32464	
Healthy	8.39604	0	0.00291	0		75.97442	8.39604	0	0.6141	2.69249	0	0.00291	0	0.00721	
D009765	13.52034	0	0.34586	0		71.75711	13.52034	0	0	2.69818	0	0.34586	0	0	
Healthy	22.17331	9.09297	2.45663	4.75004		43.89442	22.17331	9.09297	2.13381	0.15028	4.75004	2.45663	0.00715	0.08954	
D009765	34.39314	34.58198	2.36255	0		8.68241	34.39314	34.58198	0.02152	6.94522	0	2.36255	0.29917	0.10941	
Healthy	7.2027	0.71351	0.35675	7.16262		54.50736	7.2027	0.71351	1.33336	9.30256	7.16262	0.35675	0	0.17895	
Healthy	51.38719	2.71283	0.02683	0.03189		36.60204	51.38719	2.71283	1.87309	0.81794	0.03189	0.02683	0.05897	0.14804	
Healthy	84.8431	3.68311	3.05681	0		2.1963	84.8431	3.68311	0	0.2624	0	3.05681	2.07917	0	
D009765	26.20323	1.95114	1.18394	0.01313		25.33326	26.20323	1.95114	0.21289	12.15455	0.01313	1.18394	0	0.00358	
Healthy	2.63585	0.14868	0.24293	0		88.99303	2.63585	0.14868	0.54121	3.36743	0	0.24293	0	0	
D009765	57.42227	28.60593	0.0233	0.30955		0.54305	57.42227	28.60593	0.17661	0	0.30955	0.0233	0	0	
Healthy	24.28905	2.10537	0.48695	0		55.54238	24.28905	2.10537	0.07757	1.41269	0	0.48695	0	0	
Healthy	11.76986	0.51129	0.01705	0		70.48564	11.76986	0.51129	5.77806	0	0	0.01705	0	0	
D009765	78.45689	8.39108	3.84909	0		4.38575	78.45689	8.39108	0	0.20697	0	3.84909	0	0	
Healthy	17.22405	0.7355	0.01666	0		58.09122	17.22405	0.7355	7.16181	0	0	0.01666	0	0	
Healthy	37.46857	1.22644	0.0209	0		40.21055	37.46857	1.22644	0.07492	5.37671	0	0.0209	0	0	
