s	Agathobacter_rectalis	Bifidobacterium_adolescentis	Collinsella_sp003487125	Enterocloster_aldenensis	Anaerobutyricum_hallii_A	Bariatricus_comes	Holdemanella_biformis	Blautia_A_wexlerae	Dorea_formicigenerans	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Bacteroides_caccae	Alistipes_shahii	Odoribacter_splanchnicus	Alistipes_onderdonkii	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Bilophila_wadsworthia
Healthy	-5	-5	0.105820041248875	-5	-5	-5	-5	-0.846093714861132	-5	-5	0.674527717014598	-0.0657591718798766	-5	0.0142264293892295	-5	-5	-1.07314329105031	-2.24641694110709	-1.5777385491864	-1.01224438326148
Healthy	-0.075400281489385	-5	-5	-5	-1.4087127349415	-5	-5	-5	-5	-5	0.90145777648425	-5	0.323544969649285	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.02867775475719	-5	-5	-0.372071154783151	-5	-0.169469070017471	-5	-5	-5	-5	1.17927337432634	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.552874973784226	0.264246255403716	-0.677677314125989	-5	-5	-5	-0.87739097642401	-5	-5	-5
Healthy	0.373215534966044	-5	-5	-1.0417228744523	-1.5775743236288	-0.93715488672295	-5	-0.695487930375765	-1.46079840070587	-5	1.09209962985614	0.0290995668235429	-5	0.217052067154388	-5	-0.650081705290739	-5	-5	-5	-5
Healthy	0.226166683429083	-5	-5	-1.5029320636015	-5	-5	-5	-0.724619532472566	-1.0375359539421	-5	1.43515305221608	0.403835745348327	-5	0.171907737413988	-0.255026763964733	-5	-1.92848619490491	-0.796070062755374	-5	-5
Healthy	0.355198570996061	-0.508554257302729	-0.277942228668536	0.327928763500085	-0.38985107238046	-0.00422883548815415	-5	-0.988556437977925	-0.0336939707003394	-0.823272242355811	0.527267622958763	-0.65913963793512	0.577658362336873	-0.857454115913723	-0.0199784384524009	-0.667480748626269	-3.26760624017703	-2.44369749923271	-5	-1.35076252765039
Healthy	0.0253837035262303	-5	0.0957480250442235	0.155238841810451	0.236753850890513	0.442827692388095	-5	-0.119260701287455	-0.416653840383539	-1.28718199979215	0.456388810214364	-1.66334017654558	-5	-0.912786658768385	-0.488049829624501	-1.67819451614246	-5	-2.52578373592374	-5	-3.2839966563652
Healthy	-5	-5	-2.46597389394386	-1.24611066854017	-2.02918838912748	-0.865536008465711	-5	-1.70774392864352	-5	-1.95703092660682	-0.361520726941314	-2.29242982390206	-0.187782071018796	-0.713768145971447	-0.119575160934349	-1.48122293107323	-5	-1.96617430604669	-5	-1.67264106561367
Healthy	0.651607487481262	1.22751675433173	0.123949591081827	-1.15864052954515	-1.65619766683834	-5	-5	-5	-1.32330639037513	-1.02099825152528	0.325962863082671	0.127376957372236	-5	-5	-5	0.381975593405753	-5	-5	-5	-5
Healthy	0.480235534517375	-0.290153624356084	-5	-0.325294976244561	0.152581852717208	0.0703186811679367	-5	0.136425654004358	-0.765280295378124	-1.27621606303467	0.722922533741182	0.0890674928872376	0.394104807227529	-0.555549219206082	0.279566570280012	-0.151878650555156	-2.84771165561694	-1.76220500672608	-5	-1.91080163319485
Healthy	-5	-5	-5	-5	-5	0.575886081633898	-5	-5	-5	-5	0.538757164376499	-5	0.434833870556297	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.193243611348028	-5	-0.92161569125181	-5	-5	-1.63320361671327	-5	-1.46407325860443	-2.01772876696043	-5	-0.368160675551451	-1.04421607108309	0.29160192144068	-0.350489900848029	-0.0646993502973799	0.248515182809189	-1.17405485679615	-1.54959691384463	-5	-1.14697138528701
Healthy	1.01097843562859	-5	-5	0.526544743132059	0.689214707374531	-0.562566556202029	-5	0.552736335394256	-0.0487936637775196	-0.441675505973762	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D009765	0.223547855908593	-5	-5	-1.535808629359	-0.871730004830373	-0.86489916623428	-5	-5	-5	-5	0.477360051021744	-5	0.274739598866628	-5	-5	-5	-5	-1.00744648216786	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.49050922025472	1.05693189865932	0.726885253679645	-1.11890078161098	-5	0.133050052044805	0.356715970741412	-1.03207779326948	-0.769091480679235	-1.01269132626882
Healthy	-5	-5	0.559244509416333	-5	-5	-5	-5	-3.45593195564972	-5	-5	0.0939047441429764	1.08076028960757	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.12165864068844	-5	-5	0.457071567890118	-0.0714658920279765	0.268121442015216	-5	-0.0705197664510663	-0.243812869364553	-0.291460131372035	0.0847978367009172	-1.01511279893567	-5	-0.545444766198891	-0.488892380040732	-1.56639015667628	-5	-1.2954205503037	-5	-5
Healthy	-0.906963747054837	-5	-1.34553466647985	-0.191674221004491	0.273852811995447	-1.63395079019976	-5	-0.321581784276875	-0.504580557418133	-1.00850811108984	-0.0311809535457074	-0.715524146994679	0.601055610567848	-0.215168821875531	0.0982836831802289	-0.703115524461453	-1.88806572366732	-3.58502665202918	-5	-0.598186042260152
D009765	0.350536805680282	1.072173034295	0.532248468869412	0.127852825625798	0.280136567476904	-0.375068495587423	0.101664605139225	0.576025594365386	-0.225220347322541	-5	0.0573655685631944	-0.39584957691767	-0.76490100990506	-0.179877390845663	-5	-5	-5	-5	-5	-5
Healthy	1.22840061537815	0.490921572614853	-0.767664722914346	-1.3243132913006	-0.114734923502896	-5	-0.177714206154696	-0.729158188466814	-1.17848647159523	-2.00568284733036	1.13665747892332	-0.562233587305268	0.320287564683104	0.315336274434903	-5	-0.741171229406021	-5	-1.23942674605561	-5	-5
D009765	0.818613813255236	-1.08134070657818	-0.555112428742062	-0.119254985946354	-1.98547946124208	-0.750434788174653	-0.221740189565322	-0.891265891397635	-0.994562076949178	-1.42204887227024	0.10717264586205	-2.20830935097988	0.0646414024709278	-0.286391868904746	-5	-1.21810108064885	-5	-5	-5	-5
Healthy	-0.179437326225574	-5	-0.300812902691751	-0.9466910188759	-0.562852161439543	-0.529001830339126	-0.301986496060818	-0.615001806737603	-0.836778973284422	-1.45929521668924	0.60562391457756	-5	-5	-0.147465113058053	-5	-5	-5	-5	-5	-5
Healthy	0.87035005410714	-5	0.357871984039196	0.19739359784971	0.0046437500057119	0.0460032316992487	-5	-0.148075428764255	-0.479319998365605	-0.329067984312	-0.0382752433021856	-1.66354026615147	0.203989674764193	0.0763600457525881	0.104521252618329	-2.14996674231023	-5	-1.6076548446388	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.06933170287848	-0.726790316599669	-5	0.101382718498418	-5	-5	0.0100369252660457	-1.22892721677881	-1.45531197769732	-1.70092873997259
Healthy	0.476854805718046	0.649666782103621	-0.4678318683063	0.115004406202011	0.243737319961186	0.00358545997268139	0.563071516383439	-0.355138155107936	-0.381962368341267	-0.347202677130181	0.319114391018478	-1.03081714076774	0.194511566828989	-0.50956391880679	-0.0631445861152637	-0.567656158719274	-1.3465945093355	-5	-1.08799062441302	-2.88272870434424
Healthy	1.26135828411149	0.387334646075405	-0.146356534676225	-0.220230402588856	0.123871232757435	-1.41487781369318	0.301743823124463	-0.14971531688602	-0.716811883546576	-0.537706844457469	0.602371485883415	0.321695757854668	0.171237780317517	-0.970697406441002	-5	-1.79506647764585	-5	-0.914495360573502	-5	-5
