c	Negativicutes	Coriobacteriia	Actinomycetia	Gammaproteobacteria
Healthy	0.418049261100667	0.157293537030964	-1.78251605578609	0.99950331749903
Healthy	0.579395987303872	-5	-5	-1.28075160155205
Healthy	-5	-5	-5	-5
Healthy	0.279527783292017	-5	0.256147450368233	-5
Healthy	0.647289058452041	-5	-0.0907114758377493	0.916401830084926
Healthy	0.792386786145778	-5	-0.419576861588155	-0.796070062755374
Healthy	-5	-0.249483891283201	-0.301507982535077	0.445532593261974
Healthy	-2.22694530663574	0.113150877468074	-0.0859743483036714	-1.03207779326948
Healthy	-0.517312174147043	-1.91470942176993	-5	-1.96617430604669
Healthy	0.469780792850616	0.146202479780109	1.34327168575716	0.254888708775947
Healthy	-1.90692869362394	-0.576737737901385	-0.142643376767697	0.253345275820191
Healthy	-5	-5	1.07310257186231	-5
Healthy	-0.342255943752624	-0.434990895787404	-5	-0.85873840937791
Healthy	-5	-0.0813721327862228	0.935873389978904	1.05839185658905
Healthy	-5	-5	-0.639539128949822	0.203449022518777
Healthy	0.989411548229137	0.559244509416333	1.10762472634163	0.444673910810744
Healthy	0.199894984410582	-0.810650075660802	0.0604674143361238	-0.726050107449991
Healthy	-5	-1.23912536194781	-0.768046430801019	0.0757512871934784
Healthy	0.193238724856175	-0.767664722914346	0.490921572614853	-0.72268882082597
Healthy	0.355229239344489	-0.300812902691751	0.393975096445539	1.22703810241191
Healthy	0.528402437953617	0.409194025170417	-0.48384819086776	-1.12871902714203
Healthy	-5	-5	-5	-0.738404101517821
Healthy	0.300401986291505	-0.4678318683063	1.10904437714116	1.37284206856713
Healthy	0.685564402798436	-0.139763839938269	0.436447310914848	0.360097118092937
Healthy	0.0206802558933171	-5	-5	0.815012931185225
Healthy	-0.00398770325701485	-0.856080061614163	0.99456129217834	-0.922268820347608
Healthy	0.518154511204127	-5	-5	-0.370671966205419
Healthy	-0.673787070000569	-0.863279432843593	-5	-0.940058111938045
Healthy	0.498321583350671	-5	-0.460986665060487	-5
Healthy	0.437461993994192	-1.02447628703967	-0.215925022521303	-0.366460851072662
Healthy	-0.515017218069439	-0.0468639369858433	1.38646596861784	-0.581831337932134
Healthy	-5	-0.341330501793832	0.530503213925169	-0.713813083058962
Healthy	-5	-0.0893435844122668	0.750233691942234	-2.69680394257951
Healthy	-0.292634245878962	0.163846875794205	-0.687653360969147	0.63423738469509
Healthy	0.864685475789771	0.759851342542993	1.40112833208387	-0.0375264840391993
Healthy	-0.378107411682646	-0.683903790324869	-0.299330889371745	0.186603221792895
Healthy	0.310272618148416	-1.06068046892176	-0.587875593826683	0.345965457886395
Healthy	-1.30980391997149	-0.423336216585005	-0.328716051374985	-0.530929447968747
