group	Dialisteraceae	Streptococcaceae	Peptostreptococcaceae	Oscillospiraceae	Eggerthellaceae	Coprobacteraceae	Lactobacillaceae		Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	2.61847	0	0	0.08615	0.16055	0	0		8.94079	1.16509	3.74911	1.83689	43.6142	0.29566	0	1.2759	0	0.16055
Healthy	3.7966	0	0	0	0	0	0		55.95388	12.81393	1.06913	0	0	0.05238	0	0	0	0
Healthy	0	0	0	0	0	0	0		53.1305	5.273	1.2917	1.48492	0	0	0	0	0	0
Healthy	1.90338	0	0	0.0197	0	0	0		5.66977	0.4486	2.738	0	0	0	0	0	0	0
Healthy	0	0.67699	0	0.01846	0	0	0		34.84964	20.27984	5.39337	0.73299	0.00158	6.07888	0	0	3.38321	0
Healthy	6.19992	0	0	0.08412	0	0	0		56.51636	4.83874	1.91785	0.55695	0	0.15992	0	0	0	0
Healthy	0	0.03327	0	0.24479	0.03571	0.3189	0.01044		18.54273	12.61702	2.22194	0.41188	6.53506	2.69313	0	0.52729	0	0.03571
Healthy	0	0.01675	0.11958	0.01426	0.05097	0.03901	0.0443		46.6215	13.11565	8.86169	7.06944	0	0.00297	0	1.24665	0	0.05097
Healthy	0	0.01923	0	0.03753	0	0.01988	0		52.17775	17.38151	10.9513	0.4182	0	0.0108	0	0.01216	0	0
Healthy	2.94971	0	0	1.41052	0.06994	0	0.08494		14.11968	15.16349	17.1618	0	0	1.7984	0	1.33029	0	0.06994
Healthy	0	0.05212	0	0.37629	0.265	0.0647	0		31.1465	15.18054	5.78407	0.77206	0.82499	1.79202	0.25495	0	0	0.265
Healthy	0	13.39566	0	0	0	0	0		20.00604	9.4425	3.80287	16.6527	0	0	0	0	0	0
Healthy	0.44101	0.01605	0	0	0.24751	0	0		40.64311	2.35283	7.65391	0.33374	0.60467	0.0282	0	0.11977	0	0.24751
Healthy	0	0.34454	0	0	0.82913	0	0.10925		0.27462	28.12663	1.67025	35.7595	0.99399	0	0	0	0	0.82913
Healthy	0	0.12083	0	0.91628	0	0	0		74.08226	3.85457	2.41444	0.14318	0	0.09287	0	0	0	0
Healthy	0	0.42839	0	0.07853	0	0	0.1374		27.76061	4.10155	0	0	0	0	0	3.62446	0	0
Healthy	0	1.12441	0.43689	0.0081	0.01591	0	0.36642		8.51316	34.70995	13.31372	10.96447	0.02627	0.05064	1.65371	0.13873	1.5845	0.01591
Healthy	0	0.28536	0	0.08129	0.01253	0.12782	0		17.57398	5.38139	3.73808	0.0419	1.86453	1.19055	8.04332	0.04512	0	0.01253
Healthy	1.5604	0.07802	0.21074	0	0	0	0		42.39983	26.06072	5.9724	2.09199	0	0.05761	0	0.17073	0	0
Healthy	0	0	0.30973	0	0	0	0		17.33784	19.84564	6.40852	0	5.52258	0	0	0.50024	2.26583	0
Healthy	3.32019	0.08595	1.78824	0.01625	0.28596	0	0.00437		25.10843	20.53981	25.27391	0.02446	0	0.02467	0	2.27966	0	0.28596
Healthy	0	0	0	0.42481	0	0	0		38.87685	6.19713	10.18732	0.68695	5.84141	0.15702	0	0	0	0
Healthy	0	1.2355	0.05105	0	0	0	0		11.78917	18.27579	6.06601	0.02199	1.65451	0.12934	0.79631	0.34053	1.95356	0
Healthy	3.12425	0.27572	4.77347	0	0.01092	0	0		12.45034	39.389	9.34541	2.28458	0	0.12175	0	0.7139	0	0.01092
Healthy	0	0.18933	0	0.79294	0	0	0		18.14348	4.36604	3.47915	0.92851	19.976	0.04911	0.54221	0	1.04876	0
Healthy	0.99085	0.03268	0.4766	0	0	0	0		29.94081	23.75263	5.1328	3.62083	0.08687	0.0283	0	0.13928	0	0
Healthy	0	0	0	0	0	0.01972	0		56.5229	15.2491	0.47242	2.18546	0.40549	0.32161	0	0	3.27575	0
Healthy	0	0	0	0.17117	0.05886	0	0		41.90442	10.34856	19.7024	1.00836	0.08623	0.01507	0	0.07813	0	0.05886
Healthy	3.15007	0.18538	0	0.21477	0	0	0		20.65804	14.18773	2.6487	0.0289	48.7672	0	0	0	0	0
Healthy	0	0.15228	0.02211	0.10316	0.00168	0.0881	0		26.51697	13.93238	10.85128	3.4911	0.02505	0.19046	0.63907	0.09283	2.67443	0.00168
Healthy	0	0.17857	0	0	0.23851	0	0		7.77903	26.51074	9.16534	11.0197	0	0.04446	0	0.65919	0	0.23851
Healthy	0	0.00266	0	0.05935	0.07931	0.01633	0		16.88011	17.91379	2.3527	5.72628	1.65301	0.19327	0.18038	0.37637	0	0.07931
Healthy	0	0.02484	0	0.21886	0.27818	0	0		40.12699	3.84486	9.42381	0.38285	0	0.002	0.08119	0.53587	0	0.27818
Healthy	0	0.1302	0	0	0.06189	0.20979	0		42.92261	16.00939	6.22563	0	0	4.30761	0	1.3964	0	0.06189
Healthy	0	0.00104	0	0.04847	0.03312	0	0.29223		24.58404	20.64762	0.00068	0	0	0	0	5.7193	0.02949	0.03312
Healthy	0.386	0.01765	0	0.16032	0.00917	0.29606	0		32.3303	6.7014	6.6407	0.70541	0	1.45864	0.18758	0.19788	0	0.00917
Healthy	0	0.56085	0	0.02795	0.00649	0.17639	0		35.65422	21.81106	3.9338	0.14072	0.62975	2.12136	0.07048	0.08046	2.04301	0.00649
Healthy	0	1.04933	0.02658	0.08893	0.04105	0	0		34.30152	19.16726	11.17958	0.6487	0.03917	0.14328	0	0.33622	0	0.04105
Healthy	10.2571	0.01657	0	0.24086	0.02361	0.14512	0		28.09092	9.33161	4.02687	3.93134	1.1655	0.02565	0	0.91269	0	0.02361
Healthy	0	0.08838	0.01345	0.38997	0.28108	0.01227	0		39.23273	13.53386	4.47674	4.96347	0.07252	0	0.52921	1.43581	0.00079	0.28108
Healthy	6.24256	0	0	0.60257	0	0	0		55.7372	2.91449	2.12034	0.9933	0	0.29286	0	0.14288	0	0
Healthy	0	1.2222	0	0	0	0	0		9.03133	0.18846	0.00368	0.00014	0	10.9103	0	0.12	0.01689	0
Healthy	0	0.18972	0	0.33091	0	0.16812	0		26.41612	13.06821	10.01197	1.82773	4.64535	0	2.8803	0	0	0
Healthy	3.32443	0.23259	0	0.18962	0	0	0		85.81859	1.11149	0.90434	0.35951	0	0.0857	0	0.15444	0	0
Healthy	0	0.14253	0	0.12367	0	0	0		36.05486	8.53065	27.22336	0.02581	0.02478	1.28454	0	0.01631	0	0
Healthy	0	0.21411	0	0.66922	0	0.05326	0		18.8565	4.60479	3.58402	1.03234	20.014	0.03316	0.54614	0	1.00509	0
Healthy	0	0	0	1.66202	0	0	0		24.95525	3.30342	0.69262	0.20168	0	0.1002	0	0.102	0	0
Healthy	0.59117	0	0	0.0234	0	0.22964	0		31.29799	24.13931	1.051	0.15905	1.13725	0	15.6428	0.06941	0.01163	0
Healthy	0	0	0.35363	0	0	0.15438	0		31.97894	12.86415	1.09293	2.6742	0	0.04035	0.32705	0	0	0
