g	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Faecalibacterium	Bifidobacterium	Lachnospira	Barnesiella	Paraprevotella
Healthy	0.418049261100667	-5	-5	-0.900077767803078	-5	-5	-5	-5	-0.833984543676225	-1.85356186471423	-0.932780311025859	-1.78251605578609	-2.94692155651658	-5	-5
Healthy	0.579395987303872	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0290345782176112	-5	-1.51272018355693	0.866621056253241	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.35488025902298	0.458722433800222	-5
Healthy	0.279527783292017	-0.965732602961974	-5	-5	-5	-5	-5	-5	-5	-5	0.437435029969223	0.256147450368233	-5	-5	-5
Healthy	-5	-5	-1.46079840070587	-5	-0.8980468225228	-5	-5	-5	-5	-5	0.714882755706848	-0.0907114758377493	-0.0654964988499561	-5	-5
Healthy	0.792386786145778	0.222378265944956	-1.0375359539421	-0.517555208081735	-5	-5	-5	-5	-5	-5	0.282816901350496	-0.419576861588155	-5	-5	-5
Healthy	-5	-3.65757731917779	-0.0332155177848394	-2.81247927916354	-0.588262478182643	-5	-5	-5	-1.44708854978349	-5	0.238843668857748	-0.301507982535077	-0.9456934341516	0.799515610671236	-5
Healthy	-5	-1.02599520310259	-0.416653840383539	-2.07935499859321	-0.903750616810388	-0.922305134113414	-1.29260016886675	-5	-5	-5	0.946700292266965	-0.0859743483036714	-1.46826569072345	-0.15358247041197	-0.919121089658183
Healthy	-5	-2.26680273489343	-5	-5	-5	-5	-5	-5	-5	-5	0.488691698316941	-5	1.00059500994851	-0.685858796739429	0.118344102441943
Healthy	0.469780792850616	-5	-1.32330639037513	-5	-5	-5	-1.15521228117215	-5	-5	-5	1.23456308954756	1.34327168575716	0.506349416162233	-0.0687608572473792	-5
Healthy	-5	-1.26913700795351	-0.765280295378124	-1.82944494147879	0.129241835238635	-5	-0.611454779904043	-1.59739475808009	-5	-1.69100897099984	0.746494859898562	-0.14506878137718	-0.39099287211093	0.856505343348038	-0.440847764013325
Healthy	-5	0.487202029612374	-5	-5	-5	-5	-5	-5	-5	-5	0.580112621451532	1.07310257186231	-5	-5	-1.20600019901553
Healthy	-0.355541715083896	-5	-2.01772876696043	-5	-5	-5	-0.606389703644708	-5	-5	-5	0.878878964949977	-5	-0.469685017679468	-0.152785287758974	0.65061249090147
Healthy	-5	-0.454952795598816	-0.0487936637775196	-5	-0.908931268499988	-5	-0.0813721327862228	-5	-5	-5	0.179186853493301	0.9318081145476	0.127813998776952	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.382818216177063	-0.639539128949822	-5	0.412992798904376	-5
Healthy	-5	0.597037763343695	-5	-2.74957999769111	-5	-5	-5	-5	-5	-5	-5	1.10627625137725	-5	-5	-0.350655403852584
Healthy	-5	-0.720675334557389	-0.243812869364553	-5	-0.591353074344234	-0.359617955290432	-1.79805693659835	-5	-5	-5	1.10888318684032	0.0496753420608595	-0.923286755309975	0.355493663995184	-0.895069260922259
Healthy	-5	-5	-0.496713336441085	-1.97633608180221	-0.721360702109261	-5	-3.06048074738138	-2.26440110030182	-1.93255715722362	-5	0.0317920898911184	-0.768046430801019	-1.19415945118533	0.51030232728663	-0.749433630959876
Healthy	0.193238724856175	-5	-1.17848647159523	-5	-0.0972195581149567	-0.67623241670322	-5	-5	-5	-5	0.68342620457491	0.490921572614853	-0.0520274207542199	-5	-5
Healthy	-5	-5	-0.836778973284422	-0.672375460813222	-5	-0.509002705984747	-5	-5	-5	-5	0.805252716098724	0.393975096445539	0.25333315826243	0.46037156183465	-1.14800825203784
Healthy	0.521164245234233	-5	-0.479319998365605	-2.18309616062434	-0.742513420926119	0.252428233716468	-0.564776953788971	-5	-1.86742015234026	-5	1.10750878357452	-0.489924388646051	0.395864340247071	0.505339940604518	-5
Healthy	-5	-5	-1.34466944199066	-2.30715308072277	-5	-5	-5	-2.15490195998574	-5	-5	0.525289757817164	-5	-1.31975516295739	-5	-5
Healthy	-5	-0.956048581736723	-0.381962368341267	-5	-0.518858472027096	-1.29191918953177	-5	-5	-5	-5	0.721616086837231	1.10882842935222	-0.0508296359849904	0.573923549338574	-5
Healthy	0.49474716856849	-5	-0.716811883546576	-5	0.190972859727847	0.678835107291026	-1.9613798380503	-5	-5	-5	0.778836171466101	0.436447310914848	0.261203372322519	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.538750883788695	-5	-0.281772426644859	-0.230984736872638	-0.290323078680253
Healthy	-0.00398770325701485	-5	-5	-5	-0.803326499511939	-0.321836849737658	-5	-5	-5	-5	0.667051161436834	0.99456129217834	0.721659780881753	-5	-5
Healthy	-5	-5	-1.01560772147573	-5	-1.34505377341566	-5	-5	-5	-5	-5	-0.357891767124575	-5	-0.359876481674179	-0.963411023244595	-5
Healthy	-5	-5	-2.73754891026957	-5	-0.872118056515375	-5	-1.24595761321456	-5	-2.67366413907125	-5	1.29230282197055	-5	-1.58103616929638	-5	-5
Healthy	0.498321583350671	-1.97142874730746	-2.05749589383192	-0.914673737576011	-0.109640468682871	-5	-5	-5	-5	-5	0.423034411187299	-0.460986665060487	-5	-5	-5
Healthy	-5	-5	-0.74926293209621	-2.84771165561694	-1.09496007192379	-1.65521487736734	-2.82390874094432	-5	-3.69897000433602	-5	0.74763627778296	-0.216203578966548	-0.410374286513177	0.0273944621654235	-0.0463804258617609
Healthy	-5	-0.221226706550073	-0.368262065681693	-5	-0.00857011962356185	-5	-0.729088360589519	-5	-5	-1.28458167740494	0.962149054149991	1.38646596861784	-5	0.170203022985664	-5
Healthy	-5	-5	-0.88482233447375	-5	-0.447368280755924	-5	-1.20474581741912	-5	-1.77159964129699	-5	0.197374300467348	0.530503213925169	0.265390996562983	0.743498005693372	-5
Healthy	-5	-5	-1.11401718864503	-1.90974194706868	-5	-5	-0.678588002025994	-1.47275688361191	-1.29277058067271	-1.7535014192042	0.727798179250603	0.750233691942234	-0.0448319825238872	-5	-5
Healthy	-5	-5	-0.58718678403613	-5	-0.186052250878674	-5	-1.20830935097988	-5	-5	-5	0.646309602547308	-0.687653360969147	-0.0123694809465719	0.763261731784976	-5
