o	Veillonellales	Coriobacteriales	Peptostreptococcales	Oscillospirales	Actinomycetales
Healthy	0.418049261100667	0.157293537030964	-5	0.753748472904391	-1.78251605578609
Healthy	0.579395987303872	-5	-5	0.0290345782176112	-5
Healthy	-5	-5	-5	0.443518011668105	-5
Healthy	0.279527783292017	-5	-5	0.440548593956687	0.256147450368233
Healthy	0.0235939977382082	-5	-5	0.788509872400148	-0.0907114758377493
Healthy	0.792386786145778	-5	-5	0.408058405844381	-0.419576861588155
Healthy	-5	-0.249483891283201	-5	0.459184338446896	-0.301507982535077
Healthy	-2.22694530663574	0.113150877468074	-0.922305134113414	1.20263541825529	-0.0859743483036714
Healthy	-5	-1.91470942176993	-5	1.05717296444977	-5
Healthy	0.469780792850616	0.146202479780109	-5	1.26886639176701	1.34327168575716
Healthy	-1.90692869362394	-0.576737737901385	-5	0.840885492996785	-0.142643376767697
Healthy	-5	-5	-5	1.31081179804747	1.07310257186231
Healthy	-0.342255943752624	-0.434990895787404	-5	0.902419570561906	-5
Healthy	-5	-0.0813721327862228	-5	1.57321704242274	0.9318081145476
Healthy	-5	-5	-5	0.540818562812956	-0.639539128949822
Healthy	0.989411548229137	0.559244509416333	-5	-1.1049091030656	1.10762472634163
Healthy	-5	-0.810650075660802	-0.359617955290432	1.38536135539875	0.0496753420608595
Healthy	-5	-1.23912536194781	-5	0.586731295549415	-0.768046430801019
Healthy	0.193238724856175	-0.767664722914346	-0.67623241670322	0.906572060952197	0.490921572614853
Healthy	-5	-0.300812902691751	-0.509002705984747	0.806758421702446	0.393975096445539
Healthy	0.528402437953617	0.409194025170417	0.252428233716468	1.40337158409763	-0.486076911675506
Healthy	-5	-5	-5	1.0530434679177	-5
Healthy	-1.36101184065632	-0.4678318683063	-1.29191918953177	0.784475357123432	1.10904437714116
Healthy	0.685564402798436	-0.139763839938269	0.678835107291026	1.06557971472845	0.436447310914848
Healthy	-5	-5	-5	0.716054286730303	-5
Healthy	-0.00398770325701485	-0.856080061614163	-0.321836849737658	0.94218868195857	0.99456129217834
Healthy	-1.66715773300565	-5	-5	0.424537003174977	-5
Healthy	-0.673787070000569	-0.863279432843593	-5	1.31977084357145	-5
Healthy	0.498321583350671	-5	-5	0.461255349847157	-0.460986665060487
Healthy	-1.19551981089401	-1.02447628703967	-1.65521487736734	1.159734081827	-0.215925022521303
Healthy	-0.515017218069439	-0.0468639369858433	-5	1.30502982953019	1.38646596861784
Healthy	-5	-0.341330501793832	-5	0.910535829660712	0.530503213925169
Healthy	-5	-0.0893435844122668	-5	1.00110734089234	0.750233691942234
Healthy	-5	0.163846875794205	-5	0.794184003829024	-0.687653360969147
Healthy	0.862933010009963	0.759851342542993	-5	-1.30838812578558	1.40112833208387
Healthy	-0.378107411682646	-0.683903790324869	-5	0.875434017573925	-0.299330889371745
Healthy	-5	-1.06068046892176	-5	0.613046472501289	-0.587875593826683
Healthy	-1.30980391997149	-0.423336216585005	-1.57528166266843	1.07617495679094	-0.328716051374985
Healthy	1.01190185253402	-0.0285803382281341	-5	0.913765123927758	0.768325030057909
Healthy	-5	0.234745000628051	-1.87095494011204	0.992561912049238	0.749569366032057
Healthy	0.811446306956656	-0.844998163768747	-5	0.570101416289806	-0.181859917724294
Healthy	0.505247683586904	-0.920782564253433	-5	-2.41680122603138	1.72967106334891
Healthy	-5	-5	-5	1.08531270277569	-0.00137890022102005
Healthy	0.52617250731388	-0.81121208736253	-5	0.162409060221068	-5
Healthy	-5	-1.78727984558216	-5	1.43732001753566	-5
Healthy	-5	-5	-5	0.72309347214351	-5
Healthy	-5	-0.991357252434715	-5	0.407616916750889	-5
Healthy	-0.228280266826629	-1.15851539066461	-5	0.0911250702741142	-1.02122621566988
Healthy	-5	-5	-0.45143861810245	0.57601176039378	-5
Healthy	-5	-5	-5	0.55572426305758	-0.65380355627079
Healthy	0.710003908849681	-5	-5	0.970597429985983	-5
Healthy	0.815167165939307	-0.719763190390311	-5	0.58623500074467	-0.207181230830761
Healthy	0.379401614039029	0.451102996833693	-5	0.939670480570701	1.35339280128144
Healthy	-2.32422165832591	0.239269440429388	-1.32385531964379	0.615904832201299	0.704108458618344
D011236	0.363284725716646	-1.60310355085748	-1.07262963696098	-0.470620983712381	-5
Healthy	0.802783300182877	-5	-5	0.642089420697162	-0.411392195257313
Healthy	-5	-0.500381640299993	-5	0.324535548461467	-0.30756731148585
Healthy	1.0643010907268	-5	-5	0.851485834970511	-5
Healthy	-0.647335200348899	-0.674217602484195	-5	1.29274150073038	-5
Healthy	-1.708409174342	-2.43297363384094	-1.00291956452827	0.953886724819663	0.714166239729455
Healthy	0.610621841297843	-0.690433704106227	-1.04186632432376	1.14957133353778	0.992401068294658
Healthy	-5	0.045334716316743	-5	1.2490950931314	-0.135524518308971
Healthy	-5	-0.35269528819389	-0.912999879204009	0.871910199999814	0.412347969086344
Healthy	0.679156150418852	-5	-5	0.586540047260709	-0.29654525468797
Healthy	-5	-5	-5	0.652695878719575	-5
Healthy	-5	-0.502144659868822	-1.14929251462546	0.432853891032061	-2.17392519729917
Healthy	-5	-0.63520519282589	-5	0.927850080667718	-0.868060704789575
Healthy	0.430155711970019	-5	-5	0.802272800986002	-5
Healthy	-0.823069915549494	0.00338297259828993	-0.864930986176552	0.663782877786846	0.907689155879493
Healthy	0.968602946685977	-0.160239219038679	-5	0.804686557679567	-1.65600093094284
Healthy	-0.565494967497926	-0.386433001228715	-5	1.58245325704891	0.362126071357915
