p	Firmicutes_C	Proteobacteria
Healthy	0.418049261100667	0.99950331749903
Healthy	0.579395987303872	-1.28075160155205
Healthy	-5	-5
Healthy	0.279527783292017	-5
Healthy	0.647289058452041	0.916401830084926
Healthy	0.792386786145778	-0.796070062755374
Healthy	-5	0.445532593261974
Healthy	-2.22694530663574	-1.03207779326948
Healthy	-0.517312174147043	-1.96617430604669
Healthy	0.469780792850616	0.254888708775947
Healthy	-1.90692869362394	0.253345275820191
Healthy	-5	-5
Healthy	-0.342255943752624	-0.85873840937791
Healthy	-5	1.05839185658905
Healthy	-5	0.203449022518777
Healthy	0.989411548229137	0.444673910810744
Healthy	0.199894984410582	-0.726050107449991
Healthy	-5	0.0757512871934784
Healthy	0.193238724856175	-0.72268882082597
Healthy	0.355229239344489	1.22703810241191
Healthy	0.528402437953617	-1.12871902714203
Healthy	-5	-0.738404101517821
Healthy	0.300401986291505	1.37284206856713
Healthy	0.685564402798436	0.360097118092937
Healthy	0.0206802558933171	0.815012931185225
Healthy	-0.00398770325701485	-0.922268820347608
Healthy	0.518154511204127	-0.370671966205419
Healthy	-0.673787070000569	-0.940058111938045
Healthy	0.498321583350671	-5
Healthy	0.437461993994192	-0.366460851072662
Healthy	-0.515017218069439	-0.581831337932134
Healthy	-5	-0.713813083058962
Healthy	-5	-2.69680394257951
Healthy	-0.292634245878962	0.63423738469509
Healthy	0.864685475789771	-0.0375264840391993
Healthy	-0.378107411682646	0.186603221792895
Healthy	0.310272618148416	0.345965457886395
Healthy	-1.30980391997149	-0.530929447968747
Healthy	1.01190185253402	-0.341635584312928
Healthy	-3.09691001300806	-1.95233580539844
Healthy	0.811446306956656	-0.410351941664339
Healthy	0.507533402997219	1.44376241272035
Healthy	-5	-5
Healthy	0.52617250731388	-0.334353353872193
Healthy	-5	0.108751013469221
Healthy	0.00220927298801476	0.806654046147595
Healthy	-5	-0.999088937868777
Healthy	-0.219819551797359	-5
Healthy	-5	1.21619916612133
Healthy	-5	0.244037017036314
Healthy	0.710003908849681	-5
Healthy	0.815167165939307	-0.471276076739006
Healthy	0.379401614039029	0.243191885767495
Healthy	0.336809830185024	1.19097649680895
D011236	0.363284725716646	-0.0638483204698829
Healthy	0.802783300182877	-0.890826578574528
Healthy	-5	0.776060890414528
Healthy	1.0643010907268	1.12155820285983
Healthy	-0.647335200348899	0.155405883408257
Healthy	-1.708409174342	0.361376481869873
Healthy	0.610621841297843	-0.652923803930265
Healthy	0.352346553933043	-2.03105031901866
Healthy	-5	0.0660723575773765
Healthy	0.679156150418852	0.585749411171379
Healthy	-5	-0.641284886197868
Healthy	-5	0.138826693810669
Healthy	-5	-0.361580635137367
Healthy	0.430155711970019	-0.21175383062718
Healthy	-0.823069915549494	0.329157781394064
Healthy	0.968602946685977	0.124950679542338
Healthy	-0.0872732432574975	0.272560963861557
Healthy	-0.581019618754964	-5
Healthy	0.527299866339773	-0.266626163055293
Healthy	0.150049945162385	-1.11025022473596
Healthy	-5	0.761782798918629
Healthy	-5	0.855023401569893
Healthy	0.730517420590717	-1.1253442674019
Healthy	-5	0.473590604448907
Healthy	0.66482994114309	0.801618402870708
Healthy	-5	-0.978852064279005
Healthy	-5	1.89967569522853
Healthy	-2.09636748391576	0.310674198718182
Healthy	0.896930011763117	0.954119441900728
Healthy	0.147960609057186	-5
Healthy	0.300127898364073	-1.15645578805436
Healthy	-5	-5
Healthy	0.183338186289204	0.94718709417019
Healthy	0.884927840363339	0.276783384700269
Healthy	-1.19517932127884	0.00609363020820083
Healthy	-0.195438069037582	-0.951519352526498
Healthy	0.677345019721607	-5
Healthy	-1.88306035344924	-1.74836177955179
Healthy	0.264165892216258	0.246786537772904
Healthy	-5	1.9366017988212
Healthy	-5	0.724212769403576
Healthy	-1.37212230542003	0.65769916511523
Healthy	-5	-0.162676764352586
Healthy	-5	-0.945885099489414
Healthy	1.17950037362933	-0.534498180058329
Healthy	-5	-0.222551427179631
Healthy	0.537612598757124	-0.930516906065389
Healthy	0.459641231058366	-0.41002807048314
Healthy	-5	0.185063118628386
Healthy	-5	0.449094075274832
Healthy	-5	-1.31202537996544
Healthy	-0.596827984507749	-0.265152184721705
Healthy	0.945026679940939	-1.33320131633383
Healthy	-5	-5
Healthy	-0.0641250998316844	-0.939906816175532
Healthy	-1.16723569505947	-5
Healthy	0.174135431793646	0.592966876255435
Healthy	-5	-0.377734155008477
Healthy	0.109159910732136	0.459898869322942
Healthy	-5	-0.529648320654182
Healthy	0.504940923792709	-0.0902675076251021
Healthy	-5	-0.169789980446389
Healthy	0.816328150203432	0.624558470873253
Healthy	0.0852691663062547	0.414679264466649
Healthy	0.482997854050922	-0.444603223193737
Healthy	0.899838005126567	0.433228828459711
Healthy	-1.24695343837347	-1.09946901754724
Healthy	1.11346904426635	-0.98175733254209
Healthy	0.66441066625717	-0.496658819638013
Healthy	0.415260555485293	1.02127904398954
Healthy	-0.0941232027331172	-1.01963297381522
Healthy	0.776590780723774	0.410654095544502
Healthy	0.7701993436501	-0.748994826506365
Healthy	1.24868546482757	-0.55695617135166
Healthy	-2.33161408331	-1.64936439174105
Healthy	0.706197853673996	-5
Healthy	0.339403735860026	-5
Healthy	-1.72422809983507	-0.759026648159996
Healthy	-5	0.631860613368897
Healthy	0.0857185951654024	0.408553697586891
Healthy	0.0614600188564993	0.411840163863845
Healthy	-5	0.387935910763123
Healthy	0.74992946410767	-5
Healthy	0.118615195569278	-0.138346129786089
Healthy	-0.336176622715236	-0.267831488311101
Healthy	0.0313438202620874	0.236373488494027
Healthy	-5	-5
Healthy	-5	-5
Healthy	-5	-3.24412514432751
Healthy	-1.45568385825257	1.74098454857805
Healthy	-1.79344395590097	-0.241648360659185
Healthy	-0.332603088723377	-0.00818049869410116
Healthy	-5	1.54484981487026
Healthy	-5	0.867749658122785
Healthy	-5	0.476666455108599
Healthy	-0.409760221691033	-0.906333217772097
Healthy	1.04397967690349	0.0628902051108873
Healthy	-0.663660364179217	-1.28449805470672
Healthy	-1.81901441921327	1.52283713787594
Healthy	-5	-0.128129464579834
Healthy	-0.867580201902385	0.0640234774529008
Healthy	-0.0562186872401727	-0.926831737734898
Healthy	-0.649345021321921	0.363041946961852
Healthy	-5	-5
Healthy	-5	-0.785076715105102
Healthy	-5	0.0307534989344725
Healthy	-0.644625115568388	1.17886476403183
Healthy	0.555024278341712	-0.295652121429059
Healthy	-5	0.474740598479892
Healthy	-0.41491168253253	0.184029550144605
Healthy	0.309242535683534	0.734362115377894
Healthy	-5	-0.151023091657112
Healthy	1.35289398495645	-0.049839682214073
Healthy	0.167656956106924	-1.07899019850297
Healthy	-5	0.514394992263783
Healthy	-0.404404585179866	-5
Healthy	-5	0.308030554266106
Healthy	-5	0.448853120627996
Healthy	0.827994413772519	-0.451107165863582
Healthy	-0.55211358549957	0.180561672034769
Healthy	-5	-1.20474581741912
Healthy	-5	-0.940058111938045
Healthy	-1.70818731253288	-0.407689975744221
Healthy	-2.66958622665081	-0.85390298646413
Healthy	0.276567492614683	-0.470377181866557
Healthy	-5	-0.926025180133341
Healthy	-5	0.421390017067081
Healthy	-0.504608316733061	-5
Healthy	0.266222286089953	-0.0220021900412603
Healthy	-2.09745322068601	0.71531126204077
Healthy	-5	0.725062622575211
Healthy	0.975085613689644	0.901621219386529
Healthy	-0.369500934993356	0.493807855234094
Healthy	-0.62182020961905	0.434639151871673
Healthy	-0.245751074050475	0.485428959845251
Healthy	-5	-0.723814025929329
Healthy	1.00602125104217	-5
Healthy	-2.08777794346758	0.71119625733534
Healthy	-5	0.270487844301513
Healthy	-0.666472121478908	-2.44009337496389
Healthy	-5	-0.826318510271541
Healthy	-0.525375865581386	1.05315530296188
Healthy	0.486852524143322	-0.296313206970355
Healthy	0.990982713978623	-0.774716569905557
Healthy	0.226146043037372	0.809585300223161
Healthy	-5	-5
Healthy	0.881186582455558	-0.500051869424349
Healthy	1.00037246490087	-0.0644222048359064
Healthy	1.02170476943826	-0.110082316563794
