group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	0	2.80862	2.61847	0	0	0	0	0.14655	0.01282	0.014	0	1.80683	0	1.2759	0	0	0.79042	0.14252	0	0
Healthy	0	0	3.7966	0	0	0	0	0	0	0	0.84061	0	0.03901	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.0936	1.48492	0	0	0.42454	0.6769	0	0	0	0
Healthy	0	0	1.90338	0.1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	8.47805	0	0	0	0.01229	0	0	0	0	0	2.36164	0.73299	0.02644	0	0.09083	0.11556	0.0977	0.2016	1.57015	0.0346
Healthy	0	0	6.19992	1.66869	0	0	0	0	0	0	1.68331	0	0	0	0.0314	0	0	0.18852	0	0.09171
Healthy	0.27735	3.71161	0	0.00021	0.00612	0	0	0.03571	0.00153	0	2.26567	0.02291	0.40751	0.52729	2.12778	0.9903	0.78458	0.10266	0.65825	0.92534
Healthy	0	0	0	0.09418	0	0.05097	0	0	0.00136	0	1.06018	7.02808	1.72485	1.24665	1.42967	2.77221	0.03862	0.75986	0.00964	0.38312
Healthy	0.0084	11.4823	0	0.0054	0.00058	0	0	0	0	0	0	0.4182	0.00934	0.00341	0.05673	0.13628	0.08128	0.01959	0	0
Healthy	0	0	2.94971	0	0	0.06994	0	0	0	0	4.48339	0	0.02206	1.33029	0.06939	0	0.37225	0	0	0.04749
Healthy	1.1615	0.44502	0	0.0538	0	0.24464	0.02526	0	0.00069	0.02036	3.02158	0.12128	1.42095	0	0.47282	1.17575	0.04881	1.36906	0.36693	0.17167
Healthy	0	0	0	3.07044	0	0	0	0	0	0	0	16.6527	0	0	0	3.76604	2.60602	0	0	0
Healthy	0	0	0.44101	0	0.0538	0.24751	0	0	0	0	0.64084	0.33374	0	0.11977	0	0.02326	0.04988	0.03434	0.02226	0.00959
Healthy	0	0	0	0.35078	0	0.82913	0	0	0	0	10.256	35.7595	4.88893	0	3.36158	0.27379	2.43353	3.57055	0.17514	0.89372
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09986	0	0	0
Healthy	0	0	0	3.954	0	0	0	0	0.00177	0	0	0	0	3.62446	0	0	0.14303	0.00034	0	0
Healthy	0	2.36464	0	0.19024	0	0.01591	0	0	0	0	13.233	10.9122	0.84826	0	2.86464	1.85404	0.13095	0.85011	0.01991	0.5704
Healthy	1.37453	0.00467	0	0	0	0.00086	0.00543	0.01167	0.00236	0	0.12388	0.02973	1.87867	0.04512	0.64316	0.02322	0.09113	0.47688	0.32603	0.3129
Healthy	0	0	1.5604	0	0.02234	0	0	0	0	0	16.92	2.09199	0.76782	0.17073	0.04738	0	0.00983	0.18656	0.45787	0.06629
Healthy	0.12166	0	0	0	0	0	0	0	0.21262	0	0.66154	0	0.27361	0.50024	0.11305	0.29579	0.55754	0.24265	0	0.14561
Healthy	0	0	3.32019	0	0	0.2724	0	0.01356	0.00655	0	7.41907	0.01376	1.01074	2.27966	1.5754	1.11173	0.01182	0.71108	0.02774	0.33164
Healthy	0	25.3283	0	0	0	0	0.00699	0	0.00492	0	0	0.68695	0	0	0	0	0.02543	0	0	0
