group	Enterobacteriaceae	Veillonellaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Micrococcaceae		Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	9.6929	0	0	0	0		43.6142	0.29566	0	1.2759	0	0.18247	0	0	0	0
Healthy	0	0	0	0	0		0	0.05238	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	1.05582	0	0	0		0.00158	6.07888	0	0	3.38321	0.01918	0	1.05582	2.17012	0
Healthy	0	0	0	0	0		0	0.15992	0	0	0	0.32099	0	0	0	0
Healthy	0.0964	0	0.01044	0	0		6.53506	2.69313	0	0.52729	0	0.06025	0	0	0	0
Healthy	0.08436	0.00592	0.0443	0	0		0	0.00297	0	1.24665	0	0.01258	0	0.00592	0.00554	0.11958
Healthy	0	0	0	0	0		0	0.0108	0	0.01216	0	0	0	0	0	0
Healthy	0	0	0.08494	0	0		0	1.7984	0	1.33029	0	0	0	0	0	0
Healthy	0	0.01238	0	0.00055	0.00401		0.82499	1.79202	0.25495	0	0	0.7062	0.00055	0.01238	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0.0137	0	0	0		0.60467	0.0282	0	0.11977	0	0	0	0.0137	0.07188	0
Healthy	2.37596	0	0.10925	0	0		0.99399	0	0	0	0	0	0	0	0	0
Healthy	1.50465	0	0	0	0		0	0.09287	0	0	0	0.05465	0	0	0	0
Healthy	2.5797	9.75913	0.1374	0.01981	0.02571		0	0	0	3.62446	0	0.00177	0.01981	9.75913	0.02253	0
Healthy	0.0583	0	0.36642	0	0		0.02627	0.05064	1.65371	0.13873	1.5845	1.20177	0	0	0.07896	0.43689
Healthy	0	0	0	0.10878	0		1.86453	1.19055	8.04332	0.04512	0	0.07892	0.10878	0	0	0
Healthy	0	0	0	0	0		0	0.05761	0	0.17073	0	0.66417	0	0	0.13175	0.21074
Healthy	16.867	0	0	0	0		5.52258	0	0	0.50024	2.26583	0.71151	0	0	0	0.30973
Healthy	0.04967	0.0558	0.00437	0	0		0	0.02467	0	2.27966	0	0.00655	0	0.0558	0	1.78824
Healthy	0.02561	0	0	0	0		5.84141	0.15702	0	0	0	0.02265	0	0	0	0
Healthy	21.7082	0.04354	0	0.28493	0		1.65451	0.12934	0.79631	0.34053	1.95356	3.65654	0.28493	0.04354	0.34533	0.05105
Healthy	0	1.72376	0	0	0		0	0.12175	0	0.7139	0	2.00328	0	1.72376	2.16962	4.77347
Healthy	6.48238	0	0	0	0		19.976	0.04911	0.54221	0	1.04876	0.01647	0	0	0	0
Healthy	0	0	0	0	0		0.08687	0.0283	0	0.13928	0	0.46295	0	0	0.09129	0.4766
Healthy	0.1043	0	0	0	0		0.40549	0.32161	0	0	3.27575	0	0	0	0	0
Healthy	0.09972	0.21193	0	0	0		0.08623	0.01507	0	0.07813	0	0.02068	0	0.21193	0	0
Healthy	0	0	0	0.06515	0		48.7672	0	0	0	0	0.20336	0.06515	0	0	0
Healthy	0.09298	0.06374	0	0	0.00039		0.02505	0.19046	0.63907	0.09283	2.67443	1.46121	0	0.06374	0.10937	0.02211
Healthy	0.21745	0.30547	0	0	0		0	0.04446	0	0.65919	0	0	0	0.30547	0	0
Healthy	0	0	0	0	0		1.65301	0.19327	0.18038	0.37637	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0.002	0.08119	0.53587	0	0.0123	0	0	0	0
Healthy	0	0	0	0	0		0	4.30761	0	1.3964	0	0	0	0	0	0
Healthy	0.91721	7.29344	0.29223	0	0		0	0	0	5.7193	0.02949	0	0	7.29344	0	0
Healthy	0.05728	0.03268	0	0	0		0	1.45864	0.18758	0.19788	0	0	0	0.03268	0.02082	0
Healthy	0.09665	0	0	0	0		0.62975	2.12136	0.07048	0.08046	2.04301	0.02074	0	0	0	0
Healthy	0.10061	0.04899	0	0	0		0.03917	0.14328	0	0.33622	0	0.06243	0	0.04899	0.05059	0.02658
Healthy	0.00903	0.02073	0	0	0		1.1655	0.02565	0	0.91269	0	0.79186	0	0.02073	0	0
Healthy	0.0092	0	0	0	0		0.07252	0	0.52921	1.43581	0.00079	0.00364	0	0	0.00195	0.01345
Healthy	0.07286	0.23551	0	0	0		0	0.29286	0	0.14288	0	0.163	0	0.23551	0.023	0
Healthy	16.2661	3.20071	0	0	0.33442		0	10.9103	0	0.12	0.01689	0	0	3.20071	0.19266	0
Healthy	0	0	0	0.22036	0		4.64535	0	2.8803	0	0	0.79534	0.22036	0	0	0
Healthy	0.37736	0.03427	0	0	0		0	0.0857	0	0.15444	0	0.01149	0	0.03427	0	0
Healthy	0	0	0	0	0		0.02478	1.28454	0	0.01631	0	0.00061	0	0	0	0
Healthy	6.37382	0	0	0	0		20.014	0.03316	0.54614	0	1.00509	0.05876	0	0	0	0
Healthy	0	0	0	0	0		0	0.1002	0	0.102	0	0	0	0	0	0
Healthy	0	0	0	0	0		1.13725	0	15.6428	0.06941	0.01163	0	0	0	0	0
Healthy	16.4109	0	0	0	0		0	0.04035	0.32705	0	0	0.14265	0	0	0	0.35363
Healthy	1.67377	0	0	0	0		0	0.08025	0	0	0	0.04	0	0	0	0
Healthy	0	0.875	0	0	0		0.00932	0	3.21156	0	0	0	0	0.875	0	0
Healthy	0.02833	0.22337	0	0	0		0	0.29889	0	0.19064	0	0.14147	0	0.22337	0.01062	0
Healthy	1.75061	0	0	2.57172	0		0	0	1.04718	2.82554	0	0	2.57172	0	0	0
Healthy	6.48387	0.00473	0.13116	0	0.00149		0	8.98905	0	1.73487	2.16701	1.6957	0	0.00473	0.03449	0.04743
Healthy	0	0	0	0	0		0	0.12857	0	0	0	0.24099	0	0	0	0
Healthy	0	0	0	0	0		0	5.95389	0	0.31594	0	0.09705	0	0	0.01729	0
Healthy	12.8542	0	0	0	0		0.54368	0.37574	0.60936	0	0	0.2213	0	0	0	0
Healthy	0.00825	0	0	0	0		1.91855	1.42197	0.01981	0.14616	0	0.0032	0	0	0	0
Healthy	0.00409	0.01956	0	0.00715	0.02165		0	0.0035	0	0	0	0.03527	0.00715	0.01956	2.29054	0.09932
Healthy	0.02165	0.01217	0	0.06233	0		0	0.00678	0	0	0	0.02503	0.06233	0.01217	0.19393	0.0908
Healthy	0	0	0.003	0	0		0.87446	0.0093	0	0.73212	2.25084	0.08713	0	0	0	0
Healthy	0	0	0	0	0		1.83608	1.16431	0.54243	0.38165	0	0	0	0	0	0.12217
Healthy	0	0.29998	0	0	0		0	1.07698	0	0	0	0	0	0.29998	2.77557	0
Healthy	0	0	0	0	0		7.69718	0.10417	0	0	0	0	0	0	0.12423	0
Healthy	1.37665	0	0	0	0		0	0	0	0.3144	0	0	0	0	0	0.0709
Healthy	0.04487	0	0	0	0		5.35516	0.39005	0	0.14095	0	0	0	0	0	0
Healthy	0.36631	0.20284	0	0	0		0	0.013	0	0	0	0	0	0.20284	0.23479	0
Healthy	2.12948	0.00824	0.90454	0	0.00327		4.75004	0.00433	0.00715	0.71644	0	0.08093	0	0.00824	0	0.13647
Healthy	1.06216	0	0	0	0		7.16262	0.2712	0	0.68097	0	0.35675	0	0	0	0
