group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0	0.12586	0		0	43.6142	0.08449	0	1.2759	0	0.03006	0	0.00566	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0		0	0	0.42454	0	0	0	0	0	0	0
Healthy	0	0	0		0	0	0.13261	0	0	0	0	0	0	0
Healthy	1.05582	0	0		0	0.00158	0.09083	0	0	0.12645	0	0	0	0
Healthy	0	0.30369	0		0	0	0.04318	0	0	0	0.55695	0	0.15992	0
Healthy	0	0.00153	0		3.75336	6.53506	2.12831	0	0.52729	0.25806	0.38897	0	0.00359	0
Healthy	0.00592	0.00832	0		0	0	1.42967	0	1.24665	0.1248	0.04136	0.11958	0.00297	0.05097
Healthy	0	0	0		3.98774	0	0.05673	0	0.01216	0	0	0	0.0108	0
Healthy	0	0	0		0	0	0.06939	0	1.33029	0	0	0	0	0.06994
Healthy	0.01238	0.0148	0.00401		19.4628	0.82499	0.48892	0.25495	0	1.3466	0.65078	0	0.01728	0.24464
Healthy	0	0	0		0.30528	0	0	0	0	0	0	0	0	0
Healthy	0.0137	0	0		0	0.60467	0.13189	0	0.11977	0	0	0	0.0282	0.24751
Healthy	0	0	0		0	0.99399	3.36158	0	0	0.12332	0	0	0	0.82913
Healthy	0	0	0		0	0	2.4787	0	0	0	0.14318	0	0.09287	0
Healthy	3.45176	0.00177	0.02571		0	0	0	0	3.62446	0	0	0	0	0
Healthy	0	0	0		0	0.02627	2.86464	1.65371	0.13873	0.25623	0.05227	0.43689	0.05064	0.01591
Healthy	0	0.01055	0		6.10752	1.86453	0.66391	7.62735	0.04512	0.18994	0.01217	0	0.00025	0.00086
Healthy	0	0	0		0	0	0.04738	0	0.17073	0.79942	0	0.21074	0.05761	0
Healthy	0	0.21262	0		9.43514	5.52258	0.11305	0	0.50024	0	0	0.30973	0	0
Healthy	0.0558	0.00655	0		0.00036	0	1.5754	0	2.27966	0.18091	0.0107	1.78824	0.02467	0.2724
Healthy	0	0.00492	0		0	5.84141	5.96047	0	0	0	0	0	0.05902	0
Healthy	0.04354	0	0		0	1.65451	1.35038	0.78317	0.34053	0.30278	0.02199	0.05105	0	0
Healthy	1.72376	0	0		0	0	0.60223	0	0.7139	1.55228	0	4.77347	0.12175	0.01092
