s	Veillonella_parvula_A	Enterocloster_clostridioformis_A	Bifidobacterium_breve	Veillonella_atypica	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_uniformis	Faecalibacterium_sp900539885	Alistipes_putredinis	Agathobacter_rectalis	Phocaeicola_vulgatus	Ruminococcus_H_sp003531055	Bacteroides_ovatus	Lachnospira_eligens_B	Alistipes_shahii	Bacteroides_thetaiotaomicron
Healthy	-5	-5	-5	-5	-1.89177334362507	-5	-5	-5	0.674527717014598	-0.932780311025859	-0.71810344975394	-5	-0.470723678080773	0.256919696449344	-0.0657591718798766	-2.94692155651658	0.0142264293892295	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.90145777648425	0.0290345782176112	-0.295652121429059	-0.075400281489385	-5	-5	-5	-1.51272018355693	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.17927337432634	-5	-0.83374754804584	-1.02867775475719	-5	0.171705981376956	-5	0.35488025902298	-5	-5
Healthy	-5	-5	0.256147450368233	-5	-5	-5	-5	-5	0.552874973784226	0.437435029969223	-5	-5	-1.29688065376392	-5	0.264246255403716	-5	-5	-5
Healthy	-0.521217132493401	-5	-5	-0.200804239506554	-5	-0.903402791642106	-1.75522823850471	-5	1.09209962985614	0.714882755706848	0.90899568475106	0.373215534966044	0.821648446606005	-0.134896025358872	0.0290995668235429	-0.0654964988499561	0.217052067154388	-1.09636748391576
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.43515305221608	0.282816901350496	0.968106396806949	0.226166683429083	-5	-5	0.403835745348327	-5	0.171907737413988	-5
Healthy	-5	-5	-5	-5	-2.81247927916354	-5	-5	-5	0.527267622958763	0.238843668857748	0.216377057988173	0.355198570996061	-0.0408011448226132	-1.63978538670465	-0.65913963793512	-0.9456934341516	-0.857454115913723	-1.05241925069568
Healthy	-2.22694530663574	-5	-0.0859743483036714	-5	-2.86327943284359	-5	-5	-5	0.456388810214364	0.946700292266965	0.338133641034116	0.0253837035262303	0.352234630322521	0.846837314327683	-1.66334017654558	-1.46826569072345	-0.912786658768385	-0.77409655507384
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-0.361520726941314	0.488691698316941	0.590282172556603	-5	0.410184839777753	-0.378605586791193	-2.29242982390206	1.00059500994851	-0.713768145971447	-0.29566070050915
Healthy	-5	-5	0.300738920840148	-5	-5	-5	-5	-5	0.325962863082671	1.23456308954756	0.680245743900049	0.651607487481262	0.26556068059152	-5	0.127376957372236	0.506349416162233	-5	-5
Healthy	-1.90692869362394	-5	-2.0268721464003	-5	-3.15490195998574	-5	-5	-2.39577394691553	0.722922533741182	0.746494859898562	1.01536855858652	0.480235534517375	-2.60554831917378	-0.916175003946663	0.0890674928872376	-0.39099287211093	-0.555549219206082	-0.257102127672217
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.538757164376499	0.580112621451532	-5	-5	-5	1.22148491906009	-5	-5	-5	0.746547798430628
