group	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Enterobacteriaceae	Selenomonadaceae	Streptococcaceae	Pasteurellaceae	Peptostreptococcaceae	Veillonellaceae	Micrococcaceae	Burkholderiaceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	8.94079	3.74911	0.01649	9.6929	0	0	0	0	0	0	0.29566	0	1.2759	0	0.18247	0	0	0	0	0
Healthy	55.95388	1.06913	0	0	0	0	0	0	0	0	0.05238	0	0	0	0	0	0	0	0	0
D013167	53.36999	6.4555	1.47553	0.00568	0	0.21618	0.00544	0	0.08422	0	2.85226	0.21618	0.32324	0.00588	0.03366	0	0.08422	0.00544	0	0
Healthy	53.1305	1.2917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	5.66977	2.738	1.80362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	34.84964	5.39337	0.81149	0	0	0.67699	2.17012	0	1.05582	0	6.07888	0.67699	0	3.38321	0.01918	0	1.05582	2.17012	0	0
Healthy	56.51636	1.91785	0.38055	0	0	0	0	0	0	0	0.15992	0	0	0	0.32099	0	0	0	0	0
Healthy	18.54273	2.22194	0.49944	0.0964	0	0.03327	0	0	0	0	2.69313	0.03327	0.52729	0	0.06025	0	0	0	0.01044	0
Healthy	46.6215	8.86169	0.82039	0.08436	0	0.01675	0.00554	0.11958	0.00592	0	0.00297	0.01675	1.24665	0	0.01258	0	0.00592	0.00554	0.0443	0.11958
Healthy	52.17775	10.9513	0	0	0.30386	0.01923	0	0	0	0	0.0108	0.01923	0.01216	0	0	0	0	0	0	0
Healthy	14.11968	17.1618	22.04304	0	0	0	0	0	0	0	1.7984	0	1.33029	0	0	0	0	0	0.08494	0
Healthy	31.1465	5.78407	0.71602	0	0	0.05212	0	0	0.01238	0.00401	1.79202	0.05212	0	0	0.7062	0.00055	0.01238	0	0	0
Healthy	20.00604	3.80287	11.8332	0	0	13.39566	0	0	0	0	0	13.39566	0	0	0	0	0	0	0	0
Healthy	40.64311	7.65391	0	0	0	0.01605	0.07188	0	0.0137	0	0.0282	0.01605	0.11977	0	0	0	0.0137	0.07188	0	0
Healthy	0.27462	1.67025	8.54688	2.37596	0	0.34454	0	0	0	0	0	0.34454	0	0	0	0	0	0	0.10925	0
Healthy	74.08226	2.41444	0.22932	1.50465	0	0.12083	0	0	0	0	0.09287	0.12083	0	0	0.05465	0	0	0	0	0
Healthy	27.76061	0	12.7725	2.5797	0	0.42839	0.02253	0	9.75913	0.02571	0	0.42839	3.62446	0	0.00177	0.01981	9.75913	0.02253	0.1374	0
Healthy	8.51316	13.31372	1.12117	0.0583	0	1.12441	0.07896	0.43689	0	0	0.05064	1.12441	0.13873	1.5845	1.20177	0	0	0.07896	0.36642	0.43689
Healthy	17.57398	3.73808	0.17058	0	0	0.28536	0	0	0	0	1.19055	0.28536	0.04512	0	0.07892	0.10878	0	0	0	0
Healthy	42.39983	5.9724	3.09685	0	0	0.07802	0.13175	0.21074	0	0	0.05761	0.07802	0.17073	0	0.66417	0	0	0.13175	0	0.21074
Healthy	17.33784	6.40852	2.47727	16.867	0	0	0	0.30973	0	0	0	0	0.50024	2.26583	0.71151	0	0	0	0	0.30973
Healthy	25.10843	25.27391	0.32652	0.04967	0	0.08595	0	1.78824	0.0558	0	0.02467	0.08595	2.27966	0	0.00655	0	0.0558	0	0.00437	1.78824
Healthy	38.87685	10.18732	0	0.02561	0	0	0	0	0	0	0.15702	0	0	0	0.02265	0	0	0	0	0
Healthy	11.78917	6.06601	12.84778	21.7082	0	1.2355	0.34533	0.05105	0.04354	0	0.12934	1.2355	0.34053	1.95356	3.65654	0.28493	0.04354	0.34533	0	0.05105
Healthy	12.45034	9.34541	2.73178	0	0	0.27572	2.16962	4.77347	1.72376	0	0.12175	0.27572	0.7139	0	2.00328	0	1.72376	2.16962	0	4.77347
Healthy	18.14348	3.47915	0	6.48238	0	0.18933	0	0	0	0	0.04911	0.18933	0	1.04876	0.01647	0	0	0	0	0
Healthy	29.94081	5.1328	9.87554	0	0	0.03268	0.09129	0.4766	0	0	0.0283	0.03268	0.13928	0	0.46295	0	0	0.09129	0	0.4766
Healthy	56.5229	0.47242	0	0.1043	0	0	0	0	0	0	0.32161	0	0	3.27575	0	0	0	0	0	0
Healthy	41.90442	19.7024	0	0.09972	0	0	0	0	0.21193	0	0.01507	0	0.07813	0	0.02068	0	0.21193	0	0	0
Healthy	20.65804	2.6487	0.34594	0	0	0.18538	0	0	0	0	0	0.18538	0	0	0.20336	0.06515	0	0	0	0
Healthy	26.51697	10.85128	0.60784	0.09298	0	0.15228	0.10937	0.02211	0.06374	0.00039	0.19046	0.15228	0.09283	2.67443	1.46121	0	0.06374	0.10937	0	0.02211
Healthy	7.77903	9.16534	24.34814	0.21745	0	0.17857	0	0	0.30547	0	0.04446	0.17857	0.65919	0	0	0	0.30547	0	0	0
Healthy	16.88011	2.3527	3.39236	0	0	0.00266	0	0	0	0	0.19327	0.00266	0.37637	0	0	0	0	0	0	0
Healthy	40.12699	9.42381	5.62643	0	0	0.02484	0	0	0	0	0.002	0.02484	0.53587	0	0.0123	0	0	0	0	0
Healthy	42.92261	6.22563	0.20527	0	0.50975	0.1302	0	0	0	0	4.30761	0.1302	1.3964	0	0	0	0	0	0	0
Healthy	24.58404	0.00068	25.053	0.91721	0	0.00104	0	0	7.29344	0	0	0.00104	5.7193	0.02949	0	0	7.29344	0	0.29223	0
Healthy	32.3303	6.6407	0.50195	0.05728	0	0.01765	0.02082	0	0.03268	0	1.45864	0.01765	0.19788	0	0	0	0.03268	0.02082	0	0
Healthy	35.65422	3.9338	0.25829	0.09665	0	0.56085	0	0	0	0	2.12136	0.56085	0.08046	2.04301	0.02074	0	0	0	0	0
Healthy	34.30152	11.17958	0.46911	0.10061	0	1.04933	0.05059	0.02658	0.04899	0	0.14328	1.04933	0.33622	0	0.06243	0	0.04899	0.05059	0	0.02658
Healthy	28.09092	4.02687	5.86576	0.00903	0	0.01657	0	0	0.02073	0	0.02565	0.01657	0.91269	0	0.79186	0	0.02073	0	0	0
Healthy	39.23273	4.47674	5.61783	0.0092	0	0.08838	0.00195	0.01345	0	0	0	0.08838	1.43581	0.00079	0.00364	0	0	0.00195	0	0.01345
Healthy	55.7372	2.12034	0.65786	0.07286	0	0	0.023	0	0.23551	0	0.29286	0	0.14288	0	0.163	0	0.23551	0.023	0	0
Healthy	9.03133	0.00368	53.32809	16.2661	0	1.2222	0.19266	0	3.20071	0.33442	10.9103	1.2222	0.12	0.01689	0	0	3.20071	0.19266	0	0
Healthy	26.41612	10.01197	0.99682	0	0	0.18972	0	0	0	0	0	0.18972	0	0	0.79534	0.22036	0	0	0	0
Healthy	85.81859	0.90434	0	0.37736	0	0.23259	0	0	0.03427	0	0.0857	0.23259	0.15444	0	0.01149	0	0.03427	0	0	0
Healthy	36.05486	27.22336	0	0	0	0.14253	0	0	0	0	1.28454	0.14253	0.01631	0	0.00061	0	0	0	0	0
Healthy	18.8565	3.58402	0	6.37382	0	0.21411	0	0	0	0	0.03316	0.21411	0	1.00509	0.05876	0	0	0	0	0
Healthy	24.95525	0.69262	0	0	0	0	0	0	0	0	0.1002	0	0.102	0	0	0	0	0	0	0
Healthy	31.29799	1.051	0.09522	0	0	0	0	0	0	0	0	0	0.06941	0.01163	0	0	0	0	0	0
