group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	0.33827	0	0.11673	9.6929	0	0	0	0.03971	0	0.014	0	0.08449	1.2759	0	0	0	0.00566	0	0	0
Healthy	42.5025	0	1.06913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D013167	27.29615	0.11248	6.4555	0.00568	0.52103	0.00544	0.12431	0.00438	0	0	0.11248	0.11436	0.32324	0	0.12024	0	0.00861	0	0	0.04438
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.42454	0	0	0	0	0	0	0	0
Healthy	0.05047	0	2.738	0	0.1082	0	0	0	0	0	0	0.13261	0	0	0	0	0	0	0	0
Healthy	6.63205	0	5.18659	0	0	2.17012	0	0	0	0	0	0.09083	0	0	0.12645	0	0	0	0	0
Healthy	26.7456	0	1.91785	0	1.66869	0	0	0	0	0	0	0.04318	0	0	0	0	0.15992	0	0	0
Healthy	1.25834	3.75336	1.73317	0.0964	0.00021	0	0	0	0	0	3.75336	2.12831	0.52729	0	0.25806	0	0.00359	0	0	0.00592
Healthy	42.48112	0	8.84504	0.03109	0.09418	0.00554	0.00857	0	0	0	0	1.42967	1.24665	0	0.1248	0.11958	0.00297	0	0.05097	0
Healthy	30.62043	3.98774	3.08099	0	0.0054	0	0.05007	0	0	0	3.98774	0.05673	0.01216	0	0	0	0.0108	0.13285	0	0.00833
Healthy	10.0211	0	17.1618	0	0	0	0	0	0	0	0	0.06939	1.33029	0	0	0	0	0	0.06994	0
Healthy	0.15449	19.4628	5.5782	0	0.0538	0	0	0	0.00401	0.02036	19.4628	0.48892	0	0	1.3466	0	0.01728	0	0.24464	0
Healthy	0	0.30528	3.80287	0	3.07044	0	0	0	0	0	0.30528	0	0	0	0	0	0	0	0	0
Healthy	29.65987	0	7.56621	0	0	0.07188	0	0.03231	0	0	0	0.13189	0.11977	0	0	0	0.0282	0	0.24751	0
Healthy	0.27462	0	1.51072	1.55766	0.35078	0	0	0	0	0	0	3.36158	0	0	0.12332	0	0	0	0.82913	0
Healthy	4.20573	0	2.41444	0.27181	0	0	0	0.10584	0	0	0	2.4787	0	0	0	0	0.09287	0	0	0
Healthy	14.00927	0	0	2.53141	3.954	0.02253	0.00418	0	0.02571	0	0	0	3.62446	0	0	0	0	0	0	0
Healthy	4.60586	0	12.8494	0.05193	0.19024	0.07896	0	0	0	0	0	2.86464	0.13873	0	0.25623	0.43689	0.05064	0	0.01591	0
Healthy	2.0989	6.10752	1.07594	0	0	0	0	0	0	0	6.10752	0.66391	0.04512	0	0.18994	0	0.00025	0.36357	0.00086	0.01956
Healthy	21.89015	0	4.8242	0	0	0.13175	0	0	0	0	0	0.04738	0.17073	0.66417	0.79942	0.21074	0.05761	0	0	0
Healthy	3.67698	9.43514	6.38634	16.867	0	0	0	0	0	0	9.43514	0.11305	0.50024	0.49889	0	0.30973	0	0	0	0
Healthy	22.16644	0.00036	12.8088	0.04967	0	0	0	0	0	0	0.00036	1.5754	2.27966	0	0.18091	1.78824	0.02467	0	0.2724	0.00661
Healthy	1.55484	0	3.35188	0.02561	0	0	0	0	0	0	0	5.96047	0	0	0	0	0.05902	0	0	0
Healthy	1.50643	0	5.26763	21.7082	0.11064	0.34385	0.12966	0.01555	0	0	0	1.35038	0.34053	3.65654	0.30278	0.05105	0	0.04418	0	0
Healthy	3.62867	0	6.00946	0	0	2.16962	0	0	0	0	0	0.60223	0.7139	2.00328	1.55228	4.77347	0.12175	0	0.01092	0
Healthy	1.70013	6.96922	3.4574	6.48238	0	0	0	0	0	0	6.96922	1.83281	0	0	0	0	0.04911	0.49504	0	0
Healthy	14.50772	0	4.64569	0	0	0.09129	0	0	0	0	0	0.15367	0.13928	0.46295	0.15727	0.4766	0.0283	0	0	0
Healthy	11.64077	32.1609	0.43863	0.1043	0	0	0	0	0	0	32.1609	0.21058	0	0	0.04517	0	0.32161	0	0	0
Healthy	10.54302	0	19.6021	0.09972	0	0	0	0	0	0	0	0.10483	0.07813	0	0.13423	0	0.01507	0	0.05675	0
Healthy	1.19265	0	2.6487	0	0.01067	0	0	0	0	0	0	2.8838	0	0	0.77688	0	0	0	0	0
Healthy	14.27485	0.00254	5.59288	0.00443	0	0.10937	0	0	0.00039	0	0.00254	0.67854	0.09283	1.45308	0.08035	0.02211	0.18042	0	0.00149	0.01403
Healthy	2.59962	0	9.16534	0.21745	0.60085	0	0	0	0	0.05192	0	0.19353	0.65919	0	0.98045	0	0.04446	0	0.18659	0
Healthy	2.29774	0	1.57533	0	0	0	0	0	0	0	0	0.71649	0.37637	0	0.35696	0	0.19327	0	0.0624	0.00489
Healthy	5.51529	0	5.34315	0	0	0	0	0	0	0.01763	0	0.16007	0.53587	0	0	0	0.002	0	0.2096	0.00277
