group	Bacteroidales	Oscillospirales	Actinomycetales	Enterobacterales	Lactobacillales	Selenomonadales	Coriobacteriales	Pseudomonadales	Peptostreptococcales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	13.19395	5.67215	0.01649	9.6929	0	0	1.43645	0	0		9.6929	43.6142	0	0.29566	0.18247	1.43645	0	0	0.70028	0
Healthy	72.2396	1.06913	0	0	0	0	0	0	0		0	0	0	0.05238	0	0	0	0	0	0
D013167	62.773	6.55098	1.47645	0.01112	0.21618	0	0.32324	0	0		0.01112	0	0.21618	2.85226	0.03366	0.32324	0.00588	0	0.00895	0
Healthy	57.87419	2.77662	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	5.66977	2.7577	1.80362	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	47.14362	6.14482	0.81149	2.17012	0.67699	0	0	0	0		2.17012	0.00158	0.67699	6.07888	0.01918	0	3.38321	0	0	0
Healthy	69.59291	2.55892	0.38055	0	0	0	0	0	0		0	0	0	0.15992	0.32099	0	0	0	0	0
Healthy	31.15765	2.87861	0.49944	0.0964	0.04371	0	0.563	0	0		0.0964	6.53506	0.04371	2.69313	0.06025	0.563	0	0	0.04458	0
Healthy	51.65985	15.94539	0.82039	0.0899	0.06105	0	1.29762	0	0.11958		0.0899	0	0.06105	0.00297	0.01258	1.29762	0	0	0.00051	0.11958
Healthy	58.6519	11.40703	0	0	0.01923	0.30386	0.01216	0	0		0	0	0.01923	0.0108	0	0.01216	0	0	0.18026	0
Healthy	25.65235	18.57232	22.04304	0	0.08494	0	1.40023	0	0		0	0	0.08494	1.7984	0	1.40023	0	0	0	0
Healthy	56.36691	6.93242	0.72003	0	0.05212	0	0.265	0	0		0	0.82499	0.05212	1.79202	0.70675	0.265	0	0	0.01459	0
Healthy	23.10218	20.45557	11.8332	0	13.39566	0	0	0	0		0	0	13.39566	0	0	0	0	0	0	0
Healthy	67.84814	7.98765	0	0.07188	0.01605	0	0.36728	0.03835	0		0.07188	0.60467	0.01605	0.0282	0	0.36728	0	0.03835	0.07128	0
Healthy	0.27462	37.42975	8.54688	2.37596	1.32629	0	0.82913	9.06313	0		2.37596	0.99399	1.32629	0	0	0.82913	0	9.06313	0	0
Healthy	86.76674	3.4739	0.22932	1.50465	0.12083	0	0	0	0		1.50465	0	0.12083	0.09287	0.05465	0	0	0	0.09711	0
Healthy	64.33041	0.07853	12.81222	2.60223	0.60558	0	3.62446	0.18179	0		2.60223	0	0.60558	0	0.02158	3.62446	0	0.18179	0	0
Healthy	13.80299	24.28629	1.12117	0.13726	1.49083	0	0.15464	0	0.43689		0.13726	0.02627	1.49083	0.05064	1.20177	0.15464	1.5845	0	0	0.43689
Healthy	34.77124	3.86127	0.17058	0	0.28536	0	0.05765	0	0		0	1.86453	0.28536	1.19055	0.1877	0.05765	0	0	0.6158	0
Healthy	45.30071	8.06439	3.09685	0.13175	0.07802	0	0.17073	0	0.21074		0.13175	0	0.07802	0.05761	0.66417	0.17073	0	0	0	0.21074
Healthy	26.92825	6.40852	2.47727	16.867	2.15807	0	0.50024	0	0.30973		16.867	5.52258	2.15807	0	0.71151	0.50024	2.26583	0	0	0.30973
Healthy	35.10278	25.31462	0.32652	0.04967	0.09181	0	2.56562	0	1.78824		0.04967	0	0.09181	0.02467	0.00655	2.56562	0	0	0	1.78824
Healthy	48.16875	11.29908	0	0.02561	0	0	0	0	0		0.02561	5.84141	0	0.15702	0.02265	0	0	0	0.23947	0
Healthy	20.83528	6.088	12.85417	22.05353	1.3459	0	0.34053	1.41332	0.05105		22.05353	1.65451	1.3459	0.12934	3.94147	0.34053	1.95356	1.41332	0.04548	0.05105
Healthy	12.59463	11.62999	2.73178	2.16962	0.27572	0	0.72482	0	4.77347		2.16962	0	0.27572	0.12175	2.00328	0.72482	0	0	0	4.77347
Healthy	29.16997	5.2006	0	6.48238	0.18933	0	0	0	0		6.48238	19.976	0.18933	0.04911	0.01647	0	1.04876	0	0.71956	0
Healthy	34.23946	8.75363	9.87554	0.09129	0.03268	0	0.13928	0	0.4766		0.09129	0.08687	0.03268	0.0283	0.46295	0.13928	0	0	0	0.4766
Healthy	67.32252	2.65788	0	0.1043	0	0	0	0	0		0.1043	0.40549	0	0.32161	0	0	3.27575	0	0	0
Healthy	46.13277	20.88193	0	0.09972	0	0	0.13699	0	0		0.09972	0.08623	0	0.01507	0.02068	0.13699	0	0	0.24772	0
Healthy	21.17389	2.89237	0.34594	0	0.18538	0	0	0	0		0	48.7672	0.18538	0	0.26851	0	0	0	0	0
Healthy	39.6002	14.44554	0.60823	0.20235	0.15228	0	0.09451	0.03725	0.02211		0.20235	0.02505	0.15228	0.19046	1.46121	0.09451	2.67443	0.03725	0.07772	0.02211
Healthy	17.14225	20.18504	24.34814	0.21745	0.17857	0	0.8977	0	0		0.21745	0	0.17857	0.04446	0	0.8977	0	0	0	0
Healthy	34.70987	8.13833	3.39236	0	0.00266	0	0.45568	0	0		0	1.65301	0.00266	0.19327	0	0.45568	0	0	0.07473	0
Healthy	56.87795	10.02552	5.62643	0	0.02484	0	0.81405	0	0		0	0	0.02484	0.002	0.0123	0.81405	0	0	0.10324	0
Healthy	54.17995	6.22563	0.20527	0	0.1302	0.50975	1.45829	0	0		0	0	0.1302	4.30761	0	1.45829	0	0	0.08008	0
Healthy	24.69327	0.04915	25.1842	0.91721	0.29327	0	5.75242	0	0		0.91721	0	0.29327	0	0	5.75242	0.02949	0	0.01514	0
Healthy	63.4987	7.50643	0.50195	0.0781	0.01765	0	0.20705	0	0		0.0781	0	0.01765	1.45864	0	0.20705	0	0	0.15405	0
Healthy	52.08938	4.10247	0.25829	0.09665	0.56085	0	0.08695	0	0		0.09665	0.62975	0.56085	2.12136	0.02074	0.08695	2.04301	0	0.09305	0
Healthy	40.44836	11.91721	0.46911	0.1512	1.04933	0	0.37727	0	0.02658		0.1512	0.03917	1.04933	0.14328	0.06243	0.37727	0	0	0	0.02658
Healthy	48.12186	8.19907	5.86576	0.42971	0.01657	0	0.9363	0	0		0.42971	1.1655	0.01657	0.02565	0.79186	0.9363	0	0	0.0012	0
Healthy	55.96175	9.83018	5.61783	0.01115	0.08838	0	1.71689	0	0.01345		0.01115	0.07252	0.08838	0	0.00364	1.71689	0.00079	0	0.05871	0.01345
Healthy	76.93222	3.71621	0.65786	0.09586	0	0	0.14288	0	0		0.09586	0	0	0.29286	0.163	0.14288	0	0	0.07883	0
Healthy	9.78837	0.00382	53.66251	16.45876	1.2222	0	0.12	0.41286	0		16.45876	0	1.2222	10.9103	0	0.12	0.01689	0.41286	0.13184	0
Healthy	47.09899	12.17061	0.99682	0	0.18972	0	0	0	0		0	4.64535	0.18972	0	1.0157	0	0	0	0.08855	0
Healthy	89.10926	1.45347	0	0.37736	0.23259	0	0.15444	0	0		0.37736	0	0.23259	0.0857	0.01149	0.15444	0	0	0.00251	0
Healthy	53.12384	27.37284	0	0	0.14253	0	0.01631	0	0		0	0.02478	0.14253	1.28454	0.00061	0.01631	0	0	0.037	0
Healthy	30.60738	5.28558	0	6.37382	0.21411	0	0	0	0		6.37382	20.014	0.21411	0.03316	0.05876	0	1.00509	0	0.65549	0
Healthy	44.45977	2.55632	0	0	0	0	0.102	0	0		0	0	0	0.1002	0	0.102	0	0	0.05737	0
Healthy	39.3006	1.23345	0.09522	0	0	0	0.06941	0	0		0	1.13725	0	0	0	0.06941	0.01163	0	0.02658	0
Healthy	41.24657	3.76713	0	16.4109	0	0	0	0	0.35363		16.4109	0	0	0.04035	0.14265	0	0	0	0	0.35363
Healthy	86.758	3.5952	0.22191	1.67377	0.06243	0	0	0	0		1.67377	0	0.06243	0.08025	0.04	0	0	0	0.09831	0
Healthy	12.46553	9.34538	0	0	0.11515	0	0	0	0		0	0.00932	0.11515	0	0	0	0	0	0	0
Healthy	76.44017	3.85686	0.6206	0.03895	0	0	0.19064	0	0		0.03895	0	0	0.29889	0.14147	0.19064	0	0	0.10029	0
Healthy	9.7859	8.70302	22.56278	1.75061	15.71087	0	2.82554	0	0		1.75061	0	15.71087	0	2.57172	2.82554	0	0	0	0
Healthy	42.18549	4.12956	5.0595	6.51836	0.46803	0	1.73487	0.01561	0.04743		6.51836	0	0.46803	8.98905	1.6957	1.73487	2.16701	0.01561	0.03635	0.04743
Healthy	68.34488	4.3862	0.38779	0	0	0	0	0	0		0	0	0	0.12857	0.24099	0	0	0	0	0
Healthy	75.43383	2.11122	0.49252	0.01729	0	0	0.31594	0	0		0.01729	0	0	5.95389	0.09705	0.31594	0	0	0.20315	0
Healthy	33.84867	7.10371	0	12.8542	0	0	0	0	0		12.8542	0.54368	0	0.37574	0.2213	0	0	0	0	0
Healthy	52.57168	19.62191	0	0.00825	0.0109	0	0.21172	0	0		0.00825	1.91855	0.0109	1.42197	0.0032	0.21172	0	0	0.0924	0
Healthy	56.34078	8.99262	5.17804	2.29463	0.27467	0	0.00368	0	0.09932		2.29463	0	0.27467	0.0035	0.04242	0.00368	0	0	0	0.09932
Healthy	20.22819	14.11143	9.82654	0.21558	0.54071	0	0.20396	0	0.0908		0.21558	0	0.54071	0.00678	0.08736	0.20396	0	0	0.06614	0.0908
Healthy	34.97998	17.74577	0.73193	0	2.28761	0	1.11002	0	0		0	0.87446	2.28761	0.0093	0.08713	1.11002	2.25084	0	0.28312	0
Healthy	54.76138	7.44577	2.58432	0	0	0	0.44391	0	0.12217		0	1.83608	0	1.16431	0	0.44391	0	0	0	0.12217
Healthy	66.122	3.85957	0.50518	2.77557	0.19801	0	0	0	0		2.77557	0	0.19801	1.07698	0	0	0	0	0.01952	0
Healthy	65.39898	4.49464	0	0.12423	0	0	0	0	0		0.12423	7.69718	0	0.10417	0	0	0	0	0	0
Healthy	76.52103	2.70927	0.00669	1.37665	0.06404	0	0.31466	0	0.0709		1.37665	0	0.06404	0	0	0.31466	0	0	0.04377	0.0709
Healthy	53.00535	8.46934	0.13549	0.04487	0	0	0.23162	0	0		0.04487	5.35516	0	0.39005	0	0.23162	0	0	0.32464	0
Healthy	75.97442	6.34267	0	0.6011	0.00291	0	0	0	0		0.6011	0	0.00291	0.013	0	0	0	0	0.00721	0
Healthy	43.89442	4.61086	8.08516	2.12948	2.3757	0	1.00781	0	0.13647		2.12948	4.75004	2.3757	0.00433	0.08093	1.00781	0	0	0.08954	0.13647
Healthy	54.50736	6.37802	0.02207	1.06216	0	0	0.69144	0	0		1.06216	7.16262	0	0.2712	0.35675	0.69144	0	0	0.17895	0
Healthy	36.60204	38.2343	2.3021	0.01462	0.02683	0.35345	0.41073	0	0		0.01462	0.03189	0.02683	1.85847	0	0.41073	0.19254	0	0.14804	0
Healthy	2.1963	54.60222	0	0	0	0	3.68311	0	0.26971		0	0	0	0	3.05681	3.68311	0.2624	0	0	0.26971
Healthy	88.99303	1.47786	0	0.42965	0.21585	0	0.14868	0	0		0.42965	0	0.21585	0.11156	0.02708	0.14868	0	0	0	0
Healthy	55.54238	7.9392	1.87214	0.04188	0.04828	0	0.23323	0	0.26029		0.04188	0	0.04828	0.03569	0.43867	0.23323	0	0	0	0.26029
Healthy	70.48564	9.10469	0	0.07776	0	0	0.51129	0	0		0.07776	0	0	5.7003	0.01705	0.51129	0	0	0	0
Healthy	58.09122	14.02014	0	0.06544	0.00451	0	0.7355	0	0		0.06544	0	0.00451	7.09637	0.01215	0.7355	0	0	0	0
Healthy	40.21055	14.94458	1.19003	0.07492	0.0073	0	0.03641	0	0		0.07492	0	0.0073	0	0.0136	0.03641	0	0	0	0
Healthy	64.56848	4.07902	0	0	0	0	0.07736	0	0		0	0	0	2.9757	0.05412	0.07736	0	0	0.55153	0
Healthy	69.88918	4.98386	0.23312	0	0.5783	0	0.03571	0	0		0	0	0.5783	6.33312	0	0.03571	0	0	0	0
Healthy	41.95701	9.91116	2.71886	0.04178	0	0	0.14686	0	0		0.04178	17.199	0	0.0632	0	0.14686	0	0	1.61864	0
Healthy	1.9337	0.59296	5.45435	78.76377	0.10611	0	1.47704	0.58176	0		78.76377	3.52859	0.10611	0.02799	0.01017	1.47704	0	0.58176	0	0
Healthy	63.27551	8.24625	0.74589	1.87079	0.1514	0	0.01042	0	0.25312		1.87079	0	0.1514	0.17411	0.14607	0.01042	0	0	0	0.25312
Healthy	50.98894	9.74817	0.01296	3.09305	0	0	0	0	0.16683		3.09305	0	0	5.90439	0	0	0	0	0	0.16683
